<video_id>RD67acl3DaU</video_id>	JJ	<video_id>RD67acl3DaU</video_id>
<video_title>Palestinian	NN	<video_title>Palestinian
President	NP	President
Abbas	NP	Abbas
says	VVZ	say
only	RB	only
US	PP	us
can	MD	can
stop	VV	stop
Rafah	NP	Rafah
invasion</video_title>	NN	invasion</video_title>
<thumbnail_path>data/en_AJ\Palestinian	NN	<thumbnail_path>data/en_AJ\Palestinian
President	NP	President
Abbas	NP	Abbas
says	VVZ	say
only	RB	only
US	PP	us
can	MD	can
stop	VV	stop
Rafah	NP	Rafah
invasion.jpg</thumbnail_path>	JJ	invasion.jpg</thumbnail_path>
<publish_date>20240428</publish_date>	NN	<publish_date>20240428</publish_date>
<doc>	NN	<doc>
Palestinian	JJ	Palestinian
president	NN	president
Mahmud	NP	Mahmud
Abbas	NP	Abbas
says	VVZ	say
only	RB	only
the	DT	the
United	NP	United
States	NPS	States
can	MD	can
stop	VV	stop
Israel	NP	Israel
from	IN	from
launching	VVG	launch
a	DT	a
ground	NN	ground
attack	NN	attack
on	IN	on
Rafa	NP	Rafa
now	RB	now
he	PP	he
was	VBD	be
speaking	VVG	speak
at	IN	at
the	DT	the
world	NN	world
economic	JJ	economic
Forum	NP	Forum
in	IN	in
the	DT	the
Saudi	NP	Saudi
Arabian	NP	Arabian
Capital	NP	Capital
Riyad	NP	Riyad
abas	NNS	aba
repeated	VVD	repeat
his	PP$	his
calls	NNS	call
for	IN	for
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
for	IN	for
Israel	NP	Israel
to	TO	to
allow	VV	allow
in	IN	in
more	JJR	more
Aid	NN	aid
and	CC	and
he	PP	he
warned	VVD	warn
Israel	NP	Israel
would	MD	would
try	VV	try
to	TO	to
push	VV	push
Palestinians	NNS	Palestinian
out	RP	out
of	IN	of
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
after	IN	after
its	PP$	its
done	VVN	do
with	IN	with
Gaza	NP	Gaza
Israel	NP	Israel
has	VHZ	have
been	VBN	be
threatening	VVG	threaten
to	TO	to
launch	VV	launch
a	DT	a
full	JJ	full
ground	NN	ground
assault	NN	assault
on	IN	on
Rafa	NP	Rafa
where	WRB	where
than	IN	than
1.5	CD	@card@
million	CD	million
people	NNS	people
are	VBP	be
Sheltering	VVG	shelter
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
what	WP	what
will	MD	will
happen	VV	happen
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
and	CC	and
what	WP	what
Israel	NP	Israel
will	MD	will
do	VV	do
by	IN	by
invading	VVG	invade
the	DT	the
city	NN	city
of	IN	of
ruffa	VVG	ruffa
all	PDT	all
the	DT	the
Palestinians	NPS	Palestinians
from	IN	from
Gaza	NP	Gaza
are	VBP	be
gathered	VVN	gather
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Rua	NP	Rua
and	CC	and
only	RB	only
a	DT	a
small	JJ	small
blow	NN	blow
remains	VVZ	remain
to	TO	to
get	VV	get
them	PP	them
all	DT	all
out	RP	out
then	RB	then
it	PP	it
would	MD	would
be	VB	be
the	DT	the
biggest	JJS	big
disaster	NN	disaster
in	IN	in
the	DT	the
history	NN	history
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
we	PP	we
appeal	VVP	appeal
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
to	TO	to
ask	VV	ask
Israel	NP	Israel
to	TO	to
stop	VV	stop
the	DT	the
ruer	NN	ruer
operation	NN	operation
because	IN	because
America	NP	America
is	VBZ	be
the	DT	the
only	JJ	only
country	NN	country
capable	JJ	capable
of	IN	of
preventing	VVG	prevent
Israel	NP	Israel
from	IN	from
committing	VVG	commit
this	DT	this
crime	NN	crime
Zan	NP	Zan
mravi	NP	mravi
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
so	IN	so
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
president	NN	president
Zayn	NP	Zayn
but	CC	but
really	RB	really
will	MD	will
it	PP	it
resonate	VV	resonate
or	CC	or
have	VHP	have
any	DT	any
effect	NN	effect
amongst	IN	amongst
the	DT	the
politicians	NNS	politician
where	WRB	where
he	PP	he
is	VBZ	be
or	CC	or
even	RB	even
you	PP	you
might	MD	might
say	VV	say
some	DT	some
impact	NN	impact
back	RB	back
home	RB	home
well	RB	well
it	PP	it
is	VBZ	be
certainly	RB	certainly
a	DT	a
significant	JJ	significant
statement	NN	statement
it	PP	it
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
Mahmud	NP	Mahmud
Abbas	NP	Abbas
has	VHZ	have
said	VVN	say
anything	NN	anything
like	IN	like
this	DT	this
it	PP	it
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
a	DT	a
senior	JJ	senior
leader	NN	leader
from	IN	from
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
has	VHZ	have
said	VVN	say
anything	NN	anything
like	IN	like
this	DT	this
and	CC	and
not	RB	not
mined	VVD	mine
his	PP$	his
words	NNS	word
but	CC	but
it	PP	it
has	VHZ	have
to	TO	to
be	VB	be
said	VVN	say
that	IN/that	that
he	PP	he
is	VBZ	be
simply	RB	simply
echoing	VVG	echo
