<video_id>kKMjDpFWTcw</video_id>	NP	<video_id>kKMjDpFWTcw</video_id>
<video_title>Young	NP	<video_title>Young
Palestinian	NP	Palestinian
shot	VVD	shoot
dead	JJ	dead
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
outside	IN	outside
Ofer	NP	Ofer
Prison</video_title>	NP	Prison</video_title>
<thumbnail_path>data/en_AJ\Young	NP	<thumbnail_path>data/en_AJ\Young
Palestinian	NP	Palestinian
shot	VVD	shoot
dead	JJ	dead
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
outside	IN	outside
Ofer	NP	Ofer
Prison.jpg</thumbnail_path>	NP	Prison.jpg</thumbnail_path>
<publish_date>20231130</publish_date>	NN	<publish_date>20231130</publish_date>
<doc>	NN	<doc>
well	RB	well
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
killed	VVN	kill
a	DT	a
young	JJ	young
Palestinian	NN	Palestinian
near	IN	near
off	IN	off
a	DT	a
prison	NN	prison
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
a	DT	a
number	NN	number
of	IN	of
other	JJ	other
Palestinians	NPS	Palestinians
were	VBD	be
injured	VVN	injure
during	IN	during
a	DT	a
fighting	NN	fighting
in	IN	in
the	DT	the
town	NN	town
of	IN	of
aunia	NN	aunia
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
Thursday	NP	Thursday
morning	NN	morning
earlier	RBR	earlier
a	DT	a
man	NN	man
was	VBD	be
shot	VVN	shoot
in	IN	in
the	DT	the
foot	NN	foot
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
before	IN	before
the	DT	the
release	NN	release
of	IN	of
prisoners	NNS	prisoner
from	IN	from
offer	NN	offer
the	DT	the
Palestinian	JJ	Palestinian
prisoner	NN	prisoner
Society	NP	Society
say	VVP	say
that	IN/that	that
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
sellers	NNS	seller
have	VHP	have
killed	VVN	kill
at	IN	at
least	JJS	least
245	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
and	CC	and
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
now	RB	now
from	IN	from
Zen	NP	Zen
bzra	NP	bzra
joined	VVD	join
from	IN	from
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Zan	NP	Zan
what	WP	what
more	RBR	more
do	VVP	do
you	PP	you
have	VHP	have
well	RB	well
what	WP	what
we	PP	we
can	MD	can
confirm	VV	confirm
is	VBZ	be
that	IN/that	that
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
so	RB	so
far	RB	far
this	DT	this
morning	NN	morning
45	CD	@card@
more	JJR	more
Palestinians	NPS	Palestinians
new	JJ	new
detainees	NNS	detainee
are	VBP	be
now	RB	now
in	IN	in
Israeli	JJ	Israeli
custody	NN	custody
from	IN	from
raids	NNS	raid
that	WDT	that
have	VHP	have
been	VBN	be
ongoing	JJ	ongoing
overnight	RB	overnight
throughout	IN	throughout
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
mostly	RB	mostly
during	IN	during
raids	NNS	raid
in	IN	in
Bido	NP	Bido
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
near	IN	near
Jerusalem	NP	Jerusalem
and	CC	and
we	PP	we
are	VBP	be
expecting	VVG	expect
those	DT	those
numbers	NNS	number
to	TO	to
perhaps	RB	perhaps
rise	VV	rise
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
because	IN	because
there	EX	there
are	VBP	be
raids	NNS	raid
ongoing	JJ	ongoing
in	IN	in
in	IN	in
tubas	NNS	tuba
in	IN	in
Jericho	NP	Jericho
as	RB	as
well	RB	well
as	IN	as
Bethlehem	NP	Bethlehem
but	CC	but
the	DT	the
flash	JJ	flash
point	NN	point
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
tarim	RB	tarim
the	DT	the
city	NN	city
and	CC	and
the	DT	the
camp	NN	camp
there	EX	there
is	VBZ	be
a	DT	a
heavy	JJ	heavy
military	JJ	military
presence	NN	presence
Israeli	JJ	Israeli
forces	NNS	force
on	IN	on
the	DT	the
ground	NN	ground
with	IN	with
uh	UH	uh
sech	NN	sech
dogs	NNS	dog
going	VVG	go
from	IN	from
house	NN	house
to	TO	to
house	VV	house
drones	NNS	drone
flying	VVG	fly
low	JJ	low
over	IN	over
the	DT	the
city	NN	city
and	CC	and
over	IN	over
the	DT	the
camp	NN	camp
it	PP	it
really	RB	really
sounds	VVZ	sound
very	RB	very
similar	JJ	similar
to	TO	to
the	DT	the
raids	NNS	raid
we	PP	we
saw	VVD	see
in	IN	in
Janine	NP	Janine
yesterday	NN	yesterday
that	WDT	that
resulted	VVD	result
in	IN	in
several	JJ	several
deaths	NNS	death
were	VBD	be
heavy-handed	JJ	heavy-handed
and	CC	and
lasted	VVN	last
for	IN	for
hours	NNS	hour
tarim	NN	tarim
now	RB	now
seems	VVZ	seem
to	TO	to
be	VB	be
uh	UH	uh
the	DT	the
next	JJ	next
Target	NP	Target
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
this	DT	this
will	MD	will
no	DT	no
doubt	NN	doubt
be	VB	be
a	DT	a
major	JJ	major
issue	NN	issue
that	WDT	that
is	VBZ	be
raised	VVN	raise
by	IN	by
Palestinian	JJ	Palestinian
president	NN	president
Mahmud	NP	Mahmud
Abbas	NP	Abbas
during	IN	during
uh	UH	uh
his	PP$	his
meeting	NN	meeting
which	WDT	which
is	VBZ	be
expected	VVN	expect
later	JJR	late
today	NN	today
as	IN	as
part	NN	part
of	IN	of
a	DT	a
visit	NN	visit
with	IN	with
uh	UH	uh
Anthony	NP	Anthony
blinkin	NN	blinkin
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
now	RB	now
the	DT	the
American	JJ	American
uh	UH	uh
government	NN	government
the	DT	the
White	NP	White
House	NP	House
blinkin	NN	blinkin
himself	PP	himself
they've	NNS	they've
been	VBN	be
looking	VVG	look
to	TO	to
Muhammad	NP	Muhammad
abbas's	NNS	abbas's
government	NN	government
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
as	IN	as
a	DT	a
potential	JJ	potential
uh	UH	uh
governing	VVG	govern
body	NN	body
for	IN	for
Gaza	NP	Gaza
in	IN	in
a	DT	a
post-war	JJ	post-war
Gaza	NP	Gaza
but	CC	but
the	DT	the
fact	NN	fact
of	IN	of
the	DT	the
matter	NN	matter
is	VBZ	be
that	IN/that	that
the	DT	the
trust	NN	trust
of	IN	of
the	DT	the
pal	NN	pal
inan	JJ	inan
people	NNS	people
in	IN	in
Mahmud	NP	Mahmud
Abbas	NP	Abbas
and	CC	and
his	PP$	his
government	NN	government
the	DT	the
trust	NN	trust
of	IN	of
the	DT	the
people	NNS	people
The	DT	the
credibility	NN	credibility
of	IN	of
his	PP$	his
government	NN	government
have	VHP	have
all	RB	all
been	VBN	be
under	IN	under
question	NN	question
well	RB	well
before	IN	before
the	DT	the
War	NP	War
Began	NP	Began
those	DT	those
poll	NN	poll
numbers	NNS	number
have	VHP	have
fallen	VVN	fall
through	IN	through
the	DT	the
floor	NN	floor
in	IN	in
recent	JJ	recent
weeks	NNS	week
so	RB	so
how	WRB	how
much	JJ	much
credibility	NN	credibility
they	PP	they
bring	VVP	bring
to	TO	to
the	DT	the
table	NN	table
going	VVG	go
forward	RB	forward
remains	VVZ	remain
a	DT	a
question	NN	question
mark	NN	mark
but	CC	but
no	DT	no
doubt	NN	doubt
it	PP	it
will	MD	will
be	VB	be
a	DT	a
topic	NN	topic
of	IN	of
discussion	NN	discussion
during	IN	during
his	PP$	his
meetings	NNS	meeting
later	RBR	later
today	RB	today
expected	VVN	expect
around	IN	around
11:30	CD	@card@
GMT	NN	GMT
1:30	CD	@card@
local	JJ	local
time	NN	time
all	DT	all
right	JJ	right
Z	NN	Z
back	RB	back
with	IN	with
you	PP	you
for	IN	for
that	WDT	that
and	CC	and
and	CC	and
much	RB	much
more	JJR	more
asides	NNS	aside
I	PP	I
imagine	VVP	imagine
as	IN	as
zus	NP	zus
RI	NP	RI
thanks	VVZ	thank
a	DT	a
lot	NN	lot
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
