<video_id>QnZNltbLJrs</video_id>	JJ	<video_id>QnZNltbLJrs</video_id>
<video_title>Gaza	NN	<video_title>Gaza
Under	IN	under
Attack	NP	Attack
|	SYM	|
Between	IN	between
Us</video_title>	NP	Us</video_title>
<thumbnail_path>data/en_AJ\Gaza	NP	<thumbnail_path>data/en_AJ\Gaza
Under	IN	under
Attack	NP	Attack
Between	IN	between
Us.jpg</thumbnail_path>	NP	Us.jpg</thumbnail_path>
<publish_date>20231013</publish_date>	NP	<publish_date>20231013</publish_date>
<doc>	NP	<doc>
Saturday	NP	Saturday
we	PP	we
woke	VVD	wake
up	RP	up
at	IN	at
home	NN	home
to	TO	to
the	DT	the
violent	JJ	violent
sounds	NNS	sound
of	IN	of
bombardments	NNS	bombardment
and	CC	and
the	DT	the
launching	NN	launching
of	IN	of
the	DT	the
Rockets	NNS	rocket
we	PP	we
quickly	RB	quickly
ran	VVD	run
to	TO	to
the	DT	the
kids	NNS	kid
to	TO	to
check	VV	check
on	IN	on
them	PP	them
they	PP	they
woke	VVD	wake
up	RP	up
from	IN	from
the	DT	the
sounds	NNS	sound
and	CC	and
they	PP	they
were	VBD	be
screaming	VVG	scream
I'm	NP	I'm
y	NP	y
Al	NP	Al
jazer	NP	jazer
English	NP	English
correspondent	NN	correspondent
in	IN	in
Gaza	NP	Gaza
and	CC	and
between	IN	between
us	PP	us
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
have	VHP	have
been	VBN	be
a	DT	a
living	VVG	live
hell	NN	hell
for	IN	for
those	DT	those
living	NN	living
in	IN	in
Gaza	NP	Gaza
it	PP	it
was	VBD	be
like	IN	like
really	RB	really
scary	JJ	scary
the	DT	the
first	JJ	first
thing	NN	thing
we	PP	we
did	VVD	do
was	VBD	be
put	VVN	put
them	PP	them
under	IN	under
the	DT	the
uh	UH	uh
kitchen	NN	kitchen
bar	NN	bar
for	IN	for
it	PP	it
to	TO	to
be	VB	be
like	IN	like
the	DT	the
safest	JJS	safe
place	NN	place
just	JJ	just
uh	UH	uh
heing	NN	heing
Rockets	NNS	rocket
flying	VVG	fly
over	IN	over
our	PP$	our
heads	NNS	head
from	IN	from
everywhere	RB	everywhere
all	PDT	all
the	DT	the
time	NN	time
from	IN	from
different	JJ	different
directions	NNS	direction
just	RB	just
seeing	VVG	see
white	JJ	white
smoke	NN	smoke
in	IN	in
the	DT	the
sky	NN	sky
and	CC	and
not	RB	not
really	RB	really
knowing	VVG	know
what's	NNS	what's
going	VVG	go
on	IN	on
I	PP	I
saw	VVD	see
uh	UH	uh
a	DT	a
building	NN	building
that's	NNS	that's
being	VBG	be
leveled	VVN	level
ex	IN	ex
right	RB	right
opposite	JJ	opposite
to	TO	to
the	DT	the
building	NN	building
of	IN	of
uh	UH	uh
my	PP$	my
family	NN	family
home	NN	home
I	PP	I
quickly	RB	quickly
had	VHD	have
to	TO	to
get	VV	get
ready	JJ	ready
and	CC	and
get	VV	get
to	TO	to
the	DT	the
bureau	NN	bureau
so	RB	so
that	IN/that	that
I	PP	I
can	MD	can
start	VV	start
the	DT	the
coverage	NN	coverage
it	PP	it
was	VBD	be
extremely	RB	extremely
difficult	JJ	difficult
for	IN	for
me	PP	me
to	TO	to
leave	VV	leave
them	PP	them
I	PP	I
tell	VVP	tell
them	PP	them
that	IN/that	that
I	PP	I
love	VVP	love
them	PP	them
so	RB	so
much	RB	much
I	PP	I
tell	VVP	tell
them	PP	them
uh	UH	uh
to	TO	to
take	VV	take
care	NN	care
of	IN	of
themselves	PP	themselves
and	CC	and
and	CC	and
