speak	VV	speak
now	RB	now
to	TO	to
Maran	NP	Maran
bishara	NP	bishara
Al	NP	Al
jaz	NP	jaz
'	POS	'
s	JJ	s
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
from	IN	from
Paris	NP	Paris
via	IN	via
Skype	NP	Skype
Maran	NP	Maran
prime	JJ	prime
minister	NN	minister
Netanyahu	NN	Netanyahu
he	PP	he
met	VVD	meet
with	IN	with
Biden	NP	Biden
a	DT	a
bit	NN	bit
earlier	RBR	earlier
and	CC	and
now	RB	now
this	DT	this
is	VBZ	be
his	PP$	his
second	JJ	second
meeting	NN	meeting
of	IN	of
the	DT	the
day	NN	day
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
Biden	NP	Biden
in	IN	in
the	DT	the
past	NN	past
be	VB	be
to	TO	to
some	DT	some
extent	NN	extent
frustrated	VVN	frustrate
with	IN	with
Netanyahu	NP	Netanyahu
and	CC	and
a	DT	a
lack	NN	lack
of	IN	of
agreement	NN	agreement
is	VBZ	be
that	IN/that	that
the	DT	the
sort	NN	sort
of	IN	of
tone	NN	tone
that	IN/that	that
Harris	NP	Harris
will	MD	will
take	VV	take
at	IN	at
this	DT	this
stage	NN	stage
also	RB	also
considering	IN	considering
that	DT	that
uh	UH	uh
she	PP	she
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
to	TO	to
call	VV	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
yes	NN	yes
we	PP	we
don	VVP	don
'	''	'
t	NN	t
expect	VV	expect
uh	UH	uh
Harris	NP	Harris
to	TO	to
stray	VV	stray
far	RB	far
from	IN	from
the	DT	the
position	NN	position
and	CC	and
the	DT	the
policy	NN	policy
of	IN	of
the	DT	the
Biden	NP	Biden
administration	NN	administration
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
she	PP	she
'	POS	'
s	NN	S
definitely	RB	definitely
going	VVG	go
to	TO	to
pre	NP	Pre
be	VB	be
preoccupied	VVN	preoccupy
with	IN	with
her	PP$	her
own	JJ	own
campaign	NN	campaign
the	DT	the
next	JJ	next
three	CD	three
months	NNS	month
and	CC	and
it	PP	it
is	VBZ	be
not	RB	not
wise	JJ	wise
for	IN	for
her	PP	her
to	TO	to
be	VB	be
uh	UH	uh
contradicting	VVG	contradict
uh	UH	uh
her	PP$	her
president	NN	president
and	CC	and
the	DT	the
present	JJ	present
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
on	IN	on
an	DT	an
issue	NN	issue
that	IN/that	that
so	RB	so
-	NN	-
called	VVD	call
controversial	JJ	controversial
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
might	MD	might
um	RB	um
you	PP	you
know	VVP	know
cause	VV	cause
her	PP$	her
problem	NN	problem
she	PP	she
'	POS	'
s	JJ	s
GNA	NP	GNA
have	VHP	have
to	TO	to
walk	VV	walk
a	DT	a
tight	JJ	tight
Trope	NN	trope
there	RB	there
'	POS	'
s	NN	S
absolutely	RB	absolutely
no	RB	no
doubt	VVP	doubt
about	RB	about
that	IN/that	that
because	IN	because
she	PP	she
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
she	PP	she
wants	VVZ	want
to	TO	to
stay	VV	stay
loyal	JJ	loyal
to	TO	to
Biden	NP	Biden
and	CC	and
to	TO	to
his	PP$	his
policy	NN	policy
and	CC	and
she	PP	she
is	VBZ	be
careful	JJ	careful
with	IN	with
the	DT	the
Israel	NP	Israel
Lobby	NN	lobby
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
she	PP	she
had	VHD	have
uh	UH	uh
shown	VVN	show
intention	NN	intention
leaning	NN	leaning
towards	IN	towards
uh	UH	uh
sort	NN	sort
of	IN	of
bridging	VVG	bridge
to	TO	to
the	DT	the
pr	NP	pr
Progressive	NP	Progressive
the	DT	the
progressive	JJ	progressive
arm	NN	arm
of	IN	of
the	DT	the
democratic	JJ	democratic
party	NN	party
I	PP	I
think	VVP	think
that	WDT	that
is	VBZ	be
important	JJ	important
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
a	DT	a
tight	JJ	tight
Trope	NN	trope
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
she	PP	she
expressed	VVD	express
some	DT	some
sort	NN	sort
of	IN	of
an	DT	an
emotional	JJ	emotional
attachment	NN	attachment
to	TO	to
those	DT	those
who	WP	who
were	VBD	be
protesting	VVG	protest
at	IN	at
the	DT	the
uh	UH	uh
American	JJ	American
universities	NNS	university
for	IN	for
examples	NNS	example
she	PP	she
did	VVD	do
talk	NN	talk
about	IN	about
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
more	RBR	more
than	IN	than
the	DT	the
others	NNS	other
she	PP	she
apparently	RB	apparently
according	VVG	accord
to	TO	to
one	CD	one
report	NN	report
in	IN	in
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
appealed	VVD	appeal
to	TO	to
the	DT	the
White	NP	White
House	NP	House
to	TO	to
talk	VV	talk
more	RBR	more
emphasize	VV	emphasize
more	JJR	more
the	DT	the
Palestinian	JJ	Palestinian
suffering	NN	suffering
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
so	RB	so
apparently	RB	apparently
there	EX	there
'	''	'
s	VVG	s
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
Nuance	NN	nuance
but	CC	but
that	DT	that
Nuance	NN	nuance
remains	VVZ	remain
limited	JJ	limited
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
it	PP	it
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
effective	JJ	effective
in	IN	in
the	DT	the
next	JJ	next
uh	UH	uh
six	CD	six
months	NNS	month
perhaps	RB	perhaps
if	IN	if
we	PP	we
have	VHP	have
a	DT	a
president	NN	president
Harris	NP	Harris
come	VVN	come
January	NP	January
2025	CD	@card@
maybe	RB	maybe
there	EX	there
will	MD	will
be	VB	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
difference	NN	difference
uh	UH	uh
from	IN	from
where	WRB	where
Biden	NP	Biden
because	IN	because
she	PP	she
is	VBZ	be
in	IN	in
fact	NN	fact
not	RB	not
like	IN	like
Biden	NP	Biden
Biden	NP	Biden
is	VBZ	be
a	DT	a
an	DT	an
ideologically	RB	ideologically
liberal	JJ	liberal
interventionist	NN	interventionist
he	PP	he
called	VVD	call
himself	PP	himself
as	IN	as
Zionist	NN	Zionist
he	PP	he
has	VHZ	have
been	VBN	be
unconditionally	RB	unconditionally
supporting	VVG	support
un	JJ	un
unraveling	NN	unraveling
genocide	NN	genocide
in	IN	in
Palestine	NP	Palestine
and	CC	and
the	DT	the
various	JJ	various
war	NN	war
crimes	NNS	crime
carried	VVN	carry
by	IN	by
Netanyahu	NP	Netanyahu
he	PP	he
expressed	VVD	express
frustration	NN	frustration
with	IN	with
Netanyahu	NP	Netanyahu
but	CC	but
never	RB	never
really	RB	really
acted	VVN	act
on	IN	on
it	PP	it
she	PP	she
'	POS	'
s	NN	S
also	RB	also
nothing	NN	nothing
like	IN	like
Trump	NP	Trump
she	PP	she
'	POS	'
s	NN	S
not	RB	not
a	DT	a
sort	NN	sort
of	IN	of
an	DT	an
extreme	JJ	extreme
right	JJ	right
uh	UH	uh
nationalist	JJ	nationalist
populist	NN	populist
of	IN	of
the	DT	the
type	NN	type
that	IN/that	that
Trump	NP	Trump
has	VHZ	have
proven	VVN	prove
to	TO	to
be	VB	be
the	DT	the
past	JJ	past
six	CD	six
years	NNS	year
so	IN	so
she	PP	she
'	POS	'
s	NN	S
of	IN	of
a	DT	a
different	JJ	different
type	NN	type
and	CC	and
and	CC	and
hopefully	RB	hopefully
her	PP$	her
sensibilities	NNS	sensibility
also	RB	also
as	IN	as
a	DT	a
woman	NN	woman
I	PP	I
should	MD	should
add	VV	add
uh	UH	uh
as	RB	as
as	IN	as
someone	NN	someone
who	WP	who
supports	VVZ	support
Union	NP	Union
social	JJ	social
justice	NN	justice
and	CC	and
various	JJ	various
other	JJ	other
equality	NN	equality
issues	NNS	issue
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
would	MD	would
extend	VV	extend
to	TO	to
foreign	JJ	foreign
policy	NN	policy
as	IN	as
well	RB	well
now	RB	now
if	IN	if
I	PP	I
could	MD	could
just	RB	just
another	DT	another
one	CD	one
last	JJ	last
uh	UH	uh
comment	VV	comment
on	IN	on
her	PP	her
because	IN	because
that	DT	that
'	''	'
s	NNS	s
really	RB	really
important	JJ	important
where	WRB	where
she	PP	she
stood	VVD	stand
and	CC	and
and	CC	and
how	WRB	how
she	PP	she
stood	VVD	stand
in	IN	in
her	PP$	her
book	NN	book
The	DT	the
truths	NNS	truth
we	PP	we
hold	VVP	hold
she	PP	she
doesn	NN	doesn
'	POS	'
t	NN	t
express	VV	express
any	DT	any
uh	UH	uh
belief	NN	belief
or	CC	or
position	NN	position
on	IN	on
foreign	JJ	foreign
policy	NN	policy
of	IN	of
any	DT	any
you	PP	you
know	VVP	know
importance	NN	importance
when	WRB	when
she	PP	she
became	VVD	become
Senator	NP	Senator
however	RB	however
she	PP	she
did	VVD	do
play	VV	play
you	PP	you
know	VV	know
the	DT	the
the	DT	the
the	DT	the
Israel	NP	Israel
Lobby	NN	lobby
Playbook	NN	playbook
she	PP	she
did	VVD	do
parrot	VV	parrot
the	DT	the
Israel	NP	Israel
Lobby	NN	lobby
line	NN	line
she	PP	she
even	RB	even
undermined	VVD	undermine
President	NP	President
Obama	NP	Obama
on	IN	on
the	DT	the
question	NN	question
of	IN	of
the	DT	the
illegality	NN	illegality
of	IN	of
the	DT	the
Israeli	JJ	Israeli
settlements	NNS	settlement
so	IN	so
she	PP	she
'	POS	'
s	NN	S
proved	VVD	prove
to	TO	to
be	VB	be
pragmatic	JJ	pragmatic
and	CC	and
she	PP	she
kind	NN	kind
of	IN	of
goes	NNS	go
with	IN	with
the	DT	the
wind	NN	wind
and	CC	and
it	PP	it
depends	VVZ	depend
on	IN	on
how	WRB	how
much	JJ	much
pressure	NN	pressure
from	IN	from
the	DT	the
Israel	NP	Israel
lobby	NN	lobby
but	CC	but
yet	RB	yet
I	PP	I
would	MD	would
say	VV	say
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
that	IN/that	that
she	PP	she
might	MD	might
prove	VV	prove
to	TO	to
be	VB	be
slightly	RB	slightly
better	JJR	good
than	IN	than
Biden	NP	Biden
and	CC	and
far	RB	far
better	JJR	good
than	IN	than
Trump	NP	Trump
on	IN	on
issues	NNS	issue
such	JJ	such
as	IN	as
Israel	NP	Israel
Palestine	NP	Palestine
Maran	NP	Maran
returning	VVG	return
to	TO	to
Netanyahu	NP	Netanyahu
specifically	RB	specifically
and	CC	and
he	PP	he
'	POS	'
s	NN	S
told	VVD	tell
hostage	NN	hostage
families	NNS	family
uh	UH	uh
families	NNS	family
who	WP	who
are	VBP	be
demanding	VVG	demand
that	IN/that	that
hostages	NNS	hostage
be	VB	be
returned	VVN	return
that	IN/that	that
Israel	NP	Israel
will	MD	will
submit	VV	submit
um	NNS	um
he	PP	he
said	VVD	say
an	DT	an
updated	VVN	update
ceasefire	NN	ceasefire
proposal	NN	proposal
to	TO	to
Hamas	NP	Hamas
within	IN	within
2	CD	@card@
days	NNS	day
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
that	WDT	that
I	PP	I
think	VVP	think
Netanyahu	NP	Netanyahu
has	VHZ	have
