<video_id>iO-gYEx4rNg</video_id>	JJ	<video_id>iO-gYEx4rNg</video_id>
<video_title>Hamas	JJ	<video_title>Hamas
armed	JJ	armed
wing	NN	wing
says	VVZ	say
it	PP	it
is	VBZ	be
ready	JJ	ready
to	TO	to
release	VV	release
70	CD	@card@
captives	NNS	captive
in	IN	in
exchange	NN	exchange
for	IN	for
a	DT	a
five-day	JJ	five-day
truce</video_title>	NN	truce</video_title>
<thumbnail_path>data/en_AJ\Hamas	NN	<thumbnail_path>data/en_AJ\Hamas
armed	JJ	armed
wing	NN	wing
says	VVZ	say
it	PP	it
is	VBZ	be
ready	JJ	ready
to	TO	to
release	VV	release
70	CD	@card@
captives	NNS	captive
in	IN	in
exchange	NN	exchange
for	IN	for
a	DT	a
five-day	JJ	five-day
truce.jpg</thumbnail_path>	NN	truce.jpg</thumbnail_path>
<publish_date>20231114</publish_date>	NN	<publish_date>20231114</publish_date>
<doc>	NN	<doc>
hamas's	NNS	hamas's
armed	VVN	arm
Wings	NP	Wings
says	VVZ	say
Israel	NP	Israel
is	VBZ	be
stalling	VVG	stall
on	IN	on
a	DT	a
deal	NN	deal
to	TO	to
release	VV	release
captives	NNS	captive
the	DT	the
Kasam	NP	Kasam
Bri	NN	Bri
Brigade	NN	brigade
say	VVP	say
it's	NNS	it's
ready	JJ	ready
to	TO	to
release	VV	release
up	RP	up
to	TO	to
70	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
but	CC	but
in	IN	in
exchange	NN	exchange
of	IN	of
once	RB	once
a	DT	a
5day	JJ	5day
truce	NN	truce
and	CC	and
the	DT	the
release	NN	release
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
and	CC	and
the	DT	the
entry	NN	entry
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
the	DT	the
enemy	NN	enemy
has	VHZ	have
requested	VVN	request
the	DT	the
release	NN	release
of	IN	of
100	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
held	VVD	hold
captive	NN	captive
in	IN	in
Gaza	NP	Gaza
we	PP	we
told	VVD	tell
the	DT	the
mediators	NNS	mediator
that	IN/that	that
we	PP	we
are	VBP	be
asking	VVG	ask
for	IN	for
a	DT	a
five-day	JJ	five-day
truce	NN	truce
in	IN	in
which	WDT	which
we	PP	we
will	MD	will
release	VV	release
50	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
and	CC	and
this	DT	this
number	NN	number
might	MD	might
actually	RB	actually
go	VV	go
up	RP	up
to	TO	to
70	CD	@card@
because	IN	because
the	DT	the
captives	NNS	captive
are	VBP	be
being	VBG	be
held	VVN	hold
by	IN	by
several	JJ	several
factions	NNS	faction
and	CC	and
groups	NNS	group
this	DT	this
truth	NN	truth
is	VBZ	be
to	TO	to
include	VV	include
a	DT	a
ceasefire	NN	ceasefire
as	RB	as
well	RB	well
as	IN	as
the	DT	the
approval	NN	approval
of	IN	of
Entry	NN	entry
of	IN	of
humanitarian	JJ	humanitarian
and	CC	and
relief	NN	relief
assistance	NN	assistance
to	TO	to
all	DT	all
our	PP$	our
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
however	RB	however
the	DT	the
enemy	NN	enemy
is	VBZ	be
still	RB	still
stalling	VVG	stall
and	CC	and
evading	VVG	evade
this	DT	this
responsibility	NN	responsibility
and	CC	and
the	DT	the
enemy	NN	enemy
is	VBZ	be
still	RB	still
ignoring	VVG	ignore
not	RB	not
just	RB	just
the	DT	the
innocent	JJ	innocent
lives	NNS	life
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
they	PP	they
are	VBP	be
also	RB	also
Al	NP	Al
ignoring	VVG	ignore
their	PP$	their
own	JJ	own
detained	VVN	detain
people	NNS	people
Sarah	NP	Sarah
kyat	NN	kyat
sent	VVD	send
us	PP	us
this	DT	this
update	NN	update
on	IN	on
the	DT	the
situation	NN	situation
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
well	RB	well
the	DT	the
Israeli	JJ	Israeli
government	NN	government
uh	UH	uh
hasn't	NN	hasn't
really	RB	really
been	VBN	be
speaking	VVG	speak
about	IN	about
a	DT	a
5-day	JJ	5-day
ceasefire	NN	ceasefire
which	WDT	which
is	VBZ	be
what	WP	what
uh	UH	uh
Hamas	NN	Hamas
has	VHZ	have
been	VBN	be
pushing	VVG	push
for	IN	for
it	PP	it
also	RB	also
hasn't	VVD	hasn't
confirmed	VVN	confirm
whether	IN	whether
it	PP	it
would	MD	would
consider	VV	consider
an	DT	an
exchange	NN	exchange
of	IN	of
those	DT	those
that	WDT	that
are	VBP	be
being	VBG	be
held	VVN	hold
captive	NN	captive
with	IN	with
prisoners	NNS	prisoner
which	WDT	which
is	VBZ	be
what	WP	what
Hamas	NP	Hamas
wants	VVZ	want
it	PP	it
wants	VVZ	want
children	NNS	child
and	CC	and
women	NNS	woman
released	VVN	release
from	IN	from
Israeli	JJ	Israeli
detention	NN	detention
but	CC	but
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
is	VBZ	be
that	IN/that	that
overnight	RB	overnight
it	PP	it
had	VHD	have
commented	VVN	comment
uh	UH	uh
saying	VVG	say
that	DT	that
it's	JJ	it's
uh	UH	uh
been	VBN	be
in	IN	in
touch	NN	touch
with	IN	with
the	DT	the
family	NN	family
of	IN	of
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
soldier	NN	soldier
that	WDT	that
was	VBD	be
held	VVN	hold
captive	NN	captive
by	IN	by
Hamas	NP	Hamas
and	CC	and
a	DT	a
video	NN	video
was	VBD	be
released	VVN	release
of	IN	of
her	PP$	her
last	JJ	last
night	NN	night
Hamas	NN	Hamas
says	VVZ	say
that	IN/that	that
she	PP	she
was	VBD	be
killed	VVN	kill
but	CC	but
no	DT	no
comment	NN	comment
on	IN	on
that	DT	that
part	NN	part
of	IN	of
the	DT	the
video	JJ	video
uh	UH	uh
from	IN	from
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
families	NNS	family
those	DT	those
of	IN	of
that	WDT	that
are	VBP	be
being	VBG	be
held	VVN	hold
captive	NN	captive
or	CC	or
those	DT	those
are	VBP	be
being	VBG	be
held	VVN	hold
missing	VVG	miss
they	PP	they
are	VBP	be
very	RB	very
concerned	VVN	concern
they	PP	they
said	VVD	say
that	DT	that
they've	NN	they've
been	VBN	be
calling	VVG	call
on	IN	on
the	DT	the
government	NN	government
for	IN	for
many	JJ	many
days	NNS	day
to	TO	to
stop	VV	stop
uh	UH	uh
the	DT	the
uh	UH	uh
air	NN	air
strikes	NNS	strike
worried	VVD	worry
that	IN/that	that
their	PP$	their
family	NN	family
members	NNS	member
would	MD	would
be	VB	be
killed	VVN	kill
um	NN	um
and	CC	and
a	DT	a
news	NN	news
like	IN	like
that	WDT	that
will	MD	will
be	VB	be
incredibly	RB	incredibly
concerning	VVG	concern
for	IN	for
the	DT	the
relatives	NNS	relative
of	IN	of
those	DT	those
being	JJ	being
held	JJ	held
captive	NN	captive
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
would	MD	would
uh	UH	uh
really	RB	really
try	VVP	try
to	TO	to
get	VV	get
the	DT	the
government	NN	government
to	TO	to
push	VV	push
for	IN	for
a	DT	a
possible	JJ	possible
ceasefire	NN	ceasefire
in	IN	in
whatever	WDT	whatever
capacity	NN	capacity
that	WDT	that
means	VVZ	mean
as	RB	as
long	RB	long
as	IN	as
it	PP	it
ensures	VVZ	ensure
bringing	VVG	bring
those	DT	those
that	WDT	that
are	VBP	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
back	JJ	back
home	NN	home
there's	NNS	there's
worry	VVP	worry
there's	RB	there's
concern	NN	concern
and	CC	and
still	RB	still
nothing	NN	nothing
from	IN	from
the	DT	the
government	NN	government
just	RB	just
yet	RB	yet
on	IN	on
what	WP	what
the	DT	the
situation	NN	situation
is	VBZ	be
in	IN	in
terms	NNS	term
of	IN	of
a	DT	a
possible	JJ	possible
ceasefire	NN	ceasefire
a	DT	a
5-day	JJ	5-day
uh	UH	uh
truth	NN	truth
which	WDT	which
was	VBD	be
what	WP	what
Hamas	NP	Hamas
is	VBZ	be
asking	VVG	ask
for	IN	for
in	RB	in
return	VV	return
uh	UH	uh
of	IN	of
those	DT	those
uh	UH	uh
that	WDT	that
are	VBP	be
being	VBG	be
uh	UH	uh
held	VVN	hold
captive	NN	captive
and	CC	and
that's	NNS	that's
the	DT	the
latest	JJS	late
on	IN	on
that	WDT	that
we	PP	we
are	VBP	be
yet	RB	yet
to	TO	to
hear	VV	hear
more	JJR	more
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
Al	NP	Al
jazer	NP	jazer
occupi	NP	occupi
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
