<video_id>E7rudiMUu44</video_id>	JJ	<video_id>E7rudiMUu44</video_id>
<video_title>Biden	NN	<video_title>Biden
arrives	VVZ	arrive
in	IN	in
Israel,	NP	Israel,
meets	VVZ	meet
with	IN	with
Netanyahu	NP	Netanyahu
amid	IN	amid
Gaza	NP	Gaza
hospital	NN	hospital
blast	NN	blast
outrage</video_title>	NN	outrage</video_title>
<thumbnail_path>data/en_AJ\Biden	NN	<thumbnail_path>data/en_AJ\Biden
arrives	VVZ	arrive
in	IN	in
Israel,	NP	Israel,
meets	VVZ	meet
with	IN	with
Netanyahu	NP	Netanyahu
amid	IN	amid
Gaza	NP	Gaza
hospital	NN	hospital
blast	NN	blast
outrage.jpg</thumbnail_path>	NN	outrage.jpg</thumbnail_path>
<publish_date>20231018</publish_date>	NN	<publish_date>20231018</publish_date>
<doc>	NN	<doc>
it	PP	it
is	VBZ	be
20	CD	@card@
minutes	NNS	minute
to	TO	to
midday	NN	midday
in	IN	in
Israel	NP	Israel
and	CC	and
we're	NP	we're
cutting	VVG	cut
to	TO	to
the	DT	the
live	JJ	live
pictures	NNS	picture
of	IN	of
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
who	WP	who
is	VBZ	be
hosting	VVG	host
the	DT	the
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
let's	NNS	let's
listen	VVP	listen
the	DT	the
world	NN	world
sees	VVZ	see
that	IN/that	that
support	NN	support
and	CC	and
the	DT	the
moral	JJ	moral
Clarity	NP	Clarity
that	IN/that	that
you	PP	you
have	VHP	have
demonstrated	VVN	demonstrate
from	IN	from
the	DT	the
moment	NN	moment
Israel	NP	Israel
was	VBD	be
attacked	VVN	attack
you've	NN	you've
rightly	RB	rightly
drawn	VVN	draw
a	DT	a
clear	JJ	clear
line	NN	line
between	IN	between
the	DT	the
forces	NNS	force
of	IN	of
civilization	NN	civilization
and	CC	and
the	DT	the
forces	NNS	force
of	IN	of
barbarism	NN	barbarism
you	PP	you
described	VVD	describe
what	WP	what
Hamas	NP	Hamas
did	VVD	do
as	IN	as
sheer	JJ	sheer
evil	NN	evil
it	PP	it
is	VBZ	be
exactly	RB	exactly
that	DT	that
Hamas	JJ	Hamas
murdered	VVN	murder
children	NNS	child
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
parents	NNS	parent
and	CC	and
parents	NNS	parent
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
children	NNS	child
they	PP	they
burnt	VVD	burn
people	NNS	people
alive	RB	alive
they	PP	they
raped	VVD	rape
and	CC	and
murdered	VVN	murder
women	NNS	woman
they	PP	they
beheaded	VVD	behead
soldiers	VVZ	soldier
they	PP	they
they	PP	they
search	VVP	search
for	IN	for
the	DT	the
secret	JJ	secret
hiding	NN	hiding
places	NNS	place
where	WRB	where
parents	NNS	parent
hid	VVD	hide
their	PP$	their
children	NNS	child
and	CC	and
just	RB	just
imagine	VV	imagine
Mr	NP	Mr
President	NP	President
the	DT	the
the	DT	the
fear	NN	fear
and	CC	and
the	DT	the
Panic	NN	panic
of	IN	of
those	DT	those
little	JJ	little
children	NNS	child
in	IN	in
their	PP$	their
last	JJ	last
moments	NNS	moment
as	IN	as
the	DT	the
monsters	NNS	monster
discovered	VVN	discover
found	VVD	find
out	RP	out
their	PP$	their
hiding	NN	hiding
places	VVZ	place
Kamas	NP	Kamas
kidnapped	VVN	kidnap
women	NNS	woman
children	NNS	child
elderly	JJ	elderly
Holocaust	NN	holocaust
survivals	NNS	survival
I	PP	I
know	VVP	know
you	PP	you
share	VV	share
our	PP$	our
outrage	NN	outrage
on	IN	on
this	DT	this
and	CC	and
I	PP	I
know	VVP	know
you	PP	you
share	VV	share
our	PP$	our
determination	NN	determination
to	TO	to
bring	VV	bring
these	DT	these
people	NNS	people
back	RB	back
on	IN	on
October	NP	October
7th	JJ	7th
Hamas	NN	Hamas
murdered	VVN	murder
1,400	CD	@card@
Israelis	NNS	Israeli
maybe	RB	maybe
more	JJR	more
this	DT	this
is	VBZ	be
in	IN	in
a	DT	a
country	NN	country
of	IN	of
fewer	JJR	few
than	IN	than
10	CD	@card@
million	CD	million
people	NNS	people
this	DT	this
would	MD	would
be	VB	be
equivalent	JJ	equivalent
to	TO	to
over	RB	over
50,000	CD	@card@
Americans	NPS	Americans
murdered	VVN	murder
in	IN	in
a	DT	a
single	JJ	single
day	NN	day
that's	NN	that's
2911	CD	@card@
that	WDT	that
is	VBZ	be
why	WRB	why
October	NP	October
7th	JJ	7th
is	VBZ	be
another	DT	another
day	NN	day
that	WDT	that
will	MD	will
live	VV	live
in	IN	in
infamy	NN	infamy
Mr	NP	Mr
President	NP	President
you	PP	you
rightly	RB	rightly
said	VVD	say
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
worse	JJR	bad
than	IN	than
Isis	NP	Isis
the	DT	the
German	JJ	German
chancellor	NN	chancellor
who	WP	who
visited	VVD	visit
here	RB	here
yesterday	NN	yesterday
said	VVD	say
that	IN/that	that
Hamas	NP	Hamas
were	VBD	be
the	DT	the
new	JJ	new
Nazis	NNS	Nazi
you're	NN	you're
both	CC	both
right	NN	right
and	CC	and
just	RB	just
as	IN	as
a	DT	a
civilized	JJ	civilized
World	NP	World
United	NP	United
to	TO	to
defeat	VV	defeat
the	DT	the
Nazis	NPS	Nazis
and	CC	and
United	NP	United
to	TO	to
defeat	VV	defeat
Isis	NP	Isis
the	DT	the
Civilized	JJ	civilized
world	NN	world
must	MD	must
unite	VV	unite
to	TO	to
defeat	VV	defeat
Hamas	NNS	Hamas
I	PP	I
can	MD	can
assure	VV	assure
you	PP	you
Mr	NP	Mr
President	NP	President
Israel	NP	Israel
is	VBZ	be
United	VVN	unite
to	TO	to
