alham	NN	alham
salh	NN	salh
is	VBZ	be
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	RB	so
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
what	WP	what
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
saying	VVG	say
about	IN	about
their	PP$	their
operation	NN	operation
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
ham	VVP	ham
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
been	VBN	be
more	JJR	more
than	IN	than
two	CD	two
days	NNS	day
that	IN/that	that
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
there	RB	there
now	RB	now
right	JJ	right
Elizabeth	NP	Elizabeth
so	RB	so
more	JJR	more
than	IN	than
48	CD	@card@
hours	NNS	hour
after	IN	after
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
raided	VVD	raid
Al	NP	Al
shifa	NP	Shifa
Hospital	NP	Hospital
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
spokesperson	NN	spokesperson
Daniel	NP	Daniel
haadi	NP	haadi
is	VBZ	be
saying	VVG	say
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
continue	VV	continue
their	PP$	their
military	JJ	military
presence	NN	presence
there	EX	there
I	PP	I
want	VVP	want
to	TO	to
also	RB	also
point	VV	point
to	TO	to
what	WP	what
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
said	VVD	say
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
CBS	NP	CBS
news	NN	news
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
had	VHD	have
an	DT	an
indication	NN	indication
a	DT	a
strong	JJ	strong
indication	NN	indication
actually	RB	actually
that	IN/that	that
there	EX	there
were	VBD	be
captives	NNS	captive
being	VBG	be
held	VVN	hold
at	IN	at
Al	NP	Al
shifa	NP	Shifa
hospital	NN	hospital
but	CC	but
just	RB	just
less	JJR	less
than	IN	than
24	CD	@card@
hours	NNS	hour
after	IN	after
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
raided	VVD	raid
the	DT	the
hospital	NN	hospital
on	IN	on
November	NP	November
15th	JJ	15th
they	PP	they
released	VVD	release
a	DT	a
statement	NN	statement
saying	VVG	say
that	IN/that	that
they	PP	they
didn	NNS	didn
'	''	'
t	NN	t
have	VHP	have
an	DT	an
indication	NN	indication
there	EX	there
were	VBD	be
captives	NNS	captive
being	VBG	be
held	VVN	hold
there	RB	there
but	CC	but
rather	RB	rather
thought	VVD	think
that	IN/that	that
this	DT	this
Mission	NP	Mission
could	MD	could
assist	VV	assist
them	PP	them
in	IN	in
finding	VVG	find
information	NN	information
on	IN	on
their	PP$	their
whereabouts	NN	whereabouts
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
been	VBN	be
saying	VVG	say
for	IN	for
some	DT	some
time	NN	time
that	IN/that	that
Hamas	NP	Hamas
uses	VVZ	use
a	DT	a
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
other	JJ	other
medical	JJ	medical
facilities	NNS	facility
as	IN	as
bases	NNS	base
and	CC	and
Military	JJ	military
headquarters	NN	headquarters
but	CC	but
they	PP	they
have	VHP	have
not	RB	not
provided	VVN	provide
any	DT	any
concrete	JJ	concrete
proof	NN	proof
or	CC	or
evidence	NN	evidence
even	RB	even
two	CD	two
days	NNS	day
after	IN	after
they	PP	they
entered	VVD	enter
the	DT	the
largest	JJS	large
medical	JJ	medical
complex	NN	complex
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
have	VHP	have
not	RB	not
provided	VVN	provide
this	DT	this
large	JJ	large
proof	NN	proof
to	TO	to
back	VV	back
up	RP	up
the	DT	the
claims	NNS	claim
they	PP	they
have	VHP	have
been	VBN	be
making	VVG	make
for	IN	for
quite	PDT	quite
some	DT	some
time	NN	time
remember	VV	remember
in	IN	in
the	DT	the
beginning	VVG	begin
days	NNS	day
of	IN	of
the	DT	the
war	NN	war
the	DT	the
Israeli	JJ	Israeli
military	NN	military
showed	VVD	show
an	DT	an
animated	JJ	animated
video	NN	video
that	IN/that	that
that	WDT	that
showcased	VVD	showcase
a	DT	a
complex	JJ	complex
network	NN	network
of	IN	of
tunnels	NNS	tunnel
that	WDT	that
were	VBD	be
multi	NN	multi
-	NN	-
leveled	VVD	level
and	CC	and
a	DT	a
large	JJ	large
military	JJ	military
headquarters	NN	headquarters
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
it	PP	it
but	CC	but
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
did	VVD	do
show	NN	show
in	IN	in
their	PP$	their
findings	NNS	finding
was	VBD	be
a	DT	a
an	DT	an
opening	NN	opening
in	IN	in
the	DT	the
ground	NN	ground
that	WDT	that
looks	VVZ	look
to	TO	to
have	VH	have
been	VBN	be
dug	VVN	dug
up	RP	up
somewhere	RB	somewhere
around	IN	around
the	DT	the
shiffa	NN	shiffa
complex	NN	complex
so	RB	so
while	IN	while
the	DT	the
Israeli	JJ	Israeli
military	NN	military
and	CC	and
politicians	NNS	politician
alike	RB	alike
have	VHP	have
been	VBN	be
making	VVG	make
these	DT	these
claims	NNS	claim
for	IN	for
some	DT	some
time	NN	time
they	PP	they
have	VHP	have
not	RB	not
been	VBN	be
providing	VVG	provide
the	DT	the
evidence	NN	evidence
needed	VVD	need
to	TO	to
support	VV	support
them	PP	them
the	DT	the
images	NNS	image
they	PP	they
published	VVD	publish
on	IN	on
Wednesday	NP	Wednesday
of	IN	of
the	DT	the
weapons	NNS	weapon
cash	NN	cash
in	IN	in
the	DT	the
hospital	NN	hospital
couldn	NN	couldn
'	''	'
t	NN	t
be	VB	be
independently	RB	independently
verified	VVN	verify
or	CC	or
fact	NN	fact
checked	VVD	check
but	CC	but
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
is	VBZ	be
sticking	VVG	stick
with	IN	with
these	DT	these
claims	NNS	claim
they	PP	they
say	VVP	say
that	IN/that	that
the	DT	the
operation	NN	operation
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
will	MD	will
continue	VV	continue
and	CC	and
hagat	NN	hagat
says	VVZ	say
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
quote	NN	quote
looking	VVG	look
to	TO	to
achieve	VV	achieve
more	JJR	more
goals	NNS	goal
Elizabeth	NP	Elizabeth
ham	NN	ham
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
ham	NN	ham
Salud	NP	Salud
live	JJ	live
and	CC	and
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
