what	WP	what
do	VVP	do
you	PP	you
say	VVP	say
the	DT	the
standoff	NN	standoff
at	IN	at
universities	NNS	university
across	IN	across
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
forced	VVN	force
a	DT	a
national	JJ	national
confrontation	NN	confrontation
over	IN	over
US	NP	US
policy	NN	policy
on	IN	on
Israel	NP	Israel
and	CC	and
its	PP$	its
war	NN	war
on	IN	on
Gaza	NP	Gaza
the	DT	the
national	JJ	national
divide	NN	divide
is	VBZ	be
reflected	VVN	reflect
at	IN	at
the	DT	the
epicenter	NN	epicenter
of	IN	of
the	DT	the
protest	NN	protest
movement	NN	movement
on	IN	on
New	NP	New
York	NP	York
'	POS	'
s	NN	S
Columbia	NP	Columbia
University	NP	University
campus	NN	campus
Israeli	JJ	Israeli
flags	NNS	flag
and	CC	and
Palestinian	JJ	Palestinian
Flags	NNS	flag
marking	VVG	mark
the	DT	the
conflict	NN	conflict
half	NN	half
a	DT	a
world	NN	world
away	IN	away
demonstrators	NNS	demonstrator
say	VVP	say
despite	IN	despite
hundreds	NNS	hundred
of	IN	of
arrests	NNS	arrest
here	RB	here
and	CC	and
across	IN	across
the	DT	the
country	NN	country
and	CC	and
the	DT	the
University	NP	University
'	POS	'
s	NN	S
calls	VVZ	call
for	IN	for
them	PP	them
to	TO	to
leave	VV	leave
they	PP	they
will	MD	will
remain	VV	remain
in	IN	in
their	PP$	their
encampment	NN	encampment
they	PP	they
'	''	'
re	IN	re
demanding	VVG	demand
the	DT	the
University	NP	University
devest	VV	devest
from	IN	from
Investments	NP	Investments
with	IN	with
ties	NNS	tie
to	TO	to
Israel	NP	Israel
and	CC	and
its	PP$	its
war	NN	war
on	IN	on
Gaza	NP	Gaza
we	PP	we
are	VBP	be
calling	VVG	call
upon	IN	upon
Columbia	NP	Columbia
University	NP	University
to	TO	to
divest	VV	divest
disclose	VV	disclose
it	PP	it
provide	VV	provide
amnesty	NN	amnesty
for	IN	for
all	DT	all
students	NNS	student
and	CC	and
faculty	NN	faculty
disciplined	VVN	discipline
in	IN	in
the	DT	the
movement	NN	movement
for	IN	for
Palestinian	NP	Palestinian
Liberation	NP	Liberation
those	DT	those
are	VBP	be
our	PP$	our
Central	JJ	central
demands	NNS	demand
and	CC	and
until	IN	until
those	DT	those
are	VBP	be
met	VVN	meet
we	PP	we
will	MD	will
not	RB	not
be	VB	be
going	VVG	go
anyway	RB	anyway
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
protest	VV	protest
Muslim	JJ	Muslim
American	JJ	American
congresswoman	NN	congresswoman
ilhan	NP	ilhan
Omar	NP	Omar
voiced	VVD	voice
her	PP$	her
support	NN	support
for	IN	for
the	DT	the
demonstrators	NNS	demonstrator
inside	IN	inside
their	PP$	their
encampment	NN	encampment
on	IN	on
Thursday	NP	Thursday
I	PP	I
mean	VVP	mean
young	JJ	young
people	NNS	people
have	VHP	have
always	RB	always
pushed	VVN	push
our	PP$	our
government	NN	government
to	TO	to
do	VV	do
better	JJR	good
whether	IN	whether
it	PP	it
was	VBD	be
through	IN	through
the	DT	the
Civil	NP	Civil
Rights	NPS	Rights
Movement	NP	Movement
um	NN	um
whether	IN	whether
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
to	TO	to
end	VV	end
the	DT	the
the	DT	the
Vietnam	NP	Vietnam
War	NP	War
uh	UH	uh
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
they	PP	they
are	VBP	be
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
of	IN	of
history	NN	history
in	IN	in
pushing	VVG	push
our	PP$	our
country	NN	country
to	TO	to
not	RB	not
stay	VV	stay
complacent	JJ	complacent
in	IN	in
the	DT	the
genocide	NN	genocide
that	IN/that	that
that	DT	that
'	''	'
s	NN	S
taking	VVG	take
place	NN	place
in	IN	in
odza	NN	odza
a	DT	a
sea	NN	sea
of	IN	of
new	JJ	new
Israeli	JJ	Israeli
Flags	NNS	flag
silently	RB	silently
appeared	VVD	appear
this	DT	this
week	NN	week
meters	NNS	meter
from	IN	from
the	DT	the
Student	NP	Student
Zone	NP	Zone
of	IN	of
occupation	NN	occupation
that	WDT	that
has	VHZ	have
drawn	VVN	draw
the	DT	the
eyes	NNS	eye
of	IN	of
the	DT	the
world	NN	world
where	WRB	where
a	DT	a
lone	JJ	lone
counter	NN	counter
protester	NN	protester
condemned	VVD	condemn
the	DT	the
demonstration	NN	demonstration
this	DT	this
a	DT	a
has	VHZ	have
to	TO	to
stop	VV	stop
Jewish	JJ	Jewish
and	CC	and
Israeli	JJ	Israeli
students	NNS	student
are	VBP	be
not	RB	not
here	RB	here
to	TO	to
ask	VV	ask
for	IN	for
your	PP$	your
pity	NN	pity
but	CC	but
as	IN	as
Leaders	NNS	leader
to	TO	to
stand	VV	stand
