<video_id>Gmn88LH0wKg</video_id>	JJ	<video_id>Gmn88LH0wKg</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
raids	NNS	raid
on	IN	on
the	DT	the
Jalazone	NP	Jalazone
Camp	NP	Camp
in	IN	in
the	DT	the
Occupied	JJ	occupied
West	NP	West
Bank</video_title>	NP	Bank</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
raids	NNS	raid
on	IN	on
the	DT	the
Jalazone	NP	Jalazone
Camp	NP	Camp
in	IN	in
the	DT	the
Occupied	JJ	occupied
West	NP	West
Bank.jpg</thumbnail_path>	NP	Bank.jpg</thumbnail_path>
<publish_date>20231023</publish_date>	NN	<publish_date>20231023</publish_date>
<doc>	NN	<doc>
more	RBR	more
now	RB	now
on	IN	on
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
a	DT	a
funeral	NN	funeral
has	VHZ	have
been	VBN	be
held	VVN	hold
for	IN	for
two	CD	two
people	NNS	people
killed	VVN	kill
during	IN	during
a	DT	a
raid	NN	raid
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Let's	NP	Let's
cross	VVP	cross
now	RB	now
toita	NP	toita
Ibraham	NP	Ibraham
who's	NNS	who's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
the	DT	the
jalone	JJ	jalone
refugee	NN	refugee
camp	NN	camp
north	RB	north
of	IN	of
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
can	MD	can
you	PP	you
just	RB	just
give	VVP	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
how	WRB	how
people	NNS	people
are	VBP	be
feeling	VVG	feel
there	RB	there
as	IN	as
they're	NN	they're
having	VHG	have
to	TO	to
lay	VV	lay
to	TO	to
rest	VV	rest
even	RB	even
more	JJR	more
of	IN	of
their	PP$	their
own	JJ	own
yes	NN	yes
we've	NN	we've
been	VBN	be
seeing	VVG	see
people	NNS	people
here	RB	here
coming	VVG	come
to	TO	to
the	DT	the
camp	NN	camp
where	WRB	where
prayers	NNS	prayer
are	VBP	be
being	VBG	be
held	VVN	hold
now	RB	now
before	IN	before
taking	VVG	take
the	DT	the
two	CD	two
bodies	NNS	body
to	TO	to
the	DT	the
cemetery	NN	cemetery
here	RB	here
at	IN	at
Al	NP	Al
jalone	NN	jalone
there	RB	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
fear	NN	fear
amongst	IN	amongst
some	DT	some
of	IN	of
the	DT	the
residents	NNS	resident
we've	NN	we've
been	VBN	be
speaking	VVG	speak
to	TO	to
they	PP	they
say	VVP	say
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
entered	VVD	enter
their	PP$	their
homes	NNS	home
ruined	VVD	ruin
their	PP$	their
stuff	NN	stuff
the	DT	the
kids	NNS	kid
were	VBD	be
telling	VVG	tell
us	PP	us
specifically	RB	specifically
that	IN/that	that
they	PP	they
were	VBD	be
uh	UH	uh
scared	JJ	scared
it's	NNS	it's
not	RB	not
easy	JJ	easy
for	IN	for
children	NNS	child
here	RB	here
to	TO	to
admit	VV	admit
that	DT	that
they're	NN	they're
scared	VVN	scare
of	IN	of
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
there's	RB	there's
a	DT	a
sense	NN	sense
of	IN	of
defiance	NN	defiance
here	RB	here
amongst	IN	amongst
the	DT	the
community	NN	community
but	CC	but
nevertheless	RB	nevertheless
when	WRB	when
you	PP	you
see	VVP	see
large	JJ	large
troops	NNS	troop
entering	VVG	enter
the	DT	the
refugee	NN	refugee
camp	NN	camp
throwing	VVG	throw
tear	NN	tear
gas	NN	gas
bombs	NNS	bomb
entering	VVG	enter
homes	NNS	home
uh	UH	uh
ruining	VVG	ruin
the	DT	the
contents	VVZ	content
uh	UH	uh
of	IN	of
these	DT	these
people's	NNS	people's
house	VVP	house
you	PP	you
can	MD	can
imagine	VV	imagine
how	WRB	how
that	DT	that
basically	RB	basically
kills	VVZ	kill
their	PP$	their
sense	NN	sense
of	IN	of
safety	NN	safety
let's	NNS	let's
not	RB	not
forget	VVP	forget
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
something	NN	something
new	JJ	new
for	IN	for
Palestinians	NPS	Palestinians
living	VVG	live
here	RB	here
at	IN	at
Al	NP	Al
jalone	NN	jalone
refugee	NN	refugee
camp	NN	camp
Israeli	JJ	Israeli
raids	NNS	raid
are	VBP	be
very	RB	very
often	RB	often
and	CC	and
so	RB	so
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
frustration	NN	frustration
they	PP	they
believe	VVP	believe
that	IN/that	that
the	DT	the
world	NN	world
is	VBZ	be
leaving	VVG	leave
Israel	NP	Israel
with	IN	with
open	JJ	open
hands	NNS	hand
to	TO	to
do	VV	do
whatever	WDT	whatever
it	PP	it
wants	VVZ	want
and	CC	and
we've	NN	we've
been	VBN	be
seeing	VVG	see
those	DT	those
Israeli	JJ	Israeli
rates	NNS	rate
increase	NN	increase
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
part	NN	part
of	IN	of
the	DT	the
confrontations	NNS	confrontation
that	WDT	that
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
here	RB	here
in	IN	in
the	DT	the
refugee	NN	refugee
camp	NN	camp
where	WRB	where
in	IN	in
this	DT	this
area	NN	area
over	IN	over
here	RB	here
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
try	VV	try
and	CC	and
show	VV	show
you	PP	you
some	DT	some
of	IN	of
them	PP	them
but	CC	but
basically	RB	basically
U	NP	U
Israeli	NP	Israeli
forces	NNS	force
are	VBP	be
armed	JJ	armed
they	PP	they
have	VHP	have
tear	VV	tear
gas	NN	gas
they	PP	they
have	VHP	have
live	JJ	live
ammunition	NN	ammunition
uh	UH	uh
rubber	NN	rubber
coated	JJ	coated
steel	NN	steel
bullets	NNS	bullet
but	CC	but
when	WRB	when
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
Palestinians	NPS	Palestinians
you're	VVP	you're
talking	VVG	talk
about	IN	about
people	NNS	people
who	WP	who
are	VBP	be
not	RB	not
armed	VVN	arm
and	CC	and
and	CC	and
are	VBP	be
often	RB	often
just	RB	just
basically	RB	basically
fighting	VVG	fight
back	RB	back
with	IN	with
rocks	NNS	rock
towards	IN	towards
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
to	TO	to
kind	NN	kind
of	IN	of
prevent	VV	prevent
them	PP	them
from	IN	from
uh	UH	uh
uh	UH	uh
invading	VVG	invade
the	DT	the
camp	NN	camp
it's	NNS	it's
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
narrow	JJ	narrow
alleys	NNS	alley
and	CC	and
women	NNS	woman
were	VBD	be
telling	VVG	tell
us	PP	us
that	IN/that	that
they	PP	they
were	VBD	be
scared	VVN	scare
that	IN/that	that
uh	UH	uh
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
entered	VVN	enter
during	IN	during
those	DT	those
alleys	NNS	alley
and	CC	and
as	RB	as
well	RB	well
as	IN	as
that	DT	that
we've	NN	we've
been	VBN	be
seeing	VVG	see
many	JJ	many
Palestinians	NPS	Palestinians
go	VVP	go
to	TO	to
the	DT	the
hospital	NN	hospital
to	TO	to
check	VV	check
on	IN	on
those	DT	those
who	WP	who
were	VBD	be
wounded	VVN	wound
as	IN	as
a	DT	a
result	NN	result
of	IN	of
those	DT	those
confrontations	NNS	confrontation
and	CC	and
n	NN	n
given	VVN	give
all	RB	all
of	IN	of
this	DT	this
tension	NN	tension
given	VVN	give
the	DT	the
uh	UH	uh
Israeli	JJ	Israeli
military	JJ	military
escalating	VVG	escalate
operations	NNS	operation
and	CC	and
intensifying	VVG	intensify
the	DT	the
Crackdown	NN	crackdown
is	VBZ	be
this	DT	this
threatening	VVG	threaten
to	TO	to
spill	VV	spill
over	RP	over
into	IN	into
I	PP	I
guess	VVP	guess
even	RB	even
more	RBR	more
widespread	JJ	widespread
violence	NN	violence
indeed	RB	indeed
the	DT	the
West	NP	West
Bank	NP	Bank
has	VHZ	have
already	RB	already
been	VBN	be
inflamed	VVN	inflame
let's	NNS	let's
call	VVP	call
it	PP	it
we've	NNS	we've
been	VBN	be
seeing	VVG	see
Israeli	JJ	Israeli
forces	NNS	force
raid	VVP	raid
towns	NNS	town
and	CC	and
cities	NNS	city
for	IN	for
two	CD	two
years	NNS	year
now	RB	now
killing	VVG	kill
Palestinians	NPS	Palestinians
we've	NN	we've
seen	VVN	see
some	DT	some
armed	JJ	armed
groups	VVZ	group
uh	UH	uh
operating	VVG	operate
uh	UH	uh
committing	VVG	commit
attacks	NNS	attack
against	IN	against
is	VBZ	be
isi	NN	isi
soldiers	NNS	soldier
and	CC	and
Israeli	JJ	Israeli
settlers	NNS	settler
already	RB	already
but	CC	but
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
the	DT	the
tension	NN	tension
has	VHZ	have
been	VBN	be
much	RB	much
much	RB	much
higher	JJR	high
we're	NN	we're
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
1,000	CD	@card@
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
detained	VVN	detain
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
we're	NN	we're
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
a	DT	a
dozen	NN	dozen
on	IN	on
average	NN	average
of	IN	of
raids	NNS	raid
per	IN	per
day	NN	day
here	RB	here
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
we're	NN	we're
talking	VVG	talk
about	RB	about
also	RB	also
the	DT	the
number	NN	number
of	IN	of
those	DT	those
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
95	CD	@card@
Palestinians	NNS	Palestinian
just	RB	just
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
uh	UH	uh
how	WRB	how
people	NNS	people
are	VBP	be
feeling	VVG	feel
here	RB	here
and	CC	and
also	RB	also
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
Janine	NP	Janine
we've	NN	we've
seen	VVN	see
the	DT	the
use	NN	use
of	IN	of
aial	JJ	aial
strikes	NNS	strike
without	IN	without
any	DT	any
ground	NN	ground
troops	VVZ	troop
invading	VVG	invade
uh	UH	uh
Janine	NP	Janine
those	DT	those
uh	UH	uh
air	NN	air
Fighters	NNS	fighter
sorry	RB	sorry
those	DT	those
air	NN	air
Jets	NNS	jet
and	CC	and
then	RB	then
bombing	VVG	bomb
and	CC	and
strucking	VVG	strucking
a	DT	a
two	CD	two
Palestinians	NPS	Palestinians
inside	IN	inside
the	DT	the
mosque	NN	mosque
so	RB	so
when	WRB	when
we	PP	we
talk	VVP	talk
to	TO	to
Palestinians	NNS	Palestinian
here	RB	here
they	PP	they
say	VVP	say
this	DT	this
is	VBZ	be
a	DT	a
dangerous	JJ	dangerous
escalation	NN	escalation
they	PP	they
say	VVP	say
they're	JJ	they're
worried	JJ	worried
they're	NN	they're
scared	VVD	scare
that	IN/that	that
what's	NNS	what's
happening	VVG	happen
now	RB	now
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
making	VVG	make
its	PP$	its
way	NN	way
here	RB	here
