Mas	NP	Mas
is	VBZ	be
a	DT	a
lecturer	NN	lecturer
at	IN	at
Columbia	NP	Columbia
Law	NP	Law
School	NP	School
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
from	IN	from
New	NP	New
York	NP	York
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
what	WP	what
in	IN	in
your	PP$	your
interpretation	NN	interpretation
happened	VVD	happen
when	WRB	when
these	DT	these
arrests	NNS	arrest
took	VVD	take
place	NN	place
so	IN	so
I	PP	I
and	CC	and
other	JJ	other
faculty	NN	faculty
members	NNS	member
were	VBD	be
horrified	VVN	horrify
last	JJ	last
week	NN	week
as	IN	as
we	PP	we
watched	VVD	watch
uh	UH	uh
108	CD	@card@
students	NNS	student
get	VVP	get
arrested	VVN	arrest
on	IN	on
the	DT	the
south	JJ	south
lawn	NN	lawn
of	IN	of
columia	NN	columia
university	NN	university
for	IN	for
standing	VVG	stand
in	IN	in
solidarity	NN	solidarity
uh	UH	uh
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Raza	NP	Raza
and	CC	and
asking	VVG	ask
Columbia	NP	Columbia
to	TO	to
devest	VV	devest
from	IN	from
the	DT	the
Israeli	NP	Israeli
War	NP	War
there	RB	there
um	VVD	um
it	PP	it
was	VBD	be
appalling	JJ	appalling
to	TO	to
many	JJ	many
of	IN	of
us	PP	us
that	IN/that	that
the	DT	the
columb	NN	columb
president	NN	president
went	VVD	go
straight	RB	straight
to	TO	to
calling	VVG	call
NYPD	NP	NYPD
New	NP	New
York	NP	York
Police	NP	Police
Department	NP	Department
into	IN	into
campus	NN	campus
Without	IN	without
Really	RB	really
Trying	VVG	try
to	TO	to
do	VV	do
anything	NN	anything
to	TO	to
the	DT	the
escalate	VV	escalate
first	RB	first
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
outrageous	JJ	outrageous
step	NN	step
that	IN/that	that
the	DT	the
president	NN	president
went	VVD	go
to	TO	to
um	NN	um
these	DT	these
are	VBP	be
students	NNS	student
who	WP	who
pay	VVP	pay
tuition	NN	tuition
to	TO	to
be	VB	be
here	RB	here
they	PP	they
'	POS	'
re	NN	re
in	IN	in
our	PP$	our
care	NN	care
and	CC	and
we	PP	we
should	MD	should
uh	UH	uh
be	VB	be
protecting	VVG	protect
them	PP	them
and	CC	and
creating	VVG	create
a	DT	a
space	NN	space
for	IN	for
free	JJ	free
speech	NN	speech
and	CC	and
freedom	NN	freedom
of	IN	of
expression	NN	expression
not	RB	not
calling	VVG	call
police	NN	police
Riot	NN	riot
police	NNS	police
to	TO	to
remove	VV	remove
them	PP	them
from	IN	from
campus	NN	campus
I	NP	I
'	POS	'
m	NN	m
reading	VVG	read
here	RB	here
that	IN/that	that
the	DT	the
NYPD	JJ	NYPD
commissioner	NN	commissioner
Edward	NP	Edward
C	NP	C
said	VVD	say
that	IN/that	that
the	DT	the
students	NNS	student
quote	NN	quote
that	WDT	that
were	VBD	be
arrested	VVN	arrest
were	VBD	be
peaceful	JJ	peaceful
offered	VVD	offer
no	DT	no
resistance	NN	resistance
whatsoever	RB	whatsoever
and	CC	and
were	VBD	be
saying	VVG	say
what	WP	what
they	PP	they
wanted	VVD	want
to	TO	to
say	VV	say
what	WP	what
was	VBD	be
the	DT	the
reaction	NN	reaction
are	VBP	be
you	PP	you
aware	JJ	aware
of	IN	of
what	WP	what
they	PP	they
the	DT	the
reaction	NN	reaction
was	VBD	be
when	WRB	when
the	DT	the
police	NN	police
arrived	VVD	arrive
and	CC	and
what	WP	what
the	DT	the
interaction	NN	interaction
between	IN	between
the	DT	the
police	NN	police
and	CC	and
the	DT	the
students	NNS	student
was	VBD	be
yes	RB	yes
so	RB	so
I	PP	I
was	VBD	be
at	IN	at
the	DT	the
protest	NN	protest
about	IN	about
30	CD	@card@
minutes	NNS	minute
ago	RB	ago
uh	UH	uh
the	DT	the
camp	NN	camp
is	VBZ	be
back	RB	back
up	RB	up
um	JJ	um
it	PP	it
'	''	'
s	VVG	s
peaceful	JJ	peaceful
there	EX	there
'	''	'
s	NN	S
students	NNS	student
there	EX	there
uh	UH	uh
talking	VVG	talk
studying	VVG	study
it	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
as	IN	as
it	PP	it
was	VBD	be
last	JJ	last
week	NN	week
there	EX	there
was	VBD	be
really	RB	really
no	DT	no
justification	NN	justification
for	IN	for
calling	VVG	call
in	IN	in
Riot	NN	riot
police	NNS	police
to	TO	to
remove	VV	remove
protesters	NNS	protester
who	WP	who
are	VBP	be
sitting	VVG	sit
peacefully	RB	peacefully
on	IN	on
a	DT	a
lawn	NN	lawn
not	RB	not
holding	VVG	hold
buildings	NNS	building
not	RB	not
disrupting	VVG	disrupt
classes	NNS	class
not	RB	not
preventing	VVG	prevent
people	NNS	people
from	IN	from
going	VVG	go
to	TO	to
class	NN	class
um	NNS	um
really	RB	really
just	RB	just
holding	VVG	hold
space	NN	space
and	CC	and
calling	VVG	call
on	IN	on
the	DT	the
university	NN	university
to	TO	to
divest	VV	divest
um	NNS	um
so	IN	so
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
know	VVP	know
in	IN	in
response	NN	response
to	TO	to
that	WDT	that
the	DT	the
school	NN	school
went	VVD	go
straight	RB	straight
to	TO	to
calling	VVG	call
at	IN	at
the	DT	the
police	NN	police
is	VBZ	be
pretty	RB	pretty
outrageous	JJ	outrageous
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
why	WRB	why
more	JJR	more
than	IN	than
100	CD	@card@
faculty	NN	faculty
members	NNS	member
from	IN	from
Columbia	NP	Columbia
walked	VVD	walk
out	RP	out
of	IN	of
class	NN	class
yesterday	NN	yesterday
uh	UH	uh
to	TO	to
protest	VV	protest
this	DT	this
reaction	NN	reaction
it	PP	it
'	POS	'
s	NN	S
why	WRB	why
the	DT	the
president	NN	president
of	IN	of
the	DT	the
university	NN	university
is	VBZ	be
currently	RB	currently
facing	VVG	face
a	DT	a
censor	NN	censor
vote	NN	vote
um	NNS	um
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
also	RB	also
why	WRB	why
the	DT	the
New	NP	New
York	NP	York
civil	JJ	civil
liberties	NNS	liberty
Union	NP	Union
our	PP$	our
own	JJ	own
Human	NP	Human
Rights	NPS	Rights
Institute	NP	Institute
here	RB	here
at	IN	at
Columbia	NP	Columbia
have	VHP	have
all	RB	all
condemned	VVD	condemn
uh	UH	uh
the	DT	the
that	IN/that	that
the	DT	the
president	NN	president
went	VVD	go
straight	RB	straight
to	TO	to
the	DT	the
police	NN	police
here	RB	here
we	PP	we
should	MD	should
also	RB	also
note	VV	note
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
the	DT	the
police	NN	police
the	DT	the
University	NP	University
'	POS	'
s	NN	S
also	RB	also
suspended	VVD	suspend
these	DT	these
students	NNS	student
without	IN	without
any	DT	any
kind	NN	kind
of	IN	of
due	JJ	due
process	NN	process
um	NNS	um
many	JJ	many
of	IN	of
the	DT	the
students	NNS	student
have	VHP	have
been	VBN	be
evicted	VVN	evict
from	IN	from
their	PP$	their
dormitories	NNS	dormitory
dormitories	NNS	dormitory
that	WDT	that
they	PP	they
pay	VVP	pay
for	IN	for
uh	UH	uh
some	RB	some
given	VVN	give
just	RB	just
15	CD	@card@
minutes	NNS	minute
to	TO	to
gather	VV	gather
their	PP$	their
belongings	NNS	belonging
and	CC	and
so	RB	so
overall	JJ	overall
it	PP	it
'	''	'
s	RB	s
been	VBN	be
a	DT	a
Draconian	JJ	Draconian
punitive	JJ	punitive
response	NN	response
to	TO	to
these	DT	these
protests	NNS	protest
um	NN	um
in	IN	in
a	DT	a
situation	NN	situation
that	IN/that	that
really	RB	really
doesn	NP	doesn
'	POS	'
t	NN	t
Merit	NN	merit
it	PP	it
there	RB	there
'	''	'
s	VVG	s
no	DT	no
justification	NN	justification
for	IN	for
this	NN	this
when	WRB	when
students	NNS	student
are	VBP	be
really	RB	really
just	RB	just
sitting	VVG	sit
on	IN	on
a	DT	a
law	NN	law
doing	VVG	do
their	PP$	their
homework	NN	homework
correct	VV	correct
me	PP	me
if	IN	if
I	PP	I
'	POS	'
m	NN	m
wrong	JJ	wrong
but	CC	but
I	PP	I
I	PP	I
understand	VVP	understand
that	IN/that	that
the	DT	the
encampment	NN	encampment
had	VHD	have
been	VBN	be
timed	VVN	time
there	EX	there
was	VBD	be
a	DT	a
congressional	JJ	congressional
testimony	NN	testimony
that	WDT	that
was	VBD	be
being	VBG	be
given	VVN	give
by	IN	by
the	DT	the
Columbia	NP	Columbia
president	NN	president
Manu	NP	Manu
safik	NP	safik
that	WDT	that
was	VBD	be
taking	VVG	take
place	NN	place
the	DT	the
same	JJ	same
day	NN	day
the	DT	the
um	NN	um
