<video_id>IJ0tBbsCINE</video_id>	JJ	<video_id>IJ0tBbsCINE</video_id>
<video_title>Last	NN	<video_title>Last
day	NN	day
of	IN	of
Gaza	NP	Gaza
truce:	NN	truce:
Talks	NNS	talk
underway	JJ	underway
to	TO	to
extend	VV	extend
Israel-Hamas	JJ	Israel-Hamas
agreement</video_title>	JJ	agreement</video_title>
<thumbnail_path>data/en_AJ\Last	NN	<thumbnail_path>data/en_AJ\Last
day	NN	day
of	IN	of
Gaza	NP	Gaza
truce	NN	truce
Talks	NNS	talk
underway	JJ	underway
to	TO	to
extend	VV	extend
Israel-Hamas	JJ	Israel-Hamas
agreement.jpg</thumbnail_path>	JJ	agreement.jpg</thumbnail_path>
<publish_date>20231129</publish_date>	NN	<publish_date>20231129</publish_date>
<doc>	NN	<doc>
so	RB	so
then	RB	then
it	PP	it
is	VBZ	be
the	DT	the
Sixth	NP	Sixth
and	CC	and
final	JJ	final
day	NN	day
of	IN	of
the	DT	the
Gaza	NP	Gaza
ceasefire	NN	ceasefire
agreed	VVD	agree
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
after	IN	after
a	DT	a
two-day	JJ	two-day
extension	NN	extension
set	VVN	set
to	TO	to
expire	VV	expire
on	IN	on
Thursday	NP	Thursday
talks	NNS	talk
are	VBP	be
underway	JJ	underway
to	TO	to
extend	VV	extend
the	DT	the
pause	NN	pause
and	CC	and
hostilities	NNS	hostility
on	IN	on
Tuesday	NP	Tuesday
Israel	NP	Israel
released	VVD	release
another	DT	another
30	CD	@card@
Palestinians	NPS	Palestinians
in	IN	in
exchange	NN	exchange
for	IN	for
12	CD	@card@
captives	NNS	captive
that	DT	that
Hamas	NN	Hamas
has	VHZ	have
been	VBN	be
holding	VVG	hold
in	IN	in
Gaza	NP	Gaza
kter	NN	kter
has	VHZ	have
been	VBN	be
helping	VVG	help
to	TO	to
mediate	VV	mediate
the	DT	the
negotiations	NNS	negotiation
it's	NNS	it's
hoping	VVG	hope
for	IN	for
a	DT	a
more	RBR	more
durable	JJ	durable
agreement	NN	agreement
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
said	VVD	say
the	DT	the
main	JJ	main
focus	NN	focus
is	VBZ	be
to	TO	to
secure	VV	secure
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
intelligence	NN	intelligence
Chiefs	NP	Chiefs
from	IN	from
the	DT	the
US	NP	US
and	CC	and
from	IN	from
Israel	NP	Israel
are	VBP	be
also	RB	also
in	IN	in
Doha	NP	Doha
uh	UH	uh
they	PP	they
met	VVD	meet
K's	NP	K's
prime	JJ	prime
minister	NN	minister
on	IN	on
Tuesday	NP	Tuesday
to	TO	to
discuss	VV	discuss
extending	VVG	extend
the	DT	the
ceasefire	NN	ceasefire
and	CC	and
the	DT	the
release	NN	release
of	IN	of
more	JJR	more
hostages	NNS	hostage
so	RB	so
as	IN	as
we've	NNS	we've
been	VBN	be
saying	VVG	say
it's	NNS	it's
the	DT	the
last	JJ	last
scheduled	VVN	schedule
day	NN	day
uh	UH	uh
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
lots	NNS	lot
of	IN	of
negotiations	NNS	negotiation
are	VBP	be
underway	JJ	underway
uh	UH	uh
as	IN	as
to	TO	to
whether	IN	whether
or	CC	or
not	RB	not
that	WDT	that
will	MD	will
be	VB	be
extended	VVN	extend
we'll	NN	we'll
get	VV	get
more	JJR	more
on	IN	on
that	IN/that	that
now	RB	now
from	IN	from
uh	UH	uh
Imran	NP	Imran
Khan	NP	Khan
who's	NNS	who's
standing	VVG	stand
by	IN	by
for	IN	for
us	PP	us
uh	UH	uh
right	RB	right
now	RB	now
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	IN	so
Imran	NP	Imran
tell	VVP	tell
us	PP	us
more	JJR	more
about	IN	about
the	DT	the
situation	NN	situation
there	RB	there
in	IN	in
Israel	NP	Israel
we	PP	we
have	VHP	have
uh	UH	uh
this	DT	this
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
underway	JJ	underway
what's	NNS	what's
the	DT	the
mood	NN	mood
there	RB	there
about	IN	about
the	DT	the
the	DT	the
potential	NN	potential
for	IN	for
it	PP	it
being	VBG	be
extended	VVN	extend
well	RB	well
certainly	RB	certainly
all	DT	all
parties	NNS	party
are	VBP	be
talking	VVG	talk
quite	RB	quite
positively	RB	positively
about	IN	about
uh	UH	uh
the	DT	the
negotiations	NNS	negotiation
ongoing	JJ	ongoing
uh	UH	uh
the	DT	the
International	NP	International
Community	NP	Community
G	NP	G
who	WP	who
is	VBZ	be
kind	NN	kind
of	IN	of
leading	VVG	lead
uh	UH	uh
the	DT	the
negotiations	NNS	negotiation
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
the	DT	the
Americans	NPS	Americans
also	RB	also
very	RB	very
keen	JJ	keen
that	IN/that	that
the	DT	the
the	DT	the
ceasefire	NN	ceasefire
should	MD	should
uh	UH	uh
continue	VV	continue
but	CC	but
what	WP	what
are	VBP	be
the	DT	the
deta	NN	deta
s	NN	S
of	IN	of
what	WP	what
are	VBP	be
the	DT	the
negotiations	NNS	negotiation
going	VVG	go
on	IN	on
well	RB	well
that's	NNS	that's
obviously	RB	obviously
being	VBG	be
kept	VVN	keep
very	RB	very
very	JJ	very
uh	UH	uh
secret	NN	secret
but	CC	but
we	PP	we
do	VVP	do
know	VV	know
uh	UH	uh
from	IN	from
leaks	NNS	leak
coming	VVG	come
out	RP	out
uh	UH	uh
that	IN/that	that
there	EX	there
are	VBP	be
negotiations	NNS	negotiation
to	TO	to
release	VV	release
additional	JJ	additional
captives	NNS	captive
and	CC	and
extending	VVG	extend
the	DT	the
ceasefire	NN	ceasefire
by	IN	by
another	DT	another
5	CD	@card@
days	NNS	day
now	RB	now
they're	NN	they're
doing	VVG	do
this	DT	this
over	IN	over
five	CD	five
categories	NNS	category
the	DT	the
the	DT	the
five	CD	five
categories	NNS	category
they're	RB	they're
talking	VVG	talk
about	RB	about
are	VBP	be
releasing	VVG	release
uh	UH	uh
Israeli	JJ	Israeli
captives	NNS	captive
elderly	JJ	elderly
men	NNS	man
firstly	RB	firstly
who	WP	who
are	VBP	be
too	RB	too
old	JJ	old
to	TO	to
be	VB	be
reservists	NNS	reservist
now	RB	now
the	DT	the
reason	NN	reason
they	PP	they
they	PP	they
bring	VVP	bring
the	DT	the
word	NN	word
reservist	NN	reservist
up	RB	up
is	VBZ	be
because	IN	because
military	JJ	military
AED	JJ	AED
males	NNS	male
and	CC	and
females	NNS	female
here	RB	here
have	VH	have
to	TO	to
do	VV	do
national	JJ	national
service	NN	service
so	IN	so
the	DT	the
idea	NN	idea
that	WDT	that
once	RB	once
you're	VVP	you're
too	RB	too
old	JJ	old
to	TO	to
do	VV	do
that	IN/that	that
then	RB	then
perhaps	RB	perhaps
you	PP	you
can	MD	can
be	VB	be
released	VVN	release
a	DT	a
bit	NN	bit
more	RBR	more
then	RB	then
it's	JJ	it's
female	NN	female
soldiers	VVZ	soldier
uh	UH	uh
reservist	NN	reservist
soldiers	NNS	soldier
and	CC	and
then	RB	then
the	DT	the
bodies	NNS	body
actually	RB	actually
of	IN	of
Israelis	NPS	Israelis
who	WP	who
are	VBP	be
killed	VVN	kill
before	IN	before
or	CC	or
during	IN	during
a	DT	a
captivity	NN	captivity
so	IN	so
that	WDT	that
seems	VVZ	seem
to	TO	to
be	VB	be
what	WP	what
they're	NN	they're
negotiating	VVG	negotiate
on	IN	on
there	EX	there
seems	VVZ	seem
to	TO	to
be	VB	be
positive	JJ	positive
noises	NNS	noise
actually	RB	actually
coming	VVG	come
from	IN	from
Hamas	NNS	Hamas
about	IN	about
this	DT	this
as	RB	as
well	RB	well
Hamas	NP	Hamas
is	VBZ	be
according	VVG	accord
to	TO	to
the	DT	the
Cy	NP	Cy
according	VVG	accord
to	TO	to
leaks	NNS	leak
uh	UH	uh
towards	IN	towards
the	DT	the
Cates	NP	Cates
rather	RB	rather
has	VHZ	have
said	VVN	say
they	PP	they
are	VBP	be
very	RB	very
keen	JJ	keen
to	TO	to
respect	VV	respect
uh	UH	uh
what	WP	what
the	DT	the
Israelis	NPS	Israelis
want	VVP	want
in	IN	in
terms	NNS	term
of	IN	of
these	DT	these
five	CD	five
categories	NNS	category
but	CC	but
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
pressure	VV	pressure
uh	UH	uh
from	IN	from
the	DT	the
rightwing	JJ	rightwing
in	IN	in
Israel	NP	Israel
who	WP	who
actually	RB	actually
control	VV	control
uh	UH	uh
the	DT	the
government	NN	government
that	IN/that	that
this	DT	this
ceasefire	NN	ceasefire
should	MD	should
not	RB	not
go	VV	go
on	RP	on
indefinitely	RB	indefinitely
in	IN	in
fact	NN	fact
there	EX	there
is	VBZ	be
a	DT	a
deadline	NN	deadline
that	WDT	that
keeps	VVZ	keep
being	VBG	be
said	VVN	say
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
deadline	NN	deadline
of	IN	of
Sunday	NP	Sunday
10	CD	@card@
days	NNS	day
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
about	RB	about
all	PDT	all
the	DT	the
Israelis	NPS	Israelis
May	MD	may
well	RB	well
be	VB	be
able	JJ	able
to	TO	to
stomach	VV	stomach
if	IN	if
all	DT	all
of	IN	of
these	DT	these
leaks	NNS	leak
are	VBP	be
to	TO	to
believe	VV	believe
to	TO	to
be	VB	be
believed	VVN	believe
that	WDT	that
happens	VVZ	happen
on	IN	on
Sunday	NP	Sunday
after	IN	after
Sunday	NP	Sunday
if	IN	if
the	DT	the
ceasefire	NN	ceasefire
last	JJ	last
that	IN/that	that
long	RB	long
the	DT	the
Israelis	NPS	Israelis
will	MD	will
want	VV	want
to	TO	to
go	VV	go
back	RB	back
in	IN	in
and	CC	and
we	PP	we
keep	VVP	keep
hearing	VVG	hear
this	DT	this
not	RB	not
just	RB	just
from	IN	from
sources	NNS	source
but	CC	but
actually	RB	actually
publicly	RB	publicly
uh	UH	uh
from	IN	from
people	NNS	people
like	IN	like
the	DT	the
Daniel	NP	Daniel
hagari	NN	hagari
who's	NNS	who's
the	DT	the
Israeli	JJ	Israeli
armed	JJ	armed
spokesman	NN	spokesman
saying	VVG	say
that	IN/that	that
we	PP	we
will	MD	will
go	VV	go
back	RB	back
into	IN	into
Gaza	NP	Gaza
it's	NNS	it's
not	RB	not
a	DT	a
question	NN	question
of	IN	of
if	IN	if
it's	NNS	it's
a	DT	a
question	NN	question
of	IN	of
when	WRB	when
Iman	NP	Iman
thanks	NNS	thanks
for	IN	for
that	DT	that
Iman	NP	Iman
we'll	NN	we'll
leave	VVP	leave
it	PP	it
there	RB	there
for	IN	for
the	DT	the
moment	NN	moment
that's	NNS	that's
a	DT	a
scene	NN	scene
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
let's	NNS	let's
go	VVP	go
now	RB	now
to	TO	to
hind	JJ	hind
kadari	NN	kadari
who's	NNS	who's
in	IN	in
Kan	NP	Kan
Yunis	NP	Yunis
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
and	NP	and
hind	NNS	hind
tell	VVP	tell
us	PP	us
how	WRB	how
people	NNS	people
are	VBP	be
feeling	VVG	feel
there	RB	there
today	NN	today
as	IN	as
discussions	NNS	discussion
continue	VVP	continue
to	TO	to
try	VV	try
and	CC	and
expand	VV	expand
these	DT	these
these	DT	these
days	NNS	day
of	IN	of
quiet	JJ	quiet
well	NN	well
let's	NNS	let's
start	VVP	start
from	IN	from
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
we	PP	we
just	RB	just
learned	VVD	learn
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
uh	UH	uh
shooting	NN	shooting
from	IN	from
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
on	IN	on
two	CD	two
Palestinian	JJ	Palestinian
civilians	NNS	civilian
in	IN	in
the	DT	the
northern	JJ	northern
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
two	CD	two
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
injured	VVN	injure
and	CC	and
one	CD	one
of	IN	of
them	PP	them
H	NN	H
is	VBZ	be
in	IN	in
serious	JJ	serious
condition	VV	condition
uh	UH	uh
moving	VVG	move
back	RB	back
to	TO	to
the	DT	the
