<	SYM	<
doc	NN	doc
>	SYM	>
open	VV	open
the	DT	the
court	NN	court
meets	VVZ	meet
today	NN	today
to	TO	to
deliver	VV	deliver
its	PP$	its
open	JJ	open
court	NN	court
U	NN	U
its	PP$	its
decision	NN	decision
on	IN	on
the	DT	the
request	NN	request
for	IN	for
the	DT	the
modification	NN	modification
of	IN	of
the	DT	the
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
regarding	VVG	regard
provisional	JJ	provisional
measures	NNS	measure
submitted	VVN	submit
by	IN	by
South	NP	South
Africa	NP	Africa
on	IN	on
May	NP	May
10	CD	@card@
2024	CD	@card@
in	IN	in
the	DT	the
case	NN	case
concerning	VVG	concern
application	NN	application
of	IN	of
the	DT	the
convention	NN	convention
on	IN	on
the	DT	the
prevention	NN	prevention
and	CC	and
Punishment	NN	punishment
of	IN	of
the	DT	the
crime	NN	crime
of	IN	of
genocide	NN	genocide
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
South	NP	South
Africa	NP	Africa
versus	CC	versus
Israel	NP	Israel
for	IN	for
reasons	NNS	reason
made	VVD	make
known	VVN	know
to	TO	to
me	PP	me
judges	VVZ	judge
Abraham	NP	Abraham
Shue	NP	Shue
and	CC	and
iwasawa	NP	iwasawa
who	WP	who
duly	RB	duly
participated	VVD	participate
in	IN	in
the	DT	the
debation	NN	debation
and	CC	and
the	DT	the
final	JJ	final
vote	NN	vote
are	VBP	be
not	RB	not
in	IN	in
a	DT	a
position	NN	position
to	TO	to
take	VV	take
their	PP$	their
seat	NN	seat
on	IN	on
the	DT	the
bench	NN	bench
today	NN	today
judge	NN	judge
ad	NN	ad
hok	NP	hok
Barak	NP	Barak
who	WP	who
also	RB	also
duly	RB	duly
participated	VVN	participate
and	CC	and
the	DT	the
deliberations	NNS	deliberation
and	CC	and
the	DT	the
final	JJ	final
vote	NN	vote
is	VBZ	be
unable	JJ	unable
to	TO	to
join	VV	join
us	PP	us
today	NN	today
for	IN	for
family	NN	family
reasons	NNS	reason
I	PP	I
recall	VVP	recall
that	IN/that	that
on	IN	on
December	NP	December
29	CD	@card@
2023	CD	@card@
South	NP	South
Africa	NP	Africa
filed	VVD	file
in	IN	in
the	DT	the
registry	NN	registry
of	IN	of
the	DT	the
Court	NP	Court
an	DT	an
application	NN	application
instituting	VVG	institute
proceedings	NNS	proceeding
against	IN	against
Israel	NP	Israel
concerning	VVG	concern
alleged	JJ	alleged
violations	NNS	violation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
of	IN	of
obligations	NNS	obligation
under	IN	under
the	DT	the
convention	NN	convention
on	IN	on
the	DT	the
prevention	NN	prevention
and	CC	and
Punishment	NN	punishment
of	IN	of
the	DT	the
crime	NN	crime
of	IN	of
genocide	NN	genocide
to	TO	to
which	WDT	which
I	PP	I
shall	MD	shall
refer	VV	refer
as	IN	as
the	DT	the
genocide	NN	genocide
convention	NN	convention
the	DT	the
application	NN	application
of	IN	of
South	NP	South
Africa	NP	Africa
contained	VVD	contain
a	DT	a
request	NN	request
for	IN	for
the	DT	the
indication	NN	indication
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
after	IN	after
hearing	NN	hearing
thearters	NNS	thearters
the	DT	the
court	NN	court
indicated	VVD	indicate
certain	JJ	certain
provisional	JJ	provisional
measures	NNS	measure
by	IN	by
an	DT	an
order	NN	order
issued	VVN	issue
on	IN	on
January	NP	January
26	CD	@card@
2024	CD	@card@
by	IN	by
a	DT	a
letter	NN	letter
dated	VVN	date
February	NP	February
12th	JJ	12th
2024	CD	@card@
South	NP	South
Africa	NP	Africa
referring	VVG	refer
to	TO	to
I	PP	I
quote	VVP	quote
the	DT	the
developing	VVG	develop
circumstan	NN	circumstan
in	IN	in
Rafa	NP	Rafa
end	NN	end
of	IN	of
quote	NN	quote
called	VVN	call
upon	IN	upon
the	DT	the
court	NN	court
urgently	RB	urgently
to	TO	to
exercise	VV	exercise
its	PP$	its
power	NN	power
under	IN	under
article	NN	article
75	CD	@card@
paragraph	NN	paragraph
1	CD	@card@
of	IN	of
the	DT	the
rules	NNS	rule
of	IN	of
Court	NP	Court
the	DT	the
registar	NN	registar
informed	VVD	inform
the	DT	the
parties	NNS	party
of	IN	of
cour	NN	cour
decision	NN	decision
in	IN	in
respon	NN	respon
to	TO	to
that	DT	that
communication	NN	communication
by	IN	by
letter	NN	letter
on	IN	on
16	CD	@card@
February	NP	February
2024	CD	@card@
on	IN	on
March	NP	March
6th	JJ	6th
2024	CD	@card@
South	NP	South
Africa	NP	Africa
requested	VVD	request
the	DT	the
court	NN	court
I	PP	I
quote	VVP	quote
to	TO	to
indicate	VV	indicate
further	RBR	further
provisional	JJ	provisional
measures	NNS	measure
and	CC	and
or	JJ	or
to	TO	to
modify	VV	modify
its	PP$	its
provisional	JJ	provisional
measures	NNS	measure
indicated	VVN	indicate
on	IN	on
January	NP	January
26	CD	@card@
24	CD	@card@
by	IN	by
an	DT	an
order	NN	order
of	IN	of
March	NP	March
28th	JJ	28th
2024	CD	@card@
the	DT	the
court	NN	court
reaffirmed	VVD	reaffirm
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
indicated	VVN	indicate
in	IN	in
order	NN	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
indicated	VVD	indicate
certain	JJ	certain
additional	JJ	additional
Pro	NP	Pro
provisional	JJ	provisional
measures	NNS	measure
on	IN	on
May	NP	May
10	CD	@card@
2024	CD	@card@
South	NP	South
Africa	NP	Africa
submitted	VVD	submit
to	TO	to
the	DT	the
court	NN	court
what	WP	what
it	PP	it
described	VVD	describe
as	IN	as
an	DT	an
urgent	JJ	urgent
request	NN	request
for	IN	for
the	DT	the
modification	NN	modification
and	CC	and
indication	NN	indication
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
pursuant	JJ	pursuant
to	TO	to
article	NN	article
41	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
and	CC	and
articles	VVZ	article
75	CD	@card@
and	CC	and
76	CD	@card@
of	IN	of
the	DT	the
rules	NNS	rule
of	IN	of
court	NN	court
in	IN	in
accordance	NN	accordance
with	IN	with
usual	JJ	usual
practice	NN	practice
I	PP	I
shall	MD	shall
not	RB	not
read	VV	read
the	DT	the
introduction	NN	introduction
paragraphs	VVZ	paragraph
of	IN	of
the	DT	the
althor	NN	althor
which	WDT	which
set	VVD	set
out	RP	out
the	DT	the
procedural	JJ	procedural
history	NN	history
of	IN	of
the	DT	the
case	NN	case
I	PP	I
shall	MD	shall
also	RB	also
omit	VV	omit
or	CC	or
summarize	VV	summarize
some	DT	some
other	JJ	other
paragraphs	NNS	paragraph
I	PP	I
shall	MD	shall
therefore	RB	therefore
Begin	NP	Begin
by	IN	by
reading	VVG	read
the	DT	the
order	NN	order
at	IN	at
paragraph	NN	paragraph
20	CD	@card@
the	DT	the
court	NN	court
Begins	VVZ	begin
by	IN	by
noting	VVG	note
that	IN/that	that
in	IN	in
its	PP$	its
View	NP	View
South	NP	South
Africa	NP	Africa
'	POS	'
s	JJ	s
present	JJ	present
request	NN	request
is	VBZ	be
a	DT	a
request	NN	request
for	IN	for
the	DT	the
mod	JJ	mod
modification	NN	modification
of	IN	of
the	DT	the
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
for	IN	for
this	DT	this
reason	NN	reason
the	DT	the
court	NN	court
must	MD	must
determine	VV	determine
whether	IN	whether
the	DT	the
conditions	NNS	condition
set	VVN	set
forth	RB	forth
in	IN	in
article	NN	article
76	CD	@card@
paragraph	NN	paragraph
1	CD	@card@
of	IN	of
the	DT	the
rules	NNS	rule
of	IN	of
Court	NP	Court
have	VHP	have
been	VBN	be
fulfilled	VVN	fulfill
that	IN/that	that
paragraph	NN	paragraph
reads	VVZ	read
as	RB	as
follow	VV	follow
I	PP	I
quote	VV	quote
at	IN	at
the	DT	the
request	NN	request
of	IN	of
a	DT	a
party	NN	party
or	CC	or
prop	VV	prop
otu	NN	otu
the	DT	the
court	NN	court
May	NP	May
at	IN	at
any	DT	any
time	NN	time
before	IN	before
the	DT	the
final	JJ	final
judgment	NN	judgment
in	IN	in
the	DT	the
case	NN	case
revoke	VV	revoke
or	CC	or
modify	VV	modify
any	DT	any
decision	NN	decision
concerning	VVG	concern
provisional	JJ	provisional
measures	NNS	measure
if	IN	if
in	IN	in
its	PP$	its
opinion	NN	opinion
some	DT	some
change	NN	change
in	IN	in
the	DT	the
situation	NN	situation
justifies	VVZ	justify
such	JJ	such
such	JJ	such
revocation	NN	revocation
or	CC	or
modification	NN	modification
end	NN	end
of	IN	of
Court	NP	Court
the	DT	the
court	NN	court
must	MD	must
first	RB	first
ascertain	VV	ascertain
whether	IN	whether
taking	VVG	take
into	IN	into
account	NN	account
the	DT	the
information	NN	information
that	IN/that	that
