<video_id>nb7s20xyHqo</video_id>	JJ	<video_id>nb7s20xyHqo</video_id>
<video_title>‘Nothing	NN	<video_title>‘Nothing
discriminate’	NN	discriminate’
about	IN	about
bombing	VVG	bomb
Fakhoora	NP	Fakhoora
School	NP	School
from	IN	from
air:	JJ	air:
Analyst</video_title>	NP	Analyst</video_title>
<thumbnail_path>data/en_AJ\‘Nothing	NN	<thumbnail_path>data/en_AJ\‘Nothing
discriminate’	NN	discriminate’
about	IN	about
bombing	VVG	bomb
Fakhoora	NP	Fakhoora
School	NP	School
from	IN	from
air	NN	air
Analyst.jpg</thumbnail_path>	NP	Analyst.jpg</thumbnail_path>
<publish_date>20231118</publish_date>	JJ	<publish_date>20231118</publish_date>
<doc>	NN	<doc>
well	NN	well
let's	NNS	let's
bring	VVP	bring
in	IN	in
Maran	NP	Maran
bashara	NP	Bashara
he's	NN	he's
alzer's	NNS	alzer's
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Maran	NP	Maran
I	NP	I
mean	JJ	mean
we've	NN	we've
seen	VVN	see
so	IN	so
much	JJ	much
civilian	JJ	civilian
infrastructure	NN	infrastructure
being	VBG	be
hit	VVN	hit
by	IN	by
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
you've	NNS	you've
been	VBN	be
saying	VVG	say
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
war	NN	war
on	IN	on
hospitals	NNS	hospital
it's	NNS	it's
also	RB	also
a	DT	a
war	NN	war
on	IN	on
schools	NNS	school
on	IN	on
shelters	NNS	shelter
on	IN	on
homes	NNS	home
and	CC	and
fura	NN	fura
school	NN	school
is	VBZ	be
like	IN	like
Al	NP	Al
shifa	NP	Shifa
Hospital	NP	Hospital
in	IN	in
the	DT	the
sense	NN	sense
that	IN/that	that
fura	NN	fura
school	NN	school
is	VBZ	be
like	IN	like
the	DT	the
shifa	NN	shifa
of	IN	of
schools	NNS	school
in	IN	in
Gaza	NP	Gaza
okay	RB	okay
it's	NNS	it's
been	VBN	be
bombed	VVN	bomb
it's	NNS	it's
been	VBN	be
targeted	VVN	target
like	IN	like
a	DT	a
shifo	NN	shifo
has	VHZ	have
in	IN	in
fact	NN	fact
before	IN	before
the	DT	the
Israeli	JJ	Israeli
Spinners	NNS	spinner
come	VVN	come
on	IN	on
the	DT	the
various	JJ	various
media	NN	media
Outlets	NNS	outlet
to	TO	to
explain	VV	explain
and	CC	and
to	TO	to
lie	VV	lie
about	RB	about
what	WP	what
happened	VVD	happen
in	IN	in
fura	NN	fura
just	RB	just
now	RB	now
let	VV	let
us	PP	us
remind	VV	remind
our	PP$	our
viewers	NNS	viewer
around	IN	around
the	DT	the
world	NN	world
that	IN/that	that
this	DT	this
school	NN	school
in	IN	in
this	DT	this
refugee	NN	refugee
camp	NN	camp
has	VHZ	have
was	VBD	be
bombed	VVN	bomb
in	IN	in
2009	CD	@card@
it	PP	it
was	VBD	be
bombed	VVN	bomb
in	IN	in
2014	CD	@card@
yeah	RB	yeah
it	PP	it
was	VBD	be
bombed	VVN	bomb
early	RB	early
in	IN	in
this	DT	this
month	NN	month
in	IN	in
November	NP	November
4th	JJ	4th
the	DT	the
fact	NN	fact
that	IN/that	that
a	DT	a
school	NN	school
is	VBZ	be
