Sabat	NP	Sabat
This	DT	this
manna	NN	manna
on	IN	on
the	DT	the
edge	NN	edge
will	MD	will
come	VV	come
to	TO	to
you	PP	you
.	SENT	.
[	SYM	[
Music	NP	Music
]	SYM	]
Here	RB	here
is	VBZ	be
Raya	NP	Raya
Qasim	NP	Qasim
Ah	UH	ah
from	IN	from
Dar	NP	Dar
Qasim	NP	Qasim
Hol	NP	Hol
Jan	NP	Jan
Dar	NP	Dar
Aqla	NP	Aqla
Well	NP	Well
,	,	,
you	PP	you
were	VBD	be
not	RB	not
evacuated	VVN	evacuate
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
we	PP	we
were	VBD	be
living	VVG	live
at	IN	at
the	DT	the
Western	JJ	Western
Mosque	NN	mosque
.	SENT	.
Under	IN	under
the	DT	the
bombing	NN	bombing
of	IN	of
the	DT	the
mosque	NN	mosque
,	,	,
half	NN	half
of	IN	of
our	PP$	our
house	NN	house
was	VBD	be
gone	VVN	go
.	SENT	.
We	PP	we
came	VVD	come
to	TO	to
my	PP$	my
uncle	NN	uncle
’	POS	'
s	NN	S
house	NN	house
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
place	NN	place
to	TO	to
go	VV	go
.	SENT	.
So	RB	so
,	,	,
we	PP	we
came	VVD	come
to	TO	to
my	PP$	my
uncle	NN	uncle
’	POS	'
s	NN	S
house	NN	house
.	SENT	.
The	DT	the
house	NN	house
was	VBD	be
bombed	VVN	bomb
.	SENT	.
This	DT	this
whole	JJ	whole
area	NN	area
was	VBD	be
upon	IN	upon
us	PP	us
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
aircraft	NN	aircraft
bombed	VVD	bomb
the	DT	the
house	NN	house
of	IN	of
the	DT	the
Shehadeh	NP	Shehadeh
family	NN	family
here	RB	here
,	,	,
and	CC	and
there	EX	there
were	VBD	be
about	RB	about
eight	CD	eight
martyrs	NNS	martyr
.	SENT	.
A	DT	a
quarter	NN	quarter
of	IN	of
an	DT	an
hour	NN	hour
later	RBR	later
,	,	,
they	PP	they
bombed	VVD	bomb
the	DT	the
Hilal	NP	Hilal
Wahan	NP	Wahan
family	NN	family
,	,	,
and	CC	and
there	EX	there
were	VBD	be
about	RB	about
30	CD	@card@
people	NNS	people
present	JJ	present
in	IN	in
this	DT	this
house	NN	house
.	SENT	.
We	PP	we
came	VVD	come
.	SENT	.
We	PP	we
were	VBD	be
here	RB	here
in	IN	in
the	DT	the
area	NN	area
.	SENT	.
We	PP	we
tried	VVD	try
to	TO	to
get	VV	get
the	DT	the
bodies	NNS	body
out	RP	out
.	SENT	.
We	PP	we
succeeded	VVD	succeed
.	SENT	.
We	PP	we
will	MD	will
go	VV	go
out	RP	out
for	IN	for
five	CD	five
.	SENT	.
I	PP	I
am	VBP	be
an	DT	an
American	JJ	American
citizen	NN	citizen
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
you	PP	you
came	VVD	come
to	TO	to
visit	VV	visit
my	PP$	my
family	NN	family
here	RB	here
and	CC	and
the	DT	the
war	NN	war
started	VVD	start
.	SENT	.
What	WP	what
time	NN	time
did	VVD	do
you	PP	you
mean	VVP	mean
?	SENT	?
I	PP	I
came	VVD	come
a	DT	a
month	NN	month
,	,	,
a	DT	a
month	NN	month
,	,	,
nine	CD	nine
Saturdays	NNS	Saturday
.	SENT	.
I	PP	I
am	VBP	be
staying	VVG	stay
here	RB	here
for	IN	for
two	CD	two
months	NNS	month
,	,	,
uh	UH	uh
,	,	,
I	PP	I
mean	VVP	mean
,	,	,
all	PDT	all
the	DT	the
way	NN	way
before	IN	before
the	DT	the
war	NN	war
.	SENT	.
True	UH	true
,	,	,
true	JJ	true
,	,	,
true	JJ	true
.	SENT	.
How	WRB	how
did	VVD	do
you	PP	you
see	VVP	see
the	DT	the
situation	NN	situation
,	,	,
for	IN	for
God	NP	God
’	POS	'
s	NN	S
sake	NN	sake
?	SENT	?
The	DT	the
situation	NN	situation
is	VBZ	be
a	DT	a
massacre	NN	massacre
.	SENT	.
What	WP	what
is	VBZ	be
happening	VVG	happen
now	RB	now
is	VBZ	be
It	PP	it
is	VBZ	be
a	DT	a
galaxy	NN	galaxy
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
All	PDT	all
the	DT	the
Arab	JJ	Arab
and	CC	and
Islamic	JJ	Islamic
countries	NNS	country
and	CC	and
the	DT	the
human	JJ	human
world	NN	world
have	VHP	have
abandoned	VVN	abandon
us	PP	us
.	SENT	.
This	DT	this
place	NN	place
is	VBZ	be
from	IN	from
the	DT	the
beach	NN	beach
camp	NN	camp
.	SENT	.
We	PP	we
came	VVD	come
to	TO	to
this	DT	this
area	NN	area
.	SENT	.
Traces	NNS	trace
of	IN	of
blood	NN	blood
and	CC	and
some	DT	some
bodies	NNS	body
are	VBP	be
lying	VVG	lie
all	RB	all
around	IN	around
I	PP	I
might	MD	might
now	RB	now
be	VB	be
walking	VVG	walk
over	IN	over
some	DT	some
corpses	NNS	corpse
in	IN	in
this	DT	this
place	NN	place
the	DT	the
wor	NN	wor
days	NNS	day
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
life	NN	life
of	IN	of
the	DT	the
people	NNS	people
here	RB	here
those	DT	those
who	WP	who
are	VBP	be
still	RB	still
alive	JJ	alive
have	VHP	have
taken	VVN	take
some	DT	some
belongings	NNS	belonging
and	CC	and
gone	VVN	go
to	TO	to
theif	NN	theif
medical	JJ	medical
complex	NN	complex
and	CC	and
