Tommy	NP	Tommy
just	RB	just
joining	VVG	join
us	PP	us
on	IN	on
Alia	NP	Alia
we	PP	we
have	VHP	have
we	PP	we
have	VHP	have
been	VBN	be
listening	VVG	listen
there	RB	there
to	TO	to
Island	NP	Island
'	POS	'
s	JJ	s
leaders	NNS	leader
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
the	DT	the
foreign	JJ	foreign
minister	NN	minister
as	IN	as
well	UH	well
uh	UH	uh
announcing	VVG	announce
today	NN	today
that	IN/that	that
Ireland	NP	Ireland
will	MD	will
recognize	VV	recognize
formerly	RB	formerly
recognize	VV	recognize
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
on	IN	on
uh	UH	uh
May	NP	May
the	DT	the
28	JJ	@card@
uh	UH	uh
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
Irish	JJ	Irish
Prime	NP	Prime
Minister	NP	Minister
first	JJ	first
uh	UH	uh
Simon	NP	Simon
Harris	NP	Harris
who	WP	who
said	VVD	say
Peace	NP	Peace
is	VBZ	be
possible	JJ	possible
Justice	NP	Justice
is	VBZ	be
achievable	JJ	achievable
and	CC	and
recognition	NN	recognition
of	IN	of
both	CC	both
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
and	CC	and
an	DT	an
Israeli	JJ	Israeli
state	NN	state
is	VBZ	be
Cornerstone	NP	Cornerstone
to	TO	to
which	WDT	which
peace	NN	peace
can	MD	can
be	VB	be
built	VVN	build
uh	UH	uh
Simon	NP	Simon
uh	UH	uh
Harris	NP	Harris
uh	UH	uh
announcing	VVG	announce
again	RB	again
that	IN/that	that
Ireland	NP	Ireland
will	MD	will
recognize	VV	recognize
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
just	RB	just
as	IN	as
Norway	NP	Norway
has	VHZ	have
done	VVN	do
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
and	CC	and
Spain	NP	Spain
is	VBZ	be
expected	VVN	expect
also	RB	also
to	TO	to
do	VV	do
or	CC	or
is	VBZ	be
doing	VVG	do
now	RB	now
as	IN	as
uh	UH	uh
or	CC	or
they	PP	they
have	VHP	have
they	PP	they
have	VHP	have
in	IN	in
fact	NN	fact
the	DT	the
prime	JJ	prime
minister	NN	minister
is	VBZ	be
speaking	VVG	speak
right	RB	right
now	RB	now
in	IN	in
Parliament	NP	Parliament
in	IN	in
Madrid	NP	Madrid
Spain	NP	Spain
also	RB	also
announcing	VVG	announce
that	IN/that	that
