<video_id>h6s-gsUeKPo</video_id>	JJ	<video_id>h6s-gsUeKPo</video_id>
<video_title>French	JJ	<video_title>French
President	NP	President
Macron	NN	macron
is	VBZ	be
in	IN	in
Ramallah	NP	Ramallah
to	TO	to
meet	VV	meet
Palestinian	NP	Palestinian
Authority	NP	Authority
President	NP	President
Mahmoud	NP	Mahmoud
Abbas</video_title>	NP	Abbas</video_title>
<thumbnail_path>data/en_AJ\French	JJ	<thumbnail_path>data/en_AJ\French
President	NP	President
Macron	NN	macron
is	VBZ	be
in	IN	in
Ramallah	NP	Ramallah
to	TO	to
meet	VV	meet
Palestinian	NP	Palestinian
Authority	NP	Authority
President	NP	President
Mahmoud	NP	Mahmoud
Abbas.jpg</thumbnail_path>	NP	Abbas.jpg</thumbnail_path>
<publish_date>20231024</publish_date>	NN	<publish_date>20231024</publish_date>
<doc>	NN	<doc>
now	RB	now
French	JJ	French
president	NN	president
Emanuel	NP	Emanuel
mcon	NN	mcon
is	VBZ	be
in	IN	in
rala	NN	rala
where	WRB	where
he's	NN	he's
meeting	NN	meeting
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
president	NN	president
Mahmud	NP	Mahmud
Abbas	NP	Abbas
earlier	RBR	earlier
he	PP	he
met	VVD	meet
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
in	IN	in
West	NP	West
Jerusalem	NP	Jerusalem
alaz	NP	alaz
H	NP	H
abdulhamid	NN	abdulhamid
is	VBZ	be
in	IN	in
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
she's	NNS	she's
been	VBN	be
covering	VVG	cover
this	DT	this
m	NN	m
abas	NNS	aba
meeting	NN	meeting
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	RB	about
what	WP	what
was	VBD	be
said	VVN	say
and	CC	and
um	NNS	um
whether	IN	whether
there	EX	there
was	VBD	be
any	DT	any
agreement	NN	agreement
or	CC	or
whe	NN	whe
what	WP	what
what	WP	what
they	PP	they
might	MD	might
be	VB	be
working	VVG	work
towards	IN	towards
H	NP	H
what	WP	what
we	PP	we
just	RB	just
actually	RB	actually
listening	NN	listening
to	TO	to
uh	UH	uh
Palestinian	JJ	Palestinian
leader	NN	leader
Mahmud	NP	Mahmud
Abbas	NP	Abbas
uh	UH	uh
sitting	VVG	sit
next	JJ	next
to	TO	to
Emanuel	NP	Emanuel
maon	VV	maon
uh	UH	uh
that's	NNS	that's
after	IN	after
their	PP$	their
meeting	NN	meeting
that	WDT	that
just	RB	just
appeared	VVD	appear
on	IN	on
Palestinian	JJ	Palestinian
TV	NN	TV
now	RB	now
Mahmud	NP	Mahmud
Abbas	NP	Abbas
uh	UH	uh
said	VVD	say
that	IN/that	that
he	PP	he
had	VHD	have
been	VBN	be
warning	VVG	warn
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
that	IN/that	that
there	EX	there
would	MD	would
be	VB	be
ramification	NN	ramification
if	IN	if
there	RB	there
isn't	JJ	isn't
a	DT	a
a	DT	a
resolution	NN	resolution
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
issue	NN	issue
he	PP	he
said	VVD	say
that	IN/that	that
what	WP	what
he	PP	he
said	VVD	say
all	DT	all
along	IN	along
that	WDT	that
there	EX	there
is	VBZ	be
no	DT	no
military	NN	military
and	CC	and
security	NN	security
uh	UH	uh
Solution	NN	solution
by	IN	by
but	CC	but
it	PP	it
has	VHZ	have
to	TO	to
be	VB	be
a	DT	a
political	JJ	political
one	CD	one
that	WDT	that
gives	VVZ	give
the	DT	the
Palestinians	NPS	Palestinians
their	PP$	their
aspirations	NNS	aspiration
and	CC	and
then	RB	then
we	PP	we
heard	VVD	hear
from	IN	from
Emanuel	NP	Emanuel
M	NP	M
uh	UH	uh
who	WP	who
actually	RB	actually
said	VVD	say
that	IN/that	that
he	PP	he
as	IN	as
he	PP	he
uh	UH	uh
gave	VVD	give
his	PP$	his
condolences	NNS	condolence
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
for	IN	for
those	DT	those
who	WP	who
died	VVD	die
in	IN	in
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
he	PP	he
is	VBZ	be
also	RB	also
giving	VVG	give
his	PP$	his
condolences	NNS	condolence
uh	UH	uh
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
uh	UH	uh
Gaza	NP	Gaza
for	IN	for
all	PDT	all
the	DT	the
for	IN	for
all	PDT	all
their	PP$	their
relatives	NNS	relative
