<video_id>tghoDZB3Z7g</video_id>	NP	<video_id>tghoDZB3Z7g</video_id>
<video_title>Marwan	NP	<video_title>Marwan
Bishara	NP	Bishara
on	IN	on
the	DT	the
chances	NNS	chance
(and	NN	(and
remaining	VVG	remain
obstacles)	NN	obstacles)
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Marwan	NP	<thumbnail_path>data/en_AJ\Marwan
Bishara	NP	Bishara
on	IN	on
the	DT	the
chances	NNS	chance
(and	NN	(and
remaining	VVG	remain
obstacles)	NN	obstacles)
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240816</publish_date>	NP	<publish_date>20240816</publish_date>
<doc>	NP	<doc>
Maran	NP	Maran
bashara	NP	Bashara
is	VBZ	be
alir	NN	alir
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
you're	NN	you're
joining	VVG	join
us	PP	us
um	JJ	um
by	IN	by
Skype	NP	Skype
from	IN	from
Paris	NP	Paris
Maran	NP	Maran
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
about	IN	about
this	DT	this
statement	NN	statement
about	IN	about
where	WRB	where
it	PP	it
appears	VVZ	appear
to	TO	to
leave	VV	leave
us	PP	us
right	RB	right
now	RB	now
look	VV	look
although	IN	although
the	DT	the
statement	NN	statement
is	VBZ	be
General	JJ	general
it's	NNS	it's
not	RB	not
expected	VVN	expect
to	TO	to
be	VB	be
anymore	RB	anymore
because	IN	because
the	DT	the
negotiations	NNS	negotiation
have	VHP	have
not	RB	not
ended	VVN	end
but	CC	but
the	DT	the
sense	NN	sense
of	IN	of
optimism	NN	optimism
does	VVZ	do
reflect	VV	reflect
a	DT	a
certain	JJ	certain
reality	NN	reality
uh	UH	uh
over	IN	over
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
where	WRB	where
they	PP	they
are	VBP	be
Bing	NP	Bing
gaps	NNS	gap
um	NNS	um
and	CC	and
it's	NNS	it's
not	RB	not
just	RB	just
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
uh	UH	uh
the	DT	the
framework	NN	framework
agreement	NN	agreement
that	WDT	that
was	VBD	be
proposed	VVN	propose
in	IN	in
May	NP	May
was	VBD	be
worked	VVN	work
on	IN	on
all	PDT	all
the	DT	the
way	NN	way
through	IN	through
July	NP	July
2nd	JJ	2nd
when	WRB	when
it	PP	it
last	RB	last
left	VVD	leave
by	IN	by
Hamas	JJ	Hamas
saying	VVG	say
look	NN	look
we	PP	we
agreed	VVD	agree
to	TO	to
this	DT	this
we	PP	we
also	RB	also
made	VVD	make
some	DT	some
concessions	NNS	concession
now	RB	now
Israel	NP	Israel
has	VHZ	have
to	TO	to
agree	VV	agree
to	TO	to
it	PP	it
since	IN	since
July	NP	July
2nd	JJ	2nd
they	PP	they
made	VVD	make
some	DT	some
progress	NN	progress
but	CC	but
now	RB	now
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
bridge	VV	bridge
the	DT	the
gap	NN	gap
on	IN	on
most	JJS	most
of	IN	of
the	DT	the
issues	NNS	issue
where	WRB	where
also	RB	also
the	DT	the
Israelis	NPS	Israelis
seems	VVZ	seem
to	TO	to
have	VH	have
made	VVN	make
some	DT	some
concessions	NNS	concession
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
the	DT	the
ratio	NN	ratio
between	IN	between
hostages	NNS	hostage
and	CC	and
detes	NNS	detes
between	IN	between
Israelis	NPS	Israelis
and	CC	and
Palestinians	NPS	Palestinians
that	WDT	that
is	VBZ	be
held	VVN	hold
by	IN	by
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
three	CD	three
points	NNS	point
seems	VVZ	seem
to	TO	to
be	VB	be
uh	UH	uh
left	VVD	leave
three	CD	three
contentious	JJ	contentious
Point	NP	Point
important	JJ	important
point	NN	point
one	CD	one
that	WDT	that
has	VHZ	have
to	TO	to
do	VV	do
with	IN	with
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
that	IN/that	that
Natan	NP	Natan
insists	VVZ	insist
that	IN/that	that
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
wants	VVZ	want
to	TO	to
maintain	VV	maintain
some	DT	some
form	NN	form
of	IN	of
presence	NN	presence
there	EX	there
is	VBZ	be
the	DT	the
narim	JJ	narim
uh	UH	uh
base	NN	base
or	CC	or
line	NN	line
that's	NNS	that's
right	RB	right
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
Gaza	NP	Gaza
smack	VVP	smack
in	IN	in
the	DT	the
Middle	NN	middle
where	WRB	where
also	RB	also
Nan	NP	Nan
wanteded	VVD	wanteded
to	TO	to
maintain	VV	maintain
in	IN	in
order	NN	order
to	TO	to
control	VV	control
the	DT	the
movement	NN	movement
of	IN	of
the	DT	the
population	NN	population
from	IN	from
the	DT	the
north	NN	north
back	RB	back
to	TO	to
the	DT	the
south	NN	south
from	IN	from
the	DT	the
south	NN	south
back	RB	back
to	TO	to
the	DT	the
north	JJ	north
meaning	NN	meaning
people	NNS	people
want	VVP	want
to	TO	to
go	VV	go
back	RB	back
to	TO	to
their	PP$	their
homes	NNS	home
Netanyahu	NP	Netanyahu
doesn't	NP	doesn't
want	VVP	want
them	PP	them
to	TO	to
he	PP	he
want	VVP	want
only	RB	only
those	DT	those
over	IN	over
65	CD	@card@
or	CC	or
something	NN	something
and	CC	and
the	DT	the
third	JJ	third
Point	NP	Point
had	VHD	have
to	TO	to
do	VV	do
with	IN	with
Rafa	NP	Rafa
who	WP	who
will	MD	will
be	VB	be
in	IN	in
charge	NN	charge
of	IN	of
the	DT	the
crossing	VVG	cross
meaning	NN	meaning
in	IN	in
charge	NN	charge
of	IN	of
all	PDT	all
these	DT	these
goods	NNS	good
are	VBP	be
be	VB	be
going	VVG	go
