all	DT	all
right	JJ	right
we	PP	we
'	''	'
re	IN	re
going	VVG	go
to	TO	to
go	VV	go
back	VV	back
uh	UH	uh
to	TO	to
our	PP$	our
coverage	NN	coverage
of	IN	of
Gaza	NP	Gaza
now	IN	now
we	PP	we
'	POS	'
re	NN	re
joined	VVD	join
by	IN	by
Dr	NP	Dr
Muhammad	NP	Muhammad
alad	VVZ	alad
he	PP	he
'	''	'
s	VVG	s
a	DT	a
plastic	NN	plastic
and	CC	and
reconstructive	JJ	reconstructive
surgeon	NN	surgeon
and	CC	and
he	PP	he
'	POS	'
s	JJ	s
part	NN	part
of	IN	of
the	DT	the
American	JJ	American
medical	JJ	medical
team	NN	team
with	IN	with
rahma	NP	rahma
Worldwide	NP	Worldwide
that	WDT	that
'	POS	'
s	NN	S
an	DT	an
independent	JJ	independent
humanitarian	JJ	humanitarian
organization	NN	organization
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
from	IN	from
the	DT	the
European	JJ	European
Hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
doctor	NN	doctor
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
I	PP	I
understand	VVP	understand
that	IN/that	that
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
recently	RB	recently
arrived	VVN	arrive
as	IN	as
part	NN	part
of	IN	of
a	DT	a
team	NN	team
of	IN	of
American	JJ	American
doctors	NNS	doctor
what	WP	what
is	VBZ	be
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
European	JJ	European
hospital	NN	hospital
what	WP	what
do	VVP	do
you	PP	you
find	VV	find
uh	UH	uh
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
on	IN	on
um	NNS	um
the	DT	the
team	NN	team
we	PP	we
have	VHP	have
just	RB	just
a	DT	a
minor	JJ	minor
correction	NN	correction
uh	UH	uh
we	PP	we
were	VBD	be
'	POS	'
re	NN	re
19	CD	@card@
surgeons	NNS	surgeon
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
Jordan	NP	Jordan
and	CC	and
France	NP	France
um	NNS	um
the	DT	the
situation	NN	situation
here	RB	here
is	VBZ	be
undescribable	JJ	undescribable
to	TO	to
say	VV	say
the	DT	the
least	JJS	least
um	NN	um
when	WRB	when
we	PP	we
came	VVD	come
we	PP	we
arrived	VVD	arrive
Thursday	NP	Thursday
night	NN	night
and	CC	and
um	JJ	um
Friday	NP	Friday
morning	NN	morning
with	IN	with
everybody	NN	everybody
went	VVD	go
to	TO	to
the	DT	the
o	NN	o
just	RB	just
to	TO	to
start	VV	start
their	PP$	their
cases	NNS	case
um	VVD	um
I	PP	I
can	MD	can
give	VV	give
you	PP	you
innumerable	JJ	innumerable
stories	NNS	story
about	IN	about
um	NNS	um
that	WDT	that
will	MD	will
illustrate	VV	illustrate
how	WRB	how
the	DT	the
situation	NN	situation
is	VBZ	be
best	JJS	good
if	IN	if
I	PP	I
say	VVP	say
this	DT	this
morning	NN	morning
I	PP	I
had	VHD	have
to	TO	to
do	VV	do
surgery	NN	surgery
without	IN	without
any	DT	any
gowns	NNS	gown
I	PP	I
had	VHD	have
to	TO	to
do	VV	do
it	PP	it
with	IN	with
my	PP$	my
scrubs	NNS	scrub
um	VVG	um
I	PP	I
'	POS	'
ve	JJ	ve
seen	VVN	see
patients	NNS	patient
with	IN	with
minor	JJ	minor
burns	NNS	burn
that	WDT	that
end	VVP	end
up	RP	up
dying	VVG	die
just	RB	just
because	IN	because
there	EX	there
'	''	'
s	VVG	s
no	DT	no
care	NN	care
um	NN	um
nothing	NN	nothing
can	MD	can
be	VB	be
uh	UH	uh
nothing	NN	nothing
'	POS	'
s	NNS	s
available	JJ	available
actually	RB	actually
to	TO	to
provide	VV	provide
them	PP	them
with	IN	with
care	VV	care
uh	UH	uh
I	PP	I
had	VHD	have
a	DT	a
sorry	JJ	sorry
to	TO	to
interrupt	VV	interrupt
you	PP	you
Dr	NN	Dr
ala	NN	ala
but	CC	but
when	WRB	when
you	PP	you
say	VVP	say
that	IN/that	that
you	PP	you
know	VVP	know
nothing	NN	nothing
is	VBZ	be
available	JJ	available
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
you	PP	you
mean	VVP	mean
exactly	RB	exactly
sure	JJ	sure
so	IN	so
I	PP	I
'	POS	'
m	NN	m
talking	VVG	talk
in	IN	in
terms	NNS	term
of	IN	of
equipments	NNS	equipment
I	PP	I
'	POS	'
m	NN	m
I	NP	I
'	POS	'
m	NN	m
talking	VVG	talk
in	IN	in
terms	NNS	term
of	IN	of
supplies	NNS	supply
I	PP	I
'	POS	'
m	NN	m
talking	VVG	talk
in	IN	in
terms	NNS	term
of	IN	of
um	JJ	um
staff	NN	staff
the	DT	the
Physicians	NPS	Physicians
and	CC	and
the	DT	the
uh	UH	uh
and	CC	and
nurses	NNS	nurse
are	VBP	be
completely	RB	completely
exhausted	VVN	exhaust
when	WRB	when
we	PP	we
came	VVD	come
on	IN	on
um	NNS	um
we	PP	we
asked	VVD	ask
them	PP	them
to	TO	to
to	TO	to
kind	NN	kind
of	IN	of
let	VV	let
us	PP	us
give	VV	give
them	PP	them
a	DT	a
relief	NN	relief
however	RB	however
they	PP	they
still	RB	still
continue	VVP	continue
to	TO	to
work	VV	work
and	CC	and
uh	UH	uh
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
working	VVG	work
on	IN	on
sto	NN	sto
for	IN	for
for	IN	for
about	RB	about
four	CD	four
months	NNS	month
now	RB	now
over	IN	over
four	CD	four
months	NNS	month
and	CC	and
um	NNS	um
you	PP	you
walk	VVP	walk
into	IN	into
the	DT	the
war	NN	war
and	CC	and
we	PP	we
are	VBP	be
practicing	VVG	practice
an	DT	an
18th	JJ	18th
century	NN	century
medicine	NN	medicine
here	RB	here
okay	JJ	okay
because	IN	because
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
equipments	NNS	equipment
we	PP	we
don	VVP	don
'	''	'
t	NN	t
device	NN	device
okay	JJ	okay
so	IN	so
that	DT	that
'	''	'
s	NNS	s
what	WP	what
you	PP	you
mean	VVP	mean
when	WRB	when
you	PP	you
say	VVP	say
that	IN/that	that
you	PP	you
don	VV	don
'	''	'
t	NN	t
have	VHP	have
anything	NN	anything
what	WP	what
then	RB	then
does	VVZ	do
that	DT	that
mean	NN	mean
for	IN	for
the	DT	the
patients	NNS	patient
at	IN	at
the	DT	the
hospital	NN	hospital
the	DT	the
care	NN	care
for	IN	for
them	PP	them
their	PP$	their
chances	NNS	chance
poor	JJ	poor
outcome	NN	outcome
and	CC	and
high	JJ	high
mortality	NN	mortality
um	VVG	um
I	PP	I
'	POS	'
m	NN	m
telling	VVG	tell
you	PP	you
I	PP	I
had	VHD	have
I	PP	I
'	POS	'
ve	NN	ve
lost	VVD	lose
in	IN	in
this	DT	this
week	NN	week
several	JJ	several
patients	NNS	patient
for	IN	for
for	IN	for
very	JJ	very
simple	NN	simple
reasons	VVZ	reason
uh	UH	uh
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
good	JJ	good
dressing	VVG	dress
uh	UH	uh
gauze	NN	gauze
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
uh	UH	uh
some	DT	some
dressing	NN	dressing
supplies	VVZ	supply
patient	NN	patient
get	VV	get
septic	JJ	septic
patient	JJ	patient
die	NN	die
because	IN	because
the	DT	the
ventilators	NNS	ventilator
are	VBP	be
um	NNS	um
are	VBP	be
not	RB	not
working	VVG	work
well	RB	well
um	RB	um
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
enough	JJ	enough
medications	NNS	medication
to	TO	to
treat	VV	treat
patients	NNS	patient
with	IN	with
so	IN	so
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
across	IN	across
the	DT	the
board	NN	board
it	PP	it
sounds	VVZ	sound
like	IN	like
an	DT	an
incredibly	RB	incredibly
difficult	JJ	difficult
situation	NN	situation
can	MD	can
you	PP	you
give	VV	give
us	PP	us
an	DT	an
idea	NN	idea
of	IN	of
how	WRB	how
many	JJ	many
patients	NNS	patient
the	DT	the
hospital	NN	hospital
is	VBZ	be
meant	VVN	mean
to	TO	to
be	VB	be
servicing	VVG	service
providing	VVG	provide
treatment	NN	treatment
for	IN	for
and	CC	and
the	DT	the
kind	NN	kind
of	IN	of
numbers	NNS	number
and	CC	and
injuries	NNS	injury
that	IN/that	that
you	PP	you
'	POS	'
re	NN	re
seeing	VVG	see
so	IN	so
I	PP	I
I	PP	I
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
exact	JJ	exact
numbers	NNS	number
however	RB	however
um	VVG	um
my	PP$	my
understanding	NN	understanding
from	IN	from
discussion	NN	discussion
with	IN	with
the	DT	the
staff	NN	staff
here	RB	here
European	JJ	European
hospital	NN	hospital
was	VBD	be
not	RB	not
meant	VVN	mean
to	TO	to
be	VB	be
a	DT	a
trauma	NN	trauma
hospital	NN	hospital
it	PP	it
was	VBD	be
meant	VVN	mean
to	TO	to
be	VB	be
like	IN	like
a	DT	a
medical	JJ	medical
facility	NN	facility
to	TO	to
treat	VV	treat
you	PP	you
know	VV	know
high	JJ	high
blood	NN	blood
pressure	VV	pressure
uh	UH	uh
diabetes	NN	diabetes
that	IN/that	that
kind	NN	kind
of	IN	of
thing	NN	thing
however	RB	however
uh	UH	uh
due	JJ	due
to	TO	to
the	DT	the
circumstances	NNS	circumstance
we	PP	we
'	POS	'
re	NN	re
in	IN	in
right	RB	right
now	RB	now
they	PP	they
have	VHP	have
to	TO	to
treat	VV	treat
um	JJ	um
massive	JJ	massive
casualties	NNS	casualty
and	CC	and
multiple	JJ	multiple
casualties	NNS	casualty
uh	UH	uh
uh	UH	uh
in	IN	in
the	DT	the
ER	UH	er
uh	UH	uh
last	JJ	last
night	NN	night
we	PP	we
heard	VVD	hear
ambulances	NNS	ambulance
coming	VVG	come
I	PP	I
ran	VVD	run
down	RP	down
with	IN	with
a	DT	a
couple	NN	couple
of	IN	of
my	PP$	my
uh	UH	uh
team	NN	team
members	NNS	member
um	NN	um
out	RP	out
of	IN	of
six	CD	six
people	NNS	people
in	IN	in
three	CD	three
died	VVD	die
so	RB	so
mortality	NN	mortality
is	VBZ	be
really	RB	really
high	JJ	high
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
ultrasounds	NNS	ultrasound
in	IN	in
the	DT	the
ER	UH	er
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
centralized	VVN	centralize
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
medications	NNS	medication
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
anything	NN	anything
toate	NN	toate
patients	NNS	patient
with	IN	with
so	RB	so
they	PP	they
just	RB	just
end	VVP	end
up	RP	up
dying	VVG	die
that	DT	that
is	VBZ	be
just	RB	just
absolutely	RB	absolutely
horrific	JJ	horrific
what	WP	what
describing	VVG	describe
I	PP	I
believe	VVP	believe
that	IN/that	that
you	PP	you
also	RB	also
know	VVP	know
about	IN	about
the	DT	the
condition	NN	condition
of	IN	of
our	PP$	our
colleague	NN	colleague
is	VBZ	be
abuan	JJ	abuan
and	CC	and
and	CC	and
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
make	VV	make
sure	RB	sure
go	VV	go
ahead	RB	ahead
yes	RB	yes
please	VV	please
continue	VV	continue
and	CC	and
and	CC	and
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
whoever	WP	whoever
listening	NN	listening
to	TO	to
us	PP	us
understand	VVP	understand
that	IN/that	that
this	DT	this
has	VHZ	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
what	WP	what
is	VBZ	be
your	PP$	your
political	JJ	political
stand	NN	stand
or	CC	or
what	WP	what
'	''	'
s	VVG	s
your	PP$	your
ideological	JJ	ideological
background	NN	background
or	CC	or
what	WP	what
'	''	'
s	VVG	s
your	PP$	your
ethnic	JJ	ethnic
background	NN	background
this	DT	this
has	VHZ	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
that	IN/that	that
this	DT	this
has	VHZ	have
to	TO	to
do	VV	do
with	IN	with
a	DT	a
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
that	WDT	that
have	VHP	have
been	VBN	be
uh	UH	uh
in	IN	in
in	IN	in
a	DT	a
crisis	NN	crisis
situation	NN	situation
and	CC	and
no	RB	no
hands	NNS	hand
been	VBN	be
extended	VVN	extend
to	TO	to
them	PP	them
to	TO	to
give	VV	give
them	PP	them
some	DT	some
support	VVP	support
we	PP	we
'	''	'
re	IN	re
treating	VVG	treat
children	NNS	child
we	PP	we
we	PP	we
'	''	'
re	IN	re
treating	VVG	treat
women	NNS	woman
we	PP	we
'	''	'
re	IN	re
treating	VVG	treat
elderlies	NNS	elderly
and	CC	and
um	JJ	um
mortality	NN	mortality
is	VBZ	be
really	RB	really
high	JJ	high
across	IN	across
the	DT	the
board	NN	board
and	CC	and
it	PP	it
'	POS	'
s	NN	S
I	PP	I
can	MD	can
'	''	'
t	NN	t
believe	VVP	believe
that	IN/that	that
21st	JJ	21st
century	NN	century
we	PP	we
allow	VVP	allow
this	DT	this
to	TO	to
happen	VV	happen
and	CC	and
you	PP	you
'	POS	'
re	NN	re
treating	VVG	treat
people	NNS	people
and	CC	and
you	PP	you
'	POS	'
re	NN	re
treating	VVG	treat
people	NNS	people
who	WP	who
are	VBP	be
supposed	VVN	suppose
to	TO	to
be	VB	be
protected	VVN	protect
under	IN	under
international	JJ	international
law	NN	law
even	RB	even
during	IN	during
times	NNS	time
of	IN	of
War	NP	War
including	VVG	include
journalists	NNS	journalist
I	PP	I
believe	VVP	believe
that	IN/that	that
you	PP	you
know	VVP	know
about	IN	about
the	DT	the
condition	NN	condition
of	IN	of
our	PP$	our
colleague	NN	colleague
ismile	NN	ismile
Abu	NP	Abu
Omar	NP	Omar
who	WP	who
lost	VVD	lose
his	PP$	his
leg	NN	leg
in	IN	in
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
attack	NN	attack
how	WRB	how
'	POS	'
s	NN	S
he	PP	he
doing	VVG	do
well	RB	well
at	IN	at
this	DT	this
point	NN	point
um	VVG	um
he	PP	he
'	POS	'
s	NN	S
still	RB	still
critical	JJ	critical
I	PP	I
just	RB	just
spoke	VVD	speak
with	IN	with
