<video_id>RltwchZCFnI</video_id>	JJ	<video_id>RltwchZCFnI</video_id>
<video_title>PA	NN	<video_title>PA
is	VBZ	be
not	RB	not
relevant,	JJ	relevant,
and	CC	and
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Rafah	NP	Rafah
is	VBZ	be
imminent:	JJ	imminent:
Israeli	JJ	Israeli
historian	NN	historian
Ilan	NP	Ilan
Pappe</video_title>	NP	Pappe</video_title>
<thumbnail_path>data/en_AJ\PA	NP	<thumbnail_path>data/en_AJ\PA
is	VBZ	be
not	RB	not
relevant,	JJ	relevant,
and	CC	and
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Rafah	NP	Rafah
is	VBZ	be
imminent	JJ	imminent
Israeli	JJ	Israeli
historian	NN	historian
Ilan	NP	Ilan
Pappe.jpg</thumbnail_path>	NP	Pappe.jpg</thumbnail_path>
<publish_date>20240211</publish_date>	NN	<publish_date>20240211</publish_date>
<doc>	NN	<doc>
or	CC	or
gaza's	NN	gaza's
future	NN	future
is	VBZ	be
due	JJ	due
to	TO	to
be	VB	be
discussed	VVN	discuss
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
president	NN	president
here	RB	here
in	IN	in
Qatar	NP	Qatar
Mahmud	NP	Mahmud
Abbas	NP	Abbas
is	VBZ	be
flying	VVG	fly
to	TO	to
Doha	NP	Doha
to	TO	to
meet	VV	meet
the	DT	the
Amir	NP	Amir
shik	NP	Shik
Taman	NP	Taman
bin	NN	bin
hammad	NN	hammad
Alani	NP	Alani
well	RB	well
Elam	NP	Elam
Pape	NP	Pape
is	VBZ	be
an	DT	an
Israeli	JJ	Israeli
historian	NN	historian
and	CC	and
author	NN	author
of	IN	of
the	DT	the
ethnic	JJ	ethnic
cleansing	NN	cleansing
of	IN	of
Palestine	NP	Palestine
he's	NNS	he's
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
our	PP$	our
Doha	NP	Doha
Studio	NN	studio
very	RB	very
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	IN	so
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
first	JJ	first
of	IN	of
all	DT	all
about	IN	about
this	DT	this
visit	VV	visit
uh	UH	uh
by	IN	by
Mahmud	NP	Mahmud
abas	NNS	aba
right	RB	right
from	IN	from
the	DT	the
start	NN	start
the	DT	the
Israeli	JJ	Israeli
government	NN	government
backed	VVN	back
by	IN	by
the	DT	the
US	NP	US
has	VHZ	have
said	VVN	say
that	IN/that	that
in	IN	in
order	NN	order
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
to	TO	to
have	VH	have
to	TO	to
have	VH	have
any	DT	any
role	NN	role
in	IN	in
the	DT	the
future	NN	future
of	IN	of
Gaza	NP	Gaza
then	RB	then
it	PP	it
has	VHZ	have
to	TO	to
be	VB	be
rejuvenated	VVN	rejuvenate
how	WRB	how
difficult	JJ	difficult
does	NNS	doe
that	WDT	that
make	VVP	make
it	PP	it
for	IN	for
Mahmud	NP	Mahmud
Abbas	NP	Abbas
when	WRB	when
he	PP	he
is	VBZ	be
making	VVG	make
an	DT	an
attempt	NN	attempt
to	TO	to
be	VB	be
part	NN	part
of	IN	of
the	DT	the
negotiating	VVG	negotiate
process	NN	process
it	PP	it
would	MD	would
be	VB	be
very	RB	very
difficult	JJ	difficult
for	IN	for
him	PP	him
to	TO	to
be	VB	be
relevant	JJ	relevant
because	IN	because
in	IN	in
the	DT	the
eyes	NNS	eye
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
for	IN	for
quite	PDT	quite
a	DT	a
while	NN	while
he's	NNS	he's
not	RB	not
relevant	JJ	relevant
the	DT	the
only	JJ	only
function	NN	function
that	IN/that	that
he	PP	he
seems	VVZ	seem
to	TO	to
serve	VV	serve
as	RB	as
far	RB	far
as	IN	as
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
concerned	JJ	concerned
is	VBZ	be
some	DT	some
sort	NN	sort
of	IN	of
security	NN	security
coordination	NN	coordination
to	TO	to
keep	VV	keep
the	DT	the
lid	NN	lid
on	IN	on
the	DT	the
uh	UH	uh
out	IN	out
potential	JJ	potential
Uprising	NN	uprising
in	IN	in
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
I	PP	I
don't	VVD	don't
think	VV	think
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
at	IN	at
all	DT	all
interested	JJ	interested
in	IN	in
Consulting	NP	Consulting
him	PP	him
about	IN	about
the	DT	the
day	NN	day
after	IN	after
in	IN	in
Gaza	NP	Gaza
I	PP	I
think	VVP	think
there's	RB	there's
more	JJR	more
interest	NN	interest
in	IN	in
the	DT	the
United	NP	United
States	NP	States
I	PP	I
think	VVP	think
Washington	NP	Washington
is	VBZ	be
more	RBR	more
keen	JJ	keen
to	TO	to
have	VH	have
the	DT	the
PA	NN	pa
as	IN	as
part	NN	part
of	IN	of
the	DT	the
post-war	JJ	post-war
if	IN	if
you	PP	you
want	VVP	want
Arrangement	NN	arrangement
uh	UH	uh
but	CC	but
I	PP	I
if	IN	if
I	PP	I
may	MD	may
say	VV	say
so	IN	so
myself	PP	myself
I	PP	I
think	VVP	think
it	PP	it
would	MD	would
be	VB	be
a	DT	a
terrible	JJ	terrible
mistake	NN	mistake
for	IN	for
the	DT	the
PA	NN	pa
to	TO	to
be	VB	be
part	NN	part
of	IN	of
it	PP	it
uh	UH	uh
as	IN	as
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
seen	VVN	see
by	IN	by
so	RB	so
many	JJ	many
Palestinians	NNS	Palestinian
as	IN	as
collaborating	VVG	collaborate
