<video_id>ezv1_lU-YIg</video_id>	JJ	<video_id>ezv1_lU-YIg</video_id>
<video_title>Israeli	NN	<video_title>Israeli
strikes	NNS	strike
returned	VVN	return
with	IN	with
rocket	NN	rocket
fire	NN	fire
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
as	IN	as
Palestinians	NPS	Palestinians
struggle	NN	struggle
to	TO	to
cope</video_title>	JJ	cope</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
strikes	NNS	strike
returned	VVN	return
with	IN	with
rocket	NN	rocket
fire	NN	fire
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
as	IN	as
Palestinians	NPS	Palestinians
struggle	NN	struggle
to	TO	to
cope.jpg</thumbnail_path>	JJ	cope.jpg</thumbnail_path>
<publish_date>20231114</publish_date>	NN	<publish_date>20231114</publish_date>
<doc>	NN	<doc>
and	CC	and
now	RB	now
there's	RB	there's
a	DT	a
new	JJ	new
challenge	NN	challenge
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
the	DT	the
rain	NN	rain
tents	VVZ	tent
housing	NN	housing
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
in	IN	in
un	NNS	un
run	VVP	run
schools	NNS	school
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
have	VHP	have
been	VBN	be
damaged	VVN	damage
people	NNS	people
say	VVP	say
they're	NN	they're
also	RB	also
worried	VVD	worry
they	PP	they
could	MD	could
now	RB	now
die	VV	die
from	IN	from
exposure	NN	exposure
let's	NNS	let's
speak	VVP	speak
now	RB	now
to	TO	to
our	PP$	our
correspondent	NN	correspondent
in	IN	in
carun	NP	carun
TK	NP	TK
Abu	NP	Abu
aom	NN	aom
T	NN	T
first	JJ	first
of	IN	of
all	DT	all
let's	NNS	let's
look	VVP	look
at	IN	at
the	DT	the
weather	NN	weather
there	RB	there
it	PP	it
has	VHZ	have
been	VBN	be
raining	VVG	rain
heavy	JJ	heavy
rain	NN	rain
has	VHZ	have
flooded	VVN	flood
the	DT	the
camps	NNS	camp
what	WP	what
are	VBP	be
the	DT	the
conditions	VVZ	condition
yes	UH	yes
uh	UH	uh
people	NNS	people
inside	IN	inside
Gaza	NP	Gaza
Strip	NP	Strip
were	VBD	be
always	RB	always
waiting	VVG	wait
winter	NN	winter
and	CC	and
even	RB	even
rain	NN	rain
in	IN	in
order	NN	order
to	TO	to
enjoy	VV	enjoy
and	CC	and
spread	VV	spread
happiness	NN	happiness
in	IN	in
their	PP$	their
hearts	NNS	heart
but	CC	but
now	RB	now
they're	RB	they're
afraid	JJ	afraid
of	IN	of
having	VHG	have
rain	NN	rain
due	JJ	due
to	TO	to
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
are	VBP	be
being	VBG	be
completely	RB	completely
displaced	VVN	displace
from	IN	from
the	DT	the
houses	NNS	house
they	PP	they
are	VBP	be
taking	VVG	take
shelters	NNS	shelter
in	IN	in
a	DT	a
school	NN	school
but	CC	but
these	DT	these
schools	NNS	school
are	VBP	be
not	RB	not
