while	IN	while
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
very	RB	very
tragic	JJ	tragic
the	DT	the
blood	NN	blood
is	VBZ	be
spilling	VVG	spill
every	DT	every
day	NN	day
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
is	VBZ	be
not	RB	not
less	RBR	less
serious	JJ	serious
people	NNS	people
here	RB	here
feel	VVP	feel
like	IN	like
they	PP	they
'	''	'
re	IN	re
helpless	JJ	helpless
when	WRB	when
you	PP	you
talk	VVP	talk
to	TO	to
these	DT	these
families	NNS	family
they	PP	they
tell	VVP	tell
you	PP	you
it	PP	it
'	POS	'
s	NN	S
not	RB	not
new	JJ	new
Israel	NP	Israel
has	VHZ	have
always	RB	always
been	VBN	be
violent	JJ	violent
against	IN	against
us	PP	us
now	RB	now
the	DT	the
timing	NN	timing
of	IN	of
it	PP	it
is	VBZ	be
making	VVG	make
violence	NN	violence
increase	NN	increase
and	CC	and
there	EX	there
'	''	'
s	VVG	s
less	JJR	less
attention	NN	attention
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
I	NP	I
'	POS	'
m	NN	m
Nida	NP	Nida
ibraim	NP	ibraim
alzer	NP	alzer
'	POS	'
s	JJ	s
correspondent	NN	correspondent
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
between	IN	between
us	PP	us
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
one	CD	one
heartbreaking	JJ	heartbreaking
story	NN	story
after	IN	after
another	DT	another
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
before	IN	before
October	NP	October
7th	JJ	7th
Israeli	JJ	Israeli
settlers	NNS	settler
burning	VVG	burn
Palestinian	JJ	Palestinian
towns	NNS	town
and	CC	and
all	DT	all
of	IN	of
that	WDT	that
was	VBD	be
encouraged	VVN	encourage
by	IN	by
the	DT	the
sense	NN	sense
of	IN	of
impunity	NN	impunity
those	DT	those
settlers	NNS	settler
had	VHD	have
you	PP	you
would	MD	would
see	VV	see
Israeli	JJ	Israeli
settlers	NNS	settler
getting	VVG	get
the	DT	the
maximum	NN	maximum
of	IN	of
a	DT	a
house	NN	house
arrest	NN	arrest
and	CC	and
then	RB	then
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
you	PP	you
'	POS	'
d	NN	d
see	VVP	see
Palestinian	JJ	Palestinian
children	NNS	child
as	IN	as
young	JJ	young
as	IN	as
14	CD	@card@
or	CC	or
less	RBR	less
being	VBG	be
imprisoned	VVN	imprison
for	IN	for
months	NNS	month
for	IN	for
throwing	VVG	throw
a	DT	a
rock	NN	rock
so	IN	so
people	NNS	people
felt	VVN	feel
like	IN	like
they	PP	they
were	VBD	be
scared	JJ	scared
they	PP	they
were	VBD	be
seeing	VVG	see
images	NNS	image
of	IN	of
the	DT	the
Israeli	JJ	Israeli
violations	NNS	violation
in	IN	in
Al	NP	Al
AA	NN	aa
MOS	NNS	mo
compound	JJ	compound
seeing	NN	seeing
women	NNS	woman
being	VBG	be
beaten	VVN	beat
up	RP	up
the	DT	the
strip	NN	strip
searching	VVG	search
that	IN/that	that
happened	VVN	happen
in	IN	in
heon	NN	heon
of	IN	of
women	NNS	woman
all	RB	all
of	IN	of
these	DT	these
things	NNS	thing
were	VBD	be
kind	JJ	kind
of	IN	of
a	DT	a
warning	NN	warning
that	IN/that	that
there	EX	there
would	MD	would
be	VB	be
an	DT	an
outburst	NN	outburst
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
has	VHZ	have
became	VVD	become
dissected	VVN	dissect
into	IN	into
more	JJR	more
than	IN	than
200	CD	@card@
pieces	NNS	piece
people	NNS	people
are	VBP	be
feeling	VVG	feel
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
using	VVG	use
this	DT	this
time	NN	time
where	WRB	where
all	DT	all
eyes	NNS	eye
are	VBP	be
on	IN	on
Gaza	NP	Gaza
to	TO	to
complete	VV	complete
the	DT	the
project	NN	project
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
which	WDT	which
is	VBZ	be
expelling	VVG	expel
more	JJR	more
and	CC	and
more	JJR	more
Palestinians	NNS	Palestinian
from	IN	from
their	PP$	their
lands	NNS	land
what	WP	what
used	VVD	use
to	TO	to
be	VB	be
a	DT	a
silent	JJ	silent
transfer	NN	transfer
is	VBZ	be
Not	RB	not
So	RB	so
Silent	JJ	silent
anymore	RB	anymore
you	PP	you
'	POS	'
ve	JJ	ve
seen	VVN	see
settlers	NNS	settler
going	VVG	go
into	IN	into
Palestinian	JJ	Palestinian
lands	NNS	land
kicking	VVG	kick
Palestinian	JJ	Palestinian
out	IN	out
kicking	VVG	kick
families	NNS	family
out	RP	out
of	IN	of
their	PP$	their
lands	NNS	land
children	NNS	child
women	NNS	woman
and	CC	and
men	NNS	man
and	CC	and
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
violence	NN	violence
of	IN	of
settlers	NNS	settler
that	WDT	that
has	VHZ	have
already	RB	already
been	VBN	be
high	JJ	high
but	CC	but
now	RB	now
after	IN	after
October	NP	October
7th	JJ	7th
that	IN/that	that
violence	NN	violence
has	VHZ	have
reached	VVN	reach
drastic	JJ	drastic
levels	NNS	level
one	CD	one
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
was	VBD	be
someone	NN	someone
I	PP	I
knew	VVD	know
since	IN	since
2011	CD	@card@
his	PP$	his
name	NN	name
is	VBZ	be
Brahim	NP	Brahim
wadii	NP	wadii
he	PP	he
