<doc>	NN	<doc>
the	DT	the
US	NP	US
says	VVZ	say
it	PP	it
is	VBZ	be
confident	JJ	confident
that	IN/that	that
Hamas	NP	Hamas
was	VBD	be
using	VVG	use
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
as	IN	as
a	DT	a
command	NN	command
center	NN	center
and	CC	and
now	RB	now
the	DT	the
supposed	VVN	suppose
proof	NN	proof
totally	RB	totally
confirm	VVP	confirm
without	IN	without
any	DT	any
doubt	NN	doubt
at	IN	at
the	DT	the
state	NN	state
department	NN	department
shrugging	VVG	shrug
off	RP	off
the	DT	the
scant	JJ	scant
evidence	NN	evidence
I'm	NN	I'm
surprised	VVN	surprise
when	WRB	when
I	PP	I
hear	VVP	hear
people	NNS	people
saying	VVG	say
oh	UH	oh
there	EX	there
were	VBD	be
only	RB	only
10	CD	@card@
rifles	NNS	rifle
in	IN	in
this	DT	this
room	NN	room
it's	NNS	it's
a	DT	a
hospital	NN	hospital
it's	NNS	it's
a	DT	a
hospital	NN	hospital
there	RB	there
shouldn't	NN	shouldn't
be	VB	be
any	DT	any
assault	NN	assault
hold	NN	hold
on	IN	on
there	RB	there
shouldn't	NN	shouldn't
be	VB	be
any	DT	any
assault	NN	assault
rifles	NNS	rifle
at	IN	at
a	DT	a
hospital	NN	hospital
know	VVP	know
at	IN	at
the	DT	the
Pentagon	NP	Pentagon
also	RB	also
still	RB	still
standing	VVG	stand
by	IN	by
the	DT	the
undisclosed	JJ	undisclosed
intelligence	NN	intelligence
it	PP	it
says	VVZ	say
it	PP	it
has	VHZ	have
hi	UH	hi
you	PP	you
keep	VVP	keep
talking	VVG	talk
about	IN	about
the	DT	the
intelligence	NN	intelligence
in	IN	in
the	DT	the
past	JJ	past
TPS	NP	TPS
that	IN/that	that
you	PP	you
believe	VVP	believe
the	DT	the
intelligence	NN	intelligence
believes	VVZ	believe
Hamas	NP	Hamas
has	VHZ	have
used	VVN	use
hospitals	NNS	hospital
do	VVP	do
you	PP	you
have	VHP	have
intelligence	NN	intelligence
that	IN/that	that
they	PP	they
currently	RB	currently
are	VBP	be
I	PP	I
have	VHP	have
only	RB	only
the	DT	the
intelligence	NN	intelligence
that	IN/that	that
I	PP	I
read	VVD	read
out	RP	out
the	DT	the
downgraded	VVN	downgrade
intelligence	NN	intelligence
that	IN/that	that
I	PP	I
read	VVP	read
out	RP	out
yesterday	NN	yesterday
um	NNS	um
or	CC	or
sorry	JJ	sorry
I'm	NP	I'm
I'm	NP	I'm
sorry	JJ	sorry
on	IN	on
Tuesday	NP	Tuesday
uh	UH	uh
past	JJ	past
tense	JJ	tense
present	JJ	present
tense	JJ	tense
don't	NN	don't
want	VVP	want
to	TO	to
parse	VV	parse
out	RP	out
words	NNS	word
here	RB	here
but	CC	but
we	PP	we
know	VVP	know
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
been	VBN	be
using	VVG	use
the	DT	the
hospital	NN	hospital
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
and	CC	and
other	JJ	other
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
um	JJ	um
I'm	NN	I'm
not	RB	not
going	VVG	go
going	VVG	go
to	TO	to
get	VV	get
into	IN	into
more	JJR	more
specifics	NNS	specific
on	IN	on
you	PP	you
know	VVP	know
what	WP	what
they're	NN	they're
doing	VVG	do
now	RB	now
whereabouts	RB	whereabouts
all	DT	all
of	IN	of
that	WDT	that
we	PP	we
know	VVP	know
that	IN/that	that
the	DT	the
IDF	NP	IDF
has	VHZ	have
taken	VVN	take
control	NN	control
of	IN	of
alifa	NN	alifa
hospital	NN	hospital
um	NNS	um
so	IN	so
I	PP	I
don't	VVD	don't
have	VH	have
more	JJR	more
to	TO	to
to	TO	to
share	VV	share
with	IN	with
you	PP	you
on	IN	on
that	DT	that
front	NN	front
it	PP	it
matters	VVZ	matter
because	IN	because
under	IN	under
international	JJ	international
law	NN	law
you	PP	you
have	VHP	have
to	TO	to
have	VH	have
proof	NN	proof
that	WDT	that
is	VBZ	be
uh	UH	uh
combatant	NN	combatant
is	VBZ	be
is	VBZ	be
currently	RB	currently
right	RB	right
then	RB	then
in	IN	in
that	DT	that
moment	NN	moment
in	IN	in
the	DT	the
hospital	NN	hospital
in	IN	in
order	NN	order
to	TO	to
strike	VV	strike
yeah	RB	yeah
again	RB	again
when	WRB	when
I	PP	I
read	VVP	read
out	RP	out
the	DT	the
downgraded	VVN	downgrade
material	NN	material
we	PP	we
felt	VVD	feel
very	RB	very
confident	JJ	confident
that	IN/that	that
Hamas	NP	Hamas
was	VBD	be
using	VVG	use
that	IN/that	that
hospital	NN	hospital
um	NNS	um
to	TO	to
conduct	VV	conduct
his	PP$	his
operations	NNS	operation
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
found	VVD	find
while	IN	while
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
trying	VVG	try
to	TO	to
downplay	VV	downplay
