continue	VV	continue
this	DT	this
though	RB	though
with	IN	with
hind	NNS	hind
she	PP	she
joins	VVZ	join
us	PP	us
on	IN	on
the	DT	the
phone	NN	phone
from	IN	from
that	DT	that
'	''	'
s	VVG	s
an	DT	an
area	NN	area
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
hinda	NP	Hinda
I	NP	I
'	POS	'
m	NN	m
sure	RB	sure
you	PP	you
heard	VVD	hear
their	PP$	their
to	TO	to
talking	VVG	talk
about	IN	about
things	NNS	thing
being	VBG	be
upside	RB	upside
down	RB	down
tell	VV	tell
us	PP	us
about	RB	about
particularly	RB	particularly
the	DT	the
struggle	NN	struggle
for	IN	for
food	NN	food
something	NN	something
that	IN/that	that
residents	NNS	resident
in	IN	in
are	VBP	be
facing	VVG	face
including	VVG	include
people	NNS	people
like	IN	like
you	PP	you
talk	VVP	talk
us	PP	us
through	IN	through
what	WP	what
you	PP	you
had	VHD	have
to	TO	to
do	VV	do
today	NN	today
just	RB	just
to	TO	to
find	VV	find
something	NN	something
to	TO	to
eat	VV	eat
Sammy	NP	Sammy
after	IN	after
uh	UH	uh
Gaza	NP	Gaza
was	VBD	be
divided	VVN	divide
into	IN	into
three	CD	three
areas	NNS	area
the	DT	the
southern	JJ	southern
the	DT	the
Central	NP	Central
and	CC	and
the	DT	the
northern	JJ	northern
uh	UH	uh
areas	NNS	area
there	EX	there
has	VHZ	have
been	VBN	be
no	DT	no
food	NN	food
anywhere	RB	anywhere
like	IN	like
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
you	PP	you
would	MD	would
find	VV	find
like	IN	like
a	DT	a
couple	NN	couple
of	IN	of
cheese	NN	cheese
a	DT	a
couple	NN	couple
of	IN	of
fries	NNS	fry
you	PP	you
could	MD	could
find	VV	find
like	IN	like
stuff	NN	stuff
it	PP	it
'	POS	'
s	NNS	s
not	RB	not
like	VVP	like
as	IN	as
normal	JJ	normal
but	CC	but
you	PP	you
could	MD	could
like	VV	like
drive	NN	drive
and	CC	and
like	JJ	like
search	NN	search
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
and	CC	and
then	RB	then
you	PP	you
'	POS	'
d	NN	d
find	VVP	find
something	NN	something
today	NN	today
um	NNS	um
we	PP	we
were	VBD	be
striving	VVG	strive
since	IN	since
the	DT	the
morning	NN	morning
since	IN	since
the	DT	the
hours	NNS	hour
in	IN	in
the	DT	the
morning	NN	morning
to	TO	to
just	RB	just
find	VV	find
anything	NN	anything
to	TO	to
eat	VV	eat
and	CC	and
and	CC	and
unfortunately	RB	unfortunately
we	PP	we
were	VBD	be
not	RB	not
able	JJ	able
to	TO	to
find	VV	find
anything	NN	anything
um	NNS	um
our	PP$	our
colleague	NN	colleague
'	POS	'
s	NN	S
mom	NN	mom
had	VHD	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
flour	NN	flour
and	CC	and
it	PP	it
was	VBD	be
the	DT	the
only	JJ	only
thing	NN	thing
we	PP	we
can	MD	can
do	VV	do
where	WRB	where
she	PP	she
made	VVD	make
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
bread	NN	bread
there	RB	there
there	RB	there
'	''	'
s	VVG	s
no	DT	no
few	JJ	few
gas	NN	gas
so	IN	so
she	PP	she
had	VHD	have
to	TO	to
like	VV	like
lift	VV	lift
up	RP	up
a	DT	a
fower	NN	fower
in	IN	in
the	DT	the
garden	NN	garden
and	CC	and
like	IN	like
start	NN	start
um	NNS	um
doing	VVG	do
it	PP	it
with	IN	with
her	PP$	her
own	JJ	own
hands	NNS	hand
we	PP	we
had	VHD	have
to	TO	to
hi	UH	hi
her	PP	her
