<video_id>B314VZu0vVo</video_id>	JJ	<video_id>B314VZu0vVo</video_id>
<video_title>Israeli	NN	<video_title>Israeli
fire	NN	fire
destroys	VVZ	destroy
water	NN	water
reservoir	NN	reservoir
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
amid	IN	amid
dire	JJ	dire
shortage	NN	shortage
of	IN	of
clean	JJ	clean
drinking	NN	drinking
water</video_title>	NN	water</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
fire	NN	fire
destroys	VVZ	destroy
water	NN	water
reservoir	NN	reservoir
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
amid	IN	amid
dire	JJ	dire
shortage	NN	shortage
of	IN	of
clean	JJ	clean
drinking	NN	drinking
water.jpg</thumbnail_path>	NN	water.jpg</thumbnail_path>
<publish_date>20231105</publish_date>	NN	<publish_date>20231105</publish_date>
<doc>	NN	<doc>
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
Israel	NP	Israel
has	VHZ	have
targeted	VVN	target
a	DT	a
critical	JJ	critical
water	NN	water
tank	NN	tank
in	IN	in
Taz	NP	Taz
zata	NP	zata
the	DT	the
contents	NNS	content
of	IN	of
the	DT	the
ruptured	JJ	ruptured
Reservoir	NN	reservoir
have	VHP	have
poured	VVN	pour
out	RP	out
onto	IN	onto
the	DT	the
streets	NNS	street
it	PP	it
comes	VVZ	come
as	IN	as
Palestinians	NNS	Palestinian
across	IN	across
the	DT	the
strip	NN	strip
are	VBP	be
facing	VVG	face
a	DT	a
dire	JJ	dire
shortage	NN	shortage
of	IN	of
fresh	JJ	fresh
water	NN	water
Al	NP	Al
jazer	NP	jazer
hany	NP	hany
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Khan	NP	Khan
yunice	NP	yunice
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
honey	NN	honey
so	RB	so
just	RB	just
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
then	RB	then
on	IN	on
Israel's	NP	Israel's
overnight	JJ	overnight
bombing	NN	bombing
and	CC	and
that	DT	that
attack	NN	attack
again	RB	again
on	IN	on
the	DT	the
magazi	NN	magazi
refugee	NN	refugee
yes	RB	yes
well	RB	well
as	IN	as
people	NNS	people
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
we're	NN	we're
still	RB	still
pondering	VVG	ponder
the	DT	the
decision	NN	decision
of	IN	of
leaving	VVG	leave
Gaza	NP	Gaza
to	TO	to
the	DT	the
southern	JJ	southern
part	NN	part
at	IN	at
late	JJ	late
hours	NNS	hour
of	IN	of
last	JJ	last
night	NN	night
at	IN	at
about	RB	about
11:30	CD	@card@
a	DT	a
major	JJ	major
air	NN	air
strike	NN	strike
with	IN	with
multiple	JJ	multiple
rockets	NNS	rocket
and	CC	and
falling	VVG	fall
bombs	NNS	bomb
on	IN	on
Al	NP	Al
maazi	NP	maazi
refugee	NN	refugee
camp	NN	camp
destroying	VVG	destroy
