<video_id>RsIOgkKfjxY</video_id>	JJ	<video_id>RsIOgkKfjxY</video_id>
<video_title>War	NN	<video_title>War
on	IN	on
Gaza:	NP	Gaza:
School	NP	School
in	IN	in
Nuseirat	NP	Nuseirat
camp	NN	camp
ruined,	NP	ruined,
625	CD	@card@
students	NNS	student
affected</video_title>	JJ	affected</video_title>
<thumbnail_path>data/en_AJ\War	NN	<thumbnail_path>data/en_AJ\War
on	IN	on
Gaza	NP	Gaza
School	NP	School
in	IN	in
Nuseirat	NP	Nuseirat
camp	NN	camp
ruined,	NP	ruined,
625	CD	@card@
students	NNS	student
affected.jpg</thumbnail_path>	JJ	affected.jpg</thumbnail_path>
<publish_date>20240131</publish_date>	NN	<publish_date>20240131</publish_date>
<doc>	NN	<doc>
since	IN	since
October	NP	October
schools	NNS	school
in	IN	in
the	DT	the
Cazal	NP	Cazal
strep	NN	strep
became	VVD	become
a	DT	a
house	NN	house
and	CC	and
sheltered	VVN	shelter
to	TO	to
thousands	NNS	thousand
of	IN	of
hundreds	NNS	hundred
of	IN	of
refugees	NNS	refugee
from	IN	from
different	JJ	different
areas	NNS	area
across	IN	across
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
I'm	NP	I'm
currently	RB	currently
standing	VVG	stand
on	IN	on
the	DT	the
rubble	NN	rubble
over	IN	over
arba	NN	arba
school	NN	school
in	IN	in
surrounding	VVG	surround
this	DT	this
school	NN	school
is	VBZ	be
a	DT	a
mosque	NN	mosque
other	JJ	other
un	NN	un
schools	NNS	school
a	DT	a
clinic	NN	clinic
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
houses	NNS	house
this	DT	this
school	NN	school
became	VVD	become
flattened	VVN	flatten
to	TO	to
the	DT	the
ground	NN	ground
it's	NNS	it's
completely	RB	completely
flattened	VVD	flatten
to	TO	to
the	DT	the
ground	NN	ground
nothing's	NNS	nothing's
left	VVD	leave
we	PP	we
see	VVP	see
some	DT	some
chairs	VVZ	chair
some	DT	some
desks	NNS	desk
some	DT	some
books	NNS	book
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
thing	NN	thing
we	PP	we
see	VVP	see
left	RB	left
more	JJR	more
than	IN	than
than	IN	than
625	CD	@card@
Palestinian	JJ	Palestinian
students	NNS	student
have	VHP	have
been	VBN	be
prevented	VVN	prevent
from	IN	from
education	NN	education
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
according	VVG	accord
to	TO	to
unwa	NN	unwa
thousands	NNS	thousand
of	IN	of
educational	JJ	educational
universities	NNS	university
and	CC	and
schools	NNS	school
have	VHP	have
been	VBN	be
all	RB	all
bombed	VVN	bomb
in	IN	in
we're	NN	we're
talking	VVG	talk
about	IN	about
two	CD	two
of	IN	of
the	DT	the
main	JJ	main
and	CC	and
biggest	JJS	big
uh	UH	uh
universities	NNS	university
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
are	VBP	be
Alazar	NP	Alazar
and	CC	and
the	DT	the
Islamic	NP	Islamic
University	NP	University
in	IN	in
Gaza	NP	Gaza
as	IN	as
you	PP	you
see	VVP	see
the	DT	the
the	DT	the
school	NN	school
is	VBZ	be
sticking	VVG	stick
to	TO	to
another	DT	another
onera	NN	onera
school	NN	school
where	WRB	where
this	DT	this
school	NN	school
has	VHZ	have
uh	UH	uh
refugees	NNS	refugee
and	CC	and
people	NNS	people
that	IN/that	that
Shel	NP	Shel
are	VBP	be
sh	RB	sh
Sheltering	VVG	shelter
in	IN	in
this	DT	this
hospital	NN	hospital
yesterday	NN	yesterday
night	NN	night
at	IN	at
900	CD	@card@
p.m.	NN	p.m.
this	DT	this
school	NN	school
was	VBD	be
uh	UH	uh
targeted	VVN	target
we're	NN	we're
talking	VVG	talk
about	IN	about
at	IN	at
least	JJS	least
10	CD	@card@
injuries	NNS	injury
from	IN	from
the	DT	the
people	NNS	people
surrounding	VVG	surround
um	NNS	um
this	DT	this
uh	UH	uh
School	NN	school
were	VBD	be
transferred	VVN	transfer
to	TO	to
uh	UH	uh
Al	NP	Al
AA	NN	aa
Hospital	NN	hospital
people	NNS	people
who	WP	who
took	VVD	take
shelter	NN	shelter
in	IN	in
this	DT	this
uh	UH	uh
School	NN	school
evacuated	VVN	evacuate
after	IN	after
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
asked	VVD	ask
them	PP	them
to	TO	to
do	VV	do
that	DT	that
uh	UH	uh
weeks	NNS	week
uh	UH	uh
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
only	JJ	only
school	NN	school
that	WDT	that
has	VHZ	have
been	VBN	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
we're	NN	we're
talking	VVG	talk
about	IN	about
thousands	NNS	thousand
of	IN	of
other	JJ	other
schools	NNS	school
that	WDT	that
were	VBD	be
also	RB	also
bombed	VVN	bomb
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
schools	NNS	school
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
not	RB	not
only	JJ	only
Schools	NP	Schools
they're	NN	they're
shelters	NNS	shelter
and	CC	and
graveyards	NNS	graveyard
this	DT	this
is	VBZ	be
hind	JJ	hind
Al	NP	Al
jaaz	NN	jaaz
and	CC	and
refugee	NN	refugee
camp	NN	camp
</doc>	NN	</doc>
