okay	RB	okay
we	PP	we
have	VH	have
Al	NP	Al
jaz	NP	jaz
'	POS	'
s	NN	S
White	NP	White
House	NP	House
correspondent	NN	correspondent
Kimberly	NP	Kimberly
haa	NP	haa
joining	VVG	join
us	PP	us
so	IN	so
what	WP	what
more	RBR	more
did	VVD	do
we	PP	we
hear	VVP	hear
from	IN	from
Joe	NP	Joe
Biden	NP	Biden
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
and	CC	and
is	VBZ	be
there	RB	there
any	DT	any
indication	NN	indication
how	WRB	how
this	DT	this
assassination	NN	assassination
of	IN	of
hania	NP	hania
'	POS	'
s	JJ	s
family	NN	family
members	NNS	member
will	MD	will
be	VB	be
seen	VVN	see
in	IN	in
the	DT	the
US	NP	US
Kimberly	NP	Kimberly
well	RB	well
what	WP	what
we	PP	we
know	VVP	know
is	VBZ	be
that	IN/that	that
the	DT	the
US	NP	US
president	NN	president
didn	NN	didn
'	POS	'
t	NN	t
answer	NN	answer
a	DT	a
key	JJ	key
part	NN	part
of	IN	of
the	DT	the
question	NN	question
that	WDT	that
was	VBD	be
posed	VVN	pose
to	TO	to
him	PP	him
in	IN	in
that	DT	that
answer	NN	answer
that	WDT	that
was	VBD	be
played	VVN	play
just	RB	just
a	DT	a
moment	NN	moment
ago	RB	ago
and	CC	and
that	DT	that
is	VBZ	be
whether	IN	whether
he	PP	he
would	MD	would
limit	VV	limit
military	JJ	military
aid	NN	aid
to	TO	to
Israel	NP	Israel
and	CC	and
so	RB	so
that	WDT	that
is	VBZ	be
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
big	JJ	big
question	NN	question
marks	NNS	mark
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
right	RB	right
now	RB	now
there	EX	there
is	VBZ	be
growing	VVG	grow
pressure	NN	pressure
on	IN	on
the	DT	the
US	NP	US
president	NN	president
to	TO	to
do	VV	do
so	RB	so
and	CC	and
with	IN	with
these	DT	these
killings	NNS	killing
of	IN	of
the	DT	the
uh	UH	uh
CH	NP	CH
the	DT	the
children	NNS	child
and	CC	and
grandchildren	NNS	grandchild
of	IN	of
the	DT	the
Hamas	JJ	Hamas
political	JJ	political
leader	NN	leader
uh	UH	uh
there	EX	there
may	MD	may
be	VB	be
even	RB	even
more	JJR	more
uh	UH	uh
pressure	NN	pressure
on	IN	on
the	DT	the
president	NN	president
to	TO	to
do	VV	do
so	IN	so
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
is	VBZ	be
not	RB	not
only	JJ	only
UN	NP	UN
poopular	NN	poopular
in	IN	in
Israel	NP	Israel
but	CC	but
he	PP	he
is	VBZ	be
increasingly	RB	increasingly
unpopular	JJ	unpopular
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
uh	UH	uh
the	DT	the
the	DT	the
three	CD	three
billion	NNS	billion
in	IN	in
exess	NN	exess
annually	RB	annually
it	PP	it
'	POS	'
s	NN	S
nearly	RB	nearly
four	CD	four
billion	NN	billion
that	WDT	that
is	VBZ	be
given	VVN	give
by	IN	by
the	DT	the
US	NP	US
Congress	NP	Congress
is	VBZ	be
increasingly	RB	increasingly
being	VBG	be
questioned	VVN	question
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
whether	IN	whether
or	CC	or
not	RB	not
us	PP	us
taxpayers	NNS	taxpayer
believe	VVP	believe
that	IN/that	that
uh	UH	uh
the	DT	the
US	NP	US
can	MD	can
afford	VV	afford
it	PP	it
or	CC	or
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
be	VB	be
responsible	JJ	responsible
for	IN	for
the	DT	the
33	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
excess	JJ	excess
that	WDT	that
have	VHP	have
been	VBN	be
killed	VVN	kill
uh	UH	uh
by	IN	by
uh	UH	uh
us	PP	us
bombs	VVZ	bomb
so	CC	so
uh	UH	uh
that	WDT	that
is	VBZ	be
one	CD	one
factor	NN	factor
but	CC	but
the	DT	the
other	JJ	other
factor	NN	factor
in	IN	in
all	DT	all
of	IN	of
this	DT	this
that	WDT	that
is	VBZ	be
the	DT	the
concern	NN	concern
and	CC	and
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
the	DT	the
captives	NNS	captive
in	IN	in
the	DT	the
negotiations	NNS	negotiation
that	WDT	that
are	VBP	be
so	RB	so
very	RB	very
fragile	JJ	fragile
and	CC	and
as	RB	as
we	PP	we
heard	VVD	hear
from	IN	from
your	PP$	your
previous	JJ	previous
guest	NN	guest
there	RB	there
they	PP	they
are	VBP	be
reviewing	VVG	review
the	DT	the
proposal	NN	proposal
that	WDT	that
has	VHZ	have
been	VBN	be
put	VVN	put
forward	RB	forward
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
in	IN	in
Egypt	NP	Egypt
and	CC	and
uh	UH	uh
they	PP	they
have	VHP	have
yet	RB	yet
to	TO	to
respond	VV	respond
and	CC	and
that	DT	that
is	VBZ	be
something	NN	something
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
waiting	VVG	wait
for	IN	for
and	CC	and
now	RB	now
that	WDT	that
may	MD	may
not	RB	not
be	VB	be
forthcoming	JJ	forthcoming
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
strike	NN	strike
that	WDT	that
has	VHZ	have
taken	VVN	take
place	NN	place
and	CC	and
claimed	VVD	claim
those	DT	those
six	CD	six
lives	NNS	life
and	CC	and
that	WDT	that
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
very	RB	very
very	RB	very
disappointing	JJ	disappointing
and	CC	and
complicating	VVG	complicate
factor	NN	factor
for	IN	for
the	DT	the
United	NP	United
States	NP	States
that	WDT	that
had	VHD	have
been	VBN	be
eager	JJ	eager
to	TO	to
not	RB	not
only	RB	only
have	VH	have
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
potentially	RB	potentially
at	IN	at
least	JJS	least
named	VVN	name
but	CC	but
also	RB	also
uh	UH	uh
there	EX	there
were	VBD	be
many	DT	many
that	WDT	that
were	VBD	be
hoping	VVG	hope
that	IN/that	that
they	PP	they
could	MD	could
uh	UH	uh
perhaps	RB	perhaps
see	VV	see
the	DT	the
uh	UH	uh
possible	JJ	possible
return	NN	return
of	IN	of
some	DT	some
uh	UH	uh
Palestinian	NN	Palestinian
prisoners	NNS	prisoner
from	IN	from
Israeli	JJ	Israeli
jails	NNS	jail
and	CC	and
also	RB	also
the	DT	the
possible	JJ	possible
movement	NN	movement
of	IN	of
some	DT	some
who	WP	who
were	VBD	be
hoping	VVG	hope
to	TO	to
return	VV	return
to	TO	to
Northern	NP	Northern
Gaza	NP	Gaza
so	IN	so
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
seen	VVN	see
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
as	IN	as
a	DT	a
major	JJ	major
setback	NN	setback
all	RB	all
right	RB	right
thank	VV	thank
you	PP	you
so	IN	so
much	JJ	much
Kim	NP	Kim
H	NP	H
thanks	NNS	thanks
for	IN	for
that	DT	that
update	NN	update
from	IN	from
the	DT	the
White	NP	White
House	NP	House
Sultan	NP	Sultan
Barakat	NP	Barakat
is	VBZ	be
a	DT	a
professor	NN	professor
of	IN	of
public	JJ	public
policy	NN	policy
at	IN	at
hammed	VVN	ham
bin	NN	bin
Khalifa	NP	Khalifa
University	NP	University
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
Qatar	NP	Qatar
welcome	VVP	welcome
back	RB	back
to	TO	to
Al	NP	Al
jazer	NN	jazer
um	NNS	um
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
this	DT	this
assassination	NN	assassination
is	VBZ	be
a	DT	a
major	JJ	major
setback	NN	setback
for	IN	for
the	DT	the
talks	NNS	talk
well	RB	well
it	PP	it
must	MD	must
be	VB	be
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
it	PP	it
'	POS	'
s	NNS	s
happening	VVG	happen
at	IN	at
the	DT	the
time	NN	time
when	WRB	when
they	PP	they
were	VBD	be
just	RB	just
about	IN	about
uh	UH	uh
revisiting	VVG	revisit
the	DT	the
talks	NNS	talk
that	IN/that	that
they	PP	they
started	VVD	start
