[	SYM	[
Music	NN	music
]	SYM	]
If	IN	if
it	PP	it
'	POS	'
s	NN	S
daytime	NN	daytime
,	,	,
won	VVN	win
'	POS	'
t	NN	t
you	PP	you
finish	VVP	finish
the	DT	the
rest	NN	rest
?	SENT	?
The	DT	the
whole	JJ	whole
buffet	NN	buffet
has	VHZ	have
been	VBN	be
erased	VVN	erase
,	,	,
every	DT	every
single	JJ	single
thing	NN	thing
in	IN	in
the	DT	the
house	NN	house
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
go	VV	go
to	TO	to
the	DT	the
room	NN	room
.	SENT	.
In	IN	in
the	DT	the
name	NN	name
of	IN	of
God	NP	God
,	,	,
oh	UH	oh
Lord	NP	Lord
,	,	,
oh	UH	oh
Lord	NP	Lord
,	,	,
in	IN	in
the	DT	the
name	NN	name
of	IN	of
God	NP	God
,	,	,
oh	UH	oh
Lord	NP	Lord
,	,	,
oh	UH	oh
Lord	NP	Lord
,	,	,
oh	UH	oh
God	NP	God
.	SENT	.
Praise	NN	praise
be	VB	be
to	TO	to
God	NP	God
.	SENT	.
I	PP	I
put	VVD	put
on	IN	on
the	DT	the
same	JJ	same
jacket	NN	jacket
and	CC	and
grabbed	VVD	grab
the	DT	the
bandage	NN	bandage
and	CC	and
the	DT	the
lace	NN	lace
,	,	,
oh	UH	oh
oh	UH	oh
and	CC	and
the	DT	the
lace	NN	lace
,	,	,
yes	UH	yes
,	,	,
oh	UH	oh
oh	UH	oh
God	NP	God
.	SENT	.
And	CC	and
I	PP	I
came	VVD	come
out	RP	out
and	CC	and
they	PP	they
were	VBD	be
walking	VVG	walk
today	NN	today
.	SENT	.
If	IN	if
I	PP	I
pointed	VVD	point
to	TO	to
them	PP	them
,	,	,
we	PP	we
are	VBP	be
on	IN	on
the	DT	the
main	JJ	main
road	NN	road
.	SENT	.
Oh	UH	oh
,	,	,
on	IN	on
the	DT	the
main	JJ	main
road	NN	road
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
in	IN	in
between	IN	between
.	SENT	.
Oh	UH	oh
,	,	,
on	IN	on
the	DT	the
main	JJ	main
street	NN	street
.	SENT	.
I	PP	I
pointed	VVD	point
to	TO	to
them	PP	them
like	IN	like
this	DT	this
and	CC	and
said	VVD	say
to	TO	to
them	PP	them
,	,	,
"	``	"
I	PP	I
am	VBP	be
Amal	NP	Amal
Abu	NP	Abu
Hashish	NN	hashish
.	SENT	.
We	PP	we
are	VBP	be
God	NP	God
'	POS	'
s	NN	S
house	NN	house
.	SENT	.
I	PP	I
have	VHP	have
a	DT	a
prosthetic	JJ	prosthetic
limb	NN	limb
.	SENT	.
May	NP	May
God	NP	God
be	VB	be
pleased	VVN	please
with	IN	with
you	PP	you
.	SENT	.
If	IN	if
the	DT	the
house	NN	house
was	VBD	be
bombed	VVN	bomb
half	PDT	half
an	DT	an
hour	NN	hour
ago	RB	ago
,	,	,
go	VV	go
out	RP	out
,	,	,
go	VV	go
out	RP	out
.	SENT	.
"	''	"
They	PP	they
showed	VVD	show
me	PP	me
that	IN/that	that
there	EX	there
was	VBD	be
no	DT	no
room	NN	room
,	,	,
I	PP	I
mean	VVP	mean
,	,	,
there	EX	there
was	VBD	be
no	DT	no
room	NN	room
,	,	,
I	PP	I
mean	VVP	mean
,	,	,
they	PP	they
showed	VVD	show
me	PP	me
the	DT	the
door	NN	door
of	IN	of
the	DT	the
stairs	NNS	stair
,	,	,
all	RB	all
of	IN	of
them	PP	them
closed	VVD	close
,	,	,
and	CC	and
the	DT	the
stones	NNS	stone
in	IN	in
place	NN	place
of	IN	of
the	DT	the
pajamas	NN	pajamas
,	,	,
oh	UH	oh
,	,	,
the	DT	the
door	NN	door
,	,	,
where	WRB	where
should	MD	should
I	PP	I
go	VV	go
?	SENT	?
There	EX	there
was	VBD	be
no	DT	no
room	NN	room
to	TO	to
move	VV	move
,	,	,
and	CC	and
all	PDT	all
the	DT	the
windows	NNS	window
were	VBD	be
all	RB	all
on	IN	on
the	DT	the
public	JJ	public
road	NN	road
,	,	,
exposed	VVD	expose
,	,	,
oh	UH	oh
,	,	,
they	PP	they
came	VVD	come
out	RP	out
,	,	,
and	CC	and
an	DT	an
American	NP	American
said	VVD	say
to	TO	to
me	PP	me
,	,	,
“	``	"
Go	VV	go
,	,	,
go	VV	go
,	,	,
go	VV	go
,	,	,
”	''	"
the	DT	the
Prophet	NP	Prophet
’	POS	'
s	NN	S
prayer	NN	prayer
came	VVD	come
out	RP	out
.	SENT	.
God	NP	God
willing	JJ	willing
,	,	,
Joe	NP	Joe
Joe	NP	Joe
,	,	,
I	PP	I
said	VVD	say
to	TO	to
him	PP	him
,	,	,
“	``	"
In	IN	in
the	DT	the
name	NN	name
of	IN	of
God	NP	God
,	,	,
the	DT	the
licks	NNS	lick
,	,	,
the	DT	the
licks	NNS	lick
,	,	,
oh	UH	oh
the	DT	the
licks	NNS	lick
.	SENT	.
”	''	"
He	PP	he
said	VVD	say
to	TO	to
me	PP	me
,	,	,
he	PP	he
brought	VVD	bring
it	PP	it
down	RP	down
for	IN	for
them	PP	them
from	IN	from
the	DT	the
window	NN	window
.	SENT	.
He	PP	he
said	VVD	say
to	TO	to
me	PP	me
,	,	,
“	``	"
Let	VV	let
’	''	'
s	NNS	s
go	VVP	go
out	RP	out
.	SENT	.
Let	NP	Let
’	POS	'
s	NNS	s
go	VVP	go
.	SENT	.
Let	VV	let
me	PP	me
go	VV	go
.	SENT	.
”	''	"
On	IN	on
my	PP$	my
back	NN	back
,	,	,
an	DT	an
intoxicating	VVG	intoxicate
bed	NN	bed
alarm	NN	alarm
came	VVD	come
down	RP	down
.	SENT	.
The	DT	the
stones	NNS	stone
of	IN	of
the	DT	the
stairs	NNS	stair
from	IN	from
the	DT	the
door	NN	door
of	IN	of
Al	NP	Al
-	NP	-
A	NP	A
’	POS	'
a	DT	a
took	VVD	take
two	CD	two
cars	NNS	car
long	RB	long
,	,	,
and	CC	and
they	PP	they
stopped	VVD	stop
.	SENT	.
They	PP	they
put	VVD	put
me	PP	me
in	IN	in
the	DT	the
car	NN	car
,	,	,
and	CC	and
a	DT	a
thousand	CD	thousand
