oos	NNS	oos
samrose	NN	samrose
is	VBZ	be
the	DT	the
director	NN	director
of	IN	of
planning	VVG	plan
with	IN	with
onoa	NN	onoa
the	DT	the
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
you	PP	you
'	''	'
re	IN	re
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
alzaa	NN	alzaa
in	IN	in
Gaza	NP	Gaza
inside	IN	inside
the	DT	the
strip	VV	strip
uh	UH	uh
Sam	NP	Sam
Israel	NP	Israel
has	VHZ	have
been	VBN	be
accused	VVN	accuse
of	IN	of
using	VVG	use
starvation	NN	starvation
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
war	NN	war
is	VBZ	be
it	PP	it
fair	JJ	fair
to	TO	to
say	VV	say
it	PP	it
'	POS	'
s	NN	S
also	RB	also
using	VVG	use
thirst	NN	thirst
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
War	NP	War
I	PP	I
mean	VVP	mean
look	VV	look
what	WP	what
I	PP	I
can	MD	can
can	MD	can
say	VV	say
is	VBZ	be
that	IN/that	that
the	DT	the
water	NN	water
situation	NN	situation
uh	UH	uh
for	IN	for
Palestinians	NPS	Palestinians
in	IN	in
in	IN	in
Gaza	NP	Gaza
it	PP	it
was	VBD	be
bad	JJ	bad
before	IN	before
the	DT	the
war	NN	war
it	PP	it
'	POS	'
s	JJ	s
catastrophic	JJ	catastrophic
right	NN	right
now	RB	now
both	CC	both
in	IN	in
terms	NNS	term
of	IN	of
availability	NN	availability
of	IN	of
of	IN	of
water	NN	water
people	NNS	people
'	POS	'
s	NN	S
ability	NN	ability
to	TO	to
access	VV	access
that	DT	that
water	NN	water
but	CC	but
also	RB	also
major	JJ	major
concerns	NNS	concern
about	IN	about
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
water	NN	water
that	IN/that	that
that	DT	that
'	''	'
s	NN	S
being	VBG	be
provided	VVN	provide
and	CC	and
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
that	IN/that	that
manifested	VVN	manifest
in	IN	in
in	IN	in
higher	JJR	high
rates	NNS	rate
of	IN	of
malnutrition	NN	malnutrition
and	CC	and
in	IN	in
outbreaks	NNS	outbreak
of	IN	of
of	IN	of
infectious	JJ	infectious
disease	NN	disease
in	IN	in
particular	JJ	particular
uh	UH	uh
hepatitis	NN	hepatitis
but	CC	but
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
seen	VVN	see
recently	RB	recently
dentry	JJ	dentry
and	CC	and
and	CC	and
and	CC	and
massive	JJ	massive
increases	NNS	increase
in	IN	in
rates	NNS	rate
of	IN	of
diarrhea	NN	diarrhea
in	IN	in
recent	JJ	recent
weeks	NNS	week
all	PDT	all
this	DT	this
down	RP	down
to	TO	to
poor	JJ	poor
water	NN	water
quality	NN	quality
and	CC	and
and	CC	and
and	CC	and
and	CC	and
and	CC	and
lack	NN	lack
of	IN	of
of	IN	of
quantity	NN	quantity
yeah	RB	yeah
so	IN	so
