<video_id>OEGDBICpitw</video_id>	JJ	<video_id>OEGDBICpitw</video_id>
<video_title>Palestinians	NNS	<video_title>Palestinians
are	VBP	be
returning	VVG	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
Gaza	NP	Gaza
on	IN	on
the	DT	the
fourth	JJ	fourth
day	NN	day
of	IN	of
the	DT	the
truce</video_title>	JJ	truce</video_title>
<thumbnail_path>data/en_AJ\Palestinians	NNS	<thumbnail_path>data/en_AJ\Palestinians
are	VBP	be
returning	VVG	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
Gaza	NP	Gaza
on	IN	on
the	DT	the
fourth	JJ	fourth
day	NN	day
of	IN	of
the	DT	the
truce.jpg</thumbnail_path>	JJ	truce.jpg</thumbnail_path>
<publish_date>20231127</publish_date>	NN	<publish_date>20231127</publish_date>
<doc>	NN	<doc>
well	NN	well
let's	NNS	let's
find	VVP	find
out	RP	out
what's	NNS	what's
happening	VVG	happen
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
now	RB	now
hanni	NP	Hanni
Mahmud	NP	Mahmud
is	VBZ	be
in	IN	in
Han	NP	Han
Unis	NNS	uni
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
so	RB	so
are	VBP	be
people	NNS	people
in	IN	in
Gaza	NP	Gaza
hopeful	NN	hopeful
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
could	MD	could
be	VB	be
extended	VVN	extend
yes	RB	yes
absolutely	RB	absolutely
people	NNS	people
are	VBP	be
in	IN	in
fact	NN	fact
are	VBP	be
looking	VVG	look
into	IN	into
uh	UH	uh
uh	UH	uh
seeing	VVG	see
this	DT	this
ceasefire	NN	ceasefire
extended	VVN	extend
into	IN	into
more	JJR	more
than	IN	than
just	RB	just
4	CD	@card@
days	NNS	day
they're	RB	they're
looking	VVG	look
more	JJR	more
into	IN	into
a	DT	a
few	JJ	few
more	JJR	more
days	NNS	day
just	RB	just
to	TO	to
give	VV	give
them	PP	them
an	DT	an
opportunity	NN	opportunity
uh	UH	uh
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
sheer	JJ	sheer
amount	NN	amount
of	IN	of
destruction	NN	destruction
of	IN	of
their	PP$	their
life	NN	life
as	RB	as
as	IN	as
they	PP	they
know	VVP	know
it	PP	it
uh	UH	uh
in	IN	in
fact	NN	fact
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
here	RB	here
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
particularly	RB	particularly
evacuees	NNS	evacuee
when	WRB	when
we	PP	we
talked	VVD	talk
to	TO	to
them	PP	them
about	IN	about
the	DT	the
the	DT	the
reaction	NN	reaction
to	TO	to
cesa	NN	cesa
how	WRB	how
they	PP	they
feel	VVP	feel
about	RB	about
it	PP	it
uh	UH	uh
there	RB	there
there	RB	there
there	RB	there
there	EX	there
was	VBD	be
a	DT	a
pattern	NN	pattern
among	IN	among
all	PDT	all
the	DT	the
the	DT	the
conversation	NN	conversation
that	IN/that	that
we	PP	we
had	VHD	have
that	DT	that
people	NNS	people
think	VVP	think
this	DT	this
deal	NN	deal
is	VBZ	be
not	RB	not
a	DT	a
win	NN	win
because	IN	because
they	PP	they
were	VBD	be
in	IN	in
fact	NN	fact
looking	VVG	look
for	IN	for
more	RBR	more
more	JJR	more
of	IN	of
a	DT	a
permanant	JJ	permanant
uh	UH	uh
ceasefire	NN	ceasefire
yet	CC	yet
uh	UH	uh
people	NNS	people
are	VBP	be
taking	VVG	take
this	DT	this
uh	UH	uh
uh	UH	uh
opportunity	NN	opportunity
to	TO	to
uh	UH	uh
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
to	TO	to
to	TO	to
resupply	RB	resupply
to	TO	to
get	VV	get
their	PP$	their
basic	JJ	basic
necessities	NNS	necessity
and	CC	and
to	TO	to
provide	VV	provide
for	IN	for
their	PP$	their
to	TO	to
provide	VV	provide
for	IN	for
their	PP$	their
families	NNS	family
of	IN	of
of	IN	of
what	WP	what
they	PP	they
need	VVP	need
of	IN	of
of	IN	of
basic	JJ	basic
supplies	NNS	supply
of	IN	of
foods	NNS	food
and	CC	and
and	CC	and
and	CC	and
and	CC	and
water	NN	water
it's	NNS	it's
also	RB	also
an	DT	an
opportunity	NN	opportunity
for	IN	for
the	DT	the
vast	JJ	vast
majority	NN	majority
who	WP	who
are	VBP	be
still	RB	still
surrounded	VVN	surround
uh	UH	uh
by	IN	by
destruction	NN	destruction
blood	NN	blood
and	CC	and
and	CC	and
and	CC	and
dead	JJ	dead
bodies	NNS	body
of	IN	of
relatives	NNS	relative
and	CC	and
and	CC	and
family	NN	family
members	NNS	member
to	TO	to
grieve	VV	grieve
properly	RB	properly
and	CC	and
and	CC	and
to	TO	to
pay	VV	pay
the	DT	the
respect	NN	respect
and	CC	and
offer	VV	offer
the	DT	the
the	DT	the
proper	JJ	proper
funeral	JJ	funeral
procession	NN	procession
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
still	RB	still
uh	UH	uh
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
still	RB	still
uh	UH	uh
trapped	VVN	trap
under	IN	under
under	IN	under
the	DT	the
rubble	NN	rubble
there	EX	there
is	VBZ	be
a	DT	a
a	DT	a
a	DT	a
a	DT	a
unanimous	JJ	unanimous
agreement	NN	agreement
among	IN	among
people	NNS	people
that	IN/that	that
as	RB	as
long	RB	long
as	IN	as
people	NNS	people
who	WP	who
evacuated	VVN	evacuate
to	TO	to
the	DT	the
southern	JJ	southern
part	NN	part
are	VBP	be
unable	JJ	unable
to	TO	to
go	VV	go
to	TO	to
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
God	NP	God
to	TO	to
see	VV	see
their	PP$	their
homes	NNS	home
to	TO	to
embrace	VV	embrace
their	PP$	their
their	PP$	their
relatives	NNS	relative
and	CC	and
loved	VVD	love
one	PP	one
