<video_id>ZMBRBSof_KE</video_id>	JJ	<video_id>ZMBRBSof_KE</video_id>
<video_title>Rafah	NN	<video_title>Rafah
crossing:	JJ	crossing:
Palestinians	NPS	Palestinians
rush	VVP	rush
to	TO	to
get	VV	get
relief	NN	relief
supplies</video_title>	NN	supplies</video_title>
<thumbnail_path>data/en_AJ\Rafah	NN	<thumbnail_path>data/en_AJ\Rafah
crossing	VVG	cross
Palestinians	NPS	Palestinians
rush	VVP	rush
to	TO	to
get	VV	get
relief	NN	relief
supplies.jpg</thumbnail_path>	NN	supplies.jpg</thumbnail_path>
<publish_date>20231217</publish_date>	NN	<publish_date>20231217</publish_date>
<doc>	NN	<doc>
there's	RB	there's
been	VBN	be
a	DT	a
Scramble	NN	scramble
for	IN	for
Aid	NN	aid
at	IN	at
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
between	IN	between
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
The	DT	the
Crossing	NN	crossing
is	VBZ	be
the	DT	the
only	JJ	only
entry	NN	entry
point	NN	point
for	IN	for
Aid	NP	Aid
into	IN	into
Gaza	NP	Gaza
at	IN	at
the	DT	the
moment	NN	moment
the	DT	the
UN	NP	UN
says	VVZ	say
hunger	NN	hunger
levels	NNS	level
across	IN	across
the	DT	the
strip	NN	strip
have	VHP	have
spiraled	VVN	spiral
in	IN	in
recent	JJ	recent
days	NNS	day
telecommunication	NN	telecommunication
lines	NNS	line
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
damaged	VVN	damage
and	CC	and
this	DT	this
is	VBZ	be
only	RB	only
complicating	VVG	complicate
humanitarian	JJ	humanitarian
operations	NNS	operation
let's	NNS	let's
bring	VVP	bring
in	IN	in
our	PP$	our
correspondent	NN	correspondent
hany	NP	hany
Mahmud	NP	Mahmud
he	PP	he
is	VBZ	be
joining	VVG	join
us	PP	us
live	VVP	live
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
and	CC	and
hany	NP	hany
you	PP	you
have	VHP	have
been	VBN	be
reporting	VVG	report
from	IN	from
Rafa	NP	Rafa
for	IN	for
week	NN	week
weeks	NNS	week
now	RB	now
where	WRB	where
you	PP	you
have	VHP	have
been	VBN	be
saying	VVG	say
that	IN/that	that
1	CD	@card@
million	CD	million
people	NNS	people
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
now	RB	now
in	IN	in
Rafa	NP	Rafa
and	CC	and
they	PP	they
as	IN	as
we	PP	we
can	MD	can
see	VV	see
in	IN	in
those	DT	those
pictures	NNS	picture
are	VBP	be
desperate	JJ	desperate
for	IN	for
humanitarian	JJ	humanitarian
Aid	NN	aid
yes	RB	yes
indeed	RB	indeed
very	RB	very
desperate	JJ	desperate
humanitarian	JJ	humanitarian
situations	NNS	situation
for	IN	for
not	RB	not
only	RB	only
the	DT	the
residents	NNS	resident
of	IN	of
rafah	NP	rafah
City	NP	City
here	RB	here
but	CC	but
also	RB	also
for	IN	for
the	DT	the
1	CD	@card@
million	CD	million
displaced	VVN	displace
Palestinian	NN	Palestinian
who	WP	who
