<doc>	NN	<doc>
a	DT	a
federal	JJ	federal
appeals	NNS	appeal
court	NN	court
in	IN	in
California	NP	California
is	VBZ	be
hearing	VVG	hear
a	DT	a
lawsuit	NN	lawsuit
filed	VVN	file
by	IN	by
a	DT	a
group	NN	group
of	IN	of
activists	NNS	activist
which	WDT	which
accuses	VVZ	accuse
Joe	NP	Joe
Biden	NP	Biden
and	CC	and
his	PP$	his
administration	NN	administration
of	IN	of
complicity	NN	complicity
in	IN	in
Israel's	NP	Israel's
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
now	RB	now
panel	NN	panel
of	IN	of
Judges	NPS	Judges
will	MD	will
hear	VV	hear
arguments	NNS	argument
from	IN	from
Palestinian	JJ	Palestinian
human	JJ	human
rights	NNS	right
groups	NNS	group
who	WP	who
say	VVP	say
Biden	NP	Biden
along	IN	along
with	IN	with
his	PP$	his
secretaries	NNS	secretary
of	IN	of
state	NN	state
and	CC	and
defense	NN	defense
have	VHP	have
failed	VVN	fail
to	TO	to
prevent	VV	prevent
the	DT	the
war	NN	war
and	CC	and
are	VBP	be
providing	VVG	provide
support	NN	support
to	TO	to
Israel	NP	Israel
this	DT	this
case	NN	case
was	VBD	be
dismissed	VVN	dismiss
in	IN	in
January	NP	January
but	CC	but
judges	NNS	judge
are	VBP	be
now	RB	now
hearing	VVG	hear
an	DT	an
appeal	NN	appeal
against	IN	against
that	DT	that
earlier	JJR	early
decision	NN	decision
well	RB	well
for	IN	for
more	JJR	more
on	IN	on
all	DT	all
of	IN	of
this	DT	this
Rob	NP	Rob
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
outside	IN	outside
the	DT	the
court	NN	court
in	IN	in
San	NP	San
Francisco	NP	Francisco
Rob	NP	Rob
can	MD	can
you	PP	you
just	RB	just
outline	VV	outline
exactly	RB	exactly
what	WP	what
this	DT	this
case	NN	case
is	VBZ	be
actually	RB	actually
all	RB	all
about	RB	about
and	CC	and
what	WP	what
the	DT	the
arguments	NNS	argument
are	VBP	be
on	IN	on
both	DT	both
sides	NNS	side
here	RB	here
right	RB	right
well	RB	well
the	DT	the
this	DT	this
case	NN	case
goes	VVZ	go
back	RB	back
some	DT	some
months	NNS	month
and	CC	and
was	VBD	be
argued	VVN	argue
before	IN	before
a	DT	a
lower	JJR	low
court	NN	court
in	IN	in
January	NP	January
at	IN	at
that	DT	that
time	NN	time
the	DT	the
uh	UH	uh
plaintiffs	NNS	plaintiff
representing	VVG	represent
uh	UH	uh
several	JJ	several
human	JJ	human
rights	NNS	right
organizations	NNS	organization
and	CC	and
Palestinian	JJ	Palestinian
legal	JJ	legal
uh	UH	uh
organizations	NNS	organization
argu	NN	argu
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
particularly	RB	particularly
President	NP	President
Biden	NP	Biden
secretary	NN	secretary
of	IN	of
state	NN	state
blinkin	NN	blinkin
Secretary	NP	Secretary
of	IN	of
Defense	NP	Defense
a	DT	a
Austin	NP	Austin
uh	UH	uh
Austin	NP	Austin
were	VBD	be
in	IN	in
violation	NN	violation
of	IN	of
various	JJ	various
us	PP	us
laws	NNS	law
and	CC	and
treaties	NNS	treaty
that	WDT	that
prohibited	VVD	prohibit
the	DT	the
aiding	VVG	aid
and	CC	and
abetting	VVG	abet
genocide	NN	genocide
the	DT	the
judge	NN	judge
in	IN	in
that	DT	that
case	NN	case
heard	VVD	hear
the	DT	the
uh	UH	uh
the	DT	the
arguments	NNS	argument
and	CC	and
later	RBR	later
issued	VVD	issue
a	DT	a
ruling	NN	ruling
saying	VVG	say
that	IN/that	that
while	IN	while
he	PP	he
found	VVD	find
that	IN/that	that
there	EX	there
was	VBD	be
uh	UH	uh
a	DT	a
factual	JJ	factual
basis	NN	basis
for	IN	for
the	DT	the
claims	NNS	claim
of	IN	of
genocide	NN	genocide
and	CC	and
ab	NP	ab
betting	VVG	bet
genocide	NN	genocide
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
government	NN	government
uh	UH	uh
he	PP	he
could	MD	could
not	RB	not
uh	UH	uh
accept	VV	accept
the	DT	the
case	NN	case
for	IN	for
jurisdictional	JJ	jurisdictional
reasons	NNS	reason
that	WDT	that
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
uh	UH	uh
Doctrine	NN	doctrine
in	IN	in
American	JJ	American
legal	JJ	legal
law	NN	law
saying	VVG	say
that	IN/that	that
judges	NNS	judge
cannot	MD	can
um	JJ	um
uh	UH	uh
counterman	NN	counterman
political	JJ	political
Decisions	NNS	decision
by	IN	by
the	DT	the
executive	JJ	executive
branch	NN	branch
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
this	DT	this
cons	NNS	con
was	VBD	be
considered	VVN	consider
a	DT	a
a	DT	a
political	JJ	political
decision	NN	decision
the	DT	the
uh	UH	uh
plaintiffs	NNS	plaintiff
then	RB	then
appealed	VVD	appeal
that	IN/that	that
to	TO	to
the	DT	the
uh	UH	uh
uh	UH	uh
ninth	RB	ninth
circuit	VV	circuit
uh	UH	uh
court	NN	court
of	IN	of
appeals	NNS	appeal
here	RB	here
in	IN	in
San	NP	San
Francisco	NP	Francisco
where	WRB	where
they	PP	they
argued	VVD	argue
today	NN	today
uh	UH	uh
that	IN/that	that
this	DT	this
was	VBD	be
not	RB	not
in	IN	in
fact	NN	fact
a	DT	a
political	JJ	political
decision	NN	decision
in	IN	in
the	DT	the
sense	NN	sense
of	IN	of
whether	IN	whether
a	DT	a
certain	JJ	certain
political	JJ	political
uh	UH	uh
or	CC	or
foreign	JJ	foreign
policy	NN	policy
matter	NN	matter
was	VBD	be
correct	JJ	correct
or	CC	or
incorrect	JJ	incorrect
or	CC	or
wise	JJ	wise
or	CC	or
unwise	JJ	unwise
but	CC	but
rather	RB	rather
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
matter	NN	matter
simply	RB	simply
of	IN	of
law	NN	law
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
law	NN	law
and	CC	and
are	VBP	be
international	JJ	international
treaties	NNS	treaty
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
