Two	CD	two
eyes	NNS	eye
active	JJ	active
in	IN	in
social	JJ	social
and	CC	and
national	JJ	national
work	NN	work
.	SENT	.
I	PP	I
am	VBP	be
from	IN	from
Akkah	NP	Akkah
,	,	,
from	IN	from
Palestine	NP	Palestine
.	SENT	.
My	PP$	my
family	NN	family
was	VBD	be
displaced	VVN	displace
from	IN	from
8	CD	@card@
.	SENT	.
I	PP	I
have	VHP	have
a	DT	a
lot	NN	lot
of	IN	of
great	JJ	great
hope	NN	hope
for	IN	for
their	PP$	their
return	NN	return
,	,	,
in	IN	in
connection	NN	connection
with	IN	with
the	DT	the
situation	NN	situation
that	WDT	that
is	VBZ	be
happening	VVG	happen
after	IN	after
the	DT	the
Al	NP	Al
-	NN	-
Aqsa	NP	Aqsa
Flood	NP	Flood
Battle	NP	Battle
.	SENT	.
The	DT	the
Palestinian	JJ	Palestinian
issue	NN	issue
has	VHZ	have
returned	VVN	return
to	TO	to
being	VBG	be
the	DT	the
central	JJ	central
issue	NN	issue
on	IN	on
the	DT	the
world	NN	world
level	NN	level
.	SENT	.
That	DT	that
is	VBZ	be
,	,	,
how	WRB	how
much	JJ	much
we	PP	we
have	VHP	have
heard	VVN	hear
about	IN	about
it	PP	it
.	SENT	.
It	PP	it
has	VHZ	have
become	VVN	become
a	DT	a
presence	NN	presence
in	IN	in
forums	NNS	forum
and	CC	and
institutions	NNS	institution
.	SENT	.
Universality	NN	universality
,	,	,
because	IN	because
in	IN	in
the	DT	the
end	NN	end
,	,	,
it	PP	it
is	VBZ	be
certain	JJ	certain
that	IN/that	that
the	DT	the
right	NN	right
is	VBZ	be
Palestinian	JJ	Palestinian
.	SENT	.
I	PP	I
do	VVP	do
not	RB	not
go	VV	go
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
we	PP	we
are	VBP	be
seeing	VVG	see
demonstrations	NNS	demonstration
in	IN	in
European	JJ	European
countries	NNS	country
.	SENT	.
How	WRB	how
active	JJ	active
they	PP	they
are	VBP	be
,	,	,
perhaps	RB	perhaps
especially	RB	especially
in	IN	in
the	DT	the
recent	JJ	recent
period	NN	period
.	SENT	.
This	DT	this
is	VBZ	be
instead	RB	instead
of	IN	of
how	WRB	how
much	RB	much
the	DT	the
world	NN	world
is	VBZ	be
with	IN	with
us	PP	us
,	,	,
how	WRB	how
much	RB	much
has	VHZ	have
understood	VVN	understand
,	,	,
and	CC	and
how	WRB	how
much	RB	much
has	VHZ	have
become	VVN	become
aware	JJ	aware
and	CC	and
cultured	VVN	culture
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
issue	NN	issue
.	SENT	.
There	EX	there
was	VBD	be
recognition	NN	recognition
from	IN	from
Ireland	NP	Ireland
,	,	,
from	IN	from
Spain	NP	Spain
,	,	,
from	IN	from
Norway	NP	Norway
,	,	,
of	IN	of
the	DT	the
State	NP	State
of	IN	of
Palestine	NP	Palestine
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
certain	JJ	certain
.	SENT	.
The	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
I	PP	I
am	VBP	be
saying	VVG	say
that	IN/that	that
I	PP	I
strengthen	VV	strengthen
the	DT	the
legitimacy	NN	legitimacy
of	IN	of
the	DT	the
State	NP	State
of	IN	of
Palestine	NP	Palestine
,	,	,
and	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
not	RB	not
only	JJ	only
women	NNS	woman
and	CC	and
men	NNS	man
.	SENT	.
I	PP	I
see	VVP	see
when	WRB	when
I	PP	I
see	VVP	see
children	NNS	child
,	,	,
how	WRB	how
children	NNS	child
speak	VVP	speak
,	,	,
they	PP	they
speak	VVP	speak
with	IN	with
the	DT	the
tongue	NN	tongue
of	IN	of
adults	NNS	adult
,	,	,
they	PP	they
have	VHP	have
become	VVN	become
understanding	NN	understanding
,	,	,
they	PP	they
have	VHP	have
become	VVN	become
aware	JJ	aware
,	,	,
they	PP	they
have	VHP	have
a	DT	a
sense	NN	sense
of	IN	of
national	JJ	national
belonging	NN	belonging
,	,	,
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
express	VV	express
themselves	PP	themselves
,	,	,
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
say	VV	say
,	,	,
I	PP	I
want	VVP	want
to	TO	to
defend	VV	defend
,	,	,
I	PP	I
am	VBP	be
with	IN	with
my	PP$	my
land	NN	land
,	,	,
I	PP	I
am	VBP	be
with	IN	with
my	PP$	my
homeland	NN	homeland
.	SENT	.
I	PP	I
will	MD	will
not	RB	not
dispense	VV	dispense
with	IN	with
my	PP$	my
land	NN	land
,	,	,
nor	CC	nor
will	MD	will
I	PP	I
dispense	VV	dispense
with	IN	with
my	PP$	my
country	NN	country
.	SENT	.
We	PP	we
all	RB	all
wish	VVP	wish
,	,	,
as	IN	as
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
diaspora	NN	Diaspora
,	,	,
that	WDT	that
we	PP	we
would	MD	would
be	VB	be
with	IN	with
them	PP	them
,	,	,
that	IN/that	that
we	PP	we
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
do	VV	do
something	NN	something
with	IN	with
them	PP	them
.	SENT	.
I	PP	I
mean	VVP	mean
steadfastness	NN	steadfastness
.	SENT	.
I	PP	I
see	VVP	see
it	PP	it
as	IN	as
legendary	JJ	legendary
steadfastness	NN	steadfastness
,	,	,
a	DT	a
steadfastness	NN	steadfastness
that	IN/that	that
I	PP	I
have	VHP	have
not	RB	not
seen	VVN	see
in	IN	in
any	DT	any
state	NN	state
or	CC	or
in	IN	in
any	DT	any
other	JJ	other
country	NN	country
.	SENT	.
Despite	IN	despite
everything	NN	everything
that	WDT	that
is	VBZ	be
happening	VVG	happen
,	,	,
the	DT	the
right	NN	right
to	TO	to
you	PP	you
has	VHZ	have
not	RB	not
been	VBN	be
diminished	VVN	diminish
,	,	,
nor	CC	nor
has	VHZ	have
our	PP$	our
return	NN	return
with	IN	with
faith	NN	faith
prevailed	VVD	prevail
.	SENT	.
The	DT	the
children	NNS	child
wake	VVP	wake
up	RB	up
when	WRB	when
I	PP	I
see	VVP	see
them	PP	them
in	IN	in
pieces	NNS	piece
.	SENT	.
I	PP	I
see	VVP	see
any	DT	any
fragments	NNS	fragment
in	IN	in
them	PP	them
,	,	,
meaning	VVG	mean
they	PP	they
cannot	MD	can
blame	VV	blame
them	PP	them
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
they	PP	they
are	VBP	be
scenes	NNS	scene
