<video_id>spwdW3QjXVc</video_id>	JJ	<video_id>spwdW3QjXVc</video_id>
<video_title>Al-Aqsa	NN	<video_title>Al-Aqsa
hospital	NN	hospital
in	IN	in
dire	JJ	dire
situation	NN	situation
as	IN	as
it	PP	it
struggles	VVZ	struggle
to	TO	to
cope	VV	cope
with	IN	with
casualties	NNS	casualty
from	IN	from
Israeli	JJ	Israeli
attacks</video_title>	JJ	attacks</video_title>
<thumbnail_path>data/en_AJ\Al-Aqsa	NN	<thumbnail_path>data/en_AJ\Al-Aqsa
hospital	NN	hospital
in	IN	in
dire	JJ	dire
situation	NN	situation
as	IN	as
it	PP	it
struggles	VVZ	struggle
to	TO	to
cope	VV	cope
with	IN	with
casualties	NNS	casualty
from	IN	from
Israeli	JJ	Israeli
attacks.jpg</thumbnail_path>	JJ	attacks.jpg</thumbnail_path>
<publish_date>20240219</publish_date>	NN	<publish_date>20240219</publish_date>
<doc>	NN	<doc>
we're	NN	we're
currently	RB	currently
in	IN	in
Mar	NP	Mar
Hospital	NP	Hospital
where	WRB	where
this	DT	this
hospital	NN	hospital
is	VBZ	be
now	RB	now
receiving	VVG	receive
all	DT	all
of	IN	of
the	DT	the
injured	JJ	injured
people	NNS	people
in	IN	in
kanun	NN	kanun
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
ground	NN	ground
invasion	NN	invasion
in	IN	in
kanun	NN	kanun
and	CC	and
the	DT	the
hospitals	NNS	hospital
there	EX	there
are	VBP	be
not	RB	not
working	VVG	work
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
the	DT	the
hospitals	NNS	hospital
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
nser	NN	nser
hospital	NN	hospital
that	WDT	that
is	VBZ	be
currently	RB	currently
being	VBG	be
invaded	VVN	invade
by	IN	by
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
here	RB	here
uh	UH	uh
the	DT	the
ambulances	NNS	ambulance
are	VBP	be
coming	VVG	come
and	CC	and
bringing	VVG	bring
a	DT	a
lot	NN	lot
of	IN	of
injuries	NNS	injury
and	CC	and
even	RB	even
the	DT	the
dead	JJ	dead
bodies	NNS	body
from	IN	from
uh	UH	uh
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
and	CC	and
Israel	NP	Israel
snipers	NNS	sniper
uh	UH	uh
it's	NNS	it's
very	RB	very
hard	RB	hard
for	IN	for
them	PP	them
to	TO	to
move	VV	move
and	CC	and
to	TO	to
transfer	VV	transfer
these	DT	these
injured	JJ	injured
people	NNS	people
from	IN	from
hunus	NN	hunus
to	TO	to
ra	NNS	ra
because	IN	because
it's	NNS	it's
very	RB	very
crowded	VVN	crowd
and	CC	and
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
ra	NN	ra
is	VBZ	be
packed	VVN	pack
and	CC	and
also	RB	also
all	RB	all
of	IN	of
the	DT	the
hospitals	NNS	hospital
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
overwhelmed	VVN	overwhelm
we're	NN	we're
talking	VVG	talk
about	RB	about
only	RB	only
a	DT	a
limited	JJ	limited
number	NN	number
of	IN	of
Hospital	NP	Hospital
hospitals	NNS	hospital
still	RB	still
facilitating	VVG	facilitate
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
currently	RB	currently
inside	IN	inside
Al	NP	Al
OA	NP	OA
hospital	NN	hospital
and	CC	and
as	IN	as
you	PP	you
see	VVP	see
it's	NNS	it's
crowded	VVN	crowd
with	IN	with
patients	NNS	patient
with	IN	with
injuries	NNS	injury
it's	NNS	it's
the	DT	the
only	JJ	only
facilitating	VVG	facilitate
Hospital	NN	hospital
in	IN	in
the	DT	the
middle	JJ	middle
area	NN	area
last	JJ	last
night	NN	night
at	IN	at
least	JJS	least
eight	CD	eight
houses	NNS	house
were	VBD	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
as	IN	as
you	PP	you
see	VVP	see
there	RB	there
it's	NNS	it's
packed	VVN	pack
with	IN	with
people	NNS	people
with	IN	with
patients	NNS	patient
with	IN	with
injuries	NNS	injury
it's	NNS	it's
working	VVG	work
on	IN	on
its	PP$	its
full	JJ	full
capacity	NN	capacity
we	PP	we
see	VVP	see
people	NNS	people
laying	VVG	lay
on	IN	on
the	DT	the
floor	NN	floor
these	DT	these
people	NNS	people
were	VBD	be
transferred	VVN	transfer
from	IN	from
kanun	NN	kanun
this	DT	this
morning	NN	morning
to	TO	to
Al	NP	Al
AA	NN	aa
Hospital	NP	Hospital
according	VVG	accord
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
they're	NN	they're
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
patients	NNS	patient
and	CC	and
refugees	NNS	refugee
stuck	VVN	stick
in	IN	in
uh	UH	uh
Al	NP	Al
nasar	NN	nasar
hospital	NN	hospital
and	CC	and
Al	NP	Al
Hospital	NP	Hospital
in	IN	in
kanun	NP	kanun
they	PP	they
have	VHP	have
been	VBN	be
coordinating	VVG	coordinate
and	CC	and
waiting	VVG	wait
for	IN	for
the	DT	the
green	JJ	green
light	NN	light
for	IN	for
the	DT	the
Israelis	NPS	Israelis
to	TO	to
give	VV	give
them	PP	them
the	DT	the
permission	NN	permission
to	TO	to
evacuate	VV	evacuate
these	DT	these
Palestinian	JJ	Palestinian
Medical	JJ	medical
Teams	NNS	team
the	DT	the
patients	NNS	patient
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
the	DT	the
refugees	NNS	refugee
but	CC	but
people	NNS	people
are	VBP	be
calling	VVG	call
for	IN	for
everyone	NN	everyone
to	TO	to
help	VV	help
them	PP	them
Evacuate	VV	evacuate
the	DT	the
situation	NN	situation
in	IN	in
hunis	NNS	hunis
is	VBZ	be
not	RB	not
getting	VVG	get
any	DT	any
better	JJR	good
Rafa	NP	Rafa
is	VBZ	be
being	VBG	be
threatened	VVN	threaten
for	IN	for
an	DT	an
invasion	NN	invasion
