<video_id>LVYDaKBJPc4</video_id>	JJ	<video_id>LVYDaKBJPc4</video_id>
<video_title>Captives	NNS	<video_title>Captives
received	VVN	receive
by	IN	by
Tel	NP	Tel
Aviv	NP	Aviv
hospital	NN	hospital
have	VHP	have
no	DT	no
’emergent	JJ	’emergent
issues’</video_title>	NN	issues’</video_title>
<thumbnail_path>data/en_AJ\Captives	NNS	<thumbnail_path>data/en_AJ\Captives
received	VVN	receive
by	IN	by
Tel	NP	Tel
Aviv	NP	Aviv
hospital	NN	hospital
have	VHP	have
no	DT	no
’emergent	JJ	’emergent
issues’.jpg</thumbnail_path>	NN	issues’.jpg</thumbnail_path>
<publish_date>20231126</publish_date>	NN	<publish_date>20231126</publish_date>
<doc>	NN	<doc>
told	VVD	tell
we	PP	we
can	MD	can
now	RB	now
listen	VV	listen
live	JJ	live
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Health	NP	Health
authorities	NNS	authority
speaking	VVG	speak
about	IN	about
the	DT	the
health	NN	health
of	IN	of
the	DT	the
captives	NNS	captive
who've	VVP	who've
just	RB	just
been	VBN	be
released	VVN	release
uh	UH	uh
for	IN	for
us	PP	us
uh	UH	uh
where	WRB	where
uh	UH	uh
we	PP	we
as	IN	as
a	DT	a
organization	NN	organization
had	VHD	have
the	DT	the
uh	UH	uh
amazing	JJ	amazing
privilege	NN	privilege
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
treat	VV	treat
uh	UH	uh
our	PP$	our
brothers	NNS	brother
and	CC	and
sisters	NNS	sister
our	PP$	our
children	NNS	child
um	NNS	um
that	WDT	that
have	VHP	have
been	VBN	be
kept	VVN	keep
kepted	VVN	kepted
uh	UH	uh
uh	UH	uh
by	IN	by
the	DT	the
Hamas	NN	Hamas
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
weeks	NNS	week
the	DT	the
edmon	NN	edmon
Safra	NP	Safra
Children's	NP	Children's
Hospital	NP	Hospital
uh	UH	uh
together	RB	together
with	IN	with
the	DT	the
whole	JJ	whole
Sheba	NP	Sheba
Medical	NP	Medical
Center	NP	Center
uh	UH	uh
has	VHZ	have
been	VBN	be
preparing	VVG	prepare
uh	UH	uh
for	IN	for
this	DT	this
uh	UH	uh
uh	UH	uh
opportunity	NN	opportunity
uh	UH	uh
We've	NP	We've
gathered	VVD	gather
the	DT	the
best	JJS	good
uh	UH	uh
professionals	NNS	professional
uh	UH	uh
and	CC	and
trained	VVN	train
them	PP	them
uh	UH	uh
we	PP	we
learned	VVD	learn
a	DT	a
lot	VV	lot
uh	UH	uh
we	PP	we
uh	UH	uh
consulted	VVN	consult
with	IN	with
our	PP$	our
peers	NNS	peer
and	CC	and
with	IN	with
the	DT	the
Israeli	NP	Israeli
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
um	NNS	um
and	CC	and
tried	VVD	try
to	TO	to
prepare	VV	prepare
uh	UH	uh
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
give	VV	give
those	DT	those
that	WDT	that
were	VBD	be
kept	VVN	keep
uh	UH	uh
captive	JJ	captive
um	NNS	um
any	DT	any
uh	UH	uh
care	NN	care
and	CC	and
attention	NN	attention
they	PP	they
might	MD	might
need	VV	need
uh	UH	uh
when	WRB	when
this	DT	this
uh	UH	uh
fortunate	JJ	fortunate
event	NN	event
where	WRB	where
they	PP	they
are	VBP	be
released	VVN	release
uh	UH	uh
happens	VVZ	happen
uh	UH	uh
and	CC	and
indeed	RB	indeed
uh	UH	uh
last	JJ	last
night	NN	night
after	IN	after
a	DT	a
very	JJ	very
uh	UH	uh
confusing	VVG	confuse
uh	UH	uh
and	CC	and
stressful	JJ	stressful
uh	UH	uh
period	NN	period
at	IN	at
around	RB	around
3:30	CD	@card@
a.m.	RB	a.m.
uh	UH	uh
we	PP	we
received	VVD	receive
um	VVG	um
uh	UH	uh
these	DT	these
uh	UH	uh
12	CD	@card@
uh	UH	uh
captives	NNS	captive
uh	UH	uh
children	NNS	child
and	CC	and
women	NNS	woman
um	NNS	um
that	WDT	that
came	VVD	come
back	RB	back
um	JJ	um
they	PP	they
underwent	VVD	undergo
uh	UH	uh
a	DT	a
medical	JJ	medical
evaluation	NN	evaluation
and	CC	and
a	DT	a
psychological	JJ	psychological
evaluation	NN	evaluation
I	PP	I
am	VBP	be
uh	UH	uh
happy	JJ	happy
to	TO	to
say	VV	say
that	IN/that	that
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
uh	UH	uh
har	NN	har
conditions	NNS	condition
that	WDT	that
have	VHP	have
been	VBN	be
under	IN	under
and	CC	and
the	DT	the
um	JJ	um
experience	NN	experience
of	IN	of
captivity	NN	captivity
they	PP	they
did	VVD	do
not	RB	not
um	RB	um
require	VV	require
any	DT	any
emergent	JJ	emergent
medical	JJ	medical
uh	UH	uh
intervention	NN	intervention
we	PP	we
will	MD	will
keep	VV	keep
them	PP	them
here	RB	here
at	IN	at
the	DT	the
edmona	NN	edmona
for	IN	for
children's	NN	children's
hospital	NN	hospital
for	IN	for
as	RB	as
long	JJ	long
as	IN	as
they	PP	they
need	VV	need
uh	UH	uh
and	CC	and
uh	UH	uh
care	NN	care
for	IN	for
them	PP	them
help	VVP	help
them	PP	them
uh	UH	uh
in	IN	in
their	PP$	their
preparation	NN	preparation
of	IN	of
coming	VVG	come
back	VV	back
uh	UH	uh
to	TO	to
their	PP$	their
communities	NNS	community
um	VVG	um
some	DT	some
of	IN	of
them	PP	them
uh	UH	uh
have	VH	have
no	DT	no
homes	NNS	home
to	TO	to
come	VV	come
back	RB	back
to	TO	to
but	CC	but
they	PP	they
have	VHP	have
a	DT	a
a	DT	a
very	RB	very
significant	JJ	significant
and	CC	and
supporting	JJ	supporting
community	NN	community
that	WDT	that
will	MD	will
uh	UH	uh
embrace	VV	embrace
them	PP	them
uh	UH	uh
as	IN	as
the	DT	the
whole	JJ	whole
nation	NN	nation
Embraces	VVZ	embrace
them	PP	them
uh	UH	uh
when	WRB	when
they	PP	they
