<video_id>bjfb1kM6Ouc</video_id>	JJ	<video_id>bjfb1kM6Ouc</video_id>
<video_title>Around	NN	<video_title>Around
300	CD	@card@
people	NNS	people
are	VBP	be
understood	VVN	understand
to	TO	to
be	VB	be
sheltering	VVG	shelter
inside	IN	inside
Gaza’s	NP	Gaza’s
holy	JJ	holy
family	NN	family
church</video_title>	NN	church</video_title>
<thumbnail_path>data/en_AJ\Around	NN	<thumbnail_path>data/en_AJ\Around
300	CD	@card@
people	NNS	people
are	VBP	be
understood	VVN	understand
to	TO	to
be	VB	be
sheltering	VVG	shelter
inside	IN	inside
Gaza’s	NP	Gaza’s
holy	JJ	holy
family	NN	family
church.jpg</thumbnail_path>	NN	church.jpg</thumbnail_path>
<publish_date>20231222</publish_date>	NN	<publish_date>20231222</publish_date>
<doc>	JJ	<doc>
KH	NP	KH
say	VVP	say
is	VBZ	be
a	DT	a
Palestinian	JJ	Palestinian
political	JJ	political
analyst	NN	analyst
who	WP	who
learned	VVD	learn
of	IN	of
his	PP$	his
father	NN	father
jerice	NN	jerice
se's	NNS	se's
death	NN	death
earlier	JJR	early
today	NN	today
his	PP$	his
father	NN	father
was	VBD	be
among	IN	among
others	NNS	other
Sheltering	VVG	shelter
at	IN	at
the	DT	the
Holy	NP	Holy
Family	NP	Family
Catholic	NP	Catholic
Church	NP	Church
in	IN	in
Gaza	NP	Gaza
and	CC	and
he	PP	he
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Washington	NP	Washington
DC	NP	DC
uh	UH	uh
first	RB	first
of	IN	of
all	DT	all
um	NN	um
our	PP$	our
our	PP$	our
deepest	JJS	deep
sympathies	NNS	sympathy
to	TO	to
you	PP	you
and	CC	and
your	PP$	your
family	NN	family
uh	UH	uh
over	IN	over
the	DT	the
death	NN	death
of	IN	of
your	PP$	your
father	NN	father
and	CC	and
uh	UH	uh
we	PP	we
thank	VVP	thank
you	PP	you
for	IN	for
uh	UH	uh
talking	VVG	talk
to	TO	to
us	PP	us
at	IN	at
this	DT	this
difficult	JJ	difficult
time	NN	time
can	MD	can
you	PP	you
um	RB	um
tell	VVP	tell
us	PP	us
first	JJ	first
of	IN	of
all	DT	all
about	IN	about
the	DT	the
circumstances	NNS	circumstance
of	IN	of
what	WP	what
happened	VVD	happen
here	RB	here
and	CC	and
how	WRB	how
you	PP	you
how	WRB	how
you	PP	you
learned	VVD	learn
of	IN	of
your	PP$	your
father's	NN	father's
death	NN	death
yeah	RB	yeah
thanks	VVZ	thank
H	NN	H
for	IN	for
having	VHG	have
me	PP	me
and	CC	and
thanks	NNS	thanks
for	IN	for
adding	VVG	add
this	DT	this
context	NN	context
today	NN	today
in	IN	in
the	DT	the
morning	NN	morning
I	PP	I
just	RB	just
received	VVD	receive
a	DT	a
call	NN	call
from	IN	from
my	PP$	my
cousin	NN	cousin
who's	NNS	who's
in	IN	in
ramala	NN	ramala
telling	VVG	tell
me	PP	me
have	VHP	have
you	PP	you
talked	VVN	talk
to	TO	to
your	PP$	your
parents	NNS	parent
today	NN	today
and	CC	and
me	FW	me
saying	VVG	say
no	RB	no
but	CC	but
I	PP	I
think	VVP	think
they're	NN	they're
okay	JJ	okay
because	IN	because
I	PP	I
heard	VVD	hear
yesterday	NN	yesterday
that	IN/that	that
the	DT	the
snipers	NNS	sniper
that	WDT	that
were	VBD	be
around	RB	around
the	DT	the
church	NN	church
that	WDT	that
shot	VVD	shoot
down	RB	down
two	CD	two
of	IN	of
the	DT	the
women	NNS	woman
uh	UH	uh
at	IN	at
the	DT	the
church	NN	church
who	WP	who
were	VBD	be
killed	VVN	kill
and	CC	and
others	NNS	other
who	WP	who
were	VBD	be
wounded	VVN	wound
are	VBP	be
no	RB	no
longer	RBR	longer
there	RB	there
and	CC	and
I	PP	I
felt	VVD	feel
that	IN/that	that
it's	NNS	it's
more	RBR	more
safe	JJ	safe
and	CC	and
then	RB	then
she	PP	she
said	VVD	say
I	PP	I
hate	VVP	hate
to	TO	to
break	VV	break
it	PP	it
down	RP	down
to	TO	to
you	PP	you
but	CC	but
your	PP$	your
father	NN	father
passed	VVD	pass
away	RP	away
your	PP$	your
father	NN	father
wasn't	NN	wasn't
able	JJ	able
to	TO	to
be	VB	be
transported	VVN	transport
to	TO	to
a	DT	a
hospital	NN	hospital
when	WRB	when
his	PP$	his
health	NN	health
has	VHZ	have
deterred	VVN	deter
and	CC	and
us	PP	us
your	PP$	your
father	NN	father
died	VVD	die
it	PP	it
was	VBD	be
uh	UH	uh
very	RB	very
hard	JJ	hard
to	TO	to
hear	VV	hear
that	RB	that
but	CC	but
even	RB	even
more	RBR	more
hard	JJ	hard
that	IN/that	that
I	PP	I
wasn't	VVD	wasn't
for	IN	for
hours	NNS	hour
uh	UH	uh
able	JJ	able
to	TO	to
even	RB	even
know	VV	know
what	WP	what
happened	VVD	happen
to	TO	to
my	PP$	my
father	NN	father
due	JJ	due
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
connection	NN	connection
with	IN	with
Gaza	NP	Gaza
and	CC	and
the	DT	the
cell	NN	cell
phone	NN	phone
services	NNS	service
and	CC	and
I	PP	I
had	VHD	have
to	TO	to
really	RB	really
waitting	VVG	waitting
hours	NNS	hour
just	RB	just
to	TO	to
know	VV	know
if	IN	if
my	PP$	my
father	NN	father
was	VBD	be
buried	VVN	bury
or	CC	or
not	RB	not
how	WRB	how
did	VVD	do
he	PP	he
die	VVP	die
and	CC	and
the	DT	the
circumstances	NNS	circumstance
of	IN	of
surrounding	VVG	surround
his	PP$	his
death	NN	death
so	RB	so
from	IN	from
what	WP	what
you're	NN	you're
saying	VVG	say
there	RB	there
there	EX	there
was	VBD	be
an	DT	an
opportunity	NN	opportunity
for	IN	for
your	PP$	your
father	NN	father
to	TO	to
get	VV	get
treatment	NN	treatment
for	IN	for
his	PP$	his
injuries	NNS	injury
but	CC	but
because	IN	because
of	IN	of
the	DT	the
