meanwhile	RB	meanwhile
at	IN	at
least	JJS	least
40	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attacks	NNS	attack
across	IN	across
Gaza	NP	Gaza
since	IN	since
Saturday	NP	Saturday
evening	NN	evening
the	DT	the
casualties	NNS	casualty
include	VVP	include
children	NNS	child
in	IN	in
the	DT	the
cities	NNS	city
of	IN	of
hunis	NP	hunis
and	CC	and
de	NP	de
albala	NN	albala
the	DT	the
injured	JJ	injured
have	VHP	have
been	VBN	be
rushed	VVN	rush
to	TO	to
barely	RB	barely
functioning	VVG	function
hospitals	NNS	hospital
the	DT	the
military	NN	military
has	VHZ	have
widened	VVN	widen
operations	NNS	operation
with	IN	with
aerial	NN	aerial
and	CC	and
ground	NN	ground
attacks	NNS	attack
across	IN	across
Central	NP	Central
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
and	CC	and
there	EX	there
have	VHP	have
been	VBN	be
more	RBR	more
Israeli	JJ	Israeli
overnight	JJ	overnight
strikes	NNS	strike
on	IN	on
Gaza	NP	Gaza
10	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
after	IN	after
Israel	NP	Israel
bombed	VVD	bomb
a	DT	a
house	NN	house
in	IN	in
Kan	NP	Kan
yunes	NNS	yunes
let	VVD	let
'	''	'
s	NNS	s
go	VVP	go
to	TO	to
Honey	NP	Honey
Mahmud	NP	Mahmud
who	WP	who
is	VBZ	be
live	JJ	live
for	IN	for
us	PP	us
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
the	DT	the
strikes	NNS	strike
coming	VVG	come
in	IN	in
in	IN	in
the	DT	the
South	JJ	South
thick	JJ	thick
and	CC	and
fast	JJ	fast
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
yes	RB	yes
well	RB	well
the	DT	the
the	DT	the
bombing	NN	bombing
hasn	NN	hasn
'	POS	'
t	NN	t
stopped	VVD	stop
since	IN	since
last	JJ	last
night	NN	night
and	CC	and
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
early	JJ	early
hour	NN	hour
of	IN	of
this	DT	this
morning	NN	morning
and	CC	and
just	RB	just
within	IN	within
the	DT	the
past	JJ	past
45	CD	@card@
minutes	NNS	minute
we	PP	we
we	PP	we
have	VHP	have
confirmed	VVN	confirm
reports	NNS	report
of	IN	of
an	DT	an
attack	NN	attack
on	IN	on
a	DT	a
residential	JJ	residential
home	NN	home
at	IN	at
Alia	NP	Alia
area	NN	area
that	RB	that
'	POS	'
s	NN	S
at	IN	at
the	DT	the
western	JJ	western
side	NN	side
of	IN	of
kanun	NP	kanun
City	NP	City
a	DT	a
border	NN	border
line	NN	line
area	NN	area
with	IN	with
Al	NP	Al
maasi	NP	maasi
area	NN	area
an	DT	an
area	NN	area
that	IN/that	that
people	NNS	people
have	VHP	have
taken	VVN	take
as	IN	as
a	DT	a
refuge	NN	refuge
since	IN	since
uh	UH	uh
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
as	IN	as
they	PP	they
were	VBD	be
told	VVD	tell
it	PP	it
'	''	'
s	VVG	s
a	DT	a
safe	JJ	safe
area	NN	area
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
but	CC	but
the	DT	the
fact	NN	fact
that	IN/that	that
this	DT	this
is	VBZ	be
happening	VVG	happen
more	RBR	more
than	IN	than
just	RB	just
one	CD	one
time	NN	time
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
in	IN	in
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
our	PP$	our
residential	JJ	residential
home	NN	home
near	IN	near
here	RB	here
Western	JJ	Western
ra	NNS	ra
close	JJ	close
to	TO	to
where	WRB	where
people	NNS	people
uh	UH	uh
uh	UH	uh
resided	VVN	reside
and	CC	and
and	CC	and
and	CC	and
and	CC	and
built	VVN	build
and	CC	and
set	VVN	set
up	RP	up
their	PP$	their
tents	VVZ	tent
uh	UH	uh
seeking	VVG	seek
Refuge	NP	Refuge
from	IN	from
the	DT	the
horr	NP	Horr
of	IN	of
this	DT	this
war	NN	war
it	PP	it
'	POS	'
s	NNS	s
happening	VVG	happen
one	CD	one
more	JJR	more
time	NN	time
there	EX	there
are	VBP	be
three	CD	three
people	NNS	people
reported	VVD	report
killed	VVN	kill
in	IN	in
that	DT	that
particular	JJ	particular
uh	UH	uh
area	NN	area
and	CC	and
just	RB	just
important	JJ	important
to	TO	to
