since	IN	since
the	DT	the
war	NN	war
started	VVD	start
my	PP$	my
mentality	NN	mentality
was	VBD	be
that	IN/that	that
I	PP	I
would	MD	would
never	RB	never
make	VV	make
it	PP	it
we	PP	we
go	VVP	go
electricity	NN	electricity
no	DT	no
food	NN	food
no	RB	no
water	VV	water
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
several	JJ	several
air	NN	air
strikes	VVZ	strike
that	IN/that	that
this	DT	this
temporary	JJ	temporary
life	NN	life
this	DT	this
is	VBZ	be
the	DT	the
end	NN	end
for	IN	for
me	PP	me
here	RB	here
in	IN	in
razza	NN	razza
so	IN	so
I	PP	I
need	VVP	need
to	TO	to
make	VV	make
the	DT	the
most	JJS	most
of	IN	of
it	PP	it
so	IN	so
I	PP	I
tried	VVD	try
to	TO	to
maximize	VV	maximize
the	DT	the
amount	NN	amount
of	IN	of
Good	NP	Good
Deeds	NP	Deeds
that	IN/that	that
I	PP	I
was	VBD	be
doing	VVG	do
and	CC	and
prepare	VV	prepare
myself	PP	myself
mentally	RB	mentally
for	IN	for
life	NN	life
after	IN	after
death	NN	death
my	PP$	my
name	NN	name
is	VBZ	be
Mansour	NP	Mansour
Schuman	NP	Schuman
I	NP	I
'	POS	'
m	NN	m
a	DT	a
Palestinian	JJ	Palestinian
Canadian	JJ	Canadian
citizen	NN	citizen
journalist	NN	journalist
and	CC	and
between	IN	between
us	PP	us
despite	IN	despite
leaving	VVG	leave
Gaza	NP	Gaza
physically	RB	physically
we	PP	we
'	POS	'
re	NN	re
just	RB	just
getting	VVG	get
started	VVN	start
with	IN	with
the	DT	the
work	NN	work
that	WDT	that
needs	VVZ	need
to	TO	to
be	VB	be
done	VVN	do
a	DT	a
decision	NN	decision
was	VBD	be
made	VVN	make
uh	UH	uh
by	IN	by
myself	PP	myself
and	CC	and
my	PP$	my
wife	NN	wife
earlier	RBR	earlier
in	IN	in
2022	CD	@card@
that	IN/that	that
we	PP	we
wanted	VVD	want
to	TO	to
live	VV	live
back	RB	back
closer	RBR	closer
to	TO	to
home	NN	home
home	NN	home
being	VBG	be
a	DT	a
Palestine	NP	Palestine
um	NN	um
I	NP	I
'	POS	'
m	NN	m
originally	RB	originally
from	IN	from
Jerusalem	NP	Jerusalem
uh	UH	uh
my	PP$	my
wife	NN	wife
is	VBZ	be
originally	RB	originally
from	IN	from
a	DT	a
town	NN	town
beside	IN	beside
Gaza	NP	Gaza
Strip	NP	Strip
October	NP	October
the	DT	the
7th	JJ	7th
we	PP	we
woke	VVD	wake
up	RP	up
at	IN	at
the	DT	the
sound	NN	sound
of	IN	of
thousands	NNS	thousand
of	IN	of
rockets	NNS	rocket
and	CC	and
we	PP	we
didn	NP	didn
'	POS	'
t	NN	t
know	VVP	know
what	WP	what
was	VBD	be
happening	VVG	happen
on	IN	on
November	NP	November
the	DT	the
7th	JJ	7th
uh	UH	uh
the	DT	the
Canadian	JJ	Canadian
government	NN	government
came	VVD	come
back	RB	back
to	TO	to
us	PP	us
saying	VVG	say
that	IN/that	that
they	PP	they
got	VVD	get
approval	NN	approval
for	IN	for
me	PP	me
and	CC	and
my	PP$	my
family	NN	family
U	NN	U
to	TO	to
all	RB	all
leave	VV	leave
Gaza	NP	Gaza
I	PP	I
had	VHD	have
a	DT	a
very	RB	very
