<video_id>LaGZZs2u3tI</video_id>	JJ	<video_id>LaGZZs2u3tI</video_id>
<video_title>Occupied	JJ	<video_title>Occupied
Palestinian	JJ	Palestinian
territory:	NN	territory:
ICJ	NP	ICJ
says	VVZ	say
Israel’s	NP	Israel’s
presence	NN	presence
violates	VVZ	violate
international	JJ	international
law</video_title>	JJ	law</video_title>
<thumbnail_path>data/en_AJ\Occupied	JJ	<thumbnail_path>data/en_AJ\Occupied
Palestinian	JJ	Palestinian
territory	NN	territory
ICJ	NP	ICJ
says	VVZ	say
Israel’s	NP	Israel’s
presence	NN	presence
violates	VVZ	violate
international	JJ	international
law.jpg</thumbnail_path>	JJ	law.jpg</thumbnail_path>
<publish_date>20240720</publish_date>	NN	<publish_date>20240720</publish_date>
<doc>	NN	<doc>
[Music]	NN	[Music]
it	PP	it
was	VBD	be
a	DT	a
landmark	JJ	landmark
case	NN	case
for	IN	for
the	DT	the
15	CD	@card@
judges	NNS	judge
of	IN	of
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
with	IN	with
52	CD	@card@
countries	NNS	country
participating	VVG	participate
it	PP	it
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
the	DT	the
court	NN	court
had	VHD	have
ever	RB	ever
to	TO	to
decide	VV	decide
on	IN	on
they	PP	they
had	VHD	have
to	TO	to
rule	VV	rule
on	IN	on
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
of	IN	of
Israel's	NP	Israel's
57	CD	@card@
yearlong	JJ	yearlong
occupation	NN	occupation
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
Gaza	NP	Gaza
and	CC	and
East	NP	East
Jerusalem	NP	Jerusalem
and	CC	and
the	DT	the
impact	NN	impact
it	PP	it
has	VHZ	have
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
population	NN	population
this	DT	this
is	VBZ	be
a	DT	a
different	JJ	different
case	NN	case
than	IN	than
the	DT	the
one	CD	one
South	NP	South
Africa	NP	Africa
filed	VVD	file
against	IN	against
Israel	NP	Israel
for	IN	for
committing	VVG	commit
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
in	IN	in
this	DT	this
ad	NN	ad
opinion	NN	opinion
most	JJS	most
of	IN	of
the	DT	the
judges	NNS	judge
agreed	VVD	agree
Israel's	NP	Israel's
occupation	NN	occupation
has	VHZ	have
