reusing	VVG	reuse
medical	JJ	medical
supplies	NNS	supply
and	CC	and
operating	VVG	operate
without	IN	without
anesthetics	NNS	anesthetic
that	WDT	that
'	POS	'
s	NNS	s
the	DT	the
reality	NN	reality
in	IN	in
much	JJ	much
of	IN	of
Gaza	NP	Gaza
where	WRB	where
the	DT	the
injured	JJ	injured
are	VBP	be
faced	VVN	face
with	IN	with
a	DT	a
health	NN	health
system	NN	system
that	WDT	that
collapsed	VVD	collapse
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
teams	VVZ	team
of	IN	of
international	JJ	international
doctors	NNS	doctor
who	WP	who
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
enter	VV	enter
the	DT	the
strip	NN	strip
are	VBP	be
shocked	VVN	shock
by	IN	by
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
they	PP	they
'	POS	'
re	NN	re
operating	VVG	operate
on	IN	on
and	CC	and
that	DT	that
includes	VVZ	include
Dr	NP	Dr
Victoria	NP	Victoria
Rose	NP	Rose
she	PP	she
was	VBD	be
the	DT	the
only	JJ	only
plastic	NN	plastic
surgeon	NN	surgeon
at	IN	at
the	DT	the
largest	JJS	large
facility	NN	facility
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
nasd	NN	nasd
hospital	NN	hospital
and	CC	and
saw	VVD	see
a	DT	a
steady	JJ	steady
stream	NN	stream
of	IN	of
children	NNS	child
with	IN	with
blast	NN	blast
wounds	NNS	wound
to	TO	to
the	DT	the
face	NN	face
and	CC	and
limbs	NNS	limb
well	RB	well
she	PP	she
'	POS	'
s	NN	S
just	RB	just
returned	VVD	return
to	TO	to
the	DT	the
UK	NP	UK
from	IN	from
Gaza	NP	Gaza
and	CC	and
she	PP	she
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
aler	NN	aler
NewsHour	NP	NewsHour
Dr	NP	Dr
Victoria	NP	Victoria
Rose	NP	Rose
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
with	IN	with
us	PP	us
um	JJ	um
as	IN	as
we	PP	we
'	POS	'
re	NN	re
saying	VVG	say
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
returned	VVD	return
you	PP	you
were	VBD	be
working	VVG	work
at	IN	at
Nasa	NP	Nasa
Hospital	NP	Hospital
uh	UH	uh
in	IN	in
Khan	NP	Khan
yunes	NNS	yunes
can	MD	can
you	PP	you
speak	VV	speak
to	TO	to
what	WP	what
you	PP	you
saw	VVD	see
there	RB	there
and	CC	and
what	WP	what
shocked	VVD	shock
you	PP	you
the	DT	the
most	JJS	most
I	PP	I
think	VVP	think
what	WP	what
shocked	VVD	shock
me	PP	me
the	DT	the
most	RBS	most
this	DT	this
time	NN	time
was	VBD	be
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
that	WDT	that
um	NNS	um
I	PP	I
saw	VVD	see
and	CC	and
and	CC	and
in	IN	in
fact	NN	fact
operated	VVN	operate
on	IN	on
when	WRB	when
I	PP	I
'	POS	'
d	NN	d
been	VBN	be
um	JJ	um
at	IN	at
the	DT	the
European	NP	European
Gaza	NP	Gaza
Hospital	NP	Hospital
in	IN	in
March	NP	March
um	NNS	um
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
children	NNS	child
then	RB	then
but	CC	but
now	RB	now
in	IN	in
August	NP	August
I	PP	I
would	MD	would
say	VV	say
that	IN/that	that
80	CD	@card@
%	NN	%
of	IN	of
everyone	NN	everyone
I	PP	I
treated	VVD	treat
was	VBD	be
under	IN	under
the	DT	the
age	NN	age
of	IN	of
16	CD	@card@
what	WP	what
sorts	VVZ	sort
of	IN	of
injuries	NNS	injury
would	MD	would
you	PP	you
see	VV	see
and	CC	and
what	WP	what
sort	NN	sort
of	IN	of
operations	NNS	operation
would	MD	would
you	PP	you
be	VB	be
carrying	VVG	carry
out	RP	out
um	NNS	um
all	RB	all
of	IN	of
the	DT	the
injuries	NNS	injury
were	VBD	be
explosive	JJ	explosive
related	JJ	related
um	NNS	um
and	CC	and
burns	NNS	burn
that	IN/that	that
there	EX	there
was	VBD	be
no	DT	no
real	JJ	real
other	JJ	other
injury	NN	injury
apart	RB	apart
from	IN	from
explosion	NN	explosion
or	CC	or
a	DT	a
burn	NN	burn
um	NN	um
so	IN	so
the	DT	the
sorts	NNS	sort
of	IN	of
things	NNS	thing
that	IN/that	that
I	PP	I
was	VBD	be
um	RB	um
mainly	RB	mainly
treating	VVG	treat
uh	UH	uh
were	VBD	be
um	JJ	um
sort	NN	sort
of	IN	of
third	JJ	third
degree	NN	degree
burns	VVZ	burn
30	CD	@card@
40	CD	@card@
%	NN	%
um	NN	um
I	PP	I
saw	VVD	see
a	DT	a
lot	NN	lot
of	IN	of
lower	JJR	low
limb	NN	limb
trauma	NN	trauma
children	NNS	child
losing	VVG	lose
legs	NNS	leg
um	NNS	um
losing	VVG	lose
arms	NNS	arm
we	PP	we
had	VHD	have
a	DT	a
couple	NN	couple
of	IN	of
upper	JJ	upper
arm	NN	arm
amputees	NNS	amputee
a	DT	a
lot	NN	lot
of	IN	of
facial	JJ	facial
injuries	NNS	injury
um	VVD	um
I	PP	I
had	VHD	have
a	DT	a
seven	CD	seven
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
that	WDT	that
had	VHD	have
most	RBS	most
of	IN	of
nose	NN	nose
blown	VVN	blow
off	RP	off
and	CC	and
um	VVG	um
a	DT	a
big	JJ	big
hole	NN	hole
in	IN	in
his	PP$	his
lip	JJ	lip
um	NNS	um
a	DT	a
girl	NN	girl
that	WDT	that
had	VHD	have
lost	VVN	lose
quite	PDT	quite
a	DT	a
lot	NN	lot
of	IN	of
her	PP$	her
um	JJ	um
skin	NN	skin
down	RB	down
to	TO	to
the	DT	the
bone	NN	bone
on	IN	on
her	PP	her
on	IN	on
her	PP$	her
forehead	NN	forehead
um	NNS	um
so	RB	so
so	RB	so
what	WP	what
tended	VVD	tend
to	TO	to
happen	VV	happen
is	VBZ	be
in	IN	in
the	DT	the
explosions	NNS	explosion
the	DT	the
children	NNS	child
would	MD	would
either	RB	either
get	VV	get
burnt	JJ	burnt
or	CC	or
shrapnel	NN	shrapnel
or	CC	or
or	JJ	or
um	JJ	um
part	NN	part
of	IN	of
the	DT	the
building	NN	building
that	WDT	that
had	VHD	have
crumbled	VVN	crumble
would	MD	would
be	VB	be
would	MD	would
be	VB	be
weaponized	VVN	weaponized
and	CC	and
held	VVN	hold
at	IN	at
them	PP	them
and	CC	and
then	RB	then
inflict	VV	inflict
a	DT	a
sort	NN	sort
of	IN	of
soft	JJ	soft
tissue	NN	tissue
wound	VVD	wind
with	IN	with
or	CC	or
without	IN	without
an	DT	an
under	IN	under
dying	VVG	die
bony	JJ	bony
injury	NN	injury
have	VH	have
you	PP	you
ever	RB	ever
seen	VVN	see
anything	NN	anything
like	IN	like
this	DT	this
no	RB	no
never	RB	never
how	WRB	how
are	VBP	be
the	DT	the
children	NNS	child
coping	VVG	cope
in	IN	in
their	PP$	their
families	NNS	family
uh	UH	uh
various	JJ	various
ways	NNS	way
I	PP	I
mean	VVP	mean
the	DT	the
whole	JJ	whole
Spectrum	NP	Spectrum
we	PP	we
had	VHD	have
a	DT	a
few	JJ	few
children	NNS	child
that	WDT	that
refused	VVD	refuse
to	TO	to
speak	VV	speak
to	TO	to
us	PP	us
or	CC	or
engage	VV	engage
with	IN	with
us	PP	us
or	CC	or
really	RB	really
with	IN	with
any	DT	any
of	IN	of
their	PP$	their
family	NN	family
um	NNS	um
and	CC	and
then	RB	then
some	RB	some
some	DT	some
children	NNS	child
who	WP	who
who	WP	who
sort	NN	sort
of	IN	of
you	PP	you
know	VVP	know
managed	VVN	manage
to	TO	to
uh	UH	uh
cope	VV	cope
with	IN	with
their	PP$	their
injuries	NNS	injury
and	CC	and
and	CC	and
sort	VV	sort
of	IN	of
were	VBD	be
really	RB	really
conducive	JJ	conducive
to	TO	to
treatment	NN	treatment
and	CC	and
and	NP	and
seemed	VVD	seem
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
by	IN	by
but	CC	but
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
a	DT	a
real	JJ	real
mixed	JJ	mixed
bag	NN	bag
um	NNS	um
a	DT	a
lot	NN	lot
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
children	NNS	child
are	VBP	be
so	RB	so
young	JJ	young
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
they	PP	they
understand	VVP	understand
the	DT	the
significance	NN	significance
of	IN	of
some	DT	some
of	IN	of
the	DT	the
injuries	NNS	injury
that	IN/that	that
they	PP	they
'	POS	'
ve	NN	ve
sustained	VVD	sustain
there	EX	there
have	VHP	have
been	VBN	be
several	JJ	several
attacks	NNS	attack
near	IN	near
hospitals	NNS	hospital
throughout	IN	throughout
this	DT	this
war	NN	war
or	CC	or
even	RB	even
on	IN	on
a	DT	a
field	NN	field
Hospital	NN	hospital
in	IN	in
central	JJ	central
Gaza	NP	Gaza
that	WDT	that
took	VVD	take
place	NN	place
on	IN	on
July	NP	July
the	DT	the
27th	JJ	27th
many	JJ	many
children	NNS	child
there	RB	there
among	IN	among
the	DT	the
Dead	NP	Dead
the	DT	the
doctors	NNS	doctor
and	CC	and
the	DT	the
nurses	NNS	nurse
and	CC	and
all	PDT	all
your	PP$	your
colleagues	NNS	colleague
on	IN	on
the	DT	the
ground	NN	ground
will	MD	will
have	VH	have
to	TO	to
be	VB	be
making	VVG	make
some	DT	some
tough	JJ	tough
decisions	NNS	decision
as	IN	as
to	TO	to
who	WP	who
to	TO	to
try	VV	try
to	TO	to
save	VV	save
considering	VVG	consider
the	DT	the
lack	NN	lack
of	IN	of
space	NN	space
the	DT	the
lack	NN	lack
of	IN	of
anesthetics	NNS	anesthetic
the	DT	the
lack	NN	lack
of	IN	of
supplies	NNS	supply
and	CC	and
the	DT	the
list	NN	list
goes	VVZ	go
on	IN	on
and	CC	and
on	IN	on
I	PP	I
mean	VVP	mean
how	WRB	how
how	WRB	how
difficult	JJ	difficult
were	VBD	be
these	DT	these
decisions	NNS	decision
to	TO	to
make	VV	make
I	PP	I
think	VVP	think
we	PP	we
were	VBD	be
making	VVG	make
sort	NN	sort
of	IN	of
decisions	NNS	decision
