<video_id>Tnnh_QJB6nA</video_id>	NP	<video_id>Tnnh_QJB6nA</video_id>
<video_title>Rami	NP	<video_title>Rami
al-Halhuli's	NP	al-Halhuli's
father	NN	father
says	VVZ	say
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
imposing	VVG	impose
restrictions	NNS	restriction
on	IN	on
return	NN	return
of	IN	of
body</video_title>	JJ	body</video_title>
<thumbnail_path>data/en_AJ\Rami	NP	<thumbnail_path>data/en_AJ\Rami
al-Halhuli's	NP	al-Halhuli's
father	NN	father
says	VVZ	say
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
imposing	VVG	impose
restrictions	NNS	restriction
on	IN	on
return	NN	return
of	IN	of
body.jpg</thumbnail_path>	JJ	body.jpg</thumbnail_path>
<publish_date>20240314</publish_date>	JJ	<publish_date>20240314</publish_date>
<doc>	NN	<doc>
the	DT	the
father	NN	father
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
child	NN	child
shot	VVD	shoot
dead	JJ	dead
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
says	VVZ	say
Israel	NP	Israel
is	VBZ	be
imposing	VVG	impose
restrictions	NNS	restriction
on	IN	on
receiving	VVG	receive
his	PP$	his
body	NN	body
13-year-old	JJ	13-year-old
Ramy	NP	Ramy
alh	NP	alh
Huli	NP	Huli
was	VBD	be
shot	VVN	shoot
in	IN	in
the	DT	the
chess	NN	chess
while	IN	while
playing	VVG	play
with	IN	with
fireworks	NNS	firework
near	IN	near
the	DT	the
shat	VVD	shit
refugee	NN	refugee
camp	NN	camp
checkpoint	NN	checkpoint
on	IN	on
Wednesday	NP	Wednesday
let's	NNS	let's
bring	VVP	bring
in	IN	in
Laura	NP	Laura
Khan	NP	Khan
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
Laura	NP	Laura
what	WP	what
are	VBP	be
these	DT	these
restrictions	NNS	restriction
and	CC	and
why	WRB	why
is	VBZ	be
Israel	NP	Israel
imposing	VVG	impose
them	PP	them
well	RB	well
as	IN	as
you	PP	you
said	VVD	say
13-year-old	JJ	13-year-old
Ramy	NP	Ramy
alhur	NN	alhur
shot	VVD	shoot
in	IN	in
the	DT	the
chest	NN	chest
and	CC	and
he	PP	he
eventually	RB	eventually
died	VVD	die
in	IN	in
a	DT	a
hospital	NN	hospital
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
took	VVD	take
his	PP$	his
body	NN	body
um	NNS	um
to	TO	to
an	DT	an
Israeli	JJ	Israeli
Hospital	NN	hospital
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
and	CC	and
then	RB	then
the	DT	the
Israeli	JJ	Israeli
military	NN	military
took	VVD	take
his	PP$	his
body	NN	body
now	IN	now
his	PP$	his
father	NN	father
has	VHZ	have
released	VVN	release
a	DT	a
statement	NN	statement
to	TO	to
many	JJ	many
Palestinian	JJ	Palestinian
media	NNS	medium
to	TO	to
say	VV	say
that	IN/that	that
they	PP	they
have	VHP	have
promised	VVN	promise
to	TO	to
give	VV	give
his	PP$	his
body	NN	body
back	RB	back
on	IN	on
Friday	NP	Friday
midnight	NN	midnight
but	CC	but
with	IN	with
some	DT	some
major	JJ	major
caveats	NNS	caveat
the	DT	the
first	JJ	first
is	VBZ	be
that	IN/that	that
only	RB	only
four	CD	four
members	NNS	member
of	IN	of
the	DT	the
family	NN	family
can	MD	can
go	VV	go
and	CC	and
collect	VV	collect
the	DT	the
body	NN	body
then	RB	then
he'd	RB	he'd
have	VH	have
to	TO	to
be	VB	be
buried	VVN	bury
inside	IN	inside
schwat	NN	schwat
refugee	NN	refugee
camp	NN	camp
now	RB	now
schwat	NN	schwat
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
Israeli	JJ	Israeli
separation	NN	separation
wall	NN	wall
um	NN	um
it's	NNS	it's
part	NN	part
of	IN	of
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
but	CC	but
he's	NNS	he's
from	IN	from
this	DT	this
side	NN	side
of	IN	of
the	DT	the
wall	NN	wall
and	CC	and
his	PP$	his
family	NN	family
burial	NN	burial
site	NN	site
is	VBZ	be
also	RB	also
on	IN	on
this	DT	this
side	NN	side
so	RB	so
of	IN	of
course	NN	course
they	PP	they
would	MD	would
want	VV	want
to	TO	to
have	VH	have
him	PP	him
buried	VVN	bury
here	RB	here
they	PP	they
also	RB	also
said	VVD	say
only	RB	only
50	CD	@card@
members	NNS	member
of	IN	of
uh	UH	uh
the	DT	the
family	NN	family
and	CC	and
friends	NNS	friend
are	VBP	be
allowed	VVN	allow
to	TO	to
attend	VV	attend
the	DT	the
funeral	NN	funeral
usually	RB	usually
in	IN	in
these	DT	these
kind	NN	kind
of	IN	of
refugee	NN	refugee
camps	NNS	camp
you	PP	you
see	VVP	see
