<video_id>zmhRqzdG4CQ</video_id>	JJ	<video_id>zmhRqzdG4CQ</video_id>
<video_title>Biden	JJ	<video_title>Biden
calls	NNS	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
during	IN	during
a	DT	a
phone	NN	phone
call	NN	call
with	IN	with
Netanyahu</video_title>	NP	Netanyahu</video_title>
<thumbnail_path>data/en_AJ\Biden	NP	<thumbnail_path>data/en_AJ\Biden
calls	VVZ	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
during	IN	during
a	DT	a
phone	NN	phone
call	NN	call
with	IN	with
Netanyahu.jpg</thumbnail_path>	NP	Netanyahu.jpg</thumbnail_path>
<publish_date>20240404</publish_date>	JJ	<publish_date>20240404</publish_date>
<doc>	NN	<doc>
so	IN	so
we	PP	we
begin	VVP	begin
this	DT	this
newsour	NN	newsour
with	IN	with
the	DT	the
US	NP	US
president's	NNS	president's
call	VVP	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
during	IN	during
a	DT	a
phone	NN	phone
call	NN	call
with	IN	with
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
Biden	NP	Biden
told	VVD	tell
his	PP$	his
Israeli	JJ	Israeli
counterpart	NN	counterpart
that	IN/that	that
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
essential	JJ	essential
and	CC	and
urged	VVD	urge
him	PP	him
to	TO	to
reach	VV	reach
a	DT	a
deal	NN	deal
without	IN	without
delay	NN	delay
he	PP	he
also	RB	also
said	VVD	say
that	IN/that	that
US	NP	US
policy	NN	policy
depends	VVZ	depend
on	IN	on
immediate	JJ	immediate
action	NN	action
by	IN	by
Israel	NP	Israel
to	TO	to
protect	VV	protect
civilians	NNS	civilian
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
the	DT	the
two	CD	two
leaders	NNS	leader
have	VHP	have
spoken	VVN	speak
since	IN	since
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
killed	VVD	kill
seven	CD	seven
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
Aid	NP	Aid
workers	NNS	worker
in	IN	in
Gaza	NP	Gaza
on	IN	on
Monday	NP	Monday
alzer's	NP	alzer's
White	NP	White
House	NP	House
correspond	VV	correspond
Kimberly	NP	Kimberly
hit	NN	hit
joins	VVZ	join
us	PP	us
now	RB	now
Kimberly	NP	Kimberly
we're	NN	we're
going	VVG	go
to	TO	to
first	JJ	first
run	NN	run
through	IN	through
the	DT	the
language	NN	language
here	RB	here
what	WP	what
Biden	NP	Biden
is	VBZ	be
reported	VVN	report
to	TO	to
have	VH	have
told	VVN	tell
Netanyahu	NP	Netanyahu
and	CC	and
after	IN	after
that	DT	that
you'll	NN	you'll
tell	VV	tell
us	PP	us
how	WRB	how
new	JJ	new
it	PP	it
is	VBZ	be
and	CC	and
put	VV	put
some	DT	some
context	NN	context
around	IN	around
it	PP	it
first	RB	first
what	WP	what
did	VVD	do
he	PP	he
say	VVP	say
exactly	RB	exactly
yeah	RB	yeah
a	DT	a
very	RB	very
strongly	RB	strongly
worded	VVN	word
readout	NN	readout
much	RB	much
stronger	JJR	strong
than	IN	than
we	PP	we
typically	RB	typically
see	VVP	see
from	IN	from
the	DT	the
White	NP	White
House	NP	House
it	PP	it
was	VBD	be
uh	UH	uh
very	RB	very
clear	JJ	clear
and	CC	and
by	IN	by
that	IN/that	that
that	DT	that
word	NN	word
specifically	RB	specifically
the	DT	the
president	NN	president
made	VVN	make
clear	JJ	clear
was	VBD	be
used	VVN	use
at	IN	at
least	JJS	least
three	CD	three
