<video_id>UF3aHdkhYd0</video_id>	JJ	<video_id>UF3aHdkhYd0</video_id>
<video_title>UN	NN	<video_title>UN
Labels	VVZ	label
Gaza	NP	Gaza
food	NN	food
shortages	NNS	shortage
a	DT	a
'nutrition	NN	'nutrition
crisis’</video_title>	NN	crisis’</video_title>
<thumbnail_path>data/en_AJ\UN	NN	<thumbnail_path>data/en_AJ\UN
Labels	VVZ	label
Gaza	NP	Gaza
food	NN	food
shortages	NNS	shortage
a	DT	a
'nutrition	NN	'nutrition
crisis’.jpg</thumbnail_path>	NN	crisis’.jpg</thumbnail_path>
<publish_date>20240306</publish_date>	NN	<publish_date>20240306</publish_date>
<doc>	NN	<doc>
our	PP$	our
correspondent	NN	correspondent
hany	NN	hany
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
now	RB	now
on	IN	on
the	DT	the
phone	NN	phone
from	IN	from
Rafa	NP	Rafa
hany	NN	hany
first	JJ	first
of	IN	of
all	DT	all
tell	VV	tell
us	PP	us
what	WP	what
you	PP	you
know	VVP	know
or	CC	or
what	WP	what
you're	NN	you're
hearing	NN	hearing
about	IN	about
yet	RB	yet
more	JJR	more
people	NNS	people
who	WP	who
are	VBP	be
trying	VVG	try
to	TO	to
get	VV	get
Aid	NN	aid
being	VBG	be
shot	VVN	shoot
at	IN	at
by	IN	by
Israeli	JJ	Israeli
[Music]	NN	[Music]
forces	VVZ	force
yes	UH	yes
well	RB	well
desperate	JJ	desperate
living	VVG	live
conditions	NNS	condition
and	CC	and
situations	NNS	situation
across	IN	across
the	DT	the
distri	NNS	distri
are	VBP	be
forcing	VVG	force
Palestinians	NNS	Palestinian
across	IN	across
thep	NNS	thep
to	TO	to
get	VV	get
to	TO	to
go	VV	go
anywhere	RB	anywhere
and	CC	and
reach	VV	reach
to	TO	to
anywhere	RB	anywhere
they	PP	they
are	VBP	be
possible	JJ	possible
to	TO	to
to	TO	to
get	VV	get
to	TO	to
in	IN	in
order	NN	order
to	TO	to
to	TO	to
find	VV	find
some	DT	some
of	IN	of
the	DT	the
basic	JJ	basic
necessities	NNS	necessity
and	CC	and
Food	NN	food
Supplies	NNS	supply
and	CC	and
provide	VV	provide
for	IN	for
their	PP$	their
families	NNS	family
and	CC	and
to	TO	to
to	TO	to
keep	VV	keep
them	PP	them
alive	JJ	alive
in	IN	in
the	DT	the
face	NN	face
of	IN	of
this	DT	this
famina	NN	famina
spreading	VVG	spread
everywhere	RB	everywhere
the	DT	the
reports	NNS	report
we're	NN	we're
getting	VVG	get
right	RB	right
now	RB	now
fromaz	NN	fromaz
that's	NNS	that's
an	DT	an
area	NN	area
between	IN	between
Gaza	NP	Gaza
and	CC	and
the	DT	the
central	JJ	central
uh	UH	uh
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
uh	UH	uh
these	DT	these
Aid	NN	aid
or	CC	or
the	DT	the
food	NN	food
Aid	NN	aid
that	WDT	that
is	VBZ	be
available	JJ	available
at	IN	at
that	DT	that
area	NN	area
was	VBD	be
from	IN	from
what	WP	what
was	VBD	be
dropped	VVN	drop
it	PP	it
from	IN	from
there	RB	there
within	IN	within
the	DT	the
past	JJ	past
it's	NN	it's
48	CD	@card@
hours	NNS	hour
by	IN	by
the	DT	the
Jordanian	NN	Jordanian
the	DT	the
amadis	NNS	amadis
and	CC	and
then	RB	then
the	DT	the
uh	UH	uh
the	DT	the
the	DT	the
us	PP	us
as	RB	as
well	RB	well
so	RB	so
that	IN/that	that
that	DT	that
food	NN	food
Aid	NN	aid
was	VBD	be
in	IN	in
that	DT	that
area	NN	area
that	WDT	that
has	VHZ	have
been	VBN	be
designated	VVN	designate
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
as	IN	as
a	DT	a
combat	NN	combat
zone	NN	zone
and	CC	and
nobody	NN	nobody
was	VBD	be
able	JJ	able
to	TO	to
reach	VV	reach
to	TO	to
uh	UH	uh
the	DT	the
uh	UH	uh
the	DT	the
food	NN	food
Parcels	NNS	parcel
that	WDT	that
were	VBD	be
dropped	VVN	drop
as	RB	as
of	IN	of
today	NN	today
and	CC	and
given	VVN	give
the	DT	the
famine	NN	famine
the	DT	the
acute	JJ	acute
famine	NN	famine
right	RB	right
now	RB	now
where	WRB	where
people	NNS	people
are	VBP	be
dying	VVG	die
of	IN	of
dehydration	NN	dehydration
and	CC	and
starvation	NN	starvation
to	TO	to
try	VV	try
to	TO	to
reach	VV	reach
to	TO	to
where	WRB	where
the	DT	the
area	NN	area
to	TO	to
get	VV	get
to	TO	to
the	DT	the
food	NN	food
that	WDT	that
is	VBZ	be
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
that's	NNS	that's
where	WRB	where
they	PP	they
were	VBD	be
shot	VVN	shoot
at	IN	at
by	IN	by
heavy	JJ	heavy
machine	NN	machine
guns	NNS	gun
and	CC	and
by	IN	by
tank	NN	tank
shells	NNS	shell
there	RB	there
seven	CD	seven
people	NNS	people
reported	VVD	report
killed	VVN	kill
right	RB	right
at	IN	at
the	DT	the
spot	NN	spot
with	IN	with
several	JJ	several
other	JJ	other
injuries	NNS	injury
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
those	DT	those
injuries	NNS	injury
we	PP	we
know	VVP	know
from	IN	from
past	JJ	past
experiences	NNS	experience
that	IN/that	that
because	IN	because
of	IN	of
non-operational	JJ	non-operational
Health	NP	Health
Facilities	NPS	Facilities
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
injured	VVN	injure
are	VBP	be
at	IN	at
risk	NN	risk
of	IN	of
losing	VVG	lose
their	PP$	their
lives	NNS	life
as	IN	as
there	EX	there
is	VBZ	be
no	DT	no
way	NN	way
to	TO	to
get	VV	get
any	DT	any
proper	JJ	proper
medical	JJ	medical
uh	UH	uh
intervention	NN	intervention
uh	UH	uh
what	WP	what
so	RB	so
ever	RB	ever
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
incident	NN	incident
happening	VVG	happen
within	IN	within
the	DT	the
past	JJ	past
four	CD	four
days	NNS	day
in	IN	in
a	DT	a
row	NN	row
every	DT	every
Aid	NP	Aid
boy	NN	boy
and	CC	and
every	DT	every
a	DT	a
truck	NN	truck
tried	VVD	try
to	TO	to
make	VV	make
its	PP$	its
way	NN	way
to	TO	to
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
obstructed	VVN	obstruct
by	IN	by
the	DT	the
isra	NN	isra
military	NN	military
and	CC	and
by	IN	by
the	DT	the
conditions	NNS	condition
created	VVN	create
on	IN	on
the	DT	the
ground	NN	ground
very	RB	very
difficult	JJ	difficult
condition	NN	condition
that	WDT	that
keeps	VVZ	keep
barring	IN	barring
those	DT	those
uh	UH	uh
trucks	NNS	truck
from	IN	from
entering	VVG	enter
and	CC	and
reaching	VVG	reach
to	TO	to
people	NNS	people
who	WP	who
are	VBP	be
really	RB	really
desperate	JJ	desperate
right	RB	right
now	RB	now
either	RB	either
on	IN	on
where	WRB	where
they	PP	they
were	VBD	be
shot	VVN	shoot
at	IN	at
or	CC	or
na	TO	na
around	IN	around
intersection	NN	intersection
roundabout	NN	roundabout
where	WRB	where
they	PP	they
were	VBD	be
there	EX	there
was	VBD	be
an	DT	an
atrocity	NN	atrocity
better	RBR	well
known	VVN	know
among	IN	among
palestin	NN	palestin
now	RB	now
as	IN	as
the	DT	the
FL	NP	FL
atrocity	NN	atrocity
it	PP	it
keeps	VVZ	keep
going	VVG	go
on	IN	on
by	IN	by
these	DT	these
restrictions	NNS	restriction
that	WDT	that
make	VVP	make
make	VV	make
it	PP	it
very	RB	very
difficult	JJ	difficult
to	TO	to
get	VV	get
eight	CD	eight
hany	NP	hany
Mahmud	NP	Mahmud
bringings	VVZ	bringings
the	DT	the
latest	JJS	late
situation	NN	situation
there	RB	there
in	IN	in
Gaza	NP	Gaza
thanks	NNS	thanks
very	RB	very
much	JJ	much
hany	NN	hany
well	NN	well
let's	NNS	let's
speak	VVP	speak
now	RB	now
to	TO	to
Tamara	NP	Tamara
Al	NP	Al
Rafi	NP	Rafi
she's	NNS	she's
anra	NN	anra
spokeswoman	NN	spokeswoman
and	CC	and
joins	VVZ	join
us	PP	us
from	IN	from
Cairo	NP	Cairo
Tamar	NP	Tamar
as	IN	as
we	PP	we
just	RB	just
heard	VVD	hear
from	IN	from
hany	NN	hany
yet	CC	yet
another	DT	another
incident	NN	incident
where	WRB	where
Palestinians	NPS	Palestinians
who	WP	who
were	VBD	be
desperately	RB	desperately
trying	VVG	try
to	TO	to
get	VV	get
hold	NN	hold
of	IN	of
Aid	NP	Aid
being	VBG	be
shot	VVN	shoot
at	IN	at
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
why	WRB	why
do	VVP	do
we	PP	we
keep	VV	keep
seeing	VVG	see
this	DT	this
happen	VV	happen
because	IN	because
90%	CD	@card@
of	IN	of
the	DT	the
population	NN	population
today	NN	today
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
facing	VVG	face
high	JJ	high
level	NN	level
of	IN	of
acute	JJ	acute
food	NN	food
insecurity	NN	insecurity
and	CC	and
therefore	RB	therefore
anyone	NN	anyone
seeing	VVG	see
a	DT	a
convoy	NN	convoy
of	IN	of
trucks	NNS	truck
of	IN	of
Aid	NN	aid
trucks	NNS	truck
going	VVG	go
through	IN	through
their	PP$	their
part	NN	part
of	IN	of
Gaza	NP	Gaza
will	MD	will
jump	VV	jump
on	IN	on
these	DT	these
trucks	NNS	truck
out	RP	out
of	IN	of
hunger	NN	hunger
and	CC	and
despair	NN	despair
and	CC	and
fear	NN	fear
and	CC	and
will	MD	will
try	VV	try
to	TO	to
help	VV	help
themselves	PP	themselves
onto	IN	onto
these	DT	these
convoys	NNS	convoy
especially	RB	especially
as	IN	as
we're	NN	we're
hearing	VVG	hear
more	JJR	more
and	CC	and
more	JJR	more
about	IN	about
children	NNS	child
under	IN	under
the	DT	the
age	NN	age
of	IN	of
two	CD	two
now	RB	now
