<video_id>75C8Xe7VQq0</video_id>	NP	<video_id>75C8Xe7VQq0</video_id>
<video_title>Israel,	NP	<video_title>Israel,
Hamas	NP	Hamas
agree	VVP	agree
to	TO	to
extend	VV	extend
Gaza	NP	Gaza
truce	NN	truce
for	IN	for
a	DT	a
seventh	JJ	seventh
day</video_title>	NN	day</video_title>
<thumbnail_path>data/en_AJ\Israel,	NP	<thumbnail_path>data/en_AJ\Israel,
Hamas	NP	Hamas
agree	VVP	agree
to	TO	to
extend	VV	extend
Gaza	NP	Gaza
truce	NN	truce
for	IN	for
a	DT	a
seventh	JJ	seventh
day.jpg</thumbnail_path>	NN	day.jpg</thumbnail_path>
<publish_date>20231130</publish_date>	NN	<publish_date>20231130</publish_date>
<doc>	NN	<doc>
okay	JJ	okay
if	IN	if
you're	NN	you're
just	RB	just
joining	VVG	join
us	PP	us
it	PP	it
is	VBZ	be
approaching	VVG	approach
5	CD	@card@
GMT	NN	GMT
that	WDT	that
is	VBZ	be
7	CD	@card@
a.m.	NN	a.m.
in	IN	in
Gaza	NP	Gaza
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
bring	VV	bring
you	PP	you
some	DT	some
breaking	VVG	break
news	NN	news
as	IN	as
it	PP	it
gets	VVZ	get
down	RP	down
to	TO	to
the	DT	the
very	RB	very
last	JJ	last
minute	NN	minute
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
announced	VVN	announce
in	IN	in
just	RB	just
the	DT	the
last	JJ	last
few	JJ	few
minutes	NNS	minute
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
with	IN	with
Hamas	NP	Hamas
will	MD	will
continue	VV	continue
in	IN	in
light	NN	light
of	IN	of
efforts	NNS	effort
to	TO	to
release	VV	release
more	JJR	more
hostages	NNS	hostage
it	PP	it
is	VBZ	be
not	RB	not
yet	RB	yet
clear	JJ	clear
for	IN	for
how	WRB	how
long	RB	long
that	DT	that
ceas	NNS	ceas
fire	NN	fire
will	MD	will
be	VB	be
extended	VVN	extend
but	CC	but
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
bring	VV	bring
you	PP	you
this	DT	this
latest	JJS	late
information	NN	information
that	WDT	that
is	VBZ	be
coming	VVG	come
to	TO	to
us	PP	us
according	VVG	accord
to	TO	to
Hamas	VV	Hamas
a	DT	a
statement	NN	statement
from	IN	from
Hamas	NP	Hamas
they	PP	they
have	VHP	have
agreed	VVN	agree
to	TO	to
extend	VV	extend
the	DT	the
truce	NN	truce
for	IN	for
a	DT	a
seventh	JJ	seventh
day	NN	day
uh	UH	uh
which	WDT	which
will	MD	will
uh	UH	uh
given	VVN	give
the	DT	the
truce	NN	truce
has	VHZ	have
already	RB	already
gone	VVN	go
on	IN	on
for	IN	for
six	CD	six
days	NNS	day
that	WDT	that
means	VVZ	mean
one	CD	one
more	JJR	more
day	NN	day
a	DT	a
statement	NN	statement
coming	VVG	come
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
the	DT	the
that	IN/that	that
the	DT	the
truce	NN	truce
the	DT	the
Gaza	NP	Gaza
truce	NN	truce
will	MD	will
continue	VV	continue
and	CC	and
uh	UH	uh
in	IN	in
light	NN	light
of	IN	of
the	DT	the
mediators	NNS	mediator
efforts	NNS	effort
to	TO	to
continue	VV	continue
the	DT	the
process	NN	process
of	IN	of
releasing	VVG	release
hostages	NNS	hostage
and	CC	and
subject	JJ	subject
to	TO	to
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
agreement	NN	agreement
that	IN/that	that
truce	NN	truce
is	VBZ	be
going	VVG	go
to	TO	to
continue	VV	continue
so	IN	so
we	PP	we
are	VBP	be
approaching	VVG	approach
just	RB	just
7	CD	@card@
a.m.	NN	a.m.
in	IN	in
Gaza	NP	Gaza
and	CC	and
Israel	NP	Israel
and	CC	and
that	DT	that
fragile	JJ	fragile
Six-Day	JJ	six-day
truce	NN	truce
in	IN	in
that	DT	that
devastating	JJ	devastating
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
it	PP	it
appears	VVZ	appear
is	VBZ	be
now	RB	now
going	VVG	go
to	TO	to
continue	VV	continue
for	IN	for
at	IN	at
least	JJS	least
another	DT	another
24	CD	@card@
hours	NNS	hour
let's	NNS	let's
go	VVP	go
to	TO	to
our	PP$	our
correspondent	NN	correspondent
Imran	NP	Imran
Khan	NP	Khan
who	WP	who
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
it	PP	it
went	VVD	go
down	RB	down
right	JJ	right
to	TO	to
the	DT	the
wire	NN	wire
it	PP	it
is	VBZ	be
just	RB	just
about	RB	about
approaching	VVG	approach
7:00	CD	@card@
a.m.	NN	a.m.
in	IN	in
Gaza	NP	Gaza
and	CC	and
Israel	NP	Israel
when	WRB	when
that	DT	that
truce	NN	truce
was	VBD	be
expected	VVN	expect
that	DT	that
ceasefire	NN	ceasefire
to	TO	to
uh	UH	uh
to	TO	to
to	TO	to
end	VV	end
but	CC	but
it	PP	it
seems	VVZ	seem
now	RB	now
that	IN/that	that
it	PP	it
has	VHZ	have
been	VBN	be
extended	VVN	extend
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
well	RB	well
we're	NN	we're
hearing	VVG	hear
the	DT	the
IDF	NP	IDF
statement	NN	statement
the	DT	the
Israeli	JJ	Israeli
Army	NP	Army
statement	NN	statement
which	WDT	which
you	PP	you
just	RB	just
read	VVP	read
out	RB	out
on	IN	on
air	VV	air
uh	UH	uh
this	DT	this
statement	NN	statement
is	VBZ	be
kind	NN	kind
of	IN	of
worth	NN	worth
unpacking	VVG	unpack
here	RB	here
it	PP	it
says	VVZ	say
enlighted	JJ	enlighted
the	DT	the
mediator's	NN	mediator's
efforts	NNS	effort
to	TO	to
continue	VV	continue
the	DT	the
process	NN	process
of	IN	of
releasing	VVG	release
the	DT	the
hostage	NN	hostage
and	CC	and
subject	JJ	subject
to	TO	to
the	DT	the
frames	NNS	frame
to	TO	to
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
framework	NN	framework
the	DT	the
operational	JJ	operational
pause	NN	pause
will	MD	will
continue	VV	continue
this	DT	this
is	VBZ	be
in	IN	in
STK	NP	STK
contrast	NN	contrast
to	TO	to
what	WP	what
was	VBD	be
happening	VVG	happen
just	RB	just
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
when	WRB	when
we	PP	we
were	VBD	be
hearing	VVG	hear
that	IN/that	that
Hamas	NP	Hamas
had	VHD	have
given	VVN	give
the	DT	the
Israelis	NPS	Israelis
a	DT	a
list	NN	list
of	IN	of
10	CD	@card@
captives	NNS	captive
that	IN/that	that
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
release	NN	release
but	CC	but
that	WDT	that
had	VHD	have
been	VBN	be
rejected	VVN	reject
now	RB	now
we	PP	we
have	VHP	have
seen	VVN	see
negotiations	NNS	negotiation
very	RB	very
hard	JJ	hard
negotiations	NNS	negotiation
take	VVP	take
place	NN	place
over	IN	over
the	DT	the
few	JJ	few
days	NNS	day
about	IN	about
the	DT	the
what	WP	what
kind	NN	kind
of	IN	of
names	NNS	name
we	PP	we
should	MD	should
be	VB	be
on	IN	on
the	DT	the
list	NN	list
where	WRB	where
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
come	VV	come
from	IN	from
where	WRB	where
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
be	VB	be
released	VVN	release
from	IN	from
which	WDT	which
place	VV	place
uh	UH	uh
things	NNS	thing
of	IN	of
that	DT	that
nature	NN	nature
but	CC	but
there	EX	there
was	VBD	be
never	RB	never
an	DT	an
outright	JJ	outright
rejection	NN	rejection
of	IN	of
names	NNS	name
it	PP	it
was	VBD	be
always	RB	always
uh	UH	uh
about	RB	about
finessing	VVG	finesse
this	DT	this
this	DT	this
outright	JJ	outright
rejection	NN	rejection
of	IN	of
names	NNS	name
means	VVZ	mean
that	IN/that	that
there	EX	there
was	VBD	be
something	NN	something
else	RB	else
in	IN	in
this	DT	this
negotiation	NN	negotiation
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
that	DT	that
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
media	NN	media
is	VBZ	be
full	JJ	full
of	IN	of
speculation	NN	speculation
uh	UH	uh
suggesting	VVG	suggest
that	IN/that	that
it	PP	it
may	MD	may
have	VH	have
been	VBN	be
because	IN	because
uh	UH	uh
there	EX	there
were	VBD	be
some	DT	some
dead	JJ	dead
bodies	NNS	body
in	IN	in
that	DT	that
list	NN	list
and	CC	and
that	WDT	that
may	MD	may
have	VH	have
not	RB	not
been	VBN	be
acceptable	JJ	acceptable
to	TO	to
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
but	CC	but
once	RB	once
again	RB	again
the	DT	the
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
issuing	VVG	issue
this	DT	this
statement	NN	statement
a	DT	a
very	RB	very
last	JJ	last
minute	NN	minute
reply	VV	reply
uh	UH	uh
sorry	JJ	sorry
um	JJ	um
rest	NN	rest
fite	NN	fite
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
it	PP	it
was	VBD	be
10	CD	@card@
minutes	NNS	minute
literally	RB	literally
10	RB	@card@
minutes	VVZ	minute
uh	UH	uh
before	RB	before
the	DT	the
end	NN	end
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
now	RB	now
there	EX	there
is	VBZ	be
a	DT	a
second	JJ	second
part	NN	part
of	IN	of
the	DT	the
statement	NN	statement
uh	UH	uh
which	WDT	which
says	VVZ	say
uh	UH	uh
in	RB	in
light	JJ	light
of	IN	of
the	DT	the
mediator's	NN	mediator's
efforts	NNS	effort
to	TO	to
continue	VV	continue
the	DT	the
process	NN	process
of	IN	of
releasing	VVG	release
the	DT	the
hostages	NNS	hostage
um	VVG	um
the	DT	the
operational	JJ	operational
pause	NN	pause
will	MD	will
continue	VV	continue
now	RB	now
that's	JJ	that's
an	DT	an
interesting	JJ	interesting
bit	NN	bit
as	RB	as
well	RB	well
because	IN	because
the	DT	the
International	NP	International
Community	NP	Community
particularly	RB	particularly
Qatar	NP	Qatar
Egypt	NP	Egypt
and	CC	and
the	DT	the
US	NP	US
have	VHP	have
really	RB	really
been	VBN	be
pushing	VVG	push
uh	UH	uh
for	IN	for
this	DT	this
ceasefire	NN	ceasefire
now	RB	now
the	DT	the
last	JJ	last
time	NN	time
a	DT	a
ceasefire	NN	ceasefire
extension	NN	extension
was	VBD	be
announced	VVN	announce
it	PP	it
was	VBD	be
two	CD	two
days	NNS	day
this	DT	this
one	CD	one
is	VBZ	be
only	RB	only
for	IN	for
the	DT	the
next	JJ	next
24	CD	@card@
hours	NNS	hour
this	DT	this
goes	VVZ	go
to	TO	to
show	VV	show
you	PP	you
how	WRB	how
hard	JJ	hard
FR	NP	FR
these	DT	these
negotiations	NNS	negotiation
are	VBP	be
uh	UH	uh
how	WRB	how
difficult	JJ	difficult
it	PP	it
is	VBZ	be
for	IN	for
the	DT	the
qari	NN	qari
mediators	NNS	mediator
and	CC	and
Egypt	NP	Egypt
and	CC	and
the	DT	the
us	PP	us
to	TO	to
get	VV	get
to	TO	to
an	DT	an
agreement	NN	agreement
but	CC	but
an	DT	an
agreement	NN	agreement
has	VHZ	have
been	VBN	be
reached	VVN	reach
and	CC	and
it	PP	it
was	VBD	be
reached	VVN	reach
with	IN	with
10	CD	@card@
minutes	NNS	minute
to	TO	to
go	VV	go
yes	UH	yes
indeed	RB	indeed
uh	UH	uh
Imran	NP	Imran
uh	UH	uh
in	IN	in
the	DT	the
past	JJ	past
it's	NN	it's
worth	NN	worth
reminding	VVG	remind
our	PP$	our
viewers	NNS	viewer
about	RB	about
how	WRB	how
fraught	JJ	fraught
the	DT	the
process	NN	process
normally	RB	normally
is	VBZ	be
I	PP	I
mean	VVP	mean
it's	NNS	it's
it's	NNS	it's
day	NN	day
by	IN	by
day	NN	day
that	IN/that	that
this	DT	this
these	DT	these
lists	NNS	list
are	VBP	be
handed	VVN	hand
out	RP	out
uh	UH	uh
and	CC	and
we	PP	we
have	VHP	have
seen	VVN	see
in	IN	in
the	DT	the
past	JJ	past
issues	NNS	issue
with	IN	with
lists	NNS	list
provided	VVN	provide
by	IN	by
Hamas	NP	Hamas
But	CC	but
ultimately	RB	ultimately
as	IN	as
we've	NN	we've
seen	VVN	see
now	RB	now
again	RB	again
the	DT	the
negotiators	NNS	negotiator
have	VHP	have
managed	VVN	manage
to	TO	to
work	VV	work
through	IN	through
any	DT	any
problems	NNS	problem
that's	NNS	that's
absolutely	RB	absolutely
right	RB	right
is	VBZ	be
something	NN	something
I	PP	I
was	VBD	be
just	RB	just
talking	VVG	talk
about	RB	about
earlier	RBR	earlier
there	EX	there
are	VBP	be
these	DT	these
negotiations	NNS	negotiation
are	VBP	be
incredibly	RB	incredibly
