<video_id>9b8ddCxv2tg</video_id>	NP	<video_id>9b8ddCxv2tg</video_id>
<video_title>Former	NP	<video_title>Former
ICC	NP	ICC
chief	JJ	chief
prosecutor:	NN	prosecutor:
Israel’s	NP	Israel’s
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
is	VBZ	be
a	DT	a
'genocide'	NN	'genocide'
|	SYM	|
UpFront</video_title>	NP	UpFront</video_title>
<thumbnail_path>data/en_AJ\Former	NP	<thumbnail_path>data/en_AJ\Former
ICC	NP	ICC
chief	JJ	chief
prosecutor	NN	prosecutor
Israel’s	NP	Israel’s
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
is	VBZ	be
a	DT	a
'genocide'	NP	'genocide'
UpFront.jpg</thumbnail_path>	NP	UpFront.jpg</thumbnail_path>
<publish_date>20231201</publish_date>	NN	<publish_date>20231201</publish_date>
<doc>	NN	<doc>
Luis	NP	Luis
Moreno	NP	Moreno
comple	NN	comple
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
up	RB	up
front	JJ	front
my	PP$	my
pleasure	NN	pleasure
my	PP$	my
he	PP	he
very	RB	very
frustrating	JJ	frustrating
what	WP	what
happened	VVD	happen
hamas's	NP	hamas's
October	NP	October
7th	JJ	7th
attack	NN	attack
and	CC	and
Israel's	JJ	Israel's
subsequent	JJ	subsequent
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
uh	UH	uh
have	VHP	have
both	CC	both
been	VBN	be
met	VVN	meet
with	IN	with
accusations	NNS	accusation
of	IN	of
genocide	NN	genocide
and	CC	and
ethnic	JJ	ethnic
cleansing	NN	cleansing
and	CC	and
various	JJ	various
other	JJ	other
war	NN	war
crimes	NNS	crime
uh	UH	uh
but	CC	but
before	IN	before
we	PP	we
get	VVP	get
into	IN	into
the	DT	the
specifics	NNS	specific
of	IN	of
these	DT	these
accusations	NNS	accusation
I	PP	I
wanted	VVD	want
to	TO	to
ask	VV	ask
you	PP	you
if	IN	if
you	PP	you
could	MD	could
first	RB	first
sort	VV	sort
of	IN	of
briefly	RB	briefly
Define	VV	define
what	WP	what
constitutes	VVZ	constitute
a	DT	a
war	NN	war
crime	NN	crime
well	RB	well
War	NP	War
crime	NN	crime
are	VBP	be
basically	RB	basically
defined	VVN	define
by	IN	by
the	DT	the
Geneva	NP	Geneva
Convention	NP	Convention
and	CC	and
now	RB	now
by	IN	by
the	DT	the
Roman	NP	Roman
statute	NN	statute
and	CC	and
they	PP	they
basically	RB	basically
they	PP	they
are	VBP	be
limits	NNS	limit
how	WRB	how
soldiers	NNS	soldier
could	MD	could
behave	VV	behave
during	IN	during
a	DT	a
war	NN	war
that	WDT	that
is	VBZ	be
a	DT	a
war	NN	war
crime	NN	crime
then	RB	then
you	PP	you
have	VHP	have
another	DT	another
type	NN	type
of	IN	of
crimes	NNS	crime
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
and	CC	and
genocide	NN	genocide
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
is	VBZ	be
a	DT	a
widespread	JJ	widespread
or	CC	or
systematic	JJ	systematic
attack	NN	attack
against	IN	against
the	DT	the
civilian	JJ	civilian
population	NN	population
and	CC	and
that	IN/that	that
why	WRB	why
the	DT	the
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
is	VBZ	be
a	DT	a
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
but	CC	but
in	IN	in
addition	NN	addition
you	PP	you
have	VHP	have
a	DT	a
specific	JJ	specific
crime	NN	crime
