well	RB	well
demonstrations	NNS	demonstration
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
Gaza	NP	Gaza
are	VBP	be
spreading	VVG	spread
to	TO	to
more	JJR	more
universities	NNS	university
in	IN	in
Europe	NP	Europe
several	JJ	several
students	NNS	student
have	VHP	have
been	VBN	be
arrested	VVN	arrest
at	IN	at
the	DT	the
Sall	NP	Sall
University	NP	University
in	IN	in
Paris	NP	Paris
they	PP	they
were	VBD	be
dragged	VVN	drag
Away	RB	away
by	IN	by
police	NNS	police
after	IN	after
setting	VVG	set
up	RP	up
camps	NNS	camp
and	CC	and
raising	VVG	raise
the	DT	the
Palestinian	JJ	Palestinian
flag	NN	flag
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
Natasha	NP	Natasha
but	CC	but
is	VBZ	be
standing	VVG	stand
by	IN	by
for	IN	for
us	PP	us
in	IN	in
the	DT	the
French	JJ	French
Capital	NN	capital
the	DT	the
pictures	NNS	picture
look	VVP	look
pretty	RB	pretty
brutal	JJ	brutal
at	IN	at
the	DT	the
moment	NN	moment
I	PP	I
would	MD	would
say	VV	say
uh	UH	uh
but	CC	but
what	WP	what
'	POS	'
s	NNS	s
the	DT	the
situation	NN	situation
like	IN	like
there	RB	there
right	JJ	right
now	RB	now
[	SYM	[
Applause	NN	applause
]	SYM	]
Natasha	NP	Natasha
yeah	RB	yeah
those	DT	those
pictures	NNS	picture
that	IN/that	that
you	PP	you
saw	VVD	see
were	VBD	be
a	DT	a
little	JJ	little
bit	NN	bit
earlier	RBR	earlier
when	WRB	when
police	VV	police
uh	UH	uh
went	VVD	go
into	IN	into
sborn	JJ	sborn
University	NP	University
one	CD	one
of	IN	of
France	NP	France
'	POS	'
s	JJ	s
most	RBS	most
famous	JJ	famous
and	CC	and
prestigious	JJ	prestigious
universities	NNS	university
it	PP	it
'	POS	'
s	NN	S
just	RB	just
behind	IN	behind
