<video_id>Gb33W7Vqjzg</video_id>	JJ	<video_id>Gb33W7Vqjzg</video_id>
<video_title>Palestinian	JJ	<video_title>Palestinian
don’t	NN	don’t
need	NN	need
aid;	NN	aid;
they	PP	they
need	VVP	need
western	JJ	western
support	NN	support
for	IN	for
Israel's	NP	Israel's
war	NN	war
to	TO	to
end	VV	end
-	NN	-
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Palestinian	JJ	<thumbnail_path>data/en_AJ\Palestinian
don’t	NN	don’t
need	NN	need
aid;	NN	aid;
they	PP	they
need	VVP	need
western	JJ	western
support	NN	support
for	IN	for
Israel's	NP	Israel's
war	NN	war
to	TO	to
end	VV	end
-	NN	-
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240317</publish_date>	JJ	<publish_date>20240317</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
bring	VVP	bring
in	IN	in
Maan	NP	Maan
bashara	NP	Bashara
he's	NP	he's
Al's	NP	Al's
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
and	CC	and
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
Paris	NP	Paris
so	IN	so
Maan	NP	Maan
we're	NN	we're
hearing	NN	hearing
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
sending	VVG	send
a	DT	a
delegation	NN	delegation
to	TO	to
Doha	NP	Doha
reportedly	RB	reportedly
as	RB	as
soon	RB	soon
as	IN	as
Sunday	NP	Sunday
where	WRB	where
are	VBP	be
the	DT	the
negotiations	NNS	negotiation
at	IN	at
they're	NN	they're
still	RB	still
marching	VVG	march
in	IN	in
place	NN	place
but	CC	but
they're	NN	they're
certainly	RB	certainly
uh	UH	uh
wrangling	NN	wrangling
over	IN	over
details	NNS	detail
I	PP	I
think	VVP	think
the	DT	the
end	NN	end
game	NN	game
for	IN	for
Israel	NP	Israel
is	VBZ	be
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
continue	VV	continue
with	IN	with
the	DT	the
war	NN	war
the	DT	the
end	NN	end
game	NN	game
for	IN	for
Hamas	NN	Hamas
is	VBZ	be
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
end	VV	end
the	DT	the
war	NN	war
