all	PDT	all
this	DT	this
comes	VVZ	come
as	IN	as
Kata	NP	Kata
confirms	VVZ	confirm
this	DT	this
morning	NN	morning
that	IN/that	that
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
have	VHP	have
agreed	VVN	agree
on	IN	on
a	DT	a
humanitarian	JJ	humanitarian
pause	NN	pause
in	IN	in
Gaza	NP	Gaza
after	IN	after
weeks	NNS	week
of	IN	of
negotiations	NNS	negotiation
mediated	VVN	mediate
alongside	IN	alongside
us	PP	us
and	CC	and
Egypt	NP	Egypt
the	DT	the
Israeli	JJ	Israeli
government	NN	government
approved	VVD	approve
the	DT	the
deal	NN	deal
after	IN	after
a	DT	a
lengthy	JJ	lengthy
cabinet	NN	cabinet
meeting	NN	meeting
and	CC	and
deep	JJ	deep
internal	JJ	internal
divisions	NNS	division
amongst	IN	amongst
ministers	NNS	minister
for	IN	for
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
agreement	NN	agreement
does	VVZ	do
not	RB	not
mean	VV	mean
that	IN/that	that
the	DT	the
war	NN	war
will	MD	will
stop	VV	stop
now	RB	now
as	IN	as
part	NN	part
of	IN	of
the	DT	the
deal	NN	deal
50	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
captives	NNS	captive
held	VVN	hold
in	IN	in
G	NP	G
will	MD	will
be	VB	be
released	VVN	release
in	IN	in
exchange	NN	exchange
for	IN	for
some	DT	some
Palestinian	JJ	Palestinian
women	NNS	woman
and	CC	and
children	NNS	child
who	WP	who
will	MD	will
be	VB	be
freed	VVN	free
from	IN	from
Israeli	JJ	Israeli
prisons	NNS	prison
the	DT	the
humanitarian	JJ	humanitarian
pors	NNS	pors
will	MD	will
also	RB	also
allow	VV	allow
the	DT	the
entry	NN	entry
of	IN	of
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
Aid	NN	aid
convoys	NNS	convoy
including	VVG	include
fuel	NN	fuel
for	IN	for
humanitarian	JJ	humanitarian
needs	NNS	need
well	RB	well
we	PP	we
have	VHP	have
correspondents	NNS	correspondent
across	IN	across
the	DT	the
region	NN	region
covering	VVG	cover
the	DT	the
story	NN	story
Osama	NP	Osama
bin	NN	bin
Javed	NP	Javed
is	VBZ	be
standing	VVG	stand
by	IN	by
in	IN	in
Doha	NP	Doha
on	IN	on
the	DT	the
Diplomatic	JJ	diplomatic
efforts	NNS	effort
Sarah	NP	Sarah
hirat	NN	hirat
is	VBZ	be
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
on	IN	on
the	DT	the
political	JJ	political
divisions	NNS	division
in	IN	in
Israel	NP	Israel
and	CC	and
we	PP	we
have	VHP	have
John	NP	John
Hendrick	NP	Hendrick
in	IN	in
Washington	NP	Washington
with	IN	with
us	PP	us
reaction	NN	reaction
let	NN	let
'	POS	'
s	JJ	s
first	JJ	first
cross	NN	cross
to	TO	to
Tarak	NP	Tarak
Abu	NP	Abu
AUM	NP	AUM
who	WP	who
is	VBZ	be
in	IN	in
Gaza	NP	Gaza
T	NN	T
so	IN	so
I	PP	I
want	VVP	want
to	TO	to
start	VV	start
with	IN	with
the	DT	the
strikes	NNS	strike
that	WDT	that
have	VHP	have
continued	VVN	continue
not	RB	not
just	RB	just
overnight	JJ	overnight
but	CC	but
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
yes	UH	yes
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
strikes	NNS	strike
had	VHD	have
intensified	VVN	intensify
during	IN	during
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
hours	NNS	hour
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
the	DT	the
North	JJ	North
and	CC	and
even	RB	even
the	DT	the
South	NP	South
the	DT	the
southern	JJ	southern
areas	NNS	area
of	IN	of
the	DT	the
besieged	JJ	besieged
uh	UH	uh
territory	NN	territory
from	IN	from
the	DT	the
uh	UH	uh
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
particular	JJ	particular
in	IN	in
a	DT	a
noat	NN	noat
refugee	NN	refugee
camp	NN	camp
where	WRB	where
a	DT	a
residential	JJ	residential
building	NN	building
has	VHZ	have
been	VBN	be
completely	RB	completely
destroyed	VVN	destroy
by	IN	by
the	DT	the
occupation	NN	occupation
forces	NNS	force
claiming	VVG	claim
the	DT	the
lives	NNS	life
of	IN	of
around	RB	around
nine	CD	nine
Palestinian	NN	Palestinian
till	IN	till
this	DT	this
very	JJ	very
moment	NN	moment
as	IN	as
the	DT	the
occupa	NN	occupa
as	IN	as
the	DT	the
occupation	NN	occupation
forces	NNS	force
had	VHD	have
also	RB	also
targeted	VVN	target
several	JJ	several
areas	NNS	area
across	IN	across
the	DT	the
territory	NN	territory
including	VVG	include
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
the	DT	the
vicinity	NN	vicinity
of	IN	of
Kamal	NP	Kamal
adwan	NP	adwan
Hospital	NP	Hospital
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
had	VHD	have
been	VBN	be
widely	RB	widely
attacked	VVN	attack
by	IN	by
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
forces	VVZ	force
uh	UH	uh
the	DT	the
also	RB	also
confrontations	NNS	confrontation
on	IN	on
the	DT	the
ground	NN	ground
between	IN	between
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continued	VVN	continue
in	IN	in
different	JJ	different
aess	NN	aess
where	WRB	where
the	DT	the
air	NN	air
strikes	NNS	strike
had	VHD	have
been	VBN	be
intensified	VVN	intensify
targeting	VVG	target
an	DT	an
ambulance	NN	ambulance
vehicle	NN	vehicle
while	IN	while
it	PP	it
was	VBD	be
evacuating	VVG	evacuate
victims	NNS	victim
from	IN	from
the	DT	the
north	NN	north
of	IN	of
the	DT	the
territory	NN	territory
where	WRB	where
also	RB	also
a	DT	a
civil	JJ	civil
defense	NN	defense
crew	NN	crew
had	VHD	have
been	VBN	be
attacked	VVN	attack
throughout	IN	throughout
an	DT	an
Israeli	JJ	Israeli
Shilling	NP	Shilling
uh	UH	uh
during	IN	during
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
hours	NNS	hour
these	DT	these
air	NN	air
strikes	NNS	strike
came	VVD	come
as	IN	as
the	DT	the
as	IN	as
both	DT	both
parts	NNS	part
we	PP	we
talking	VVG	talk
about	IN	about
Hamas	NP	Hamas
and	CC	and
the	DT	the
Israeli	JJ	Israeli
side	NN	side
had	VHD	have
reach	NN	reach
a	DT	a
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
as	IN	as
they	PP	they
have	VHP	have
clearly	RB	clearly
announced	VVN	announce
earlier	RBR	earlier
which	WDT	which
also	RB	also
gives	VVZ	give
us	PP	us
a	DT	a
clear	JJ	clear
indication	NN	indication
that	IN/that	that
the	DT	the
rates	NNS	rate
of	IN	of
the	DT	the
Israeli	JJ	Israeli
strikes	NNS	strike
today	NN	today
might	MD	might
intensify	VV	intensify
before	IN	before
the	DT	the
arrival	NN	arrival
of	IN	of
this	DT	this
agreement	NN	agreement
to	TO	to
be	VB	be
healed	VVN	heal
between	IN	between
both	DT	both
sides	NNS	side
and	CC	and
T	NN	T
what	WP	what
reaction	NN	reaction
has	VHZ	have
there	RB	there
been	VBN	be
on	IN	on
the	DT	the
ground	NN	ground
to	TO	to
this	DT	this
temporary	JJ	temporary
ceasefire	NN	ceasefire
presumably	RB	presumably
humanitarian	JJ	humanitarian
relief	NN	relief
can	NN	can
'	POS	'
t	NN	t
come	VVP	come
soon	RB	soon
enough	JJ	enough
yes	UH	yes
uh	UH	uh
after	IN	after
the	DT	the
announcement	NN	announcement
by	IN	by
different	JJ	different
officials	NNS	official
belong	VVP	belong
to	TO	to
Hamas	NNS	Hamas
political	JJ	political
Buu	NP	Buu
and	CC	and
with	IN	with
the	DT	the
statement	NN	statement
of	IN	of
of	IN	of
the	DT	the
of	IN	of
the	DT	the
cat	NN	cat
for	IN	for
Ministry	NP	Ministry
related	VVN	relate
to	TO	to
the	DT	the
arrival	NN	arrival
to	TO	to
heal	VV	heal
short	JJ	short
-	NN	-
term	NN	term
ceasefire	NN	ceasefire
between	IN	between
Hamas	NP	Hamas
and	CC	and
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
uh	UH	uh
that	WDT	that
will	MD	will
be	VB	be
conducted	VVN	conduct
and	CC	and
carried	VVN	carry
out	RP	out
over	IN	over
4	CD	@card@
days	NNS	day
in	IN	in
which	WDT	which
