<video_id>cHhtXodQfMs</video_id>	JJ	<video_id>cHhtXodQfMs</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
attacked	VVD	attack
southern	JJ	southern
Gaza’s	NP	Gaza’s
Khan	NP	Khan
Younis,	NP	Younis,
killing	VVG	kill
dozens	NNS	dozen
of	IN	of
Palestinians</video_title>	NP	Palestinians</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
attacked	VVD	attack
southern	JJ	southern
Gaza’s	NP	Gaza’s
Khan	NP	Khan
Younis,	NP	Younis,
killing	VVG	kill
dozens	NNS	dozen
of	IN	of
Palestinians.jpg</thumbnail_path>	NP	Palestinians.jpg</thumbnail_path>
<publish_date>20240808</publish_date>	JJ	<publish_date>20240808</publish_date>
<doc>	NN	<doc>
to	TO	to
Gaza	NP	Gaza
now	RB	now
where	WRB	where
multiple	JJ	multiple
Israeli	JJ	Israeli
strikes	NNS	strike
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
have	VHP	have
killed	VVN	kill
at	IN	at
least	JJS	least
27	CD	@card@
people	NNS	people
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
also	RB	also
attacking	VVG	attack
the	DT	the
city	NN	city
of	IN	of
Han	NP	Han
Yunis	NP	Yunis
for	IN	for
a	DT	a
second	JJ	second
day	NN	day
in	IN	in
a	DT	a
row	NN	row
they've	NN	they've
targeted	VVD	target
a	DT	a
house	NN	house
in	IN	in
an	DT	an
area	NN	area
just	RB	just
outside	IN	outside
the	DT	the
city	NN	city
at	IN	at
least	JJS	least
nine	CD	nine
people	NNS	people
were	VBD	be
killed	VVN	kill
there	RB	there
on	IN	on
Wednesday	NP	Wednesday
Israel	NP	Israel
bombed	VVD	bomb
areas	NNS	area
in	IN	in
the	DT	the
southwest	NN	southwest
that	IN/that	that
it	PP	it
had	VHD	have
designated	VVN	designate
as	IN	as
humanitarian	JJ	humanitarian
safe	JJ	safe
zones	NNS	zone
at	IN	at
least	JJS	least
18	CD	@card@
Palestinians	NNS	Palestinian
were	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
attacks	NNS	attack
on	IN	on
al-	NN	al-
masasi	NNS	masasi
many	JJ	many
of	IN	of
the	DT	the
victims	NNS	victim
were	VBD	be
buried	VVN	bury
alive	RB	alive
after	IN	after
Israeli	JJ	Israeli
strikes	NNS	strike
hit	VVD	hit
tents	NNS	tent
housing	NN	housing
displaced	VVD	displace
people	NNS	people
Han	NP	Han
Mahmud	NP	Mahmud
is	VBZ	be
in	IN	in
kanun	NN	kanun
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
Hy	NP	Hy
it's	NNS	it's
day	NN	day
307	CD	@card@
of	IN	of
this	DT	this
war	NN	war
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
what's	NNS	what's
happening	VVG	happen
on	IN	on
the	DT	the
ground	NN	ground
well	RB	well
s	VVZ	s
you	PP	you
know	VV	know
it's	NNS	it's
becoming	VVG	become
quite	RB	quite
evident	JJ	evident
right	RB	right
now	RB	now
that	IN/that	that
every	DT	every
passing	VVG	pass
day	NN	day
is	VBZ	be
a	DT	a
horrific	JJ	horrific
day	NN	day
for	IN	for
for	IN	for
Palestinians	NNS	Palestinian
whether	IN	whether
it's	NNS	it's
the	DT	the
impact	NN	impact
of	IN	of
the	DT	the
direct	JJ	direct
intense	JJ	intense
bombing	NN	bombing
campaign	NN	campaign
across	IN	across
the	DT	the
STP	NP	STP
or	CC	or
the	DT	the
uh	UH	uh
the	DT	the
aftermath	NN	aftermath
of	IN	of
these	DT	these
attacks	NNS	attack
as	RB	as
people	VV	people
uh	UH	uh
often	RB	often
thrown	VVN	throw
into	IN	into
uncertainty	NN	uncertainty
unknown	NN	unknown
of	IN	of
the	DT	the
uh	UH	uh
of	IN	of
a	DT	a
further	RBR	further
uh	UH	uh
enforced	VVN	enforce
displacement	NN	displacement
across	IN	across
the	DT	the
strip	NN	strip
with	IN	with
the	DT	the
sense	NN	sense
of	IN	of
of	IN	of
shattered	JJ	shattered
safety	NN	safety
everywhere	RB	everywhere
they	PP	they
go	VVP	go
they're	NN	they're
being	VBG	be
targeted	VVN	target
they're	NN	they're
being	VBG	be
forced	VVN	force
to	TO	to
to	RB	to
to	TO	to
flee	VV	flee
elsewhere	RB	elsewhere
and	CC	and
right	RB	right
now	RB	now
there's	JJ	there's
uh	UH	uh
no	UH	no
uh	UH	uh
safe	JJ	safe
place	NN	place
across	IN	across
the	DT	the
G	NP	G
we've	NN	we've
been	VBN	be
seeing	VVG	see
this	DT	this
and	CC	and
been	VBN	be
saying	VVG	say
talking	VVG	talk
about	IN	about
this	DT	this
for	IN	for
the	DT	the
past	JJ	past
months	NNS	month
that	WDT	that
there	RB	there
isn't	VVD	isn't
a	DT	a
single	JJ	single
safy	JJ	safy
place	NN	place
across	IN	across
the	DT	the
G	NP	G
including	VVG	include
the	DT	the
humanitarian	JJ	humanitarian
designated	VVN	designate
safe	JJ	safe
Zone	NP	Zone
that	WDT	that
have	VHP	have
been	VBN	be
repeatedly	RB	repeatedly
targeted	VVN	target
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
have	VHP	have
been	VBN	be
quite	RB	quite
violent	JJ	violent
and	CC	and
bloody	JJ	bloody
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
the	DT	the
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
of	IN	of
the	DT	the
strip	NN	strip
mainly	RB	mainly
the	DT	the
city	NN	city
of	IN	of
KH	NP	KH
Yunis	NP	Yunis
Eastern	NP	Eastern
part	NN	part
and	CC	and
central	NN	central
part	VV	part
uh	UH	uh
of	IN	of
the	DT	the
city	NN	city
27	CD	@card@
people	NNS	people
reported	VVN	report
killed	VVD	kill
a	DT	a
majority	NN	majority
we're	NN	we're
talking	VVG	talk
about	IN	about
women	NNS	woman
and	CC	and
children	NNS	child
the	DT	the
same	JJ	same
exact	JJ	exact
patterns	NNS	pattern
of	IN	of
casual	JJ	casual
that	IN/that	that
we	PP	we
see	VVP	see
in	IN	in
every	DT	every
single	JJ	single
day	NN	day
18	CD	@card@
of	IN	of
the	DT	the
27	CD	@card@
only	RB	only
in	IN	in
kanun	NN	kanun
city	NN	city
just	RB	just
an	DT	an
indication	NN	indication
of	IN	of
the	DT	the
surging	VVG	surge
the	DT	the
attacks	NNS	attack
across	IN	across
kanun	NP	kanun
City	NP	City
and	CC	and
five	CD	five
of	IN	of
them	PP	them
five	CD	five
of	IN	of
those	DT	those
18	CD	@card@
inside	IN	inside
a	DT	a
tents	NNS	tent
that's	NNS	that's
a	DT	a
family	NN	family
a	DT	a
mother	NN	mother
and	CC	and
her	PP$	her
and	CC	and
her	PP$	her
uh	UH	uh
children	NNS	child
were	VBD	be
inside	RB	inside
this	DT	this
stent	JJ	stent
when	WRB	when
it	PP	it
was	VBD	be
targeted	VVN	target
they	PP	they
were	VBD	be
pulled	VVN	pull
from	IN	from
uh	UH	uh
the	DT	the
uh	UH	uh
the	DT	the
the	DT	the
area	NN	area
that	IN/that	that
caused	VVN	cause
the	DT	the
the	DT	the
fire	NN	fire
everywhere	RB	everywhere
they	PP	they
were	VBD	be
incinerated	VVN	incinerate
and	CC	and
burned	VVN	burn
the	DT	the
life	NN	life
and	CC	and
removed	VVN	remove
to	TO	to
and	CC	and
transferred	VVN	transfer
to	TO	to
Nar	NP	Nar
Hospital	NP	Hospital
there	RB	there
also	RB	also
further	RBR	further
civilian	JJ	civilian
casualties	NNS	casualty
from	IN	from
Western	JJ	Western
attack	NN	attack
Western	JJ	Western
an	DT	an
attack	NN	attack
on	IN	on
Western	JJ	Western
part	NN	part
of	IN	of
the	DT	the
city	NN	city
of	IN	of
hanun	NN	hanun
and	CC	and
elsewhere	RB	elsewhere
to	TO	to
the	DT	the
southern	JJ	southern
eastern	JJ	eastern
part	NN	part
of	IN	of
City	NP	City
bringing	VVG	bring
the	DT	the
total	JJ	total
number	NN	number
into	IN	into
to	TO	to
27	CD	@card@
people	NNS	people
at	IN	at
Naser	NP	Naser
hospital	NN	hospital
and	CC	and
Al	NP	Al
AA	NN	aa
hospital	NN	hospital
at	IN	at
the	DT	the
earlier	JJR	early
evening	NN	evening
hour	NN	hour
of	IN	of
yesterday	NN	yesterday
at	IN	at
wck	JJ	wck
driver	NN	driver
that's	NNS	that's
an	DT	an
employee	NN	employee
who	WP	who
was	VBD	be
driving	VVG	drive
his	PP$	his
car	NN	car
after	IN	after
completing	VVG	complete
his	PP$	his
mission	NN	mission
in	IN	in
the	DT	the
southern	JJ	southern
eastern	JJ	eastern
part	NN	part
of	IN	of
Dar	NP	Dar
bah	NP	Bah
City	NP	City
was	VBD	be
killed	VVN	kill
in	IN	in
an	DT	an
attack	NN	attack
that	WDT	that
happened	VVD	happen
to	TO	to
a	DT	a
house	NN	house
that	IN/that	that
he	PP	he
was	VBD	be
passing	VVG	pass
near	IN	near
nearby	RB	nearby
was	VBD	be
transferred	VVN	transfer
to	TO	to
Ala	NP	Ala
Hospital	NP	Hospital
unfortunately	RB	unfortunately
the	DT	the
attacks	NNS	attack
are	VBP	be
happening	VVG	happen
without	IN	without
any	DT	any
prior	JJ	prior
warning	NN	warning
of	IN	of
whatsoever	RB	whatsoever
and	CC	and
that	IN/that	that
we	PP	we
were	VBD	be
seeing	VVG	see
more	JJR	more
civilians	NNS	civilian
like	IN	like
the	DT	the
usual	JJ	usual
uh	UH	uh
uh	UH	uh
events	NNS	event
in	IN	in
the	DT	the
past	JJ	past
more	JJR	more
civilians	NNS	civilian
are	VBP	be
being	VBG	be
killed	VVN	kill
and	CC	and
being	VBG	be
uh	UH	uh
targeted	VVN	target
uh	UH	uh
because	IN	because
of	IN	of
the	DT	the
unpredict	JJ	unpredict
Fallen	NP	Fallen
bombs	NNS	bomb
across	IN	across
the	DT	the
strip	NN	strip
honey	NN	honey
you're	NN	you're
also	RB	also
reporting	VVG	report
this	DT	this
morning	NN	morning
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
Army	NP	Army
Israeli	NP	Israeli
Army	NP	Army
is	VBZ	be
systematically	RB	systematically
demolishing	VVG	demolish
residential	JJ	residential
areas	NNS	area
and	CC	and
buildings	NNS	building
inside	IN	inside
Rafa	NP	Rafa
City	NP	City
tell	VV	tell
us	PP	us
more	RBR	more
about	RB	about
that	IN/that	that
well	RB	well
the	DT	the
Israeli	JJ	Israeli
military	NN	military
continues	VVZ	continue
to	TO	to
uh	UH	uh
demol	NN	demol
systematically	RB	systematically
demolish	VV	demolish
more	RBR	more
of	IN	of
the	DT	the
homes	NNS	home
and	CC	and
the	DT	the
the	DT	the
aftermath	NN	aftermath
of	IN	of
this	DT	this
that	WDT	that
people	NNS	people
are	VBP	be
in	IN	in
theab	NN	theab
in	IN	in
intense	JJ	intense
like	IN	like
these	DT	these
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
al-	NP	al-
