<video_id>aJtr4lRw6TQ</video_id>	JJ	<video_id>aJtr4lRw6TQ</video_id>
<video_title>Israel	NNS	<video_title>Israel
likely	JJ	likely
to	TO	to
argue	VV	argue
self-defence,	JJ	self-defence,
focus	NN	focus
on	IN	on
October	NP	October
7	CD	@card@
at	IN	at
ICJ:	NP	ICJ:
Professor</video_title>	NP	Professor</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
likely	JJ	likely
to	TO	to
argue	VV	argue
self-defence,	JJ	self-defence,
focus	NN	focus
on	IN	on
October	NP	October
7	CD	@card@
at	IN	at
ICJ	NP	ICJ
Professor.jpg</thumbnail_path>	NP	Professor.jpg</thumbnail_path>
<publish_date>20240112</publish_date>	NP	<publish_date>20240112</publish_date>
<doc>	NP	<doc>
Michael	NP	Michael
link	NN	link
is	VBZ	be
Professor	NP	Professor
of	IN	of
Meritus	NP	Meritus
at	IN	at
Western	NP	Western
University	NP	University
in	IN	in
London	NP	London
onario	NP	onario
he's	NNS	he's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
there	RB	there
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
um	JJ	um
if	IN	if
I	PP	I
understand	VVP	understand
it	PP	it
correctly	RB	correctly
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
been	VBN	be
in	IN	in
front	NN	front
of	IN	of
the	DT	the
icj	NN	icj
or	CC	or
in	IN	in
fact	NN	fact
any	DT	any
other	JJ	other
court	NN	court
International	NP	International
Court	NP	Court
as	IN	as
a	DT	a
perpetrator	NN	perpetrator
rather	RB	rather
than	IN	than
as	IN	as
a	DT	a
victim	NN	victim
how	WRB	how
do	VVP	do
you	PP	you
assess	VV	assess
the	DT	the
significance	NN	significance
of	IN	of
what	WP	what
we're	NN	we're
seeing	VVG	see
over	IN	over
the	DT	the
next	JJ	next
couple	NN	couple
of	IN	of
days	NNS	day
well	RB	well
the	DT	the
Israel	NP	Israel
obviously	RB	obviously
has	VHZ	have
understood	VVN	understand
that	IN/that	that
um	NNS	um
this	DT	this
isn't	NN	isn't
simply	RB	simply
a	DT	a
legal	JJ	legal
case	NN	case
case	NN	case
but	CC	but
it's	NNS	it's
a	DT	a
political	JJ	political
case	NN	case
playing	VVG	play
out	RP	out
on	IN	on
the	DT	the
theater	NN	theater
of	IN	of
public	JJ	public
opinion	NN	opinion
around	IN	around
the	DT	the
world	NN	world
um	NNS	um
and	CC	and
uh	UH	uh
it	PP	it
it	PP	it
thinks	VVZ	think
I	PP	I
think	VVP	think
that	IN/that	that
it	PP	it
has	VHZ	have
some	DT	some
case	NN	case
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
make	VV	make
in	IN	in
arrain	NN	arrain
back	RB	back
to	TO	to
South	NP	South
Africa	NP	Africa
um	NN	um
it's	NNS	it's
going	VVG	go
to	TO	to
argue	VV	argue
I	PP	I
suspect	VV	suspect
tomorrow	NN	tomorrow
this	DT	this
is	VBZ	be
an	DT	an
educated	VVN	educate
guess	VVP	guess
that	IN/that	that
it	PP	it
will	MD	will
probably	RB	probably
use	VV	use
footage	NN	footage
