inam	NP	Inam
Ahmed	NP	Ahmed
is	VBZ	be
preparing	VVG	prepare
for	IN	for
a	DT	a
family	NN	family
of	IN	of
17	CD	@card@
in	IN	in
Rafa	NP	Rafa
but	CC	but
she	PP	she
doesn	NN	doesn
'	''	'
t	NN	t
have	VHP	have
enough	JJ	enough
food	NN	food
and	CC	and
many	JJ	many
of	IN	of
our	PP$	our
family	NN	family
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
break	VV	break
their	PP$	their
fast	JJ	fast
Ramadan	NN	Ramadan
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
a	DT	a
month	NN	month
of	IN	of
blessings	NNS	blessing
which	WDT	which
we	PP	we
anticipate	VVP	anticipate
the	DT	the
whole	JJ	whole
year	NN	year
in	IN	in
Ramadan	NN	Ramadan
we	PP	we
need	VVP	need
to	TO	to
eat	VV	eat
and	CC	and
drink	VV	drink
but	CC	but
the	DT	the
economic	JJ	economic
situation	NN	situation
is	VBZ	be
hard	JJ	hard
prices	NNS	price
are	VBP	be
inflated	JJ	inflated
there	EX	there
is	VBZ	be
a	DT	a
lack	NN	lack
of	IN	of
food	NN	food
malnutrition	NN	malnutrition
is	VBZ	be
rampant	JJ	rampant
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
clean	JJ	clean
water	NN	water
the	DT	the
United	NP	United
Nation	NP	Nation
says	VVZ	say
a	DT	a
quarter	NN	quarter
of	IN	of
gaza	NP	Gaza
'	POS	'
s	JJ	s
2	CD	@card@
.	SENT	.
3	CD	@card@
million	CD	million
people	NNS	people
are	VBP	be
one	CD	one
step	NN	step
away	RB	away
from	IN	from
farming	VVG	farm
this	DT	this
year	NN	year
Palestinians	NNS	Palestinian
are	VBP	be
fasting	VVG	fast
when	WRB	when
they	PP	they
are	VBP	be
already	RB	already
undernourished	VVN	undernourish
we	PP	we
are	VBP	be
sick	JJ	sick
how	WRB	how
could	MD	could
we	PP	we
fast	RB	fast
because	IN	because
of	IN	of
malnutrition	NN	malnutrition
we	PP	we
feel	VVP	feel
dizzy	VV	dizzy
all	DT	all
day	NN	day
long	VVP	long
my	PP$	my
legs	NNS	leg
can	MD	can
'	''	'
t	NN	t
carry	VVP	carry
me	PP	me
there	EX	there
is	VBZ	be
nothing	NN	nothing
to	TO	to
nourish	VV	nourish
my	PP$	my
body	NN	body
during	IN	during
Ramadan	NP	Ramadan
this	DT	this
Market	NN	market
in	IN	in
Rafa	NP	Rafa
is	VBZ	be
usually	RB	usually
full	JJ	full
of	IN	of
people	NNS	people
and	CC	and
stalls	NNS	stall
filled	VVN	fill
