<video_id>pd37Rq_QvwE</video_id>	JJ	<video_id>pd37Rq_QvwE</video_id>
<video_title>US	NN	<video_title>US
visa	NN	visa
ban	NN	ban
to	TO	to
violent	JJ	violent
Israeli	JJ	Israeli
settlers:	NN	settlers:
'A	NN	'A
comedy	NN	comedy
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
Palestinian	JJ	Palestinian
tragedy'</video_title>	JJ	tragedy'</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
visa	NN	visa
ban	NN	ban
to	TO	to
violent	JJ	violent
Israeli	JJ	Israeli
settlers	NNS	settler
'A	NN	'A
comedy	NN	comedy
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
Palestinian	JJ	Palestinian
tragedy'.jpg</thumbnail_path>	JJ	tragedy'.jpg</thumbnail_path>
<publish_date>20231206</publish_date>	NN	<publish_date>20231206</publish_date>
<doc>	NN	<doc>
the	DT	the
US	NP	US
announces	VVZ	announce
sanctions	NNS	sanction
and	CC	and
visa	NN	visa
restrictions	NNS	restriction
on	IN	on
Israeli	JJ	Israeli
settlers	NNS	settler
involved	VVN	involve
in	IN	in
attacks	NNS	attack
on	IN	on
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Maran	NP	Maran
bashara	NP	Bashara
Al	NP	Al
jazer	NN	jazer
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
with	IN	with
me	PP	me
on	IN	on
set	NN	set
and	CC	and
Maran	NP	Maran
one	CD	one
of	IN	of
the	DT	the
stories	NNS	story
we've	NN	we've
had	VHD	have
in	IN	in
the	DT	the
bulletin	NN	bulletin
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
pick	VV	pick
up	RP	up
on	IN	on
it	PP	it
is	VBZ	be
this	DT	this
decision	NN	decision
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
the	DT	the
state	NN	state
department	NN	department
to	TO	to
sanction	VV	sanction
essentially	RB	essentially
settlers	NNS	settler
by	IN	by
refusing	VVG	refuse
them	PP	them
visas	VVZ	visa
if	IN	if
they've	NNS	they've
been	VBN	be
involved	VVN	involve
in	IN	in
violence	NN	violence
on	IN	on
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
there's	RB	there's
an	DT	an
awful	JJ	awful
lot	NN	lot
of	IN	of
that	DT	that
sort	NN	sort
of	IN	of
going	VVG	go
on	IN	on
the	DT	the
big	JJ	big
question	NN	question
though	RB	though
is	VBZ	be
why	WRB	why
what	WP	what
is	VBZ	be
the	DT	the
point	NN	point
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
people	NNS	people
aren't	NN	aren't
dual	JJ	dual
Nationals	NNS	national
they	PP	they
have	VHP	have
US	PP	us
citizenship	NN	citizenship
anyway	RB	anyway
it	PP	it
doesn't	VVD	doesn't
prevent	VV	prevent
most	JJS	most
of	IN	of
them	PP	them
from	IN	from
visiting	VVG	visit
the	DT	the
United	NP	United
States	NPS	States
it's	NN	it's
a	DT	a
particularly	RB	particularly
kind	JJ	kind
of	IN	of
Toothless	JJ	toothless
measure	NN	measure
what's	NNS	what's
the	DT	the
point	NN	point
well	RB	well
Jonah	NP	Jonah
I	PP	I
think	VVP	think
we	PP	we
can	MD	can
all	RB	all
use	VV	use
a	DT	a
bit	NN	bit
of	IN	of
comedy	NN	comedy
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
this	DT	this
tragedy	NN	tragedy
and	CC	and
this	DT	this
has	VHZ	have
been	VBN	be
quite	RB	quite
comical	JJ	comical
I	PP	I
I	PP	I
mean	VVP	mean
I	PP	I
actually	RB	actually
laughed	VVD	laugh
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
a	DT	a
long	JJ	long
time	NN	time
when	WRB	when
I	PP	I
heard	VVD	hear
of	IN	of
the	DT	the
American	JJ	American
measure	NN	measure
to	TO	to
sanction	VV	sanction
uh	UH	uh
those	DT	those
uh	UH	uh
holigans	VVZ	holigans
uh	UH	uh
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
to	TO	to
say	VV	say
Toothless	JJ	toothless
and	CC	and
to	TO	to
say	VV	say
Hollow	NP	Hollow
I	PP	I
mean	VVP	mean
it's	NNS	it's
really	RB	really
understatement	NN	understatement
I	PP	I
can't	VVD	can't
remember	VV	remember
in	IN	in
in	IN	in
recent	JJ	recent
memory	NN	memory
anything	NN	anything
more	RBR	more
stupid	JJ	stupid
than	IN	than
this	DT	this
measure	NN	measure
anything	NN	anything
Siler	NP	Siler
anything	NN	anything
more	RBR	more
absurd	JJ	absurd
than	IN	than
this	DT	this
measure	NN	measure
and	CC	and
and	CC	and
uh	UH	uh
and	CC	and
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
anony	NN	anony
blinkin	NN	blinkin
you	PP	you
can	MD	can
say	VV	say
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
about	IN	about
him	PP	him
but	CC	but
he's	NNS	he's
not	RB	not
funny	JJ	funny
this	DT	this
was	VBD	be
funny	JJ	funny
I	PP	I
mean	VVP	mean
this	DT	this
was	VBD	be
this	DT	this
was	VBD	be
hilarious	JJ	hilarious
to	TO	to
be	VB	be
honest	JJ	honest
and	CC	and
you	PP	you
said	VVD	say
that	IN/that	that
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
are	VBP	be
duer	JJR	due
Nationals	NNS	national
in	IN	in
fact	NN	fact
the	DT	the
hup	JJ	hup
youth	NN	youth
that	IN/that	that
these	DT	these
are	VBP	be
the	DT	the
holigans	NNS	holigans
that	WDT	that
keep	VVP	keep
you	PP	you
know	VVP	know
banging	VVG	bang
and	CC	and
hitting	VVG	hit
and	CC	and
destroying	VVG	destroy
things	NNS	thing
Apparently	RB	apparently
one	CD	one
out	IN	out
of	IN	of
two	CD	two
of	IN	of
them	PP	them
have	VHP	have
an	DT	an
American	JJ	American
parent	NN	parent
so	IN	so
they	PP	they
actually	RB	actually
you	PP	you
know	VVP	know
not	RB	not
only	RB	only
do	VV	do
they	PP	they
dual	JJ	dual
National	NP	National
they	PP	they
actually	RB	actually
uh	UH	uh
you	PP	you
know	VVP	know
bred	VVN	breed
and	CC	and
and	CC	and
and	CC	and
fed	VVN	feed
and	CC	and
and	CC	and
ideologically	RB	ideologically
and	CC	and
otherwise	RB	otherwise
from	IN	from
their	PP$	their
American	JJ	American
Roots	NP	Roots
right	NN	right
so	IN	so
America	NP	America
is	VBZ	be
actually	RB	actually
in	IN	in
some	DT	some
way	NN	way
responsible	JJ	responsible
for	IN	for
them	PP	them
okay	VVP	okay
so	RB	so
there's	RB	there's
that	DT	that
bit	NN	bit
right	RB	right
the	DT	the
the	DT	the
comical	JJ	comical
bit	NN	bit
but	CC	but
then	RB	then
