<video_id>bx7_2xcc8LY</video_id>	JJ	<video_id>bx7_2xcc8LY</video_id>
<video_title>Israeli	NN	<video_title>Israeli
army	NN	army
tanks	NNS	tank
have	VHP	have
been	VBN	be
used	VVN	use
to	TO	to
close	VV	close
the	DT	the
Rafah	NP	Rafah
border	NN	border
crossing</video_title>	NN	crossing</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
army	NN	army
tanks	NNS	tank
have	VHP	have
been	VBN	be
used	VVN	use
to	TO	to
close	VV	close
the	DT	the
Rafah	NP	Rafah
border	NN	border
crossing.jpg</thumbnail_path>	NN	crossing.jpg</thumbnail_path>
<publish_date>20240508</publish_date>	NN	<publish_date>20240508</publish_date>
<doc>	NN	<doc>
Jeremy	NP	Jeremy
kinck	NP	kinck
is	VBZ	be
president	NN	president
at	IN	at
refugees	NNS	refugee
International	NP	International
he's	NNS	he's
a	DT	a
former	JJ	former
official	NN	official
at	IN	at
within	IN	within
the	DT	the
Obama	NP	Obama
Administration	NP	Administration
working	VVG	work
on	IN	on
humanitarian	JJ	humanitarian
assistance	NN	assistance
and	CC	and
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Washington	NP	Washington
DC	NP	DC
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
sir	NN	sir
uh	UH	uh
on	IN	on
the	DT	the
program	NN	program
I	PP	I
mean	VVP	mean
you've	NN	you've
come	VVN	come
across	IN	across
situations	NNS	situation
like	IN	like
war	NN	war
and	CC	and
conflict	NN	conflict
Aid	NN	aid
is	VBZ	be
always	RB	always
required	VVN	require
by	IN	by
innocent	JJ	innocent
populations	NNS	population
caught	VVN	catch
in	IN	in
the	DT	the
crossfire	NN	crossfire
before	IN	before
we	PP	we
talk	VVP	talk
about	IN	about
Gaza	NP	Gaza
during	IN	during
your	PP$	your
time	NN	time
in	IN	in
the	DT	the
Obama	NP	Obama
Administration	NP	Administration
what's	NNS	what's
the	DT	the
nearest	JJS	near
example	NN	example
of	IN	of
sort	NN	sort
of	IN	of
the	DT	the
genocid	NN	genocid
like	IN	like
conditions	NNS	condition
seeing	VVG	see
in	IN	in
Gaza	NP	Gaza
that	IN/that	that
you	PP	you
had	VHD	have
to	TO	to
experience	VV	experience
and	CC	and
deal	VV	deal
with	IN	with
well	RB	well
we	PP	we
faced	VVD	face
conflict	NN	conflict
and	CC	and
uh	UH	uh
you	PP	you
know	VVP	know
violent	JJ	violent
obstruction	NN	obstruction
of	IN	of
Aid	NN	aid
efforts	NNS	effort
in	IN	in
a	DT	a
range	NN	range
of	IN	of
places	VVZ	place
we	PP	we
you	PP	you
know	VVP	know
we	PP	we
saw	VVD	see
this	DT	this
with	IN	with
our	PP$	our
partners	NNS	partner
in	IN	in
Syria	NP	Syria
um	NNS	um
you	PP	you
know	VVP	know
a	DT	a
lot	NN	lot
of	IN	of
I	PP	I
think	VVP	think
the	DT	the
the	DT	the
the	DT	the
battle	NN	battle
damage	NN	damage
patterns	NNS	pattern
that	WDT	that
are	VBP	be
visible	JJ	visible
in	IN	in
in	IN	in
Gaza	NP	Gaza
today	NN	today
look	VVP	look
a	DT	a
lot	NN	lot
like	IN	like
what	WP	what
Assad	NP	Assad
did	VVD	do
to	TO	to
Aleppo	NP	Aleppo
for	IN	for
example	NN	example
um	NNS	um
similar	JJ	similar
uh	UH	uh
tactics	NNS	tactic
of	IN	of
obstructing	VVG	obstruct
Aid	NN	aid
um	NNS	um
in	IN	in
the	DT	the
war	NN	war
in	IN	in
