<video_id>9telFZehoT0</video_id>	JJ	<video_id>9telFZehoT0</video_id>
<video_title>Protests	NNS	<video_title>Protests
in	IN	in
Tel	NP	Tel
Aviv:	NP	Aviv:
Demonstrators	NNS	demonstrator
call	VVP	call
for	IN	for
release	NN	release
of	IN	of
captives</video_title>	JJ	captives</video_title>
<thumbnail_path>data/en_AJ\Protests	NNS	<thumbnail_path>data/en_AJ\Protests
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
Demonstrators	NNS	demonstrator
call	VVP	call
for	IN	for
release	NN	release
of	IN	of
captives.jpg</thumbnail_path>	JJ	captives.jpg</thumbnail_path>
<publish_date>20240120</publish_date>	JJ	<publish_date>20240120</publish_date>
<doc>	NN	<doc>
we're	NN	we're
here	RB	here
in	IN	in
front	NN	front
of	IN	of
the	DT	the
ministry	NN	ministry
of	IN	of
Defense	NP	Defense
in	IN	in
t	NN	t
Aviv	NP	Aviv
not	RB	not
far	RB	far
away	RB	away
from	IN	from
what	WP	what
is	VBZ	be
known	VVN	know
as	IN	as
hostage	NN	hostage
Square	NP	Square
this	DT	this
is	VBZ	be
the	DT	the
place	NN	place
where	WRB	where
at	IN	at
after	IN	after
October	NP	October
7	CD	@card@
the	DT	the
relatives	NNS	relative
of	IN	of
those	DT	those
who	WP	who
are	VBP	be
being	VBG	be
held	VVN	hold
captive	NN	captive
in	IN	in
Gaza	NP	Gaza
started	VVD	start
to	TO	to
come	VV	come
to	TO	to
demand	VV	demand
their	PP$	their
release	NN	release
right	NN	right
in	IN	in
front	NN	front
of	IN	of
the	DT	the
ministry	NN	ministry
of	IN	of
Defense	NN	defense
initially	RB	initially
they	PP	they
were	VBD	be
very	RB	very
silent	JJ	silent
their	PP$	their
voices	NNS	voice
now	RB	now
are	VBP	be
starting	VVG	start
to	TO	to
go	VV	go
louder	JJR	loud
they're	NN	they're
getting	VVG	get
more	JJR	more
impatient	NN	impatient
with	IN	with
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
thousands	NNS	thousand
of	IN	of
people	NNS	people
have	VHP	have
gathered	VVN	gather
here	RB	here
to	TO	to
demand	VV	demand
the	DT	the
release	NN	release
of	IN	of
the	DT	the
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
many	RB	many
are	VBP	be
concerned	VVN	concern
that	IN/that	that
the	DT	the
government	NN	government
is	VBZ	be
more	RBR	more
focused	VVN	focus
on	IN	on
the	DT	the
war	NN	war
that	IN/that	that
on	IN	on
getting	VVG	get
their	PP$	their
loved	VVN	love
ones	NNS	one
released	VVD	release
the	DT	the
government	NN	government
has	VHZ	have
said	VVN	say
that	IN/that	that
they're	NN	they're
changing	VVG	change
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
removing	VVG	remove
some	DT	some
triops	NNS	triops
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
focusing	VVG	focus
on	IN	on
fighting	VVG	fight
in	IN	in
the	DT	the
South	NP	South
but	CC	but
people	NNS	people
here	RB	here
want	VVP	want
to	TO	to
see	VV	see
the	DT	the
captives	NNS	captive
released	VVN	release
and	CC	and
this	DT	this
is	VBZ	be
happening	VVG	happen
as	IN	as
protesting	VVG	protest
across	IN	across
Israel	NP	Israel
have	VHP	have
increased	VVN	increase
in	IN	in
recent	JJ	recent
weeks	NNS	week
we're	NN	we're
seeing	VVG	see
not	RB	not
far	RB	far
away	RB	away
from	IN	from
where	WRB	where
we	PP	we
are	VBP	be
uh	UH	uh
we	PP	we
were	VBD	be
just	RB	just
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
there	EX	there
were	VBD	be
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
people	NNS	people
here	RB	here
calling	VVG	call
for	IN	for
new	JJ	new
elections	NNS	election
they	PP	they
say	VVP	say
that	IN/that	that
the	DT	the
government	NN	government
and	CC	and
bamin	NN	bamin
nanyu	NN	nanyu
have	VHP	have
blood	NN	blood
on	IN	on
their	PP$	their
hands	NNS	hand
that	IN/that	that
only	JJ	only
new	JJ	new
elections	NNS	election
is	VBZ	be
something	NN	something
that	WDT	that
will	MD	will
unite	VV	unite
this	DT	this
country	NN	country
once	RB	once
again	RB	again
after	IN	after
what	WP	what
happened	VVD	happen
it's	NNS	it's
not	RB	not
just	RB	just
happening	VVG	happen
on	IN	on
the	DT	the
streets	NNS	street
it's	NNS	it's
also	RB	also
within	IN	within
the	DT	the
war	NN	war
cabinet	NN	cabinet
for	IN	for
example	NN	example
we're	NN	we're
seeing	VVG	see
that	IN/that	that
ministers	NNS	minister
are	VBP	be
also	RB	also
saying	VVG	say
that	IN/that	that
new	JJ	new
elections	NNS	election
are	VBP	be
needed	VVN	need
many	JJ	many
are	VBP	be
starting	VVG	start
to	TO	to
question	VV	question
whether	IN	whether
defeating	VVG	defeat
Hamas	NN	Hamas
is	VBZ	be
even	RB	even
realistic	JJ	realistic
so	IN	so
most	RBS	most
suddenly	RB	suddenly
there's	RB	there's
something	NN	something
changing	VVG	change
in	IN	in
Israel	NP	Israel
in	IN	in
the	DT	the
past	JJ	past
3	CD	@card@
months	NNS	month
you	PP	you
know	VVP	know
several	JJ	several
months	NNS	month
ago	RB	ago
prior	RB	prior
to	TO	to
the	DT	the
October	NP	October
7th	JJ	7th
attack	NN	attack
there	EX	there
were	VBD	be
massive	JJ	massive
demonstrations	NNS	demonstration
on	IN	on
the	DT	the
streets	NNS	street
with	IN	with
people	NNS	people
uh	UH	uh
trying	VVG	try
to	TO	to
prevent	VV	prevent
the	DT	the
government	NN	government
from	IN	from
reforming	VVG	reform
the	DT	the
Judiciary	NP	Judiciary
they	PP	they
stopped	VVD	stop
for	IN	for
a	DT	a
while	NN	while
trying	VVG	try
to	TO	to
remain	VV	remain
United	NP	United
now	RB	now
they're	NN	they're
on	IN	on
the	DT	the
streets	NNS	street
again	RB	again
and	CC	and
certainly	RB	certainly
what	WP	what
is	VBZ	be
ongoing	JJ	ongoing
this	DT	this
demonstrations	NNS	demonstration
on	IN	on
the	DT	the
streets	NNS	street
show	VVP	show
that	IN/that	that
something	NN	something
has	VHZ	have
started	VVN	start
to	TO	to
change	VV	change
there	EX	there
is	VBZ	be
Al	NP	Al
t	NN	t
AV	NP	AV
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
