<video_id>HIG8Pxa6EyQ</video_id>	NN	<video_id>HIG8Pxa6EyQ</video_id>
<video_title>Gaza's	NNS	<video_title>Gaza's
north	RB	north
hit	VVD	hit
heavily	RB	heavily
as	IN	as
Israel's	NP	Israel's
bombardment	NN	bombardment
intensifies</video_title>	NN	intensifies</video_title>
<thumbnail_path>data/en_AJ\Gaza's	NNS	<thumbnail_path>data/en_AJ\Gaza's
north	RB	north
hit	VVD	hit
heavily	RB	heavily
as	IN	as
Israel's	NP	Israel's
bombardment	NN	bombardment
intensifies.jpg</thumbnail_path>	NN	intensifies.jpg</thumbnail_path>
<publish_date>20231105</publish_date>	NN	<publish_date>20231105</publish_date>
<doc>	NN	<doc>
returning	VVG	return
now	RB	now
to	TO	to
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
and	CC	and
Israel's	NP	Israel's
bombardment	NN	bombardment
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
has	VHZ	have
intensified	VVN	intensify
in	IN	in
the	DT	the
past	JJ	past
few	JJ	few
minutes	NNS	minute
especially	RB	especially
uh	UH	uh
the	DT	the
bombardment	NN	bombardment
of	IN	of
central	JJ	central
Gaza	NP	Gaza
let's	NNS	let's
bring	VVP	bring
in	IN	in
Tark	NP	Tark
abazo	NP	abazo
who's	NNS	who's
in	IN	in
canun	NN	canun
is	VBZ	be
that's	NN	that's
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
what	WP	what
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	IN	about
what's	NN	what's
happening	VVG	happen
uh	UH	uh
in	IN	in
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
of	IN	of
Gaza	NP	Gaza
tar	VV	tar
yes	UH	yes
uh	UH	uh
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
witnessed	VVN	witness
a	DT	a
massive	JJ	massive
Israeli	JJ	Israeli
campaign	NN	campaign
of	IN	of
air	NN	air
strikes	NNS	strike
that	WDT	that
targeted	VVD	target
different	JJ	different
SES	NNS	sis
Central	JJ	central
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
considered	VVD	consider
to	TO	to
be	VB	be
the	DT	the
main	JJ	main
vital	JJ	vital
uh	UH	uh
area	NN	area
in	IN	in
the	DT	the
territory	NN	territory
uh	UH	uh
this	DT	this
area	NN	area
considered	VVN	consider
to	TO	to
be	VB	be
very	RB	very
densely	RB	densely
populated	VVN	populate
even	RB	even
after	IN	after
the	DT	the
evacuation	NN	evacuation
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
to	TO	to
the	DT	the
southern	JJ	southern
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
people	NNS	people
there	RB	there
have	VHP	have
uh	UH	uh
running	VVG	run
glow	NN	glow
on	IN	on
uh	UH	uh
different	JJ	different
kinds	NNS	kind
of	IN	of
uh	UH	uh
fuel	VV	fuel
uh	UH	uh
medical	JJ	medical
supplies	NNS	supply
and	CC	and
even	RB	even
food	NN	food
and	CC	and
now	RB	now
they	PP	they
are	VBP	be
witnessing	VVG	witness
massive	JJ	massive
uh	UH	uh
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
just	RB	just
we	PP	we
uh	UH	uh
we	PP	we
clearly	RB	clearly
see	VV	see
uh	UH	uh
the	DT	the
videos	NNS	video
released	VVN	release
from	IN	from
the	DT	the
central	JJ	central
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
the	DT	the
lightening	VVG	lighten
up	RP	up
of	IN	of
every	DT	every
single	JJ	single
corner	NN	corner
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
the	DT	the
central	JJ	central
areas	NNS	area
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
Israeli	JJ	Israeli
Relentless	JJ	relentless
attacks	NNS	attack
as	IN	as
well	UH	well
uh	UH	uh
the	DT	the
these	DT	these
attacks	NNS	attack
continued	VVD	continue
and	CC	and
every	DT	every
single	JJ	single
hour	NN	hour
day	NN	day
and	CC	and
night	NN	night
uh	UH	uh
targeting	VVG	target
civilians	NNS	civilian
and	CC	and
even	RB	even
destroying	VVG	destroy
uh	UH	uh
residential	JJ	residential
houses	NNS	house
and	CC	and
even	RB	even
civil	JJ	civil
infrastructures	NNS	infrastructure
now	RB	now
the	DT	the
main	JJ	main
concentration	NN	concentration
for	IN	for
the	DT	the
Israeli	JJ	Israeli
latest	JJS	late
attacks	NNS	attack
concentrated	VVN	concentrate
on	IN	on
destroying	VVG	destroy
backies	NNS	backies
attacking	VVG	attack
United	NP	United
Nations	NPS	Nations
shelters	NNS	shelter
and	CC	and
they	PP	they
are	VBP	be
also	RB	also
trying	VVG	try
to	TO	to
destroy	VV	destroy
and	CC	and
to	TO	to
wipe	VV	wipe
out	RP	out
every	DT	every
single	JJ	single
shape	NN	shape
of	IN	of
life	NN	life
in	IN	in
the	DT	the
uh	UH	uh
Central	JJ	central
areas	NNS	area
and	CC	and
Northern	JJ	northern
areas	NNS	area
of	IN	of
the	DT	the
territory	NN	territory
as	RB	as
well	RB	well
in	IN	in
order	NN	order
to	TO	to
force	VV	force
citizens	NNS	citizen
there	RB	there
to	TO	to
evacuate	VV	evacuate
to	TO	to
the	DT	the
southern	JJ	southern
area	NN	area
so	IN	so
they	PP	they
can	MD	can
have	VH	have
a	DT	a
kind	NN	kind
of	IN	of
flexibility	NN	flexibility
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
military	JJ	military
acts	NNS	act
in	IN	in
the	DT	the
in	IN	in
the	DT	the
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
so	IN	so
the	DT	the
Israeli	JJ	Israeli
Relentless	JJ	relentless
attacks	NNS	attack
also	RB	also
continued	VVD	continue
led	VVN	lead
to	TO	to
the	DT	the
cut	NN	cut
off	RP	off
of	IN	of
communication	NN	communication
Network	NN	network
and	CC	and
it's	NNS	it's
really	RB	really
affect	VVP	affect
on	IN	on
the	DT	the
ability	NN	ability
of	IN	of
uh	UH	uh
medical	JJ	medical
uh	UH	uh
services	NNS	service
and	CC	and
even	RB	even
the	DT	the
ambulan	NN	ambulan
Services	NPS	Services
they	PP	they
don't	VVD	don't
know	VV	know
either	CC	either
where	WRB	where
is	VBZ	be
the	DT	the
location	NN	location
of	IN	of
the	DT	the
attack	NN	attack
and	CC	and
the	DT	the
the	DT	the
citizens	NNS	citizen
are	VBP	be
forced	VVN	force
to	TO	to
bring	VV	bring
victims	NNS	victim
by	IN	by
using	VVG	use
uh	UH	uh
their	PP$	their
own	JJ	own
uh	UH	uh
their	PP$	their
own	JJ	own
uh	UH	uh
ways	NNS	way
of	IN	of
transportation	NN	transportation
just	RB	just
before	IN	before
uh	UH	uh
the	DT	the
uh	UH	uh
previous	JJ	previous
uh	UH	uh
coverage	NN	coverage
I	PP	I
just	RB	just
so	CC	so
uh	UH	uh
a	DT	a
man	NN	man
bringing	VVG	bring
one	CD	one
of	IN	of
the	DT	the
victims	NNS	victim
by	IN	by
using	VVG	use
his	PP$	his
own	JJ	own
Carter	NP	Carter
bulled	VVD	bull
by	IN	by
a	DT	a
donkey	NN	donkey
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
hospital	NN	hospital
here	RB	here
Naser	NP	Naser
Hospital	NP	Hospital
due	JJ	due
to	TO	to
the	DT	the
absence	NN	absence
of	IN	of
communication	NN	communication
so	IN	so
ambulances	NNS	ambulance
cannot	MD	can
really	RB	really
get	VV	get
an	DT	an
access	NN	access
to	TO	to
the	DT	the
uh	UH	uh
targ	NN	targ
areas	NNS	area
TK	NP	TK
um	NNS	um
very	RB	very
important	JJ	important
that	IN/that	that
you	PP	you
mention	VVP	mention
there	RB	there
Communications	NP	Communications
because	IN	because
we've	NN	we've
heard	VVN	hear
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
telecom's	NN	telecom's
agency	NN	agency
which	WDT	which
has	VHZ	have
said	VVN	say
internet	NN	Internet
services	VVZ	service
