Mass	NP	Mass
protests	NNS	protest
have	VHP	have
erupted	VVN	erupt
across	IN	across
Israel	NP	Israel
against	IN	against
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
as	IN	as
his	PP$	his
war	NN	war
on	IN	on
Gaza	NP	Gaza
is	VBZ	be
close	JJ	close
to	TO	to
entering	VVG	enter
a	DT	a
12th	JJ	12th
month	NN	month
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
despite	IN	despite
mounting	VVG	mount
domestic	JJ	domestic
and	CC	and
international	JJ	international
pressure	NN	pressure
to	TO	to
agree	VV	agree
on	IN	on
a	DT	a
ceasefire	NN	ceasefire
families	NNS	family
of	IN	of
captives	NNS	captive
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
demonstrating	VVG	demonstrate
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
and	CC	and
they	PP	they
'	POS	'
re	NN	re
demanding	VVG	demand
that	IN/that	that
Netanyahu	NP	Netanyahu
reach	VV	reach
an	DT	an
agreement	NN	agreement
to	TO	to
secure	VV	secure
the	DT	the
release	NN	release
of	IN	of
their	PP$	their
loved	VVN	love
ones	NNS	one
also	RB	also
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
is	VBZ	be
expected	VVN	expect
to	TO	to
discuss	VV	discuss
the	DT	the
issue	NN	issue
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
joining	VVG	join
us	PP	us
now	RB	now
is	VBZ	be
Usama	NP	Usama
hamdan	NP	Hamdan
who	WP	who
'	POS	'
s	NNS	s
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
hamas	NNS	hamas
'	POS	'
s	NNS	s
political	JJ	political
Bureau	NP	Bureau
thanks	NNS	thanks
for	IN	for
your	PP$	your
time	NN	time
Mr	NN	Mr
hamdan	NN	hamdan
so	RB	so
as	IN	as
we	PP	we
'	POS	'
re	NN	re
saying	VVG	say
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
is	VBZ	be
to	TO	to
discuss	VV	discuss
later	RBR	later
on	IN	on
Wednesday	NP	Wednesday
the	DT	the
hostages	NNS	hostage
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
as	RB	as
well	RB	well
as	IN	as
the	DT	the
overall	JJ	overall
conflict	NN	conflict
after	IN	after
the	DT	the
killing	NN	killing
of	IN	of
six	CD	six
Israeli	JJ	Israeli
hostages	NNS	hostage
over	IN	over
the	DT	the
weekend	NN	weekend
how	WRB	how
do	VVP	do
you	PP	you
view	VVP	view
this	DT	this
well	RB	well
thank	VV	thank
you	PP	you
Dar	NP	Dar
for	IN	for
having	VHG	have
me	PP	me
in	IN	in
fact	NN	fact
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
issue	NN	issue
to	TO	to
be	VB	be
discussed	VVN	discuss
but	CC	but
uh	UH	uh
the	DT	the
big	JJ	big
questions	NNS	question
here	RB	here
for	IN	for
the	DT	the
security	NN	security
C	NP	C
counil	NP	counil
they	PP	they
are	VBP	be
trying	VVG	try
to	TO	to
discuss	VV	discuss
or	CC	or
they	PP	they
are	VBP	be
willing	JJ	willing
to	TO	to
discuss	VV	discuss
the	DT	the
death	NN	death
of	IN	of
