<video_id>cxiM2KFv_ws</video_id>	JJ	<video_id>cxiM2KFv_ws</video_id>
<video_title>International	JJ	<video_title>International
double	JJ	double
standards	NNS	standard
a	DT	a
key	JJ	key
problem:	NN	problem:
Human	NP	Human
Rights	NPS	Rights
Watch</video_title>	NP	Watch</video_title>
<thumbnail_path>data/en_AJ\International	JJ	<thumbnail_path>data/en_AJ\International
double	JJ	double
standards	NNS	standard
a	DT	a
key	JJ	key
problem	NN	problem
Human	NP	Human
Rights	NPS	Rights
Watch.jpg</thumbnail_path>	NP	Watch.jpg</thumbnail_path>
<publish_date>20240112</publish_date>	NN	<publish_date>20240112</publish_date>
<doc>	NN	<doc>
going	VVG	go
to	TO	to
speak	VV	speak
now	RB	now
to	TO	to
Tian	NP	Tian
Hassan	NP	Hassan
who's	NNS	who's
in	IN	in
New	NP	New
York	NP	York
she's	NP	she's
Executive	NP	Executive
Director	NP	Director
of	IN	of
Human	NP	Human
Rights	NPS	Rights
Watch	VVP	watch
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
I	PP	I
understand	VVP	understand
that	IN/that	that
this	DT	this
report	NN	report
has	VHZ	have
produced	VVN	produce
a	DT	a
lot	NN	lot
of	IN	of
interest	NN	interest
and	CC	and
you've	NN	you've
been	VBN	be
doing	VVG	do
uh	UH	uh
several	JJ	several
press	NN	press
conferences	NNS	conference
uh	UH	uh
as	IN	as
a	DT	a
result	NN	result
of	IN	of
that	WDT	that
I'd	NNS	I'd
like	VVP	like
to	TO	to
ask	VV	ask
you	PP	you
uh	UH	uh
about	IN	about
your	PP$	your
assessment	NN	assessment
of	IN	of
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
compared	VVN	compare
to	TO	to
the	DT	the
uh	UH	uh
other	JJ	other
99	CD	@card@
uh	UH	uh
countries	NNS	country
that	IN/that	that
you	PP	you
have	VHP	have
been	VBN	be
monitoring	VVG	monitor
over	IN	over
the	DT	the
last	JJ	last
year	NN	year
um	NNS	um
well	RB	well
Human	JJ	human
Rights	NPS	Rights
Watch	VVP	watch
doesn't	NN	doesn't
do	VVP	do
a	DT	a
ranking	JJ	ranking
um	NN	um
of	IN	of
human	JJ	human
suffering	NN	suffering
but	CC	but
what	WP	what
we	PP	we
can	MD	can
say	VV	say
is	VBZ	be
that	IN/that	that
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
dire	JJ	dire
through	IN	through
our	PP$	our
research	NN	research
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
conflict	NN	conflict
Human	NP	Human
Rights	NPS	Rights
Watch	NN	watch
has	VHZ	have
documented	VVN	document
um	JJ	um
war	NN	war
crimes	NNS	crime
being	VBG	be
committed	VVN	commit
including	VVG	include
um	VVG	um
uh	UH	uh
the	DT	the
crime	NN	crime
of	IN	of
starvation	NN	starvation
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
War	NP	War
um	NNS	um
also	RB	also
Collective	JJ	collective
punishment	NN	punishment
through	IN	through
the	DT	the
Restriction	NN	restriction
to	TO	to
F	NN	F
to	TO	to
basic	JJ	basic
food	NN	food
water	NN	water
fuel	NN	fuel
um	NNS	um
and	CC	and
life-saving	JJ	life-saving
humanitarian	JJ	humanitarian
assistance	NN	assistance
which	WDT	which
has	VHZ	have
been	VBN	be
imposed	VVN	impose
by	IN	by
uh	UH	uh
the	DT	the
isra	NN	isra
blockade	NN	blockade
so	IN	so
you	PP	you
know	VVP	know
the	DT	the
situation	NN	situation
in	IN	in
Gava	NP	Gava
is	VBZ	be
desperate	JJ	desperate
and	CC	and
it	PP	it
requires	VVZ	require
uh	UH	uh
a	DT	a
immediate	JJ	immediate
response	NN	response
from	IN	from
the	DT	the
international	JJ	international
community	NN	community
and	CC	and
what	WP	what
we've	VVP	we've
seen	VVN	see
today	NN	today
I	PP	I
think	VVP	think
with	IN	with
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
uh	UH	uh
hearing	VVG	hear
South	JJ	South
Africa's	NNS	Africa's
application	NN	application
uh	UH	uh
that	DT	that
uh	UH	uh
they	PP	they
are	VBP	be
arguing	VVG	argue
that	DT	that
uh	UH	uh
Israel	NP	Israel
has	VHZ	have
uh	UH	uh
violated	VVD	violate
its	PP$	its
obligations	NNS	obligation
under	IN	under
the	DT	the
genocide	NN	genocide
convention	NN	convention
is	VBZ	be
an	DT	an
important	JJ	important
signal	NN	signal
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
and	CC	and
to	TO	to
the	DT	the
world	NN	world
that	IN/that	that
there	EX	there
must	MD	must
be	VB	be
accountability	NN	accountability
for	IN	for
war	NN	war
crimes	NNS	crime
that	WDT	that
are	VBP	be
being	VBG	be
committed	VVN	commit
in	IN	in
Gaza	NP	Gaza
but	CC	but
throughout	IN	throughout
this	DT	this
conflict	NN	conflict
all	DT	all
parties	NNS	party
to	TO	to
the	DT	the
conflict	NN	conflict
must	MD	must
abide	VV	abide
by	IN	by
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
they	PP	they
must	MD	must
be	VB	be
