<video_id>dqwJYXYNLHo</video_id>	JJ	<video_id>dqwJYXYNLHo</video_id>
<video_title>Gaza	NN	<video_title>Gaza
health	NN	health
ministry	NN	ministry
says	VVZ	say
704	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
in	IN	in
past	JJ	past
24	CD	@card@
hour</video_title>	NN	hour</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
health	NN	health
ministry	NN	ministry
says	VVZ	say
704	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
in	IN	in
past	JJ	past
24	CD	@card@
hour.jpg</thumbnail_path>	NN	hour.jpg</thumbnail_path>
<publish_date>20231024</publish_date>	NN	<publish_date>20231024</publish_date>
<doc>	JJ	<doc>
Tark	NP	Tark
kazum	NN	kazum
is	VBZ	be
in	IN	in
Han	NP	Han
Yunis	NP	Yunis
in	IN	in
Gaza	NP	Gaza
tar	NN	tar
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
on	IN	on
what's	NNS	what's
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
are	VBP	be
the	DT	the
Israeli	JJ	Israeli
bombardments	NNS	bombardment
continuing	VVG	continue
yes	RB	yes
definitely	RB	definitely
uh	UH	uh
over	IN	over
night	NN	night
and	CC	and
every	DT	every
morning	NN	morning
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
continues	VVZ	continue
targeting	VVG	target
residential	JJ	residential
buildings	NNS	building
inside	IN	inside
the	DT	the
besieged	JJ	besieged
territory	NN	territory
during	IN	during
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
the	DT	the
death	NN	death
toll	NN	toll
of	IN	of
among	IN	among
Palestinian	NP	Palestinian
has	VHZ	have
risen	VVN	rise
to	TO	to
more	JJR	more
than	IN	than
150	CD	@card@
Palestinian	JJ	Palestinian
uh	UH	uh
the	DT	the
the	DT	the
uh	UH	uh
final	JJ	final
conclusion	NN	conclusion
of	IN	of
the	DT	the
death	NN	death
toll	NN	toll
in	IN	in
in	IN	in
the	DT	the
Gaza	NP	Gaza
trip	NN	trip
has	VHZ	have
risen	VVN	rise
to	TO	to
more	JJR	more
than	IN	than
5,000	CD	@card@
700	CD	@card@
Palestinians	NPS	Palestinians
with	IN	with
more	JJR	more
