Tamara	NP	Tamara
Al	NP	Al
Rafi	NP	Rafi
is	VBZ	be
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
relief	NN	relief
and	CC	and
works	VVZ	work
agency	NN	agency
unra	NN	unra
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
Aman	NP	Aman
thank	VVP	thank
you	PP	you
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
on	IN	on
the	DT	the
program	NN	program
today	NN	today
so	IN	so
unra	NP	unra
dismissed	VVD	dismiss
nine	CD	nine
employees	NNS	employee
does	VVZ	do
the	DT	the
organization	NN	organization
have	VHP	have
evidence	NN	evidence
that	IN/that	that
those	DT	those
employees	NNS	employee
were	VBD	be
involved	VVN	involve
indeed	RB	indeed
in	IN	in
the	DT	the
October	NP	October
7th	JJ	7th
attack	NN	attack
on	IN	on
received	VVN	receive
Al	NP	Al
allegations	NNS	allegation
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
the	DT	the
commissioner	NN	commissioner
General	NP	General
OFA	NP	Ofa
deemed	VVD	deem
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
in	IN	in
the	DT	the
interest	NN	interest
of	IN	of
the	DT	the
2	CD	@card@
million	CD	million
people	NNS	people
were	VBD	be
serving	VVG	serve
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
interest	NN	interest
of	IN	of
the	DT	the
continuation	NN	continuation
of	IN	of
our	PP$	our
life	NN	life
-	NN	-
saving	NN	saving
and	CC	and
irreplaceable	JJ	irreplaceable
work	NN	work
in	IN	in
Gaza	NP	Gaza
he	PP	he
deemed	VVD	deem
it	PP	it
um	RB	um
necessary	JJ	necessary
to	TO	to
preemptively	RB	preemptively
dismiss	VV	dismiss
these	DT	these
staff	NN	staff
members	NNS	member
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
everything	NN	everything
else	RB	else
but	CC	but
also	RB	also
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
due	JJ	due
diligence	NN	diligence
the	DT	the
commissioner	NN	commissioner
General	NP	General
asked	VVD	ask
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gutieres	NNS	gutieres
to	TO	to
refer	VV	refer
the	DT	the
situation	NN	situation
to	TO	to
the	DT	the
highest	JJS	high
investigation	NN	investigation
Authority	NP	Authority
at	IN	at
the	DT	the
UN	NP	UN
in	IN	in
New	NP	New
York	NP	York
so	IN	so
we	PP	we
worked	VVD	work
on	IN	on
several	JJ	several
tracks	NNS	track
together	RB	together
with	IN	with
the	DT	the
primary	JJ	primary
goal	NN	goal
being	VBG	be
the	DT	the
continuation	NN	continuation
of	IN	of
our	PP$	our
Irreplaceable	JJ	irreplaceable
and	CC	and
life	NN	life
-	NN	-
saving	VVG	save
work	NN	work
in	IN	in
Gaza	NP	Gaza
okay	JJ	okay
so	IN	so
the	DT	the
nine	CD	nine
employees	NNS	employee
that	WDT	that
were	VBD	be
dismissed	VVN	dismiss
were	VBD	be
preemptively	RB	preemptively
dismissed	VVN	dismiss
to	TO	to
be	VB	be
clear	JJ	clear
does	VVZ	do
that	RB	that
mean	VV	mean
you	PP	you
don	NN	don
'	POS	'
t	NN	t
or	CC	or
that	IN/that	that
you	PP	you
do	VVP	do
currently	RB	currently
have	VH	have
any	DT	any
evidence	NN	evidence
in	IN	in
their	PP$	their
alleged	JJ	alleged
involvement	NN	involvement
in	IN	in
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
that	WDT	that
is	VBZ	be
correct	JJ	correct
they	PP	they
were	VBD	be
dismissed	VVN	dismiss
upon	IN	upon
allegations	NNS	allegation
preemptively	RB	preemptively
and	CC	and
an	DT	an
investigation	NN	investigation
