okay	RB	okay
now	RB	now
Robert	NP	Robert
Pate	NP	Pate
is	VBZ	be
a	DT	a
professor	NN	professor
of	IN	of
political	JJ	political
science	NN	science
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Chicago	NP	Chicago
and	CC	and
he	PP	he
'	POS	'
s	NNS	s
the	DT	the
director	NN	director
of	IN	of
the	DT	the
Chicago	NP	Chicago
project	NN	project
on	IN	on
security	NN	security
and	CC	and
threats	NNS	threat
and	CC	and
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Chicago	NP	Chicago
Robert	NP	Robert
Pape	NP	Pape
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
uh	UH	uh
on	IN	on
Al	NP	Al
jazer	NN	jazer
you	PP	you
have	VHP	have
written	VVN	write
you	PP	you
'	POS	'
ve	NN	ve
studied	VVD	study
extensively	RB	extensively
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
coercive	JJ	coercive
bombing	VVG	bomb
uh	UH	uh
what	WP	what
is	VBZ	be
it	PP	it
and	CC	and
do	VVP	do
you	PP	you
believe	VVP	believe
that	IN/that	that
it	PP	it
applies	VVZ	apply
in	IN	in
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
happening	NN	happening
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
yes	UH	yes
um	VVG	um
I	PP	I
'	POS	'
ve	NN	ve
studied	VVD	study
every	DT	every
strategic	JJ	strategic
Bond	NN	bond
campaign	NN	campaign
since	IN	since
World	NP	World
War	NP	War
I	NP	I
um	NN	um
and	CC	and
we	PP	we
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
studied	VVD	study
them	PP	them
not	RB	not
just	RB	just
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
bombs	NNS	bomb
go	VVP	go
on	IN	on
targets	NNS	target
but	CC	but
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
relative	JJ	relative
intensity	NN	intensity
of	IN	of
Civilian	JJ	civilian
punishment	NN	punishment
and	CC	and
what	WP	what
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	VVZ	s
uh	UH	uh
bombing	NN	bombing
campaign	NN	campaign
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
intense	JJ	intense
civilian	JJ	civilian
punishment	NN	punishment
campaigns	NNS	campaign
in	IN	in
history	NN	history
already	RB	already
today	RB	today
uh	UH	uh
after	IN	after
two	CD	two
months	NNS	month
uh	UH	uh
nearly	RB	nearly
19	CD	@card@
,	,	,
000	CD	@card@
civilians	NNS	civilian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
about	IN	about
1	CD	@card@
%	NN	%
of	IN	of
the	DT	the
two	CD	two
million	CD	million
people	NNS	people
who	WP	who
live	VVP	live
in	IN	in
Gaza	NP	Gaza
by	IN	by
that	DT	that
standard	JJ	standard
1	CD	@card@
%	NN	%
that	WDT	that
already	RB	already
puts	VVZ	put
this	DT	this
uh	UH	uh
bombing	NN	bombing
campaign	NN	campaign
in	IN	in
the	DT	the
top	JJ	top
one	CD	one
top	NN	top
25	CD	@card@
%	NN	%
of	IN	of
all	DT	all
bombing	NN	bombing
campaigns	NNS	campaign
in	IN	in
history	NN	history
in	IN	in
terms	NNS	term
of	IN	of
Civilian	JJ	civilian
damage	VV	damage
uh	UH	uh
and	CC	and
so	IN	so
what	WP	what
we	PP	we
are	VBP	be
seeing	VVG	see
today	NN	today
is	VBZ	be
not	RB	not
just	RB	just
simply	RB	simply
a	DT	a
um	JJ	um
absolute	JJ	absolute
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
occurring	VVG	occur
we	PP	we
are	VBP	be
seeing	VVG	see
one	PP	one
of	IN	of
the	DT	the
most	RBS	most
intense	JJ	intense
civilian	JJ	civilian
bombing	NN	bombing
campaigns	NNS	campaign
in	IN	in
history	NN	history
and	CC	and
the	DT	the
coercive	JJ	coercive
element	NN	element
I	PP	I
mean	VVP	mean
I	PP	I
I	PP	I
saw	VVD	see
something	NN	something
you	PP	you
wrote	VVD	write
earlier	RBR	earlier
in	IN	in
the	DT	the
week	NN	week
about	IN	about
the	DT	the
history	NN	history
of	IN	of
attempts	NNS	attempt
to	TO	to
get	VV	get
people	NNS	people
to	TO	to
switch	VV	switch
sides	NNS	side
by	IN	by
bombing	VVG	bomb
them	PP	them
both	CC	both
uh	UH	uh
in	IN	in
Britain	NP	Britain
uh	UH	uh
the	DT	the
Britain	NP	Britain
'	POS	'
s	NN	S
the	DT	the
the	DT	the
British	JJ	British
uh	UH	uh
Royal	NP	Royal
Air	NP	Air
Force	NP	Force
doing	VVG	do
it	PP	it
to	TO	to
the	DT	the
Germans	NPS	Germans
unsuccessful	JJ	unsuccessful
in	IN	in
in	IN	in
both	DT	both
instances	NNS	instance
are	VBP	be
you	PP	you
saying	VVG	say
that	IN/that	that
there	EX	there
is	VBZ	be
an	DT	an
attempt	NN	attempt
to	TO	to
do	VV	do
that	IN/that	that
here	RB	here
as	RB	as
well	RB	well
that	IN/that	that
the	DT	the
Israeli	NP	Israeli
want	VVP	want
people	NNS	people
to	TO	to
give	VV	give
up	RP	up
support	NN	support
