<video_id>fT7jBraFd8Q</video_id>	JJ	<video_id>fT7jBraFd8Q</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
have	VHP	have
fired	VVN	fire
a	DT	a
warning	NN	warning
rocket	NN	rocket
that	WDT	that
targeted	VVD	target
a	DT	a
car	NN	car
carrying	VVG	carry
Al	NP	Al
Jazeera	NP	Jazeera
crew	NN	crew
in	IN	in
Rafah</video_title>	NP	Rafah</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
have	VHP	have
fired	VVN	fire
a	DT	a
warning	NN	warning
rocket	NN	rocket
that	WDT	that
targeted	VVD	target
a	DT	a
car	NN	car
carrying	VVG	carry
Al	NP	Al
Jazeera	NP	Jazeera
crew	NN	crew
in	IN	in
Rafah.jpg</thumbnail_path>	NP	Rafah.jpg</thumbnail_path>
<publish_date>20240228</publish_date>	NN	<publish_date>20240228</publish_date>
<doc>	NN	<doc>
now	RB	now
on	IN	on
Al	NP	Al
jazer	NN	jazer
is	VBZ	be
Adnan	NP	Adnan
Abu	NP	Abu
hasna	NN	hasna
who	WP	who
is	VBZ	be
the	DT	the
media	NN	media
advisor	NN	advisor
for	IN	for
unra	NN	unra
that's	NNS	that's
the	DT	the
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
he	PP	he
joining	VVG	join
us	PP	us
from	IN	from
Cairo	NP	Cairo
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	VV	time
uh	UH	uh
Mr	NP	Mr
Adnan	NP	Adnan
Israel	NP	Israel
Israel	NP	Israel
as	IN	as
we	PP	we
mentioned	VVD	mention
they	PP	they
not	RB	not
only	RB	only
blocking	VVG	block
Aid	NN	aid
getting	VVG	get
into	IN	into
Gaza	NP	Gaza
they're	NN	they're
also	RB	also
targeting	VVG	target
people	NNS	people
trying	VVG	try
to	TO	to
access	VV	access
the	DT	the
little	JJ	little
the	DT	the
little	JJ	little
food	NN	food
that's	NNS	that's
managed	VVD	manage
to	TO	to
get	VV	get
into	IN	into
the	DT	the
territory	NN	territory
just	RB	just
talk	VV	talk
to	TO	to
us	PP	us
about	IN	about
the	DT	the
difficulties	NNS	difficulty
right	RB	right
now	RB	now
for	IN	for
people	NNS	people
in	IN	in
Gaza	NP	Gaza
to	TO	to
get	VV	get
anything	NN	anything
to	TO	to
eat	VV	eat
yes	UH	yes
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
gazen	NN	gazen
that	WDT	that
are	VBP	be
actually	RB	actually
Starving	VVG	starve
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
the	DT	the
Gaza	NP	Gaza
City	NP	City
so	IN	so
what	WP	what
we	PP	we
are	VBP	be
seeing	VVG	see
there	RB	there
that	IN/that	that
you	PP	you
know	VVP	know
pushing	VVG	push
people	NNS	people
to	TO	to
do	VV	do
things	NNS	thing
that	IN/that	that
you	PP	you
know	VVP	know
they	PP	they
never	RB	never
had	VHD	have
done	VVN	do
before	RB	before
like	IN	like
you	PP	you
know	VVP	know
gathering	NN	gathering
with	IN	with
t	NN	t
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
waiting	VVG	wait
for	IN	for
the	DT	the
trucks	NNS	truck
to	TO	to
get	VV	get
into	IN	into
Gaza	NP	Gaza
City	NP	City
and	CC	and
there	EX	there
is	VBZ	be
you	PP	you
know	VVP	know
there	EX	there
is	VBZ	be
no	DT	no
police	NN	police
there	EX	there
is	VBZ	be
no	RB	no
actually	RB	actually
no	DT	no
system	NN	system
there	RB	there
that	IN/that	that
they	PP	they
can	MD	can
protect	VV	protect
you	PP	you
know	VV	know
the	DT	the
the	DT	the
convoys	NNS	convoy
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
in	IN	in
many	JJ	many
times	NNS	time
the	DT	the
Israeli	NP	Israeli
forces	VVZ	force
they	PP	they
you	PP	you
know	VVP	know
they	PP	they
open	JJ	open
fire	NN	fire
you	PP	you
know	VVP	know
at	IN	at
many	JJ	many
many	JJ	many
of	IN	of
the	DT	the
people	NNS	people
and	CC	and
many	RB	many
had	VHD	have
been	VBN	be
died	VVN	die
and	CC	and
injured	VVN	injure
you	PP	you
know	VVP	know
in	IN	in
some	DT	some
occasions	NNS	occasion
you	PP	you
know	VVP	know
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
yeah	RB	yeah
we	PP	we
we've	VVP	we've
reported	VVN	report
also	RB	also
on	IN	on
people	NNS	people
now	RB	now
leaving	VVG	leave
Northern	NP	Northern
Gaza	NP	Gaza
because	IN	because
there's	RB	there's
no	DT	no
food	NN	food
there	RB	there
wfp	NN	wfp
has	VHZ	have
suspended	VVN	suspend
food	NN	food
deliveries	NNS	delivery
uh	UH	uh
to	TO	to
the	DT	the
North	NP	North
and	CC	and
the	DT	the
last	JJ	last
time	NN	time
unra	NN	unra
your	PP$	your
agency	NN	agency
was	VBD	be
able	JJ	able
to	TO	to
make	VV	make
deliveries	NNS	delivery
to	TO	to
the	DT	the
north	NN	north
was	VBD	be
last	JJ	last
month	NN	month
so	IN	so
you	PP	you
know	VVP	know
what	WP	what
are	VBP	be
people	NNS	people
there	RB	there
relying	VVG	rely
on	IN	on
how	WRB	how
are	VBP	be
they	PP	they
able	JJ	able
to	TO	to
survive	VV	survive
and	CC	and
those	DT	those
who	WP	who
make	VVP	make
it	PP	it
to	TO	to
the	DT	the
South	JJ	South
are	VBP	be
they	PP	they
finding	VVG	find
enough	JJ	enough
Aid	NN	aid
in	IN	in
that	DT	that
area	NN	area
they're	NN	they're
finding	VVG	find
nothing	NN	nothing
actually	RB	actually
they	PP	they
are	VBP	be
really	RB	really
starving	VVG	starve
even	RB	even
you	PP	you
know	VVP	know
animals	NNS	animal
food	NN	food
they're	NN	they're
not	RB	not
there	RB	there
anymore	RB	anymore
they	PP	they
tried	VVD	try
to	TO	to
use	VV	use
it	PP	it
for	IN	for
a	DT	a
while	NN	while
but	CC	but
now	RB	now
everything	NN	everything
a	DT	a
gun	NN	gun
actually	RB	actually
there	EX	there
is	VBZ	be
not	RB	not
even	RB	even
you	PP	you
know	VVP	know
food	NN	food
for	IN	for
animals	NNS	animal
that	IN/that	that
the	DT	the
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
many	JJ	many
places	NNS	place
they	PP	they
you	PP	you
know	VVP	know
trying	VVG	try
to	TO	to
maneuver	VV	maneuver
around	RP	around
that	IN/that	that
and	CC	and
to	TO	to
make	VV	make
you	PP	you
know	VV	know
some	DT	some
bread	NN	bread
from	IN	from
it	PP	it
but	CC	but
now	RB	now
there's	RB	there's
no	DT	no
more	JJR	more
something	NN	something
like	IN	like
that	WDT	that
and	CC	and
uh	UH	uh
we	PP	we
are	VBP	be
communicating	VVG	communicate
with	IN	with
people	NNS	people
contacting	VVG	contact
people	NNS	people
there	RB	there
and	CC	and
they	PP	they
are	VBP	be
telling	VVG	tell
us	PP	us
that	IN/that	that
they	PP	they
are	VBP	be
starving	VVG	starve
and	CC	and
you	PP	you
know	VVP	know
family	NN	family
or	CC	or
family	NN	family
Bread	NP	Bread
Winners	NNS	winner
actually	RB	actually
they	PP	they
stopped	VVD	stop
you	PP	you
know	VVP	know
eating	NN	eating
and	CC	and
know	VVP	know
to	TO	to
allow	VV	allow
their	PP$	their
kids	NNS	kid
to	TO	to
eat	VV	eat
you	PP	you
know	VV	know
one	CD	one
meal	NN	meal
you	PP	you
know	VVP	know
in	IN	in
24	CD	@card@
hours	NNS	hour
or	CC	or
48	CD	@card@
hours	NNS	hour
and	CC	and
we	PP	we
are	VBP	be
afraid	JJ	afraid
that	IN/that	that
people	NNS	people
there	RB	there
will	MD	will
start	VV	start
dying	VVG	die
because	IN	because
of	IN	of
uh	UH	uh
you	PP	you
know	VVP	know
they	PP	they
have	VHP	have
nothing	NN	nothing
to	TO	to
eat	VV	eat
actually	RB	actually
yeah	RB	yeah
a	DT	a
s	NN	S
situation	NN	situation
really	RB	really
you	PP	you
mentioned	VVD	mention
some	DT	some
of	IN	of
the	DT	the
obstacles	NNS	obstacle
to	TO	to
deliveries	NNS	delivery
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we've	NN	we've
seen	VVN	see
that	IN/that	that
the	DT	the
flow	NN	flow
of	IN	of
Aid	NP	Aid
um	NN	um
has	VHZ	have
reduced	VVN	reduce
sharply	RB	sharply
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
why	WRB	why
is	VBZ	be
that	IN/that	that
the	DT	the
case	NN	case
that	IN/that	that
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
the	DT	the
flow	NN	flow
has	VHZ	have
has	VHZ	have
reduced	VVN	reduce
considerably	RB	considerably
yeah	RB	yeah
unfortunately	RB	unfortunately
you	PP	you
know	VVP	know
that	IN/that	that
the	DT	the
number	NN	number
of	IN	of
trucks	NNS	truck
that	IN/that	that
Israel	NP	Israel
allowed	VVD	allow
you	PP	you
know	VVP	know
to	TO	to
get	VV	get
into	IN	into
gaza's	NP	gaza's
STP	NP	STP
this	DT	this
month	NN	month
is	VBZ	be
nearly	RB	nearly
50%	CD	@card@
of	IN	of
of	IN	of
the	DT	the
tracks	NNS	track
that	WDT	that
had	VHD	have
been	VBN	be
allowed	VVN	allow
in	IN	in
in	IN	in
the	DT	the
last	JJ	last
in	IN	in
the	DT	the
last	JJ	last
month	NN	month
and	CC	and
it	PP	it
it	PP	it
resulted	VVD	result
you	PP	you
know	VVP	know
actually	RB	actually
that	IN/that	that
many	JJ	many
people	NNS	people
they	PP	they
don't	VVD	don't
have	VH	have
you	PP	you
know	VV	know
enough	JJ	enough
food	NN	food
even	VV	even
we	PP	we
we	PP	we
we	PP	we
we	PP	we
don't	VVD	don't
know	VV	know
how	WRB	how
to	TO	to
distribute	VV	distribute
you	PP	you
know	VV	know
uh	UH	uh
some	DT	some
trucks	NNS	truck
that	IN/that	that
getting	VVG	get
into	IN	into
Gaza	NP	Gaza
that	IN/that	that
we	PP	we
have	VHP	have
now	RB	now
the	DT	the
average	NN	average
of	IN	of
trucks	NNS	truck
that	IN/that	that
getting	VVG	get
into	IN	into
Gaza	NP	Gaza
80	CD	@card@
trucks	NNS	truck
and	CC	and
among	IN	among
them	PP	them
you	PP	you
find	VVP	find
water	NN	water
and	CC	and
medicine	NN	medicine
and	CC	and
we	PP	we
are	VBP	be
the	DT	the
remain	VVP	remain
body	NN	body
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
only	JJ	only
body	NN	body
who	WP	who
is	VBZ	be
responsible	JJ	responsible
for	IN	for
Distributing	VVG	distribute
you	PP	you
know	VVP	know
