<video_id>IgKf5G-7bRY</video_id>	JJ	<video_id>IgKf5G-7bRY</video_id>
<video_title>Growing	JJ	<video_title>Growing
anger	NN	anger
in	IN	in
the	DT	the
streets	NNS	street
of	IN	of
Turkey</video_title>	NP	Turkey</video_title>
<thumbnail_path>data/en_AJ\Growing	JJ	<thumbnail_path>data/en_AJ\Growing
anger	NN	anger
in	IN	in
the	DT	the
streets	NNS	street
of	IN	of
Turkey.jpg</thumbnail_path>	NP	Turkey.jpg</thumbnail_path>
<publish_date>20231028</publish_date>	JJ	<publish_date>20231028</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
bring	VVP	bring
in	IN	in
Tama	NP	Tama
Kut	NP	Kut
once	IN	once
uh	UH	uh
more	RBR	more
uh	UH	uh
to	TO	to
talk	VV	talk
through	IN	through
all	DT	all
of	IN	of
this	DT	this
now	RB	now
as	IN	as
we	PP	we
saw	VVD	see
in	IN	in
that	DT	that
story	NN	story
it	PP	it
seems	VVZ	seem
like	IN	like
the	DT	the
US	NP	US
and	CC	and
Israel	NP	Israel
has	VHZ	have
becoming	VVG	become
more	RBR	more
and	CC	and
more	RBR	more
I	PP	I
guess	VVP	guess
pushed	VVN	push
to	TO	to
one	CD	one
side	NN	side
by	IN	by
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
calling	VVG	call
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
at	IN	at
the	DT	the
moment	NN	moment
we	PP	we
are	VBP	be
seeing	VVG	see
uh	UH	uh
the	DT	the
Turkish	JJ	Turkish
president	NN	president
f	SYM	f
t	NN	t
erdogan	VVG	erdogan
uh	UH	uh
with	IN	with
a	DT	a
huge	JJ	huge
huge	JJ	huge
rally	NN	rally
in	IN	in
estanbul	NN	estanbul
we	PP	we
were	VBD	be
talking	VVG	talk
to	TO	to
our	PP$	our
correspondent	NN	correspondent
earlier	RBR	earlier
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
there	EX	there
were	VBD	be
approximately	RB	approximately
1	CD	@card@
million	CD	million
people	NNS	people
that	WDT	that
have	VHP	have
turned	VVN	turn
out	RP	out
huge	JJ	huge
numbers	NNS	number
we've	NN	we've
seen	VVN	see
huge	JJ	huge
numbers	NNS	number
in	IN	in
London	JJ	London
uh	UH	uh
as	RB	as
well	RB	well
in	IN	in
support	NN	support
of	IN	of
Palestine	NP	Palestine
does	VVZ	do
that	DT	that
uh	UH	uh
I	PP	I
mean	VVP	mean
apart	RB	apart
from	IN	from
I	PP	I
guess	VVP	guess
as	IN	as
a	DT	a
show	NN	show
of	IN	of
solidarity	NN	solidarity
does	VVZ	do
it	PP	it
actually	RB	actually
do	VVP	do
anything	NN	anything
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
because	IN	because
it	PP	it
does	VVZ	do
seem	VV	seem
at	IN	at
this	DT	this
point	NN	point
in	IN	in
