<video_id>y1TVfnm06lw</video_id>	JJ	<video_id>y1TVfnm06lw</video_id>
<video_title>Unlawful	JJ	<video_title>Unlawful
occupation	NN	occupation
and	CC	and
apartheid:	NN	apartheid:
The	DT	the
ICJ	NP	ICJ
rules	NNS	rule
in	IN	in
favor	NN	favor
of	IN	of
Palestinian	JJ	Palestinian
right	NN	right
against	IN	against
Israeli	JJ	Israeli
might</video_title>	JJ	might</video_title>
<thumbnail_path>data/en_AJ\Unlawful	JJ	<thumbnail_path>data/en_AJ\Unlawful
occupation	NN	occupation
and	CC	and
apartheid	NN	apartheid
The	DT	the
ICJ	NP	ICJ
rules	NNS	rule
in	IN	in
favor	NN	favor
of	IN	of
Palestinian	JJ	Palestinian
right	NN	right
against	IN	against
Israeli	JJ	Israeli
might.jpg</thumbnail_path>	NN	might.jpg</thumbnail_path>
<publish_date>20240719</publish_date>	NN	<publish_date>20240719</publish_date>
<doc>	JJ	<doc>
Maran	NP	Maran
bishar	NN	bishar
though	IN	though
alzer's	NNS	alzer's
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
by	IN	by
Skype	NP	Skype
from	IN	from
Paris	NP	Paris
Marwan	NP	Marwan
is	VBZ	be
this	DT	this
a	DT	a
milestone	NN	milestone
moment	NN	moment
that	IN/that	that
we	PP	we
will	MD	will
look	VV	look
back	RB	back
on	IN	on
in	IN	in
days	NNS	day
to	TO	to
come	VV	come
and	CC	and
say	VV	say
perhaps	RB	perhaps
this	DT	this
was	VBD	be
a	DT	a
turning	VVG	turn
point	NN	point
well	RB	well
certainly	RB	certainly
uh	UH	uh
in	IN	in
terms	NNS	term
of	IN	of
uh	UH	uh
the	DT	the
icj	NN	icj
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
legal	JJ	legal
status	NN	status
of	IN	of
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
various	JJ	various
details	NNS	detail
or	CC	or
detailed	JJ	detailed
drooling	VVG	drool
that	DT	that
we've	NN	we've
heard	VVD	hear
it's	NNS	it's
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
Cornerstone	NP	Cornerstone
it's	NN	it's
it's	NNS	it's
definitely	RB	definitely
a	DT	a
a	DT	a
game	NN	game
changer	NN	changer
legally	RB	legally
speaking	VVG	speak
not	RB	not
that	IN/that	that
it's	NNS	it's
surprising	JJ	surprising
or	CC	or
shocking	JJ	shocking
it's	NNS	it's
in	IN	in
fact	NN	fact
if	IN	if
anything	NN	anything
this	DT	this
is	VBZ	be
basically	RB	basically
expanding	VVG	expand
and	CC	and
deepening	VVG	deepen
the	DT	the
ruling	NN	ruling
of	IN	of
2004	CD	@card@
uh	UH	uh
that	WDT	that
was	VBD	be
mentioned	VVN	mention
today	NN	today
about	IN	about
the	DT	the
illegality	NN	illegality
of	IN	of
the	DT	the
aparted	JJ	aparted
wall	NN	wall
in	IN	in
the	DT	the
West	JJ	West
Bank	NP	Bank
uh	UH	uh
but	CC	but
I	PP	I
think	VVP	think
the	DT	the
importance	NN	importance
uh	UH	uh
of	IN	of
this	DT	this
ruling	NN	ruling
today	NN	today
is	VBZ	be
just	RB	just
how	WRB	how
damning	VVG	damn
how	WRB	how
detailed	JJ	detailed
uh	UH	uh
it	PP	it
is	VBZ	be
and	CC	and
it	PP	it
just	RB	just
covers	VVZ	cover
all	PDT	all
those	DT	those
issues	NNS	issue
that	IN/that	that
some	DT	some
of	IN	of
us	PP	us
like	VVP	like
you	PP	you
and	CC	and
I	PP	I
and	CC	and
others	NNS	other
for	IN	for
example	NN	example
in	IN	in
the	DT	the
media	NNS	medium
and	CC	and
Academia	NN	academia
that	WDT	that
had	VHD	have
to	TO	to
uh	UH	uh
deal	NN	deal
with	IN	with
the	DT	the
headache	NN	headache
for	IN	for
example	NN	example
of	IN	of
always	RB	always
having	VHG	have
to	TO	to
read	VV	read
