<video_id>2DtSoEkr2RA</video_id>	NN	<video_id>2DtSoEkr2RA</video_id>
<video_title>Mothers	NNS	<video_title>Mothers
mourn	VVP	mourn
children	NNS	child
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attack	NN	attack
in	IN	in
Nuseirat	NP	Nuseirat
camp</video_title>	NN	camp</video_title>
<thumbnail_path>data/en_AJ\Mothers	NNS	<thumbnail_path>data/en_AJ\Mothers
mourn	VVP	mourn
children	NNS	child
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attack	NN	attack
in	IN	in
Nuseirat	NP	Nuseirat
camp.jpg</thumbnail_path>	JJ	camp.jpg</thumbnail_path>
<publish_date>20240515</publish_date>	NN	<publish_date>20240515</publish_date>
<doc>	NN	<doc>
we	PP	we
saw	VVD	see
a	DT	a
couple	NN	couple
of	IN	of
Palestinian	JJ	Palestinian
children	NNS	child
that	WDT	that
were	VBD	be
rescued	VVN	rescue
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
heartbreaking	JJ	heartbreaking
memories	NNS	memory
as	IN	as
Palestinian	NN	Palestinian
mothers	VVZ	mother
uh	UH	uh
farewell	NN	farewell
their	PP$	their
children	NNS	child
from	IN	from
under	IN	under
um	NNS	um
the	DT	the
rubble	NN	rubble
not	RB	not
only	RB	only
that	IN/that	that
the	DT	the
rescue	NN	rescue
workers	NNS	worker
were	VBD	be
having	VHG	have
a	DT	a
very	RB	very
hard	JJ	hard
time	NN	time
as	IN	as
they	PP	they
were	VBD	be
trying	VVG	try
their	PP$	their
best	JJS	good
to	TO	to
pull	VV	pull
more	JJR	more
um	NN	um
bodies	NNS	body
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
the	DT	the
their	PP$	their
beloved	JJ	beloved
ones	NNS	one
waiting	VVG	wait
for	IN	for
the	DT	the
rescue	NN	rescue
workers	NNS	worker
to	TO	to
help	VV	help
them	PP	them
hoping	VVG	hope
that	DT	that
anyone	NN	anyone
would	MD	would
be	VB	be
alive	JJ	alive
the	DT	the
rescue	NN	rescue
workers	NNS	worker
were	VBD	be
using	VVG	use
their	PP$	their
bare	JJ	bare
hands	NNS	hand
very	RB	very
basic	JJ	basic
equipments	NNS	equipment
to	TO	to
rescue	VV	rescue
any	DT	any
Palestinians	NNS	Palestinian
that	WDT	that
were	VBD	be
trapped	VVN	trap
two	CD	two
of	IN	of
the	DT	the
families	NNS	family
that	WDT	that
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
this	DT	this
uh	UH	uh
house	NN	house
were	VBD	be
recently	RB	recently
evacuated	VVN	evacuate
from	IN	from
rafah	NN	rafah
as	IN	as
they	PP	they
thought	VVD	think
that	IN/that	that
nsat	NN	nsat
was	VBD	be
a	DT	a
safe	JJ	safe
space	NN	space
after	IN	after
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
asked	VVD	ask
them	PP	them
to	TO	to
evacuate	VV	evacuate
to	TO	to
the	DT	the
central	JJ	central
area	NN	area
um	NNS	um
a	DT	a
lot	NN	lot
of	IN	of
other	JJ	other
Palestinians	NPS	Palestinians
uh	UH	uh
uh	UH	uh
were	VBD	be
were	VBD	be
were	VBD	be
waiting	VVG	wait
and	CC	and
still	RB	still
waiting	VVG	wait
for	IN	for
any	DT	any
news	NN	news
about	IN	about
um	VVG	um
the	DT	the
people	NNS	people
still	RB	still
trapped	VVN	trap
unfortunately	RB	unfortunately
after	IN	after
19	CD	@card@
hours	NNS	hour
of	IN	of
of	IN	of
pulling	VVG	pull
the	DT	the
rubble	NN	rubble
and	CC	and
trying	VVG	try
to	TO	to
rescue	VV	rescue
people	NNS	people
from	IN	from
under	IN	under
the	DT	the
rebel	NN	rebel
the	DT	the
rescue	NN	rescue
workers	NNS	worker
said	VVD	say
that	IN/that	that
it's	NNS	it's
getting	VVG	get
dark	JJ	dark
and	CC	and
they	PP	they
had	VHD	have
to	TO	to
leave	VV	leave
uh	UH	uh
the	DT	the
bombed	VVN	bomb
house	NN	house
and	CC	and
they're	NN	they're
going	VVG	go
to	TO	to
return	VV	return
uh	UH	uh
tomorrow	NN	tomorrow
in	IN	in
the	DT	the
morning	NN	morning
as	IN	as
there	EX	there
are	VBP	be
still	RB	still
dozens	NNS	dozen
of	IN	of
pales	NNS	pale
iians	NNS	iians
trapped	VVN	trap
under	IN	under
the	DT	the
rubble	NN	rubble
and	CC	and
their	PP$	their
families	NNS	family
are	VBP	be
going	VVG	go
to	TO	to
wait	VV	wait
for	IN	for
them	PP	them
until	IN	until
they	PP	they
remove	VV	remove
them	PP	them
and	CC	and
pull	VV	pull
them	PP	them
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
