yes	UH	yes
we	PP	we
at	IN	at
least	JJS	least
we	PP	we
'	POS	'
re	NN	re
here	RB	here
in	IN	in
overcrowded	VVN	overcrowd
ra	VVG	ra
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
see	VV	see
and	CC	and
documents	VVZ	document
the	DT	the
daily	JJ	daily
struggle	NN	struggle
of	IN	of
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
ra	JJ	ra
City	NN	city
in	IN	in
finding	VVG	find
foods	NNS	food
and	CC	and
in	IN	in
drinkable	JJ	drinkable
water	NN	water
so	RB	so
far	RB	far
it	PP	it
has	VHZ	have
been	VBN	be
very	RB	very
difficult	JJ	difficult
for	IN	for
the	DT	the
1	CD	@card@
.	SENT	.
9	CD	@card@
million	CD	million
displaced	VVN	displace
Palestinian	NP	Palestinian
Corner	NP	Corner
in	IN	in
rafah	NP	rafah
City	NP	City
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
them	PP	them
are	VBP	be
in	IN	in
tent	NN	tent
camps	NNS	camp
in	IN	in
maasi	NN	maasi
area	NN	area
that	RB	that
'	POS	'
s	NN	S
in	IN	in
western	JJ	western
part	NN	part
of	IN	of
rafah	NN	rafah
city	NN	city
where	WRB	where
they	PP	they
lack	VVP	lack
the	DT	the
very	RB	very
basic	JJ	basic
supplies	NNS	supply
and	CC	and
infrastructure	NN	infrastructure
and	CC	and
all	PDT	all
the	DT	the
Necessities	NNS	necessity
that	WDT	that
help	VVP	help
them	PP	them
survive	VV	survive
these	DT	these
difficult	JJ	difficult
times	NNS	time
but	CC	but
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
an	DT	an
overly	RB	overly
hungry	JJ	hungry
population	NN	population
just	RB	just
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
there	EX	there
no	DT	no
Aid	NN	aid
being	VBG	be
delivered	VVN	deliver
the	DT	the
mechanism	NN	mechanism
is	VBZ	be
broken	VVN	break
the	DT	the
much	JJ	much
of	IN	of
the	DT	the
commercial	JJ	commercial
uh	UH	uh
tracks	VVZ	track
that	DT	that
been	VBN	be
allowed	VVN	allow
to	TO	to
private	JJ	private
sectors	NNS	sector
are	VBP	be
not	RB	not
enough	RB	enough
or	CC	or
if	IN	if
they	PP	they
are	VBP	be
allowed	VVN	allow
into	IN	into
ENT	NP	Ent
Gaza	NP	Gaza
prices	NNS	price
tripled	VVD	triple
and	CC	and
sometimes	RB	sometimes
went	VVD	go
higher	JJR	high
than	IN	than
what	WP	what
people	NNS	people
are	VBP	be
able	JJ	able
to	TO	to
afford	VV	afford
they	PP	they
don	VV	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
cash	NN	cash
flow	NN	flow
to	TO	to
buy	VV	buy
them	PP	them
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
purchasing	NN	purchasing
capacity	NN	capacity
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
employees	NNS	employee
or	CC	or
private	JJ	private
sector	NN	sector
employee	NN	employee
do	VVP	do
not	RB	not
have	VH	have
did	VVD	do
not	RB	not
have	VH	have
their	PP$	their
paychecks	NNS	paycheck
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
or	CC	or
even	VV	even
uh	UH	uh
PA	NN	pa
employee	NN	employee
don	NN	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
the	DT	the
enough	JJ	enough
financial	JJ	financial
capabilities	NNS	capability
to	TO	to
buy	VV	buy
so	IN	so
the	DT	the
vast	JJ	vast
